ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
100.0	13.814814814814815	253.53703703703704	181.3148148148148	3	0	26	100	27.0	654.0	470.0	100	9.0	64.0	46.0	16	0	0	714.8454902172089	80	714.8454902172089	54	32.5	
100.925	13.7	237.2	168.875	3	1	50	133	19	654	470	91	9	64	46	24	0	0	243.0759687423706	160	957.9214589595795	106	33.75	
100.5625	13.6	231.8875	165.0875	3	2	65	133	24	647	477	79	9	64	46	21	0	0	607.073278427124	240	1564.9947373867035	166	30.83333333333333	
101.725	13.4125	225.7375	160.8875	3	3	79	182	21	647	477	79	10	97	72	26	0	0	8686.2806122303	320	10251.275349617004	228	28.75	
102.7625	13.55	224.05	159.7625	3	4	95	182	21	647	477	90	10	92	67	25	0	0	459.0407705307007	400	10710.316120147705	288	28.0	
104.2625	13.85	227.1375	161.925	4	5	111	182	21	647	477	90	10	97	72	24	0	0	1041.6392350196838	480	11751.955355167389	348	27.5	
101.775	13.7875	217.2875	154.6625	3	6	127	169	21	518	374	50	10	92	67	26	0	0	682.2585761547089	560	12434.213931322098	408	27.142857142857153	
101.7875	13.725	218.775	155.325	3	7	145	169	24	518	374	50	10	92	67	28	0	0	226.90928721427917	640	12661.123218536377	466	27.1875	
98.875	13.4375	206.5375	146.4375	4	8	165	151	24	518	374	22	10	91	67	29	0	0	12539.499420881271	720	25200.62263941765	521	27.638888888888886	
99.425	13.4625	211.2625	149.6	4	9	192	151	24	518	374	22	10	91	67	29	0	0	234.49776458740234	800	25435.12040400505	570	28.75	
101.075	13.2	208.8125	147.4625	3	10	211	172	21	518	374	50	10	92	67	28	0	0	143.30938577651978	880	25578.42978978157	627	28.75	
98.5125	13.0125	206.2125	145.8875	3	11	229	172	21	518	374	50	10	92	67	27	0	0	332.80597829818726	960	25911.235768079758	685	28.645833333333343	
101.05	13.1875	209.55	148.3125	3	12	250	176	21	518	374	50	10	93	67	27	0	0	201.88435912132263	1040	26113.12012720108	740	28.84615384615384	
