ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
100.0	13.42	235.92	170.2	1	0	30	100	18.0	566.0	416.0	100	10.0	86.0	62.0	20	0	0	23.12792205810547	80	23.12792205810547	50	37.5	
100.9	13.775	240.05	173.175	2	1	56	170	20	667	481	54	10	86	62	21	0	0	22.0530903339386	160	45.18101239204407	99	38.125	
102.95	14.0625	254.9875	183.55	3	2	73	170	20	667	481	54	10	86	62	16	0	0	62.16094422340393	240	107.341956615448	158	34.16666666666667	
103.1	13.25	226.0	161.3375	3	3	89	167	19	504	362	54	10	68	50	23	0	0	93.66781401634216	320	201.00977063179016	218	31.875	
106.5375	12.8875	209.275	148.6	3	4	106	167	19	437	300	57	10	68	50	28	0	0	65.64599227905273	400	266.6557629108429	276	31.0	
107.6375	12.675	198.7875	140.875	4	5	118	189	19	442	315	72	10	68	50	26	0	0	31.44608473777771	480	298.1018476486206	340	29.166666666666657	
108.0875	12.4875	192.225	136.275	3	6	133	189	19	442	315	72	10	68	50	25	0	0	44.51677656173706	560	342.61862421035767	401	28.39285714285714	
108.5	12.45	179.4125	127.55	4	7	148	189	19	442	315	68	10	68	50	25	0	0	49.33869981765747	640	391.95732402801514	462	27.8125	
105.7625	12.3875	175.175	124.725	4	8	160	189	19	439	310	59	10	68	50	25	0	0	52.01622152328491	720	443.97354555130005	525	27.083333333333343	
105.45	12.0875	165.5375	118.0125	3	9	171	189	18	337	243	59	10	68	50	24	0	0	29.891366958618164	800	473.8649125099182	589	26.375	
102.5125	12.125	166.7875	118.725	3	10	182	189	18	316	226	59	10	68	50	24	0	0	36.41814041137695	880	510.28305292129517	654	25.681818181818187	
101.4875	12.2875	171.175	121.8375	2	11	196	189	18	314	226	37	10	70	51	24	0	0	31.998526573181152	960	542.2815794944763	716	25.41666666666667	
100.275	12.2625	174.7	124.5375	2	12	203	189	18	314	226	37	10	73	53	24	0	0	55.10993266105652	1040	597.3915121555328	784	24.615384615384613	
96.6125	12.35	181.3	129.1625	2	13	216	189	18	314	226	59	10	90	66	24	0	0	45.901644706726074	1120	643.2931568622589	847	24.375	
98.5125	12.3875	181.7125	129.6625	2	14	224	189	18	440	323	59	10	90	66	26	0	0	70.17284631729126	1200	713.4660031795502	915	23.75	
94.65	12.4	185.5375	132.2	2	15	241	189	18	368	259	59	10	90	66	26	0	0	181.57870864868164	1280	895.0447118282318	974	23.90625	
91.65	12.375	187.25	133.3625	2	16	256	145	18	314	226	59	10	90	66	26	0	0	59.979753732681274	1360	955.0244655609131	1035	23.89705882352942	
92.3375	12.2	182.6	130.175	2	17	263	145	17	307	215	59	10	90	66	26	0	0	55.313417196273804	1440	1010.3378827571869	1102	23.47222222222223	
93.3125	12.125	179.0625	127.7625	2	18	270	162	17	298	212	59	10	90	66	26	0	0	97.36961150169373	1520	1107.7074942588806	1170	23.026315789473685	
93.8875	12.0875	179.15	127.825	2	19	286	162	17	298	212	59	10	90	66	26	0	0	54.07739496231079	1600	1161.7848892211914	1229	23.1875	
94.375	12.0375	176.1625	125.825	2	20	300	178	17	298	212	59	10	90	66	26	0	0	26.972759246826172	1680	1188.7576484680176	1290	23.214285714285708	
95.125	11.9125	168.35	120.4	2	21	308	178	17	298	212	59	10	80	59	27	0	0	25.766525983810425	1760	1214.524174451828	1358	22.840909090909093	
94.3875	11.6875	162.7875	116.7375	2	22	314	178	17	298	212	59	10	80	59	27	0	0	24.425026655197144	1840	1238.9492011070251	1428	22.391304347826093	
92.4125	11.3875	153.6	110.425	3	23	319	178	16	298	212	59	10	70	52	27	0	0	27.189717292785645	1920	1266.1389183998108	1497	22.03125	
94.6125	11.4	148.075	106.525	3	24	322	178	16	298	212	59	10	70	52	27	0	0	29.182835340499878	2000	1295.3217537403107	1570	21.5	
93.8	11.3	141.625	102.0625	2	25	327	178	16	298	212	59	10	70	52	29	0	0	18.385223388671875	2080	1313.7069771289825	1641	21.105769230769226	
94.3625	11.2375	136.9625	98.85	2	26	332	178	16	298	212	59	10	70	52	29	0	0	19.61555004119873	2160	1333.3225271701813	1711	20.787037037037038	
94.125	11.1375	130.1625	94.0375	2	27	337	178	16	298	212	59	10	70	52	30	0	0	21.913340091705322	2240	1355.2358672618866	1782	20.446428571428584	
94.4625	11.0125	119.6	86.65	2	28	341	153	14	248	176	59	10	70	52	32	0	0	24.983190536499023	2320	1380.2190577983856	1853	20.129310344827587	
95.925	10.9875	116.45	84.4875	3	29	346	153	14	248	176	81	10	80	59	32	0	0	24.15690517425537	2400	1404.375962972641	1923	19.875	
94.8	10.9375	114.7125	83.15	3	30	349	153	13	185	136	81	10	80	59	32	0	0	24.433774948120117	2480	1428.809737920761	1995	19.55645161290323	
93.0375	10.8625	112.9125	81.7875	3	31	355	153	13	185	136	81	10	80	59	32	0	0	42.84906315803528	2560	1471.6588010787964	2063	19.4140625	
92.2625	10.775	111.725	80.9875	3	32	362	153	13	185	136	79	10	80	59	32	0	0	17.862422704696655	2640	1489.521223783493	2132	19.242424242424235	
