ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
100.0	13.42	235.92	170.2	1	0	30	100	18.0	566.0	416.0	100	10.0	86.0	62.0	25	0	0	146.1958248615265	80	146.1958248615265	50	37.5	
99.575	13.425	234.9375	169.3125	1	1	50	170	20	566	416	42	9	68	50	22	0	0	183.39273858070374	160	329.5885634422302	106	33.75	
102.075	12.95	217.875	156.05	3	2	63	178	21	790	571	56	9	68	50	28	0	0	118.61965799331665	240	448.2082214355469	168	30.0	
98.2	12.6125	208.825	149.3375	4	3	79	178	21	790	571	44	9	71	51	29	0	0	280.01934576034546	320	728.2275671958923	227	29.0625	
95.1625	12.7	188.2	134.2375	4	4	92	158	22	625	454	44	9	68	49	27	0	0	103.93403482437134	400	832.1616020202637	290	27.5	
97.5375	12.95	192.425	136.8125	3	5	104	158	22	398	277	69	9	68	49	28	0	0	142.311448097229	480	974.4730501174927	354	26.25	
99.2625	13.2125	202.6875	143.9375	4	6	110	158	22	398	277	53	9	68	49	24	0	0	283.30575585365295	560	1257.7788059711456	424	24.285714285714292	
99.05	13.0625	195.4375	139.0125	4	7	117	139	18	398	277	53	9	68	49	24	0	0	123.0157368183136	640	1380.7945427894592	493	22.96875	
103.4875	13.15	193.8125	137.9125	2	8	123	166	18	398	277	53	9	68	49	25	0	0	64.78094816207886	720	1445.575490951538	563	21.805555555555557	
106.725	13.2375	199.3375	142.2625	2	9	131	176	18	398	277	53	11	81	60	24	0	0	64.05536198616028	800	1509.6308529376984	631	21.125	
110.7	13.225	200.625	143.225	2	10	141	176	18	398	277	53	11	81	60	24	0	0	54.75642013549805	880	1564.3872730731964	697	20.795454545454547	
112.1875	12.875	185.0375	132.3625	2	11	153	176	18	398	277	64	11	81	60	25	0	0	56.95503902435303	960	1621.3423120975494	761	20.72916666666667	
114.25	12.625	170.4625	122.35	2	12	162	176	18	387	269	64	11	81	60	24	0	0	45.465588331222534	1040	1666.807900428772	828	20.384615384615387	
114.7	12.525	163.3375	117.4375	2	13	167	176	18	378	265	85	11	81	60	24	0	0	89.44191193580627	1120	1756.2498123645782	899	19.732142857142847	
117.4	12.5375	161.6625	116.2375	2	14	174	176	18	378	265	85	11	86	64	26	0	0	46.61643958091736	1200	1802.8662519454956	968	19.333333333333343	
120.5625	12.5375	159.0	114.525	2	15	179	176	18	269	193	98	11	86	64	26	0	0	148.87176704406738	1280	1951.738018989563	1039	18.828125	
122.6375	12.3625	154.9625	111.6375	2	16	189	176	18	269	193	98	11	86	64	27	0	0	76.12140464782715	1360	2027.8594236373901	1105	18.75	
124.8625	12.35	150.7	108.575	2	17	193	176	18	269	193	98	11	86	64	29	0	0	65.81070137023926	1440	2093.6701250076294	1177	18.263888888888886	
128.725	12.175	144.2875	104.1125	2	18	199	176	18	269	193	100	11	80	60	30	0	0	67.66688585281372	1520	2161.337010860443	1247	17.960526315789465	
132.475	11.9875	136.35	98.4	2	19	206	176	16	258	180	100	11	80	60	33	0	0	48.9216046333313	1600	2210.2586154937744	1316	17.75	
135.8875	11.8375	130.6375	94.35	2	20	214	176	15	258	180	100	11	80	60	34	0	0	56.09593605995178	1680	2266.354551553726	1384	17.61904761904762	
136.9625	11.8625	129.825	93.6875	2	21	219	176	15	258	180	100	11	80	60	35	0	0	66.02427935600281	1760	2332.378830909729	1455	17.329545454545453	
139.3625	11.7875	125.4	90.725	2	22	223	176	15	225	164	100	11	80	60	34	0	0	50.68704438209534	1840	2383.0658752918243	1526	17.065217391304344	
141.9375	11.7375	122.3625	88.5125	2	23	223	176	15	225	164	100	11	80	60	34	0	0	70.74688363075256	1920	2453.812758922577	1602	16.5625	
145.2625	11.625	118.4	85.65	2	24	227	176	15	225	164	100	11	80	60	33	0	0	46.269304275512695	2000	2500.0820631980896	1672	16.400000000000006	
147.3875	11.525	113.85	82.3875	2	25	228	176	15	204	149	100	11	80	60	34	0	0	54.85255837440491	2080	2554.9346215724945	1747	16.009615384615387	
150.7875	11.525	115.1375	83.325	2	26	233	176	16	264	186	100	11	80	60	35	0	0	50.642958879470825	2160	2605.5775804519653	1818	15.833333333333329	
150.8875	11.375	109.3375	79.3375	2	27	239	176	14	204	149	100	11	80	60	35	0	0	51.36880159378052	2240	2656.946382045746	1888	15.714285714285708	
152.55	11.35	109.925	79.625	2	28	245	176	14	167	117	100	11	80	60	35	0	0	60.50219488143921	2320	2717.448576927185	1958	15.603448275862064	
154.45	11.375	110.45	79.975	2	29	251	176	14	167	117	100	11	80	60	35	0	0	82.45841360092163	2400	2799.9069905281067	2028	15.5	
153.5	11.375	110.6125	80.0625	2	30	258	176	14	167	117	100	11	80	60	35	0	0	62.63188886642456	2480	2862.5388793945312	2097	15.443548387096769	
147.55	11.4375	111.0375	80.3125	2	31	263	176	14	167	117	100	11	80	60	35	0	0	59.78565835952759	2560	2922.324537754059	2168	15.3125	
144.7	11.3875	108.9625	78.95	1	32	270	176	14	167	117	100	11	80	60	34	0	0	57.17951965332031	2640	2979.504057407379	2234	15.378787878787875	
141.6	11.4125	108.4375	78.5875	1	33	279	176	14	167	117	100	11	80	60	34	0	0	39.72125005722046	2720	3019.2253074645996	2300	15.441176470588232	
136.35	11.3375	105.7375	76.8	1	34	285	176	13	147	108	100	11	82	61	34	0	0	37.895259380340576	2800	3057.12056684494	2370	15.357142857142861	
134.2	11.325	104.0625	75.6875	1	35	298	176	13	147	108	100	11	82	61	34	0	0	32.991074323654175	2880	3090.1116411685944	2433	15.520833333333329	
129.2	11.3	101.4625	73.9625	1	36	309	176	13	147	108	100	11	82	61	37	0	0	32.94574809074402	2960	3123.0573892593384	2494	15.743243243243242	
125.6	11.325	100.325	73.175	1	37	319	176	13	147	108	100	11	82	61	37	0	0	47.11506485939026	3040	3170.1724541187286	2557	15.88815789473685	
119.9	11.3	97.8125	71.4875	1	38	333	176	12	147	108	100	11	82	61	41	0	0	58.51586937904358	3120	3228.688323497772	2617	16.121794871794876	
120.1	11.3375	99.5	72.625	1	39	345	176	12	147	108	100	11	82	61	40	0	0	41.639124631881714	3200	3270.327448129654	2681	16.21875	
118.45	11.325	99.0625	72.3	1	40	364	156	12	147	108	100	11	82	61	43	0	0	30.02603554725647	3280	3300.3534836769104	2737	16.55487804878048	
117.05	11.3	97.7375	71.375	1	41	382	156	12	147	108	100	11	82	61	42	0	0	37.328500270843506	3360	3337.681983947754	2793	16.875	
116.35	11.2875	97.45	71.125	1	42	392	156	12	137	98	100	11	82	61	43	0	0	37.905280113220215	3440	3375.587264060974	2858	16.918604651162795	
114.95	11.2625	97.15	70.875	1	43	404	156	12	137	98	100	11	82	61	46	0	0	33.61094784736633	3520	3409.1982119083405	2921	17.017045454545453	
114.25	11.25	96.5375	70.45	1	44	424	156	12	137	98	100	11	82	61	47	0	0	34.81192755699158	3600	3444.010139465332	2976	17.33333333333333	
112.6	11.225	95.65	69.8125	1	45	448	156	12	137	98	100	11	82	61	47	0	0	32.59788537025452	3680	3476.6080248355865	3027	17.74456521739131	
112.6	11.225	96.0	70.0375	1	46	469	156	12	137	98	100	11	82	61	48	0	0	28.905753135681152	3760	3505.5137779712677	3081	18.058510638297875	
110.5	11.225	96.4375	70.25	1	47	480	156	14	154	107	100	11	82	61	52	0	0	71.91424632072449	3840	3577.428024291992	3145	18.098958333333343	
110.5	11.225	96.875	70.5375	1	48	501	156	14	154	107	100	11	82	61	54	0	0	28.111109972000122	3920	3605.5391342639923	3198	18.41836734693878	
107.7	11.2125	97.4875	70.8625	1	49	518	156	14	154	107	100	11	82	61	57	0	0	46.95333528518677	4000	3652.492469549179	3256	18.60000000000001	
107.0	11.2	97.825	71.0625	1	50	545	156	14	154	107	100	11	82	61	58	0	0	59.163583755493164	4080	3711.6560533046722	3305	18.99509803921569	
104.9375	11.1875	97.6375	70.8875	1	51	574	156	14	154	107	100	11	82	61	61	0	0	26.958337545394897	4160	3738.614390850067	3352	19.42307692307692	
103.5375	11.1625	96.9625	70.4125	1	52	604	156	14	154	107	100	11	82	61	63	0	0	31.768678426742554	4240	3770.3830692768097	3398	19.85849056603773	
102.8375	11.2125	99.0125	71.6875	1	53	630	156	14	154	107	100	11	82	61	65	0	0	59.08146572113037	4320	3829.46453499794	3447	20.20833333333333	
102.8375	11.2125	100.0	72.3	1	54	651	156	14	154	107	100	11	82	61	64	0	0	38.396886587142944	4400	3867.861421585083	3502	20.409090909090907	
102.175	11.225	99.8125	72.15	1	55	671	156	14	154	107	100	11	82	61	63	0	0	67.02181649208069	4480	3934.8832380771637	3558	20.58035714285714	
102.175	11.2625	101.45	73.1875	1	56	694	156	14	154	107	100	11	82	61	61	0	0	35.038116693496704	4560	3969.9213547706604	3610	20.833333333333343	
102.2125	11.2625	102.5125	73.8625	1	57	717	156	14	154	107	100	11	82	61	61	0	0	36.96967959403992	4640	4006.8910343647003	3663	21.05603448275862	
100.8125	11.2375	104.425	75.05	1	58	738	156	14	154	107	100	11	82	61	63	0	0	40.230877161026	4720	4047.1219115257263	3718	21.228813559322035	
100.1	11.15	104.6375	75.1375	1	59	762	103	14	154	107	99	11	82	61	61	0	0	29.614688396453857	4800	4076.73659992218	3769	21.47916666666667	
100.0625	11.1875	106.8375	76.5375	1	60	789	103	14	154	107	99	11	82	61	63	0	0	49.81393480300903	4880	4126.550534725189	3818	21.76229508196721	
100.0625	11.1875	106.9125	76.575	1	61	816	103	14	154	107	99	11	82	61	64	0	0	42.63874554634094	4960	4169.18928027153	3867	22.03629032258064	
100.0625	11.1875	106.8	76.4875	1	62	835	103	14	154	107	99	11	82	61	62	0	0	51.2125825881958	5040	4220.401862859726	3924	22.14285714285714	
100.0625	11.1625	107.6125	77.0	1	63	861	103	14	154	107	99	11	82	61	63	0	0	37.8799512386322	5120	4258.281814098358	3973	22.40234375	
100.0625	11.1625	108.525	77.5875	1	64	882	103	14	154	107	99	11	82	61	66	0	0	66.87754034996033	5200	4325.1593544483185	4028	22.538461538461547	
99.9875	11.1625	109.1875	78.0	1	65	910	100	14	154	107	99	11	82	61	67	0	0	36.95908451080322	5280	4362.118438959122	4076	22.803030303030297	
99.9875	11.075	107.6625	76.9875	1	66	944	100	14	154	107	99	11	82	61	68	0	0	44.08052206039429	5360	4406.198961019516	4118	23.171641791044777	
99.9875	11.075	107.4125	76.8375	1	67	965	100	14	154	107	99	11	82	61	67	0	0	58.94792175292969	5440	4465.146882772446	4172	23.308823529411754	
99.9875	11.1125	107.2	76.6875	1	68	987	100	14	154	107	99	11	77	57	67	0	0	55.79060459136963	5520	4520.937487363815	4226	23.44202898550725	
100.0	11.075	105.7375	75.7625	1	69	1012	100	14	154	107	100	11	77	57	67	0	0	59.90995478630066	5600	4580.847442150116	4277	23.625	
100.0	11.075	104.9	75.225	1	70	1036	100	14	154	107	100	11	77	57	69	0	0	43.992403984069824	5680	4624.839846134186	4329	23.785211267605632	
100.0	11.0375	104.2875	74.8375	1	71	1054	100	14	154	107	100	11	77	57	71	0	0	45.24949765205383	5760	4670.08934378624	4387	23.836805555555557	
100.0	11.0	102.45	73.6375	1	72	1080	100	11	116	82	100	11	77	57	71	0	0	33.08627533912659	5840	4703.175619125366	4436	24.041095890410958	
100.0	11.0	101.1625	72.8	1	73	1106	100	11	116	82	100	11	77	57	71	0	0	53.78958201408386	5920	4756.96520113945	4486	24.222972972972983	
100.0	11.0	100.0625	72.075	1	74	1137	100	11	116	82	100	11	77	57	70	0	0	53.110615730285645	6000	4810.075816869736	4530	24.5	
100.0	11.0375	99.7875	71.9125	1	75	1154	100	14	154	107	100	11	77	57	70	0	0	117.54517436027527	6080	4927.620991230011	4588	24.53947368421052	
100.0	11.0375	100.1125	72.1	1	76	1181	100	14	154	107	100	11	77	57	72	0	0	64.50486063957214	6160	4992.125851869583	4636	24.740259740259745	
100.0	11.0375	98.9375	71.3375	1	77	1203	100	14	154	107	100	11	77	57	72	0	0	73.31082534790039	6240	5065.4366772174835	4688	24.871794871794876	
100.0	11.0375	95.975	69.4125	1	78	1223	100	14	154	107	100	11	77	57	70	0	0	62.92635917663574	6320	5128.363036394119	4743	24.95253164556962	
100.0	11.0375	94.6875	68.5625	1	79	1245	100	14	154	107	100	11	77	57	67	0	0	43.39244723320007	6400	5171.755483627319	4793	25.109375	
100.0	11.0	91.6625	66.5875	1	80	1272	100	11	112	80	100	11	77	57	64	0	0	50.6006121635437	6480	5222.356095790863	4839	25.324074074074076	
100.0	11.0	90.05	65.525	1	81	1294	100	11	112	80	100	11	77	57	63	0	0	79.62532424926758	6560	5301.981420040131	4893	25.411585365853668	
