generation median_fitness fitness_25perc fitness_75perc
0 -256.41201624867836 -1811.5357296511197 -247.4682921987681
1 -256.41201624867836 -1811.5357296511197 -247.38117936868724
2 -254.59381204505223 -288.1758084369302 -246.3209824297308
3 -201.28831431862 -223.84076261724084 -201.28510017368717
4 -201.28495706779785 -201.28677879909827 -164.41300018756743
5 -147.26524680800048 -168.99398033508012 -128.44694082622283
6 -151.1482867307704 -166.95622525418503 -128.44694082622283
7 -142.76242838893612 -156.14199037749754 -128.44219741627631
8 -142.76242838893612 -156.14199037749754 -128.44219741627631
9 -134.69177457046766 -147.71599602834837 -127.9985076108841
10 -128.44852196287167 -148.74826749919112 -126.84882800874347
11 -127.03021782277946 -145.5773975309339 -122.64521337740874
12 -125.71572675533247 -143.25621235449879 -122.78450994587776
13 -126.14739243009058 -135.3585840105261 -123.28314845287383
14 -118.92776966842547 -122.20498691955598 -113.4737127473973
15 -118.92776966842547 -122.20498691955598 -113.4737127473973
16 -120.98849422304464 -123.26286670920489 -114.50690966882408
17 -118.10977390945503 -123.04105203275722 -113.2874502038699
18 -113.2874502038699 -116.41918720715705 -112.06275721508314
19 -114.41829954398241 -117.59796183550182 -111.77294472610296
20 -114.41829954398241 -117.59796183550182 -111.77294472610296
21 -112.03147599885838 -115.7522246527655 -111.21351128597205
22 -112.03147599885838 -115.7522246527655 -109.19354974370505
23 -112.85390253230456 -116.23369458759913 -108.61373677632477
24 -112.85390253230456 -116.23369458759913 -108.61373677632477
25 -112.85390253230456 -116.23369458759913 -108.61373677632477
26 -107.45671486781364 -115.38123941364967 -105.94302711688255
27 -107.45671486781364 -115.38123941364967 -105.94302711688255
28 -106.91130459393767 -112.07001808742119 -105.62877865760244
29 -107.25108515243255 -113.67632906575074 -106.57152403544279
30 -107.25108515243255 -112.3402153777315 -106.57152403544279
31 -107.25108515243255 -112.3402153777315 -106.57152403544279
32 -107.25108515243255 -112.3402153777315 -106.57152403544279
33 -106.57152403544279 -111.57466248057572 -104.8120077182174
34 -106.57152403544279 -111.57466248057572 -104.75466420147005
35 -106.57152403544279 -111.57466248057572 -104.75466420147005
36 -106.57152403544279 -111.57466248057572 -104.75466420147005
37 -105.66309411845643 -107.82230864672603 -104.46404113700821
38 -105.66309411845643 -107.82230864672603 -104.46404113700821
39 -105.47678540907455 -107.54284558265323 -104.46404113700821
40 -105.47678540907455 -107.54284558265323 -104.46404113700821
41 -105.47678540907455 -107.54284558265323 -104.46404113700821
42 -105.47678540907455 -107.54284558265323 -104.46404113700821
43 -104.75466420147005 -108.16466334102289 -104.17341807254635
44 -104.17341807254635 -106.45966377124647 -102.91602395041133
45 -104.75466420147005 -108.16466334102289 -104.17341807254635
46 -104.17341807254635 -106.45966377124647 -103.29256634647096
47 -104.75466420147005 -111.57466248057572 -103.59217194362267
48 -104.22512111302322 -111.57466248057572 -103.35106195035954
49 -104.16903094765816 -111.57466248057572 -103.35106195035954
50 -104.16903094765816 -111.57466248057572 -103.35106195035954
51 -103.35106195035954 -104.16903094765816 -102.39374955501582
52 -103.35106195035954 -104.16903094765816 -102.39374955501582
53 -103.35106195035954 -104.16903094765816 -102.39374955501582
54 -103.35106195035954 -104.32754993193427 -101.60399058104532
55 -103.35106195035954 -104.32754993193427 -101.21291154071591
56 -103.35106195035954 -104.32754993193427 -100.86650032668994
57 -103.35106195035954 -104.21227469279007 -100.20201775360289
58 -103.35106195035954 -104.21227469279007 -100.20201775360289
59 -103.35106195035954 -104.21227469279007 -100.20201775360289
60 -103.35106195035954 -104.21227469279007 -98.02568793500726
61 -102.08264677871719 -103.79162583961721 -96.63141609897346
62 -102.08264677871719 -103.79162583961721 -96.63141609897346
63 -100.81435672654797 -103.79162583961721 -95.99727107288885
64 -100.81435672654797 -103.79162583961721 -95.99727107288885
65 -99.84777508372557 -102.86777112894833 -95.9603553480457
66 -99.84777508372557 -102.86777112894833 -95.9603553480457
67 -99.84777508372557 -102.62607528765095 -94.74531167097105
68 -99.84777508372557 -102.62607528765095 -94.72910296705784
69 -99.84777508372557 -102.62607528765095 -94.7246547777018
70 -99.68715497612642 -101.33758861091516 -94.71619585976411
71 -99.34785881984158 -101.16794053277275 -94.71619585976411
72 -98.44263893651325 -100.71533059110857 -94.71619585976411
73 -98.44263893651325 -100.71533059110857 -94.71619585976411
74 -98.44263893651325 -100.71533059110857 -94.71619585976411
75 -98.44263893651325 -100.71533059110857 -94.71619585976411
76 -98.44263893651325 -100.71533059110857 -94.67269942517602
77 -98.44263893651325 -100.71533059110857 -94.67269942517602
78 -98.44263893651325 -100.71533059110857 -94.67269942517602
79 -98.10559226547699 -100.71533059110857 -94.24752630751476
80 -98.10559226547699 -100.71533059110857 -94.24752630751476
81 -98.10559226547699 -100.71533059110857 -94.10082887443858
82 -98.10559226547699 -100.71533059110857 -94.10082887443858
83 -98.10559226547699 -100.71533059110857 -94.10082887443858
84 -98.10559226547699 -100.71533059110857 -94.10082887443858
85 -98.10559226547699 -100.71533059110857 -94.10082887443858
86 -98.10559226547699 -100.19978696685405 -94.10082887443858
87 -98.08388595053196 -100.19388843224897 -94.09587425157116
88 -98.08388595053196 -100.19388843224897 -94.09587425157116
89 -98.08388595053196 -100.19388843224897 -94.09587425157116
90 -97.02460274920963 -99.94381529158007 -93.74143558348675
91 -97.01968446540681 -99.94381529158007 -93.73897644158535
92 -96.45562926161948 -99.15712341745143 -94.29428950953425
93 -96.45562926161948 -99.15712341745143 -94.29428950953425
94 -96.45562926161948 -99.15189546377945 -94.29428950953425
95 -96.45562926161948 -99.15189546377945 -94.29428950953425
96 -96.45562926161948 -99.15189546377945 -94.29428950953425
97 -96.45562926161948 -98.73156101092772 -94.29428950953425
98 -96.45562926161948 -98.73156101092772 -94.29428950953425
99 -96.4472400535007 -98.73156101092772 -94.26550588096015
100 -96.41124396533112 -98.51446286583564 -94.26550588096015
101 -96.41124396533112 -98.51446286583564 -94.26550588096015
102 -96.18827319146835 -98.51446286583564 -94.26550588096015
103 -96.18827319146835 -98.51446286583564 -93.65551003963049
104 -96.18827319146835 -98.16998459685021 -93.65551003963049
105 -96.18827319146835 -98.095727299085 -93.65551003963049
106 -96.18827319146835 -98.095727299085 -93.65551003963049
107 -96.18827319146835 -98.095727299085 -93.43139040844537
108 -96.18827319146835 -98.095727299085 -93.43139040844537
109 -96.18827319146835 -98.095727299085 -93.09903578081476
110 -95.99212818407108 -98.095727299085 -93.09903578081476
111 -95.99212818407108 -98.0095784034694 -93.04556304752549
112 -95.99212818407108 -98.0095784034694 -93.04556304752549
113 -95.99212818407108 -96.44980300521854 -92.5096790669457
114 -95.99212818407108 -96.1923000027655 -92.5096790669457
115 -95.99212818407108 -96.1923000027655 -92.5096790669457
116 -95.99212818407108 -96.1923000027655 -92.15066197220278
117 -94.72479191281697 -96.15888172502324 -92.15066197220278
118 -94.72479191281697 -96.15888172502324 -92.15066197220278
119 -94.72479191281697 -96.15888172502324 -92.15066197220278
120 -94.72479191281697 -96.15888172502324 -92.15015456186478
121 -94.72479191281697 -96.15888172502324 -91.79695958169421
