generation,class,fitness_mean,fitness_std,n,fitness_median,fitness_q1,fitness_q3
0,-3,-169.0928663534205,0.008438543146193404,2,-169.0928663534205,-169.0958498289615,-169.0898828778795
0,-2,-176.64107453652719,15.220889704625817,5,-165.53805377622766,-193.30566185160242,-165.52296620871397
0,-1,-1139.8039656088283,1521.267586027772,7,-256.41201624867836,-1811.5357296511197,-247.4682921987681
0,0,-268.9147899191193,0.3448507123540339,3,-268.9104278785069,-269.0861144193788,-268.74128439855355
1,-3,-169.0928663534205,0.008438543146193404,2,-169.0928663534205,-169.0958498289615,-169.0898828778795
1,-2,-187.37625466784402,26.22597878678082,7,-193.30566185160242,-206.53472516129068,-161.8508301125981
1,-1,-1139.7790762288053,1521.284789736005,7,-256.41201624867836,-1811.5357296511197,-247.38117936868724
1,0,-283.61023570161353,20.124256213440933,5,-269.26180096025075,-305.52310097452886,-268.9104278785069
2,-3,-169.0928663534205,0.008438543146193404,2,-169.0928663534205,-169.0958498289615,-169.0898828778795
2,-2,-159.5816810979449,27.876417558760746,10,-161.8508301125981,-177.63064653894907,-132.56814112627742
2,-1,-269.07355715036573,36.878310357918814,7,-254.59381204505223,-288.1758084369302,-246.3209824297308
2,0,-441.7971390526758,408.0279120102011,10,-266.3998417273362,-305.7185560757679,-212.54313432049494
3,-2,-150.8921802930559,23.064314165088852,9,-159.55555856113563,-160.81618523760764,-122.83208240861177
3,-1,-218.36445480437987,51.53379814497837,7,-201.28831431862,-223.84076261724084,-201.28510017368717
3,0,-430.3803984307163,416.0256493602363,10,-266.3998417273362,-305.7185560757679,-183.99609304266409
4,-3,-160.7768599504078,0.0,1,-160.7768599504078,-160.7768599504078,-160.7768599504078
4,-2,-144.25204919090726,21.825463498519373,8,-159.55405999070686,-159.87131779821695,-117.90456716258319
4,-1,-188.21460614664667,30.864724459557657,7,-201.28495706779785,-201.28677879909827,-164.41300018756743
4,0,-318.84909028401546,318.4521832112839,10,-239.0833763276789,-266.52451404009463,-164.96550225748578
5,-3,-156.69527804958142,5.772228480085242,2,-156.69527804958142,-158.73606899999461,-154.65448709916822
5,-2,-139.1507454968393,23.280450223545884,6,-138.72896800271405,-160.50027928327526,-117.90295231744958
5,-1,-154.18897397344423,29.453804788460857,8,-147.26524680800048,-168.99398033508012,-128.44694082622283
5,0,-189.57620159726434,54.53251864495738,10,-159.64674228191421,-201.40614045504913,-156.75610511409454
6,-3,-132.7109620274933,0.0,1,-132.7109620274933,-132.7109620274933,-132.7109620274933
6,-2,-134.9535079958343,21.709366015034874,6,-132.2190869436667,-153.40074054219198,-117.90144375040859
6,-1,-154.82010810732086,29.21402135777886,8,-151.1482867307704,-166.95622525418503,-128.44694082622283
6,0,-180.62694030686552,45.53236453038611,10,-156.944507110112,-196.8847894392541,-156.69373488348455
7,-3,-137.34671913975382,6.5559505800263524,2,-137.34671913975382,-139.66459769588408,-135.02884058362358
7,-2,-134.8380737897343,21.63718274711994,6,-131.87278432536675,-153.227589233042,-117.90144375040859
7,-1,-142.82593042595786,20.202358265292624,9,-142.76242838893612,-156.14199037749754,-128.44219741627631
7,0,-178.05921655471892,46.312645356476146,10,-156.8177676972458,-195.5353789766348,-150.7254996518102
8,-3,-137.4783114438463,4.641356871364585,3,-137.7414960520313,-139.86198615202284,-135.2262290397623
8,-2,-133.89343093949313,20.383546433050533,6,-131.87278432536675,-152.53651902630403,-117.90144375040859
8,-1,-142.57345087829776,19.90472660895713,9,-142.76242838893612,-156.14199037749754,-128.44219741627631
8,0,-175.85756729325476,45.2242399170019,10,-156.8177676972458,-195.5353789766348,-148.14873603685817
9,-3,-137.3932335873718,4.77291273129681,3,-137.7414960520313,-139.86198615202284,-135.0986122550505
9,-2,-132.93330173143053,19.256073202645986,6,-131.87278432536675,-148.90700779676033,-117.90144375040859
