generation median_fitness fitness_25perc fitness_75perc
2 -126.59890686164798 -126.60123071764068 -126.58949190788013
3 -93.24347334632832 -126.60123071764068 -93.23452315061022
4 -93.24347334632832 -126.60123071764068 -93.23452315061022
5 -114.68289641062952 -115.54291139342658 -93.24123579739879
6 -93.24347334632832 -113.83184476746686 -93.23452315061022
7 -93.23899824846927 -97.96783826741725 -93.2300855862076
8 -93.23452315061022 -93.23899824846927 -93.22564802180497
9 -88.16076076913659 -88.17835358944754 -88.15544940778545
10 -88.17835358944754 -91.56712962679768 -88.15810508846103
11 -88.17835358944754 -91.56712962679768 -88.15810508846103
12 -88.17217239463966 -101.50824238470273 -88.16076076913659
13 -88.17217239463966 -101.50824238470273 -88.16076076913659
14 -88.17217239463966 -101.50824238470273 -88.15013804643434
15 -88.15013804643434 -101.50824238470273 -87.00323460943584
16 -87.70438462815177 -101.50824238470273 -87.00323460943584
17 -87.00323460943584 -87.3538096187938 -86.63361267059958
18 -85.75196139937786 -86.72817301376482 -85.57371836526413
19 -85.751944776696 -86.7281647024239 -85.57371005392321
20 -85.751944776696 -85.89828825525845 -85.57371005392321
21 -85.751944776696 -85.89828825525845 -85.57371005392321
22 -84.0124679611535 -84.69229316196027 -83.76433806074527
23 -84.0124679611535 -84.63273700982306 -83.76433806074527
24 -84.0124679611535 -84.63273700982306 -83.76433806074527
25 -84.0124679611535 -84.63273700982306 -83.76433806074527
26 -84.0124679611535 -84.63053154132137 -83.76433806074527
27 -84.0124679611535 -84.1979373611015 -83.76433806074527
28 -84.0124679611535 -84.1979373611015 -83.76433806074527
29 -84.0124679611535 -84.1979373611015 -83.76433806074527
30 -84.0124679611535 -84.1979373611015 -82.0343376673838
31 -84.0124679611535 -84.1979373611015 -82.0343376673838
32 -83.6671034037663 -83.8397856824599 -81.8616553886902
33 -83.6671034037663 -83.8397856824599 -81.8616553886902
34 -83.6671034037663 -83.8397856824599 -81.82934427226627
35 -83.6671034037663 -83.8397856824599 -81.82934427226627
36 -83.8397856824599 -85.13625459040237 -82.74822383801629
37 -83.8397856824599 -85.13625459040237 -82.74822383801629
38 -83.83881500222265 -85.13625459040237 -82.74676781766038
39 -83.83881500222265 -85.13625459040237 -82.74676781766038
40 -83.83881500222265 -85.13625459040237 -82.74676781766038
41 -84.0124679611535 -86.26004121965124 -82.00202655095987
42 -84.0124679611535 -85.95710814648243 -82.00202655095987
43 -81.26829110174559 -82.37613839662887 -80.6299381212559
44 -80.6299381212559 -80.94911461150075 -80.31076163101106
45 -80.6299381212559 -80.94911461150075 -80.31076163101106
46 -80.6299381212559 -80.94911461150075 -80.31076163101106
47 -80.6299381212559 -80.94911461150075 -80.31076163101106
48 -80.6299381212559 -80.94911461150075 -80.31076163101106
49 -80.6299381212559 -80.94911461150075 -80.31076163101106
50 -80.6299381212559 -80.94911461150075 -80.31076163101106
51 -80.6299381212559 -80.94911461150075 -80.31076163101106
52 -79.94645069741199 -80.6073708995788 -79.2855304952452
53 -79.94645069741199 -80.6073708995788 -79.2855304952452
54 -79.94645069741199 -80.6073708995788 -79.2855304952452
55 -79.94645069741199 -80.6073708995788 -79.2855304952452
56 -79.94645069741199 -80.6073708995788 -79.2855304952452
57 -79.94645069741199 -80.6073708995788 -79.2855304952452
58 -81.26829110174559 -81.26829110174559 -81.26829110174559
59 -81.26829110174559 -81.26829110174559 -81.26829110174559
60 -81.26829110174559 -81.26829110174559 -81.26829110174559
61 -81.26829110174559 -81.26829110174559 -81.26829110174559
62 -81.26829110174559 -81.26829110174559 -81.26829110174559
63 -81.26829110174559 -81.26829110174559 -81.26829110174559
67 -78.27021105854014 -78.27021105854014 -78.27021105854014
68 -78.27021105854014 -78.27021105854014 -78.27021105854014
69 -78.27021105854014 -78.27021105854014 -78.27021105854014
74 -75.50677767698436 -75.50677767698436 -75.50677767698436
76 -75.399360354627 -75.399360354627 -75.399360354627
77 -75.399360354627 -75.399360354627 -75.399360354627
78 -75.399360354627 -75.399360354627 -75.399360354627
79 -75.399360354627 -75.399360354627 -75.399360354627
80 -75.399360354627 -75.399360354627 -75.399360354627
81 -75.399360354627 -75.399360354627 -75.399360354627
82 -75.399360354627 -75.399360354627 -75.399360354627
83 -73.82066960841466 -73.82066960841466 -73.82066960841466
84 -73.82066960841466 -73.82066960841466 -73.82066960841466
85 -73.82066960841466 -73.82066960841466 -73.82066960841466
86 -73.82066960841466 -73.82066960841466 -73.82066960841466
87 -73.82066960841466 -73.82066960841466 -73.82066960841466
88 -73.82066960841466 -73.82066960841466 -73.82066960841466
89 -73.82066960841466 -73.82066960841466 -73.82066960841466
90 -73.82066960841466 -73.82066960841466 -73.82066960841466
91 -73.82066960841466 -73.82066960841466 -73.82066960841466
92 -73.82066960841466 -73.82066960841466 -73.82066960841466
93 -73.82066960841466 -73.82066960841466 -73.82066960841466
94 -73.82066960841466 -73.82066960841466 -73.82066960841466
95 -73.82066960841466 -73.82066960841466 -73.82066960841466
96 -73.78093145420695 -73.78093145420695 -73.78093145420695
97 -73.78093145420695 -73.78093145420695 -73.78093145420695
98 -73.78093145420695 -73.78093145420695 -73.78093145420695
99 -73.78093145420695 -73.78093145420695 -73.78093145420695
100 -73.78093145420695 -73.78093145420695 -73.78093145420695
101 -73.78093145420695 -73.78093145420695 -73.78093145420695
102 -73.78093145420695 -73.78093145420695 -73.78093145420695
103 -73.78093145420695 -73.78093145420695 -73.78093145420695
104 -73.78093145420695 -73.78093145420695 -73.78093145420695
105 -73.78093145420695 -73.78093145420695 -73.78093145420695
106 -73.78093145420695 -73.78093145420695 -73.78093145420695
107 -73.78093145420695 -73.78093145420695 -73.78093145420695
108 -73.78093145420695 -73.78093145420695 -73.78093145420695
109 -73.78093145420695 -73.78093145420695 -73.78093145420695
