ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-2725058.6086757965	100.0	12.205128205128204	314.0769230769231	190.33333333333334	-1749.2895778649186	0	41	100	18.0	953.0	589.0	100	9.0	128.0	79.0	0	0	22.126750707626343	80	22.126750707626343	39	51.25	
-2187588.1430865293	100.0	12.806451612903226	319.61290322580646	194.2258064516129	-1150.1372099019788	1	87	137	23.0	803.0	486.0	63	9.0	125.0	77.0	0	0	15.771795272827148	160	37.89854598045349	69	56.875	
-1825263.831529464	100.8875	12.069767441860465	265.09302325581393	161.13953488372093	-1106.684367413533	2	124	181	18.0	605.0	371.0	52	8.0	128.0	78.0	0	0	20.95155382156372	240	58.85009980201721	108	55.0	
-1700236.0904111178	106.3625	12.617021276595745	293.0	178.38297872340425	-165.32817680996143	3	157	181	21.0	1034.0	641.0	26	9.0	134.0	81.0	0	0	27.367275714874268	320	86.21737551689148	151	52.8125	
-2725333.657653577	104.925	11.847457627118644	273.1694915254237	165.67796610169492	-165.32817680996143	4	178	181	21.0	869.0	533.0	68	8.0	125.0	76.0	0	0	46.140552043914795	400	132.35792756080627	206	48.5	
-2425210.2214367446	101.4125	11.590909090909092	262.72727272727275	159.16666666666666	-165.32817680996143	5	192	174	19.0	659.0	408.0	37	8.0	125.0	76.0	0	0	48.57929468154907	480	180.93722224235535	268	44.166666666666664	
-3250154.7239350188	91.7875	11.225352112676056	239.1267605633803	144.71830985915494	-165.32817680996143	6	201	177	16.0	512.0	314.0	19	8.0	116.0	71.0	0	0	60.007811546325684	560	240.94503378868103	334	40.35714285714286	
-1962644.5922247283	86.9125	11.948275862068966	282.3965517241379	171.1206896551724	-152.7358141509567	7	223	172	18.0	536.0	329.0	19	8.0	140.0	85.0	0	0	62.26555895805359	640	303.2105927467346	387	39.53124999999999	
-3300167.768709571	90.425	11.264705882352942	234.19117647058823	141.08823529411765	-151.17471350036428	8	235	148	16.0	488.0	292.0	16	8.0	122.0	75.0	0	0	71.20660352706909	720	374.4171962738037	451	37.361111111111114	
-3212639.5121764652	86.8125	10.870967741935484	251.96774193548387	151.82258064516128	-150.61666158539188	9	253	132	17.0	545.0	333.0	26	8.0	107.0	66.0	0	0	57.70814323425293	800	432.12533950805664	509	36.375	
-2875125.1159215225	79.4	10.523809523809524	232.95238095238096	140.3968253968254	-130.24273810307292	10	270	143	22.0	938.0	574.0	26	8.0	128.0	78.0	0	0	54.11602425575256	880	486.2413637638092	568	35.45454545454545	
-2687657.6156544425	72.725	10.421875	212.421875	127.84375	-130.24273810307292	11	286	142	17.0	482.0	298.0	13	8.0	140.0	85.0	0	0	61.19651484489441	960	547.4378786087036	628	34.58333333333333	
-2700173.5887534553	67.7375	10.442622950819672	218.98360655737704	131.9672131147541	-127.98926162150035	12	305	135	18.0	560.0	338.0	24	8.0	128.0	78.0	0	0	50.11626124382019	1040	597.5541398525238	682	34.42307692307692	
-2900065.9645036347	65.3375	10.327868852459016	222.0327868852459	133.70491803278688	-125.74695036675263	13	324	135	15.0	392.0	241.0	12	8.0	113.0	70.0	0	0	43.46444511413574	1120	641.0185849666595	739	34.01785714285714	
-2412640.4919724455	63.2875	10.56140350877193	217.8421052631579	131.7719298245614	-125.74695036675263	14	347	135	16.0	635.0	393.0	41	8.0	122.0	74.0	0	0	42.013551473617554	1200	683.0321364402771	791	34.08333333333333	
-2650144.1988724447	53.925	9.86	197.36	118.82	-125.74695036675263	15	377	135	14.0	341.0	197.0	9	8.0	110.0	67.0	0	0	33.8075909614563	1280	716.8397274017334	835	34.765625	
-2062603.1786384857	50.5875	10.254901960784315	209.2941176470588	126.76470588235294	-125.74695036675263	16	406	96	15.0	461.0	284.0	8	8.0	128.0	78.0	0	0	32.617364168167114	1360	749.4570915699005	880	35.294117647058826	
-2625116.4958221815	51.475	9.448979591836734	178.75510204081633	108.44897959183673	-124.96448668989939	17	437	93	12.0	281.0	169.0	11	8.0	137.0	84.0	0	0	27.633996963500977	1440	777.0910885334015	925	35.763888888888886	
-2825140.661837624	55.075	9.833333333333334	189.75	115.02083333333333	-124.96448668989939	18	469	94	14.0	449.0	262.0	10	7.0	119.0	72.0	0	0	32.30548715591431	1520	809.3965756893158	968	36.31578947368421	
-2912636.765878805	58.7875	9.649122807017545	188.57894736842104	114.33333333333333	-124.96448668989939	19	492	112	17.0	437.0	268.0	10	7.0	98.0	60.0	0	0	31.03547739982605	1600	840.4320530891418	1021	36.18749999999999	
-3050162.5707277837	60.4375	9.79245283018868	189.58490566037736	115.05660377358491	-124.96448668989939	20	519	130	15.0	464.0	284.0	16	7.0	119.0	72.0	0	0	26.36235499382019	1680	866.794408082962	1067	36.48809523809524	
-2575103.3397245198	58.8125	9.884615384615385	187.94230769230768	114.0	-118.35304709609318	21	547	93	14.0	383.0	237.0	16	8.0	122.0	75.0	0	0	24.631080627441406	1760	891.4254887104034	1113	36.76136363636363	
-2925133.2825007583	56.7625	9.641509433962264	186.24528301886792	112.69811320754717	-117.55557478780457	22	574	139	12.0	314.0	190.0	6	8.0	122.0	74.0	0	0	31.114325284957886	1840	922.5398139953613	1160	36.95652173913043	
-1950107.2189999223	52.3375	10.08	212.12	128.02	-117.55557478780457	23	604	93	16.0	347.0	201.0	4	8.0	131.0	79.0	0	0	32.20513033866882	1920	954.7449443340302	1205	37.239583333333336	
-2500185.3145555733	51.1125	10.23076923076923	210.21153846153845	127.36538461538461	-117.55557478780457	24	632	103	16.0	338.0	205.0	1	8.0	137.0	84.0	0	0	32.70085000991821	2000	987.4457943439484	1253	37.35000000000001	
-2500158.885870704	56.1125	9.836363636363636	205.72727272727272	124.72727272727273	-113.40199331024938	25	657	134	15.0	428.0	263.0	1	8.0	119.0	73.0	0	0	34.469075202941895	2080	1021.9148695468903	1303	37.35576923076923	
-2825111.031677486	56.15	9.947368421052632	203.21052631578948	123.26315789473684	-113.40199331024938	26	680	127	13.0	428.0	263.0	7	8.0	119.0	73.0	0	0	33.452855348587036	2160	1055.3677248954773	1355	37.268518518518526	
-2462643.178507982	54.6875	9.722222222222221	190.22222222222223	115.92592592592592	-113.40199331024938	27	706	127	16.0	368.0	229.0	12	8.0	119.0	72.0	0	0	32.42469668388367	2240	1087.792421579361	1404	37.32142857142857	
-2300184.4526711553	56.1	9.413793103448276	186.86206896551724	113.74137931034483	-112.2122078067521	28	728	113	15.0	497.0	311.0	12	8.0	119.0	72.0	0	0	38.416985750198364	2320	1126.2094073295593	1458	37.1551724137931	
-2662656.156589963	55.95	9.4	185.2	112.36666666666666	-112.2122078067521	29	748	121	13.0	257.0	154.0	12	8.0	125.0	76.0	0	0	39.313069343566895	2400	1165.5224766731262	1513	36.958333333333336	
-2200147.5549146757	52.9875	9.421052631578947	179.52631578947367	109.49122807017544	-108.77954498033456	30	771	103	13.0	317.0	195.0	22	8.0	128.0	78.0	0	0	35.76200842857361	2480	1201.2844851016998	1566	36.854838709677416	
-2050129.212984496	51.3625	9.321428571428571	179.05357142857142	109.10714285714286	-107.07470989736329	31	795	103	14.0	323.0	196.0	1	8.0	122.0	74.0	0	0	33.90338659286499	2560	1235.1878716945648	1617	36.83593750000001	
-2950188.024476491	55.9875	9.375	186.96875	113.203125	-107.07470989736329	32	811	114	12.0	416.0	248.0	6	8.0	119.0	73.0	0	0	43.11007022857666	2640	1278.2979419231415	1674	36.59090909090909	
-2600126.1143795587	52.6375	9.339622641509434	183.64150943396226	111.98113207547169	-105.8038473136691	33	838	106	12.0	326.0	199.0	12	8.0	128.0	78.0	0	0	32.665143728256226	2720	1310.9630856513977	1721	36.727941176470594	
