ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-3037542.9827075447	100.0	11.4	264.1142857142857	159.94285714285715	-116.37934051654668	0	45	100	17.0	449.0	271.0	100	8.0	119.0	72.0	0	0	26.97065758705139	80	26.97065758705139	35	56.25	
-1862558.1683330361	100.0	12.71875	345.78125	210.4375	-116.37934051654668	1	90	174	19.0	701.0	438.0	26	9.0	131.0	80.0	0	0	18.219635248184204	160	45.190292835235596	66	58.75	
-2162543.5744855837	104.1375	12.23076923076923	325.0	196.56410256410257	-116.37934051654668	2	131	215	19.0	776.0	477.0	26	8.0	137.0	83.0	0	0	28.883791208267212	240	74.07408404350281	101	57.916666666666664	
-2050079.6268063455	101.525	12.319148936170214	358.6170212765957	216.59574468085106	-116.37934051654668	3	164	215	19.0	665.0	399.0	30	8.0	128.0	77.0	0	0	42.72785663604736	320	116.80194067955017	144	55.0	
-2012717.5029801063	108.9875	12.415094339622641	341.9622641509434	207.0566037735849	-116.36269720014593	4	191	193	18.0	686.0	414.0	30	8.0	128.0	77.0	0	0	45.901304483413696	400	162.70324516296387	193	51.75	
-2037621.3166422932	103.2625	11.411764705882353	295.70588235294116	179.41176470588235	-116.36269720014593	5	220	194	18.0	578.0	356.0	14	8.0	116.0	70.0	0	0	40.26267981529236	480	202.96592497825623	240	50.0	
-1875094.1176176346	106.8375	11.545454545454545	284.54545454545456	172.79545454545453	-116.36269720014593	6	256	213	17.0	467.0	289.0	17	8.0	116.0	70.0	0	0	33.26534700393677	560	236.231271982193	280	50.0	
-1275120.6048570338	113.8125	11.53191489361702	296.0	179.87234042553192	-116.36269720014593	7	289	192	17.0	734.0	447.0	55	8.0	122.0	74.0	0	0	35.71995520591736	640	271.95122718811035	323	49.53125000000001	
-2562657.497486452	116.5625	11.576271186440678	305.50847457627117	185.66101694915255	-116.36269720014593	8	310	202	19.0	1172.0	727.0	2	8.0	122.0	74.0	0	0	47.595770597457886	720	319.54699778556824	378	47.5	
-2400103.7920523556	123.8875	11.578947368421053	287.10526315789474	175.08771929824562	-113.97577730411855	9	333	247	18.0	707.0	438.0	15	8.0	122.0	74.0	0	0	44.854543924331665	800	364.4015417098999	430	46.25	
-2275201.5881078807	131.65	10.222222222222221	222.42857142857142	134.65079365079364	-113.97577730411855	10	350	275	20.0	611.0	363.0	17	8.0	122.0	74.0	0	0	41.0870680809021	880	405.488609790802	489	44.43181818181819	
-2225131.9356589313	139.9875	10.983870967741936	259.9516129032258	157.70967741935485	-113.21464157604014	11	368	311	18.0	752.0	455.0	33	8.0	119.0	72.0	0	0	35.8955774307251	960	441.3841872215271	547	43.02083333333333	
-2125126.66074079	136.35	11.806451612903226	289.1774193548387	175.5	-113.21464157604014	12	386	311	17.0	647.0	373.0	48	8.0	119.0	72.0	0	0	41.20892405509949	1040	482.5931112766266	605	41.82692307692307	
-1900139.729020392	144.275	10.966666666666667	260.15	157.71666666666667	-109.25650568513495	13	406	258	18.0	698.0	429.0	29	8.0	119.0	72.0	0	0	34.77113103866577	1120	517.3642423152924	661	40.982142857142854	
-2550145.8772669905	167.8875	10.835820895522389	259.5970149253731	157.34328358208955	-101.69634422134169	14	419	325	20.0	953.0	583.0	67	8.0	122.0	74.0	0	0	40.373385190963745	1200	557.7376275062561	723	39.75	
-1987629.0371166773	175.075	10.542857142857143	239.34285714285716	145.3	-101.69634422134169	15	429	287	18.0	683.0	408.0	80	8.0	122.0	74.0	0	0	37.71579074859619	1280	595.4534182548523	788	38.4375	
-2062704.7080745876	178.025	9.791666666666666	199.45833333333334	121.31944444444444	-99.34191717593735	16	437	267	21.0	857.0	535.0	30	8.0	122.0	74.0	0	0	37.81705355644226	1360	633.2704718112946	856	37.05882352941177	
-2262834.029332004	186.25	9.986666666666666	218.32	132.65333333333334	-99.34191717593735	17	442	367	19.0	1067.0	655.0	17	8.0	122.0	74.0	0	0	34.939913749694824	1440	668.2103855609894	927	35.625	
-1975185.0495050992	178.6625	10.293333333333333	237.12	144.2	-87.36169651801819	18	447	296	18.0	908.0	552.0	88	8.0	122.0	74.0	0	0	35.63288378715515	1520	703.8432693481445	998	34.34210526315789	
-1725164.3294560579	157.9125	9.684931506849315	190.87671232876713	115.47945205479452	-87.36169651801819	19	454	251	19.0	872.0	542.0	41	8.0	122.0	74.0	0	0	40.29986000061035	1600	744.1431293487549	1066	33.375	
-2137676.968237405	139.3625	10.36986301369863	221.6986301369863	134.5205479452055	-87.36169651801819	20	461	239	21.0	857.0	522.0	47	8.0	119.0	72.0	0	0	50.59748697280884	1680	794.7406163215637	1135	32.44047619047619	
-2275168.437331027	125.2875	9.818181818181818	187.1818181818182	113.18181818181819	-82.88849693390256	21	475	208	18.0	515.0	314.0	79	8.0	113.0	70.0	0	0	46.27059578895569	1760	841.0112121105194	1196	32.04545454545455	
-2225253.620073257	113.6	10.263157894736842	205.01315789473685	124.32894736842105	-82.88849693390256	22	479	197	19.0	668.0	409.0	59	8.0	122.0	74.0	0	0	46.170493841171265	1840	887.1817059516907	1268	31.086956521739125	
-3162655.9220285527	109.075	10.0	189.41176470588235	114.57352941176471	-82.88849693390256	23	491	223	19.0	662.0	409.0	62	8.0	122.0	74.0	0	0	48.4168336391449	1920	935.5985395908356	1332	30.625	
-2087655.16844047	103.7125	9.898550724637682	195.3913043478261	118.3623188405797	-82.88849693390256	24	502	192	17.0	641.0	383.0	69	8.0	122.0	74.0	0	0	40.45244216918945	2000	976.050981760025	1397	30.150000000000006	
-2687659.935193611	100.0	10.442857142857143	201.11428571428573	122.01428571428572	-82.55292772110958	25	512	149	16.0	608.0	377.0	51	8.0	113.0	69.0	0	0	45.546502113342285	2080	1021.5974838733673	1463	29.663461538461533	
-2425134.220673057	98.1	10.158730158730158	203.42857142857142	122.98412698412699	-79.87749098868244	26	529	175	15.0	560.0	336.0	25	8.0	119.0	72.0	0	0	42.214540004730225	2160	1063.8120238780975	1522	29.537037037037038	
-2787677.7581609995	100.15	10.090909090909092	206.0	124.01515151515152	-77.45131931573057	27	543	214	15.0	497.0	306.0	30	9.0	134.0	81.0	0	0	51.56449913978577	2240	1115.3765230178833	1584	29.285714285714278	
-2775290.6853565844	99.975	9.925373134328359	190.19402985074626	114.8955223880597	-77.1628427621925	28	556	141	15.0	491.0	293.0	59	8.0	122.0	74.0	0	0	43.226237297058105	2320	1158.6027603149414	1647	29.008620689655174	
-2400146.0062990463	99.8875	9.698412698412698	186.23809523809524	112.85714285714286	-73.8201981530469	29	573	144	14.0	695.0	432.0	56	8.0	131.0	79.0	0	0	42.28528666496277	2400	1200.8880469799042	1705	28.95833333333333	
-2275159.6038774764	101.075	9.88888888888889	189.04761904761904	114.57142857142857	-73.8201981530469	30	590	165	17.0	476.0	296.0	59	8.0	122.0	74.0	0	0	38.87040853500366	2480	1239.7584555149078	1763	28.91129032258064	
-3250164.2223305795	99.6875	10.231884057971014	193.8695652173913	117.33333333333333	-73.8201981530469	31	601	178	19.0	608.0	371.0	22	9.0	131.0	80.0	0	0	43.92213797569275	2560	1283.6805934906006	1827	28.6328125	
-2187661.1744888676	103.3375	10.8	222.5	135.57142857142858	-73.8201981530469	32	611	188	17.0	581.0	363.0	29	8.0	134.0	81.0	0	0	47.421791076660156	2640	1331.1023845672607	1893	28.295454545454547	
