ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-4170079.5666196626	100.0	11.979591836734693	303.0408163265306	183.55102040816325	-302.52609949378905	0	51	100	18.0	953.0	589.0	100	9.0	128.0	79.0	0	0	3.2491636276245117	100	3.2491636276245117	49	51.0	
-3400127.960420737	100.0	12.6875	321.625	195.375	-253.69208374798046	1	100	148	20.0	875.0	529.0	52	9.0	125.0	76.0	0	0	4.44923210144043	200	7.698395729064941	96	52.0	
-2800166.5893381173	100.85	11.795454545454545	284.27272727272725	171.3181818181818	-246.26886280896983	2	156	147	17.0	671.0	417.0	53	8.0	122.0	74.0	0	0	4.420012712478638	300	12.118408441543579	136	54.66666666666667	
-4320214.918374484	98.86	11.984375	282.265625	170.578125	-198.06005289143238	3	192	195	20.0	518.0	319.0	5	8.0	107.0	65.0	0	0	6.205254554748535	400	18.323662996292114	196	51.0	
-3660146.473726465	100.02	11.849315068493151	276.3150684931507	167.57534246575344	-160.33604371164265	4	219	197	18.0	809.0	497.0	6	8.0	116.0	71.0	0	0	6.5078558921813965	500	24.83151888847351	265	47.0	
-3940266.124788574	95.56	11.075	254.8625	153.7125	-160.33604371164265	5	239	173	17.0	575.0	353.0	6	7.0	98.0	60.0	0	0	8.28053092956543	600	33.11204981803894	341	43.166666666666664	
-3580251.362279983	96.12	10.7625	239.6375	144.025	-137.03030688642232	6	259	183	19.0	1007.0	618.0	6	7.0	110.0	67.0	0	0	7.917561054229736	700	41.02961087226868	417	40.42857142857142	
-4770272.386899443	95.09	10.278481012658228	223.77215189873417	135.0759493670886	-137.03030688642232	7	280	190	21.0	914.0	568.0	10	7.0	110.0	67.0	0	0	7.67046046257019	800	48.70007133483887	492	38.5	
-4000295.382987891	103.68	9.987951807228916	210.66265060240963	127.2289156626506	-137.03030688642232	8	297	190	20.0	704.0	439.0	15	7.0	104.0	64.0	0	0	6.882086277008057	900	55.582157611846924	570	36.66666666666667	
-4060325.999015884	103.13	9.885057471264368	196.10344827586206	118.17241379310344	-136.68017666434343	9	310	199	19.0	560.0	338.0	38	7.0	110.0	67.0	0	0	7.437632322311401	1000	63.019789934158325	653	34.7	
