ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-2696225.6013974166	100.0	11.666666666666666	285.27272727272725	173.27272727272728	tensor(-1000000.)	0	47	100	15.0	614.0	381.0	100	8.0	122.0	74.0	0	0	19.121383666992188	80	19.121383666992188	33	58.75	
-1825034.2339697485	100.0	12.117647058823529	305.0882352941176	185.14705882352942	-133.18045160112857	1	89	151	17.0	557.0	341.0	49	9.0	149.0	91.0	0	0	16.765817642211914	160	35.8872013092041	66	58.75	
-2037566.3698067986	99.075	12.294117647058824	305.79411764705884	184.97058823529412	-121.61959063312784	2	134	159	18.0	578.0	356.0	41	9.0	143.0	87.0	0	0	31.14959216117859	240	67.03679347038269	97	59.583333333333336	
-1887594.5218777012	99.175	11.682926829268293	306.5365853658537	183.3658536585366	-121.61959063312784	3	173	177	18.0	599.0	365.0	23	10.0	173.0	106.0	0	0	29.500173330307007	320	96.5369668006897	134	58.125	
-2300135.4336679108	98.725	11.49090909090909	312.96363636363634	186.0	-121.61790193403448	4	198	179	17.0	896.0	548.0	21	9.0	146.0	89.0	0	0	61.061591386795044	400	157.59855818748474	185	53.75	
-1825082.2316976488	95.6375	11.074074074074074	304.0	181.53703703703704	-111.39340131640238	5	224	173	15.0	671.0	405.0	17	9.0	167.0	104.0	0	0	43.19285607337952	480	200.79141426086426	234	51.25	
-1612592.5450114233	99.5625	10.96551724137931	282.91379310344826	167.58620689655172	-88.78637295912957	6	246	180	17.0	665.0	401.0	16	10.0	182.0	107.0	0	0	53.377498388290405	560	254.16891264915466	288	48.57142857142858	
-1975079.431985295	100.9375	10.543859649122806	268.63157894736844	158.24561403508773	-88.67291969220194	7	269	189	15.0	449.0	278.0	33	10.0	188.0	111.0	0	0	67.37371873855591	640	321.54263138771057	341	46.71875	
-1225112.337080333	105.35	10.709677419354838	291.5483870967742	172.1290322580645	-88.67291969220194	8	287	183	15.0	647.0	393.0	17	10.0	188.0	116.0	0	0	67.10618281364441	720	388.648814201355	399	44.58333333333333	
-2162669.209523094	110.1875	10.676923076923076	276.75384615384615	163.33846153846153	-88.59901416357852	9	302	216	16.0	713.0	432.0	43	9.0	137.0	83.0	0	0	65.9970395565033	800	454.6458537578583	460	42.50000000000001	
-1975102.5181666524	109.7125	10.903225806451612	300.4032258064516	178.48387096774192	-88.51510089344305	10	320	193	16.0	611.0	378.0	14	10.0	182.0	107.0	0	0	55.2736759185791	880	509.9195296764374	518	41.13636363636364	
-2375121.3186038556	107.5875	10.93939393939394	278.59090909090907	165.22727272727272	-86.1698588543329	11	334	186	20.0	695.0	429.0	70	10.0	182.0	107.0	0	0	58.61361122131348	960	568.5331408977509	580	39.583333333333336	
-1900157.4876514904	105.475	10.819672131147541	270.72131147540983	160.14754098360655	-86.1698588543329	12	353	196	15.0	470.0	289.0	59	9.0	158.0	96.0	0	0	53.75286531448364	1040	622.2860062122345	637	38.74999999999999	
-2212631.4184240624	99.9875	10.835820895522389	281.4925373134328	166.88059701492537	-86.1698588543329	13	366	153	15.0	617.0	376.0	47	9.0	185.0	112.0	0	0	49.59324550628662	1120	671.8792517185211	700	37.5	
-1575095.7507736906	99.6875	10.704918032786885	272.78688524590166	161.59016393442624	-86.1698588543329	14	385	177	14.0	491.0	298.0	23	8.0	182.0	108.0	0	0	41.97486662864685	1200	713.854118347168	757	36.916666666666664	
