ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-1786674.317896813	100.0	12.444444444444445	400.6666666666667	244.38888888888889	tensor(-1000000.)	0	62	100	17.0	699.0	431.0	100	11.0	213.0	129.0	0	0	14.939588069915771	80	14.939588069915771	18	77.5	
-1825013.0141221534	100.0	12.695652173913043	414.1304347826087	253.47826086956522	-279.29261077674437	1	116	161	19.0	900.0	555.0	39	9.0	192.0	118.0	0	0	16.911741495132446	160	31.851329565048218	40	75.0	
-1350032.3338690246	102.7375	12.526315789473685	428.6842105263158	261.3157894736842	-279.29261077674437	2	175	167	18.0	906.0	562.0	33	9.0	204.0	124.0	0	0	11.954420328140259	240	43.80574989318848	57	76.25	
-1687580.329922635	103.35	11.833333333333334	391.1	238.33333333333334	-279.29261077674437	3	225	163	15.0	519.0	322.0	69	9.0	255.0	156.0	0	0	29.472455739974976	320	73.27820563316345	83	74.0625	
-1675056.7709203511	101.1625	12.0	398.90625	242.65625	-211.93274446573471	4	273	156	16.0	753.0	462.0	61	9.0	207.0	126.0	0	0	34.62741947174072	400	107.90562510490417	111	72.25	
-1875114.577268546	98.45	12.054054054054054	412.94594594594594	251.24324324324326	-206.58034138155716	5	316	180	15.0	567.0	345.0	12	9.0	207.0	126.0	0	0	55.343371629714966	480	163.24899673461914	144	70.0	
-2087601.3709632636	96.9	11.931818181818182	394.5681818181818	239.5909090909091	-206.58034138155716	6	352	151	17.0	681.0	392.0	12	9.0	240.0	147.0	0	0	69.9086401462555	560	233.15763688087463	184	67.14285714285714	
-1825160.97512943	99.0375	11.947368421052632	385.57894736842104	234.60526315789474	-193.69766191800244	7	394	193	17.0	1185.0	731.0	7	9.0	243.0	149.0	0	0	34.425907135009766	640	267.5835440158844	218	65.9375	
-1600108.0029662899	100.875	12.09375	382.59375	232.40625	-193.69766191800244	8	442	190	16.0	678.0	412.0	10	9.0	228.0	139.0	0	0	24.902257442474365	720	292.48580145835876	246	65.83333333333334	
-2075059.939544466	96.1375	12.0	353.6666666666667	213.94444444444446	-193.69766191800244	9	486	185	17.0	615.0	376.0	10	9.0	213.0	129.0	0	0	25.362467765808105	800	317.84826922416687	278	65.25	
-1987552.7847558055	95.6375	11.277777777777779	357.3333333333333	215.83333333333334	-191.68985304848277	10	530	185	15.0	636.0	388.0	10	9.0	252.0	151.0	0	0	31.77720046043396	880	349.62546968460083	310	64.77272727272728	
-2462586.1700562155	100.25	11.289473684210526	356.92105263157896	215.47368421052633	-191.68985304848277	11	572	195	16.0	882.0	531.0	39	9.0	240.0	145.0	0	0	37.73802971839905	960	387.3634994029999	344	64.16666666666666	
-2050110.9080307758	99.3	10.942857142857143	341.3142857142857	205.88571428571427	-191.68985304848277	12	617	185	16.0	900.0	535.0	16	9.0	258.0	156.0	0	0	29.999992609024048	1040	417.3634920120239	375	63.94230769230769	
-2600091.331587459	99.8375	11.097560975609756	315.4390243902439	190.8780487804878	-191.68985304848277	13	656	161	17.0	798.0	494.0	54	9.0	216.0	131.0	0	0	42.49204659461975	1120	459.8555386066437	412	63.21428571428571	
-2100121.078008187	98.8125	11.447368421052632	344.05263157894734	207.81578947368422	-191.68985304848277	14	698	146	17.0	705.0	431.0	44	9.0	258.0	156.0	0	0	35.90692901611328	1200	495.76246762275696	446	62.833333333333336	
-2312625.871930844	95.8625	11.25	329.475	199.425	-191.68985304848277	15	738	157	17.0	855.0	526.0	43	9.0	183.0	113.0	0	0	31.15646004676819	1280	526.9189276695251	482	62.34375	
-2962655.55319512	95.2375	10.567567567567568	285.64864864864865	172.75675675675674	-191.68985304848277	16	781	165	14.0	483.0	288.0	29	8.0	174.0	105.0	0	0	33.42652726173401	1360	560.3454549312592	515	62.13235294117647	
-2400082.991339733	99.425	11.6	345.6	210.0	-191.68985304848277	17	826	145	19.0	936.0	578.0	38	9.0	258.0	156.0	0	0	26.42470145225525	1440	586.7701563835144	546	62.083333333333336	
-2537535.933277569	99.425	12.378378378378379	412.4594594594595	250.1891891891892	-191.68985304848277	18	869	180	20.0	822.0	505.0	20	9.0	225.0	136.0	0	0	38.180702447891235	1520	624.9508588314056	579	61.90789473684211	
-2175068.3633240364	101.1625	11.628571428571428	360.85714285714283	218.94285714285715	-191.68985304848277	19	914	193	19.0	705.0	434.0	22	9.0	198.0	121.0	0	0	42.144362449645996	1600	667.0952212810516	610	61.875	
-1800057.8609025727	101.5625	11.588235294117647	362.11764705882354	220.41176470588235	-191.68985304848277	20	960	207	16.0	642.0	396.0	24	9.0	168.0	103.0	0	0	21.542752265930176	1680	688.6379735469818	640	61.904761904761905	
-2037560.5908424654	98.55	11.522727272727273	347.65909090909093	211.47727272727272	-191.68985304848277	21	996	190	22.0	693.0	420.0	8	9.0	213.0	129.0	0	0	32.46612215042114	1760	721.104095697403	680	61.36363636363637	
-2225056.985419125	99.475	11.909090909090908	348.27272727272725	211.6969696969697	-191.68985304848277	22	1043	211	18.0	636.0	392.0	8	9.0	213.0	130.0	0	0	33.54743313789368	1840	754.6515288352966	709	61.46739130434782	
-2587601.151412028	103.5	10.883720930232558	311.51162790697674	188.90697674418604	-191.68985304848277	23	1080	211	16.0	621.0	378.0	17	8.0	162.0	98.0	0	0	38.819833755493164	1920	793.4713625907898	748	61.041666666666664	
-2562593.3031922556	103.575	10.902439024390244	333.219512195122	201.73170731707316	-191.68985304848277	24	1119	239	18.0	747.0	456.0	20	9.0	228.0	139.0	0	0	44.530590772628784	2000	838.0019533634186	785	60.75	
-2162593.536028266	105.4	11.5	340.05	206.275	-191.68985304848277	25	1159	177	18.0	624.0	375.0	19	9.0	204.0	123.0	0	0	36.08317971229553	2080	874.0851330757141	821	60.52884615384615	
-2512603.308898851	105.975	11.702702702702704	347.02702702702703	210.02702702702703	-191.68985304848277	26	1202	196	17.0	612.0	364.0	4	9.0	213.0	129.0	0	0	29.73005247116089	2160	903.815185546875	854	60.46296296296296	
-2487634.923212488	112.9125	11.390243902439025	339.6585365853659	205.3658536585366	-191.68985304848277	27	1241	245	16.0	588.0	359.0	53	9.0	195.0	119.0	0	0	29.65335750579834	2240	933.4685430526733	891	60.22321428571429	
-2500090.1001195586	111.525	11.613636363636363	354.27272727272725	214.8409090909091	-191.68985304848277	28	1277	261	18.0	819.0	511.0	52	9.0	246.0	148.0	0	0	42.77203845977783	2320	976.2405815124512	931	59.87068965517241	
-2212576.1841265345	110.3875	12.044444444444444	390.3333333333333	236.3111111111111	-191.68985304848277	29	1312	202	18.0	855.0	530.0	22	10.0	237.0	144.0	0	0	33.62248206138611	2400	1009.8630635738373	972	59.5	
-2262586.2191984192	106.3	11.0	347.1818181818182	209.70454545454547	-191.68985304848277	30	1348	222	16.0	705.0	429.0	22	9.0	228.0	139.0	0	0	32.739197731018066	2480	1042.6022613048553	1012	59.193548387096776	
-2537677.5137302633	102.825	11.18867924528302	329.9433962264151	200.26415094339623	-191.68985304848277	31	1375	172	21.0	762.0	464.0	26	9.0	213.0	129.0	0	0	48.24653625488281	2560	1090.8487975597382	1060	58.59375	
-2887657.605546307	101.2125	11.38	337.86	205.0	-191.68985304848277	32	1405	172	19.0	642.0	392.0	70	9.0	198.0	121.0	0	0	49.47310781478882	2640	1140.321905374527	1105	58.14393939393939	
-2337590.69542957	107.0625	11.297872340425531	341.8085106382979	207.04255319148936	-187.93353743258885	33	1438	276	18.0	669.0	407.0	14	9.0	213.0	129.0	0	0	39.021440744400024	2720	1179.343346118927	1148	57.794117647058826	
-2437622.2383722686	105.7	11.14	335.76	203.38	-187.93353743258885	34	1468	276	15.0	711.0	434.0	14	9.0	213.0	129.0	0	0	40.2117702960968	2800	1219.5551164150238	1194	57.357142857142854	
-2462698.003889314	100.5625	11.183673469387756	325.9591836734694	197.0612244897959	-187.93353743258885	35	1499	169	15.0	693.0	421.0	56	9.0	213.0	129.0	0	0	55.42573595046997	2880	1274.9808523654938	1239	56.979166666666664	
-2250164.598980175	98.55	11.551020408163266	329.0204081632653	199.22448979591837	-187.93353743258885	36	1530	179	16.0	681.0	421.0	21	9.0	198.0	121.0	0	0	42.68675923347473	2960	1317.6676115989685	1284	56.62162162162162	
-3137613.915665175	100.6625	11.483333333333333	328.15	199.11666666666667	-187.93353743258885	37	1550	187	18.0	879.0	540.0	13	8.0	198.0	121.0	0	0	50.283942461013794	3040	1367.9515540599823	1340	55.92105263157895	
-1925092.2784670144	99.5625	11.5625	343.625	207.97916666666666	-181.04685784317795	38	1582	148	20.0	687.0	413.0	52	9.0	192.0	117.0	0	0	40.27782869338989	3120	1408.2293827533722	1384	55.64102564102564	
-1875104.3438147227	99.175	11.842105263157896	342.3157894736842	207.78947368421052	-181.04685784317795	39	1624	183	18.0	639.0	393.0	17	8.0	216.0	131.0	0	0	38.254427671432495	3200	1446.4838104248047	1418	55.6875	
-2737639.930081337	101.675	11.785714285714286	329.92857142857144	199.78571428571428	-181.04685784317795	40	1662	190	18.0	768.0	460.0	10	8.0	162.0	98.0	0	0	39.737712144851685	3280	1486.2215225696564	1456	55.609756097560975	
-2312698.713063331	101.0625	11.76086956521739	330.32608695652175	200.2173913043478	-181.04685784317795	41	1696	183	17.0	675.0	413.0	10	9.0	180.0	110.0	0	0	43.80513000488281	3360	1530.0266525745392	1498	55.416666666666664	
-2612659.2047472773	106.85	11.23913043478261	328.89130434782606	198.8695652173913	-181.04685784317795	42	1730	293	17.0	585.0	356.0	15	8.0	198.0	121.0	0	0	44.78163504600525	3440	1574.8082876205444	1540	55.23255813953488	
-3350153.462912622	102.4125	10.828125	325.734375	196.65625	-181.04685784317795	43	1746	217	15.0	603.0	374.0	15	8.0	198.0	121.0	0	0	73.29272150993347	3520	1648.101009130478	1600	54.54545454545455	
