ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-6475247.711166434	100.0	10.987012987012987	176.9090909090909	112.23376623376623	-154.76032668562166	0	3	100	17.0	426.0	261.0	100	8.0	87.0	56.0	0	0	4.540117263793945	80	4.540117263793945	77	3.75	
-4462788.440024129	100.0	11.2	198.64	124.77333333333333	-138.92187841974166	1	7	169	18.0	426.0	261.0	31	7.0	82.0	53.0	0	0	4.44238805770874	160	8.982505321502686	149	6.875	
-2437741.549897368	95.6625	10.573529411764707	184.5735294117647	115.63235294117646	-136.36118091405552	2	19	182	18.0	470.0	289.0	18	8.0	87.0	56.0	0	0	3.586862802505493	240	12.569368124008179	212	11.666666666666671	
-3087758.521840998	91.825	9.973333333333333	176.92	110.69333333333333	-128.9043879591988	3	24	164	16.0	525.0	317.0	18	8.0	93.0	60.0	0	0	3.7863171100616455	320	16.355685234069824	280	12.5	
-2712794.3039353187	92.7625	9.897435897435898	163.0897435897436	101.97435897435898	-122.85096151706983	4	26	164	15.0	329.0	200.0	31	8.0	92.0	59.0	0	0	3.962387800216675	400	20.3180730342865	353	11.75	
-2775227.456910844	99.0625	10.166666666666666	168.2948717948718	105.52564102564102	-118.01183018040354	5	28	161	22.0	392.0	253.0	31	8.0	92.0	59.0	0	0	4.03723406791687	480	24.35530710220337	427	11.041666666666671	
-2787693.547421776	98.6	10.329113924050633	170.56962025316454	107.18987341772151	-118.01183018040354	6	29	154	20.0	492.0	319.0	46	8.0	79.0	51.0	0	0	3.9294559955596924	560	28.28476309776306	502	10.357142857142847	
-2850177.4054211928	99.85	10.341772151898734	169.77215189873417	106.51898734177215	-116.9709944422211	7	30	163	16.0	350.0	221.0	32	8.0	92.0	59.0	0	0	3.995939254760742	640	32.280702352523804	576	10.0	
-2837745.8689740757	100.2	9.96103896103896	155.12987012987014	97.41558441558442	-116.78977000315788	8	33	171	14.0	337.0	213.0	29	8.0	92.0	59.0	0	0	3.837246894836426	720	36.11794924736023	648	10.0	
-3012776.269072018	101.2875	9.55	141.3125	89.2	-115.12388021929304	9	33	204	14	317	194	67	8	87	56	0	0	3.7744557857513428	800	39.89240503311157	723	9.625	
-3050344.895972767	102.3125	9.6375	150.25	94.7	-115.12388021929304	10	33	167	16	403	249	33	8	92	59	0	0	3.781083106994629	880	43.6734881401062	798	9.318181818181813	
-2500246.1819352633	104.3125	9.38961038961039	144.64935064935065	91.02597402597402	-113.44767839167332	11	36	163	17.0	284.0	177.0	37	8.0	92.0	59.0	0	0	3.598412036895752	960	47.27190017700195	871	9.270833333333329	
-3087799.3651319654	103.375	9.743589743589743	154.51282051282053	97.2051282051282	-112.23899570258959	12	38	169	15.0	449.0	278.0	53	8.0	87.0	56.0	0	0	3.7340800762176514	1040	51.005980253219604	943	9.32692307692308	
-2775230.786816814	106.8	10.1875	166.6625	104.2875	-112.23899570258959	13	38	201	18	466	282	36	8	92	59	0	0	4.039347887039185	1120	55.04532814025879	1019	9.017857142857139	
-2812789.351251779	101.0875	10.139240506329115	165.0632911392405	103.24050632911393	-112.23899570258959	14	39	169	14.0	377.0	234.0	31	8.0	85.0	55.0	0	0	3.8866660594940186	1200	58.93199419975281	1093	8.916666666666657	
-3125206.181211084	104.725	10.025	165.5375	103.3375	-107.39171723784938	15	39	169	14	336	211	62	8	87	56	0	0	4.31980299949646	1280	63.25179719924927	1168	8.75	
-2450295.522773917	104.7625	10.0	153.87012987012986	96.64935064935065	-107.39171723784938	16	42	202	15.0	276.0	175.0	11	8.0	92.0	59.0	0	0	3.678623914718628	1360	66.9304211139679	1240	8.82352941176471	
-1812731.362524892	103.65	9.825	156.825	97.8125	-107.23124007838564	17	42	139	13	388	241	71	8	87	56	0	0	3.7489449977874756	1440	70.67936611175537	1315	8.680555555555557	
-3475231.838765978	114.2375	10.037974683544304	161.1772151898734	100.9367088607595	-107.23124007838564	18	43	177	14.0	267.0	167.0	30	8.0	87.0	56.0	0	0	3.8884150981903076	1520	74.56778120994568	1389	8.618421052631575	
-3350299.13422669	115.65	9.860759493670885	153.45569620253164	96.45569620253164	-105.57429744183469	19	44	205	14.0	310.0	195.0	32	8.0	87.0	56.0	0	0	3.8598687648773193	1600	78.427649974823	1463	8.5625	
-2487721.324960429	121.7	9.625	146.7875	91.9875	-103.91769272819805	20	44	147	18	369	228	75	8	92	59	0	0	3.9123752117156982	1680	82.3400251865387	1537	8.51190476190476	
-2350282.3332991013	127.7625	9.4125	138.45	87.125	-99.89905170957493	21	44	209	15	282	174	65	8	87	56	0	0	3.748051881790161	1760	86.08807706832886	1612	8.409090909090907	
-2887705.3703076113	130.1	9.9875	154.95	97.1	-99.399917247878	22	44	176	16	318	196	61	8	92	59	0	0	3.8233280181884766	1840	89.91140508651733	1687	8.315217391304358	
-3212758.858614812	136.1875	10.0	163.475	102.1375	-98.22414441859087	23	44	208	15	417	251	66	8	92	59	0	0	4.0566511154174805	1920	93.96805620193481	1762	8.229166666666671	
-2837807.640560242	140.0375	10.0375	166.6625	104.125	-98.22414441859087	24	44	186	15	468	281	94	8	92	59	0	0	4.011338949203491	2000	97.9793951511383	1837	8.150000000000006	
-3712820.295207894	142.8	9.7375	147.9875	93.075	-98.22414441859087	25	44	202	17	381	238	77	8	87	56	0	0	3.838937997817993	2080	101.8183331489563	1911	8.125	
