ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-3430032.529169886	100.0	12.403508771929825	294.57894736842104	178.9298245614035	-216.47187824072864	0	43	100	18.0	542.0	334.0	100	9.0	131.0	79.0	0	0	7.179105043411255	100	7.179105043411255	57	43.00000000000001	
-2620035.9404161554	100.0	12.24	322.34	195.3	-216.47187824072864	1	92	175	19.0	692.0	409.0	25	8.0	107.0	65.0	0	0	5.177774906158447	200	12.356879949569702	104	48.0	
-2050026.0524507626	95.87	12.743589743589743	330.0769230769231	199.69230769230768	-216.47187824072864	2	152	284	19.0	605.0	377.0	1	9.0	131.0	80.0	0	0	4.074346542358398	300	16.4312264919281	140	53.333333333333336	
-2350052.2125245146	93.68	11.673913043478262	280.1521739130435	168.56521739130434	-216.47187824072864	3	206	240	18.0	728.0	438.0	1	8.0	119.0	73.0	0	0	5.1049277782440186	400	21.53615427017212	182	54.5	
-2490084.096567527	94.37	11.75609756097561	321.1707317073171	194.17073170731706	-216.47187824072864	4	265	229	20.0	749.0	464.0	4	7.0	110.0	67.0	0	0	5.35380744934082	500	26.88996171951294	219	56.2	
-1660092.4345240188	79.3	12.25	350.40909090909093	212.8181818181818	-158.7222828183397	5	321	244	26.0	1463.0	900.0	4	9.0	131.0	80.0	0	0	4.839051961898804	600	31.729013681411743	259	56.833333333333336	
-2320051.619934864	74.43	11.395348837209303	290.2093023255814	175.34883720930233	-142.5428780518205	6	378	274	18.0	590.0	363.0	4	9.0	161.0	98.0	0	0	7.050185680389404	700	38.77919936180115	298	57.42857142857143	
-1650060.5686451523	73.17	11.571428571428571	297.92857142857144	179.33333333333334	-142.5428780518205	7	436	172	15.0	563.0	341.0	5	9.0	173.0	103.0	0	0	3.6284215450286865	800	42.407620906829834	336	58.0	
-2010068.6307843016	79.82	11.435897435897436	294.15384615384613	177.15384615384616	-142.5428780518205	8	497	206	16.0	752.0	457.0	8	8.0	140.0	84.0	0	0	3.275388240814209	900	45.68300914764404	371	58.77777777777778	
-2540034.502947412	84.39	11.24390243902439	289.2682926829268	174.34146341463415	-123.02771025920771	9	556	306	17.0	623.0	379.0	8	8.0	131.0	80.0	0	0	5.674661636352539	1000	51.35767078399658	408	59.2	
-2360012.013322831	72.6	12.172413793103448	305.41379310344826	184.89655172413794	-123.02771025920771	10	627	336	17.0	638.0	390.0	8	8.0	152.0	92.0	0	0	3.7571113109588623	1100	55.114782094955444	433	60.63636363636364	
-2260023.6325427797	66.05	12.03225806451613	279.35483870967744	168.51612903225808	-117.05843907724443	11	696	306	17.0	587.0	361.0	7	9.0	146.0	90.0	0	0	4.034199476242065	1200	59.14898157119751	460	61.666666666666664	
-1990037.0841387305	67.82	10.870967741935484	247.1290322580645	148.67741935483872	-117.05843907724443	12	765	184	14.0	413.0	240.0	5	8.0	152.0	91.0	0	0	3.7765963077545166	1300	62.925577878952026	487	62.53846153846154	
