ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-7037797.810479866	100.0	10.897435897435898	167.34615384615384	106.55128205128206	-254.926457551174	0	2	100	21.0	467.0	299.0	100	7.0	79.0	51.0	0	0	4.505386114120483	80	4.505386114120483	78	2.5	
-5600241.514237321	100.0	12.131578947368421	210.27631578947367	133.46052631578948	-254.926457551174	1	5	130	22.0	544.0	340.0	70	7.0	80.0	52.0	0	0	4.48818302154541	160	8.993569135665894	151	5.625	
-5000249.900469621	99.3	12.68421052631579	212.52631578947367	134.96052631578948	-224.20720145743817	2	9	155	20.0	418.0	267.0	45	7.0	74.0	48.0	0	0	4.344403028488159	240	13.337972164154053	222	7.5	
-4175236.0451025916	100.975	11.68918918918919	201.55405405405406	127.13513513513513	-135.08114899415412	3	15	181	19.0	423.0	269.0	19	8.0	85.0	55.0	0	0	4.3353259563446045	320	17.673298120498657	292	8.75	
-2750285.056521678	101.2875	10.818181818181818	182.12987012987014	114.42857142857143	-132.26685940772703	4	18	170	19.0	418.0	258.0	30	8.0	108.0	70.0	0	0	4.230280160903931	400	21.903578281402588	364	9.0	
-4237816.168978452	102.4625	11.10126582278481	199.53164556962025	124.9113924050633	-124.15253013001058	5	19	196	21.0	556.0	340.0	62	7.0	82.0	53.0	0	0	4.970146656036377	480	26.873724937438965	438	8.75	
-4450215.782122872	100.325	10.4625	174.8375	109.55	-124.15253013001058	6	19	154	15	440	266	20	8	105	68	0	0	4.542495965957642	560	31.416220903396606	513	8.392857142857153	
-3475201.642214036	100.375	10.544303797468354	176.8987341772152	110.73417721518987	-117.68789896773453	7	20	125	18.0	360.0	222.0	75	9.0	107.0	69.0	0	0	4.4608540534973145	640	35.87707495689392	588	8.125	
-2575298.356614904	102.0875	10.26923076923077	172.21794871794873	107.93589743589743	-115.67749924367297	8	22	179	17.0	377.0	231.0	36	9.0	117.0	74.0	0	0	4.13341212272644	720	40.01048707962036	662	8.055555555555557	
-3087823.4720032485	101.5375	10.430379746835444	180.55696202531647	113.0886075949367	-108.5855074551559	9	23	155	18.0	354.0	216.0	45	9.0	111.0	70.0	0	0	4.460568189620972	800	44.47105526924133	735	8.125	
-2637867.8173659546	103.15	10.076923076923077	162.33333333333334	102.01282051282051	-108.5855074551559	10	25	175	16.0	353.0	216.0	25	9.0	115.0	74.0	0	0	4.173593759536743	880	48.644649028778076	809	8.068181818181813	
-2875250.386514638	105.8125	9.7875	159.5875	100.35	-108.5855074551559	11	25	150	15	353	216	50	8	111	70	0	0	4.085460901260376	960	52.73010993003845	884	7.916666666666671	
-2862734.868513816	111.05	9.923076923076923	168.96153846153845	105.91025641025641	-108.5855074551559	12	27	166	14.0	361.0	221.0	52	9.0	101.0	65.0	0	0	4.162110328674316	1040	56.89222025871277	958	7.884615384615387	
-3537741.0054664807	112.3125	10.2125	167.8625	105.6125	-107.32334120883174	13	27	166	14	400	248	35	9	119	75	0	0	4.3228559494018555	1120	61.215076208114624	1034	7.678571428571416	
-3412762.391520073	110.2875	9.85897435897436	159.7051282051282	100.46153846153847	-106.77662501541754	14	29	182	14.0	318.0	196.0	43	9.0	100.0	65.0	0	0	4.013887882232666	1200	65.22896409034729	1107	7.75	
-3037813.695967018	110.975	9.9875	162.575	102.1875	-106.77662501541754	15	29	228	15	313	198	63	9	111	70	0	0	4.236482858657837	1280	69.46544694900513	1182	7.65625	
-2487766.010686528	109.5875	9.653846153846153	158.05128205128204	99.35897435897436	-106.77662501541754	16	31	216	15.0	288.0	181.0	50	9.0	90.0	58.0	0	0	4.141801357269287	1360	73.60724830627441	1256	7.647058823529406	
-3462795.822400029	115.5	10.246753246753247	169.72727272727272	106.76623376623377	-106.77662501541754	17	34	199	17.0	359.0	218.0	33	9.0	119.0	76.0	0	0	4.201546907424927	1440	77.80879521369934	1329	7.708333333333329	
-3350334.573388475	121.9	9.833333333333334	154.05128205128204	97.1025641025641	-106.32937306504255	18	36	166	14.0	281.0	172.0	67	9.0	111.0	70.0	0	0	4.102630853652954	1520	81.9114260673523	1403	7.69736842105263	
