ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-5225371.868925341	100.0	8.012820512820513	99.35897435897436	60.17948717948718	-133.42900235554416	0	2	100	14.0	241.0	143.0	100	6.0	57.0	35.0	0	0	4.903380870819092	80	4.903380870819092	78	2.5	
-2200463.1373178484	100.0	8.569620253164556	116.54430379746836	70.30379746835443	-114.16807611467868	1	3	159	15.0	265.0	157.0	41	6.0	57.0	35.0	0	0	4.516478061676025	160	9.419858932495117	149	6.875	
-1637745.5084265328	104.3	9.025641025641026	128.17948717948718	77.14102564102564	-105.7380756778422	2	5	195	14.0	265.0	157.0	24	6.0	57.0	35.0	0	0	4.7679219245910645	240	14.187780857086182	222	7.5	
-1087735.2918084264	108.9125	9.1875	132.4	79.55	-103.9289162259717	3	5	193	17	385	227	57	6	57	35	0	0	5.327881813049316	320	19.515662670135498	298	6.875	
-1975226.814877803	109.6	8.975	122.1	73.5	-103.9289162259717	4	5	153	12	225	134	72	6	57	35	0	0	4.980977296829224	400	24.49663996696472	374	6.5	
-1775209.4672951126	114.0375	8.975	122.3	73.5875	-99.70163106875299	5	5	154	16	289	171	71	6	57	35	0	0	4.857742786407471	480	29.354382753372192	448	6.666666666666671	
-2312696.6229282664	122.1625	8.6875	111.5	67.1875	-99.70163106875299	6	5	209	15	265	157	54	6	57	35	0	0	4.832322120666504	560	34.186704874038696	521	6.964285714285708	
-1462783.814903754	129.0125	8.1625	97.8	59.1875	-98.65048773478166	7	5	209	13	241	143	66	6	57	35	0	0	4.509692192077637	640	38.69639706611633	595	7.03125	
-1900267.843454095	123.7125	8.525	106.0	64.0125	-98.65048773478166	8	5	225	13	241	143	77	6	57	35	0	0	4.656641006469727	720	43.35303807258606	670	6.944444444444443	
-1800232.9655966382	134.0625	8.2125	100.1	60.55	-98.50313129443676	9	5	257	13	241	143	77	6	57	35	0	0	4.44598388671875	800	47.79902195930481	743	7.125	
-1775165.1875012114	136.6	7.95	92.4	56.0625	-97.83557734041587	10	5	180	10	169	101	62	6	57	35	0	0	4.296442985534668	880	52.09546494483948	817	7.1590909090909065	
-1500209.6106221345	146.9125	8.0125	93.6	56.775	-97.83557734041587	11	5	189	12	193	115	100	6	57	35	0	0	4.28755784034729	960	56.38302278518677	890	7.291666666666657	
-1450212.8522282476	151.4125	8.0	93.0	56.4375	-96.9870329854019	12	5	180	10	145	87	100	6	57	35	0	0	4.254539966583252	1040	60.63756275177002	964	7.307692307692307	
-737761.5900146574	151.9	8.1125	95.7	57.9625	-96.88267225014457	13	5	174	11	217	129	100	6	57	35	0	0	4.4239630699157715	1120	65.06152582168579	1037	7.410714285714278	
-1087815.871294637	152.7	7.975	91.8	55.7125	-96.88267225014457	14	5	189	10	145	87	117	6	57	35	0	0	4.17044997215271	1200	69.2319757938385	1109	7.583333333333329	
-1412770.448358874	152.9375	7.95	91.2	55.35	-96.88267225014457	15	5	194	11	217	129	107	6	57	35	0	0	4.190713167190552	1280	73.42268896102905	1181	7.734375	
-1387702.9367210767	153.0	7.925	90.0	54.6375	-96.03258989821163	16	5	187	12	201	120	119	6	57	35	0	0	4.101480007171631	1360	77.52416896820068	1251	8.014705882352942	
-1600275.2999892726	153.525	8.0	92.6	56.1875	-95.25026571826832	17	5	199	11	161	96	107	6	57	35	0	0	4.327390909194946	1440	81.85155987739563	1326	7.916666666666671	
-1437739.1214470738	153.0	8.175	98.5	59.6125	-95.25026571826832	18	5	183	11	265	157	123	6	57	35	0	0	4.386587858200073	1520	86.2381477355957	1398	8.026315789473685	
-775273.4167310962	153.0	8.1125	95.5	57.8375	-95.09021747975635	19	5	167	12	193	115	139	6	57	35	0	0	4.286273002624512	1600	90.52442073822021	1469	8.1875	
-1437791.6454376276	153.175	8.0125	94.1	57.0375	-95.09021747975635	20	5	191	11	241	143	115	6	57	35	0	0	4.402639150619507	1680	94.92705988883972	1543	8.154761904761912	
-1137776.0482348164	152.575	8.1625	96.7	58.5375	-95.09021747975635	21	5	177	11	161	96	124	6	57	35	0	0	4.209492921829224	1760	99.13655281066895	1612	8.409090909090907	
-1225258.7053521234	153.0	8.1	95.2	57.7	-92.39237972159447	22	5	195	10	193	115	111	6	57	35	0	0	4.310891151428223	1840	103.44744396209717	1685	8.423913043478265	
-987721.422956123	153.025	8.0375	92.4	56.0375	-92.39237972159447	23	5	169	10	145	87	139	6	57	35	0	0	4.426440954208374	1920	107.87388491630554	1760	8.333333333333343	
-1662688.2704568745	153.0	8.075	92.8	56.25	-92.3530445309292	24	5	191	11	161	96	115	6	57	35	0	0	4.337601900100708	2000	112.21148681640625	1833	8.350000000000009	
-1187743.446997357	153.0	7.925	89.0	54.05	-90.90584865855422	25	5	179	10	137	82	127	6	57	35	0	0	4.2222230434417725	2080	116.43370985984802	1905	8.413461538461547	
-1362726.5775935936	153.0	7.8625	88.2	53.575	-90.09641003085876	26	5	181	12	185	110	125	6	57	35	0	0	4.354528188705444	2160	120.78823804855347	1980	8.333333333333343	
-1387750.325329354	153.025	8.125	94.9	57.5125	-89.88255899950046	27	5	202	12	185	110	105	6	57	35	0	0	4.410857915878296	2240	125.19909596443176	2054	8.30357142857143	
-1450378.5434192035	152.875	8.275	98.7	59.7125	-89.88255899950046	28	5	176	12	273	162	130	6	57	35	0	0	4.508495807647705	2320	129.70759177207947	2127	8.31896551724138	
-1850185.8570899628	152.725	7.95	91.7	55.6	-89.80046141895838	29	5	194	11	169	101	112	6	57	35	0	0	4.3117570877075195	2400	134.019348859787	2199	8.375	
-1575295.750092384	152.9875	7.9625	90.9	55.1375	-89.15860023642774	30	5	170	13	241	143	136	6	57	35	0	0	4.486662864685059	2480	138.50601172447205	2274	8.306451612903217	
-1825297.661411515	153.0	7.8375	89.1	54.1	-89.15860023642774	31	5	191	10	193	115	115	6	57	35	0	0	4.389665126800537	2560	142.89567685127258	2349	8.2421875	
-1262898.765417397	153.0	8.1375	95.5	57.85	-89.15860023642774	32	5	182	11	161	96	124	6	57	35	0	0	4.399150133132935	2640	147.29482698440552	2422	8.25757575757575	
-1162742.3260770813	153.0	8.125	94.5	57.2625	-89.15860023642774	33	5	187	11	169	101	119	6	57	35	0	0	4.425538063049316	2720	151.72036504745483	2496	8.235294117647058	
-1162784.5987932119	153.0	8.0625	94.2	57.075	-89.15860023642774	34	5	197	12	265	157	109	6	57	35	0	0	4.48333477973938	2800	156.2036998271942	2570	8.214285714285722	
-1737818.0538865053	153.0	8.0875	93.8	56.8375	-89.15860023642774	35	5	196	14	233	138	110	6	57	35	0	0	4.562681198120117	2880	160.76638102531433	2646	8.125	
-1712742.7834924378	154.175	7.95	92.3	55.9375	-89.15860023642774	36	5	197	14	289	171	114	6	57	35	0	0	4.394160747528076	2960	165.1605417728424	2718	8.175675675675677	
-1500299.2428593312	151.4375	8.1875	99.2	60.0125	-89.14845693026845	37	5	199	15	409	241	68	6	57	35	0	0	4.582465171813965	3040	169.74300694465637	2791	8.19078947368422	
-1812786.579564865	152.0875	8.125	96.8	58.6125	-89.14845693026845	38	5	233	11	241	143	42	6	57	35	0	0	4.497999906539917	3120	174.2410068511963	2865	8.173076923076934	
-1462744.8819190376	152.65	7.8875	90.6	55.0	-89.14845693026845	39	5	178	10	193	115	128	6	57	35	0	0	4.243084907531738	3200	178.48409175872803	2938	8.1875	
-2150302.2315050517	153.0	8.05	93.3	56.5625	-89.14845693026845	40	5	202	12	217	129	104	6	57	35	0	0	4.567322254180908	3280	183.05141401290894	3011	8.201219512195124	
-1387827.5988320895	153.0	8.0	94.0	56.975	-89.13087296758496	41	5	188	12	265	157	118	6	57	35	0	0	4.389834880828857	3360	187.4412488937378	3082	8.273809523809533	
-1750301.8875539016	152.85	8.15	95.5	57.8625	-89.13087296758496	42	5	186	11	177	106	120	6	57	35	0	0	4.439629793167114	3440	191.8808786869049	3156	8.25581395348837	
-1400295.761909216	152.55	8.1375	99.2	60.0	-89.13087296758496	43	5	191	11	265	157	115	6	57	35	0	0	4.7050323486328125	3520	196.58591103553772	3231	8.21022727272728	
-1887772.3809711423	152.5	8.0625	97.9	59.2375	-89.13087296758496	44	5	230	12	265	157	50	6	57	35	0	0	4.713274717330933	3600	201.29918575286865	3306	8.166666666666671	
-1962765.1780563898	152.625	7.8375	88.8	53.9125	-89.13087296758496	45	5	177	12	185	110	129	6	57	35	0	0	4.244338274002075	3680	205.54352402687073	3378	8.206521739130437	
-1862750.45401625	153.375	7.9	90.9	55.15	-89.13087296758496	46	5	194	11	169	101	112	6	57	35	0	0	4.3288960456848145	3760	209.87242007255554	3451	8.218085106382972	
-1725241.9543113722	154.675	7.9875	93.0	56.4125	-89.13087296758496	47	5	190	11	169	101	100	6	57	35	0	0	4.292510986328125	3840	214.16493105888367	3524	8.229166666666671	
-1200226.4676231884	155.5625	7.875	89.5	54.35	-89.13087296758496	48	5	190	10	169	101	130	6	57	35	0	0	4.269140958786011	3920	218.43407201766968	3597	8.23979591836735	
