ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-4512898.753513117	100.0	8.18421052631579	105.63157894736842	63.85526315789474	-101.49972645825406	0	4	100	13.0	273.0	162.0	100	6.0	57.0	35.0	0	0	7.2086570262908936	80	7.2086570262908936	76	5.0	
-2225418.7444410822	100.0	8.944444444444445	127.66666666666667	76.84722222222223	-101.49972645825406	1	12	159	13.0	273.0	162.0	41	6.0	57.0	35.0	0	0	4.915953874588013	160	12.124610900878906	142	11.25	
-2012790.5329719067	99.8	8.473684210526315	117.94736842105263	71.1842105263158	-101.49972645825406	2	16	148	12.0	225.0	134.0	41	6.0	57.0	35.0	0	0	4.1529929637908936	240	16.2776038646698	212	11.666666666666671	
-2000251.214830781	97.7625	8.341772151898734	123.63291139240506	74.60759493670886	-98.48329106497921	3	17	177	11.0	201.0	120.0	23	7.0	65.0	40.0	0	0	4.102450132369995	320	20.380053997039795	284	11.25	
-1512779.868964202	99.4875	8.582278481012658	131.32911392405063	79.11392405063292	-97.95878102438746	4	18	157	13.0	321.0	190.0	43	7.0	65.0	40.0	0	0	4.306434869766235	400	24.68648886680603	357	10.75	
-1762744.32863895	100.25	8.6625	141.0	84.8	-97.07329724251835	5	18	178	13	321	190	22	7	65	40	0	0	4.61406683921814	480	29.30055570602417	433	9.791666666666671	
-1487851.6547512985	102.6	8.875	144.7	86.925	-97.07329724251835	6	18	222	13	321	190	52	7	65	40	0	0	4.813398122787476	560	34.113953828811646	508	9.285714285714292	
-937853.5801652779	101.525	8.708860759493671	136.18987341772151	81.9746835443038	-97.06897553181422	7	19	165	13.0	321.0	190.0	32	7.0	65.0	40.0	0	0	4.350888252258301	640	38.464842081069946	582	9.0625	
-1200258.5903731044	98.9625	8.76923076923077	140.28205128205127	84.3076923076923	-97.06118040420048	8	21	188	13.0	321.0	190.0	12	7.0	65.0	40.0	0	0	4.727401971817017	720	43.19224405288696	655	9.027777777777786	
-1612741.2431318888	99.9625	8.5875	129.2	77.8	-96.99217786724232	9	21	143	13	321	190	57	7	65	40	0	0	4.5757529735565186	800	47.76799702644348	731	8.625	
-937766.246513525	100.8875	8.4625	117.7	71.075	-96.32912911632957	10	21	150	11	201	120	57	7	73	45	0	0	4.660357713699341	880	52.42835474014282	805	8.522727272727266	
-1362684.9587506186	100.0	8.162162162162161	106.72972972972973	64.67567567567568	-96.32912911632957	11	27	145	10.0	201.0	120.0	55	7.0	65.0	40.0	0	0	3.9555232524871826	960	56.383877992630005	874	8.958333333333329	
-950175.028144899	100.0	8.051948051948052	101.25974025974025	61.467532467532465	-95.28600948630192	12	30	120	11.0	193.0	115.0	80	7.0	65.0	40.0	0	0	3.6492648124694824	1040	60.03314280509949	945	9.134615384615387	
-1275154.9626005976	100.0	8.051948051948052	102.40259740259741	62.12987012987013	-92.39101496232598	13	33	114	9.0	153.0	92.0	86	7.0	65.0	40.0	0	0	3.737786054611206	1120	63.77092885971069	1016	9.285714285714292	
-1350229.8806490093	100.0	8.220779220779221	105.83116883116882	64.12987012987013	-92.39101496232598	14	36	138	11.0	201.0	120.0	62	7.0	65.0	40.0	0	0	3.8268039226531982	1200	67.59773278236389	1083	9.75	
-1275250.4165097666	98.3	8.2987012987013	108.01298701298701	65.40259740259741	-91.80907157952412	15	39	126	13.0	265.0	157.0	62	7.0	73.0	45.0	0	0	4.36536717414856	1280	71.96309995651245	1153	9.921875	
-1400210.2486352776	100.325	8.126582278481013	103.78481012658227	62.936708860759495	-91.80907157952412	16	40	142	12.0	297.0	176.0	69	7.0	73.0	45.0	0	0	4.3396830558776855	1360	76.30278301239014	1227	9.779411764705884	
-875268.676729075	99.975	8.102564102564102	103.05128205128206	62.51282051282051	-91.52004154579579	17	42	139	10.0	177.0	106.0	61	6.0	57.0	35.0	0	0	4.033305883407593	1440	80.33608889579773	1297	9.930555555555557	
-1450261.5822404705	99.925	8.2125	106.4	64.475	-91.52004154579579	18	42	113	11	193	115	87	7	81	50	0	0	4.228487014770508	1520	84.56457591056824	1369	9.934210526315795	
-1275240.9778764243	100.0	8.125	105.0	63.65	-91.49096460722969	19	42	156	11	217	129	44	7	65	40	0	0	4.097614049911499	1600	88.66218996047974	1443	9.8125	
-1325246.1912155696	101.2375	8.103896103896103	104.79220779220779	63.51948051948052	-91.13845403491368	20	45	138	11.0	273.0	162.0	79	7.0	65.0	40.0	0	0	3.988701105117798	1680	92.65089106559753	1514	9.88095238095238	
-1325394.5166385162	101.05	8.139240506329115	105.50632911392405	63.962025316455694	-90.75222039320522	21	46	140	11.0	177.0	106.0	60	7.0	65.0	40.0	0	0	3.8631229400634766	1760	96.51401400566101	1585	9.943181818181827	
-1500211.615830642	100.8375	8.113924050632912	100.84810126582279	61.24050632911393	-90.42698880921873	22	47	172	12.0	193.0	115.0	61	7.0	65.0	40.0	0	0	3.833892822265625	1840	100.34790682792664	1658	9.891304347826093	
-1737744.1201330237	100.0	8.115384615384615	103.15384615384616	62.55128205128205	-90.42698880921873	23	49	136	10.0	217.0	129.0	64	7.0	65.0	40.0	0	0	3.9229280948638916	1920	104.27083492279053	1730	9.895833333333343	
-1050236.2433035232	100.0	8.08974358974359	102.84615384615384	62.3974358974359	-90.42698880921873	24	51	128	10.0	177.0	106.0	72	6.0	57.0	35.0	0	0	3.948106050491333	2000	108.21894097328186	1802	9.899999999999991	
-1525237.5295179482	100.0	8.2	107.13333333333334	64.88	-90.42698880921873	25	56	162	11.0	225.0	134.0	38	7.0	65.0	40.0	0	0	3.836469888687134	2080	112.055410861969	1870	10.09615384615384	
-1800245.9786887523	100.0	8.103896103896103	101.88311688311688	61.79220779220779	-89.34577355151204	26	59	134	10.0	201.0	120.0	66	7.0	65.0	40.0	0	0	3.9441540241241455	2160	115.99956488609314	1942	10.092592592592595	
-1700232.4835141078	100.775	8.076923076923077	100.6923076923077	61.06410256410256	-89.33156341394091	27	61	128	11.0	225.0	134.0	72	7.0	65.0	40.0	0	0	4.032264232635498	2240	120.03182911872864	2015	10.044642857142861	
-1062765.0020853803	100.275	8.2375	104.3	63.2125	-89.33156341394091	28	61	134	15	321	190	76	7	65	40	0	0	4.057439804077148	2320	124.08926892280579	2089	9.956896551724142	
-1187755.931534885	100.1375	8.243243243243244	102.94594594594595	62.4054054054054	-89.12019584545024	29	67	121	16.0	345.0	204.0	79	7.0	65.0	40.0	0	0	3.683919906616211	2400	127.773188829422	2154	10.25	
-1625340.0668293065	100.0	8.151898734177216	106.31645569620254	64.41772151898734	-89.12019584545024	30	68	131	12.0	225.0	134.0	69	7.0	65.0	40.0	0	0	4.165832996368408	2480	131.9390218257904	2228	10.16129032258064	
-1662742.8439477456	99.825	8.285714285714286	114.24675324675324	69.07792207792208	-89.12019584545024	31	71	142	12.0	249.0	148.0	45	7.0	65.0	40.0	0	0	4.219923257827759	2560	136.15894508361816	2300	10.15625	
-1462761.5441233132	100.45	8.189873417721518	108.64556962025317	65.81012658227849	-89.12019584545024	32	72	148	11.0	273.0	162.0	52	7.0	65.0	40.0	0	0	4.191994905471802	2640	140.35093998908997	2374	10.075757575757578	
-1837757.915601903	99.8625	8.04054054054054	100.78378378378379	61.189189189189186	-88.85801749669331	33	78	123	12.0	265.0	157.0	77	7.0	65.0	40.0	0	0	3.5024540424346924	2720	143.85339403152466	2439	10.330882352941174	
-1275362.9164411908	98.35	8.289473684210526	111.21052631578948	67.3157894736842	-88.85801749669331	34	82	133	14.0	265.0	157.0	44	7.0	65.0	40.0	0	0	3.9228479862213135	2800	147.77624201774597	2509	10.392857142857153	
-1212785.5962659717	99.9125	8.16	106.81333333333333	64.72	-88.85801749669331	35	87	139	11.0	193.0	115.0	61	7.0	65.0	40.0	0	0	3.898890972137451	2880	151.67513298988342	2579	10.451388888888886	
-1200359.1171370395	100.075	8.2375	109.8	66.4625	-88.85801749669331	36	87	139	11	193	115	61	7	65	40	0	0	4.300364017486572	2960	155.97549700737	2655	10.304054054054063	
-1100295.4973855973	99.25	8.126582278481013	107.32911392405063	65.0379746835443	-88.85801749669331	37	88	131	11.0	225.0	134.0	69	7.0	65.0	40.0	0	0	4.036473751068115	3040	160.0119707584381	2729	10.23026315789474	
-1675246.5443935264	100.0	8.171052631578947	109.0	65.98684210526316	-88.85801749669331	38	92	131	11.0	177.0	106.0	69	7.0	65.0	40.0	0	0	3.8996741771698	3120	163.9116449356079	2797	10.352564102564102	
-1537852.9186235387	99.8	8.217948717948717	111.97435897435898	67.74358974358974	-88.85801749669331	39	94	132	11.0	201.0	120.0	68	7.0	65.0	40.0	0	0	4.134699106216431	3200	168.04634404182434	2868	10.375	
-1675375.0641084514	99.775	8.225	107.7	65.2125	-88.85801749669331	40	94	125	10	201	120	77	7	65	40	0	0	4.102444887161255	3280	172.1487889289856	2941	10.335365853658544	
-1612806.3158525308	99.9	8.207792207792208	109.15584415584415	66.0909090909091	-88.85801749669331	41	97	169	11.0	249.0	148.0	27	7.0	65.0	40.0	0	0	4.14397406578064	3360	176.29276299476624	3013	10.327380952380949	
-1350332.6536383	101.85	8.179487179487179	104.28205128205128	63.256410256410255	-88.70568088712432	42	99	129	11.0	177.0	106.0	75	7.0	65.0	40.0	0	0	3.8512768745422363	3440	180.14403986930847	3085	10.319767441860463	
-1050266.5824448806	103.6	8.077922077922079	102.50649350649351	62.20779220779221	-88.70568088712432	43	102	133	11.0	177.0	106.0	78	7.0	65.0	40.0	0	0	3.5692691802978516	3520	183.71330904960632	3152	10.454545454545453	
-1475189.8666292862	102.925	8.278481012658228	108.44303797468355	65.69620253164557	-88.70568088712432	44	103	143	11.0	249.0	148.0	74	7.0	65.0	40.0	0	0	4.086465835571289	3600	187.7997748851776	3226	10.388888888888886	
-1325294.6365465992	101.4375	8.175	107.0	64.825	-88.6044143383064	45	103	140	14	265	157	60	7	65	40	0	0	3.9230220317840576	3680	191.72279691696167	3297	10.407608695652172	
-1537783.1156868746	101.125	8.189873417721518	110.46835443037975	66.88607594936708	-88.57348290880415	46	104	138	11.0	201.0	120.0	71	7.0	65.0	40.0	0	0	4.0576159954071045	3760	195.78041291236877	3369	10.398936170212764	
-1412832.9869111748	99.7625	8.037974683544304	104.59493670886076	63.44303797468354	-88.57348290880415	47	105	133	10.0	177.0	106.0	48	6.0	57.0	35.0	0	0	3.695481777191162	3840	199.47589468955994	3437	10.494791666666671	
-1187847.9954735688	99.8625	8.012658227848101	101.15189873417721	61.392405063291136	-88.57348290880415	48	106	140	10.0	193.0	115.0	60	7.0	65.0	40.0	0	0	4.350731134414673	3920	203.8266258239746	3511	10.433673469387756	
-1587744.5917668506	100.45	8.053333333333333	100.84	61.18666666666667	-88.57348290880415	49	111	134	10.0	177.0	106.0	66	6.0	57.0	35.0	0	0	3.7682430744171143	4000	207.59486889839172	3578	10.549999999999997	
-1025215.8311886161	102.275	8.164556962025317	103.68354430379746	62.860759493670884	-88.36605189332292	50	112	143	13.0	217.0	129.0	73	7.0	65.0	40.0	0	0	4.225877046585083	4080	211.8207459449768	3651	10.514705882352942	
-2137708.5401462708	101.3875	8.012820512820513	101.1025641025641	61.35897435897436	-88.36605189332292	51	114	156	10.0	177.0	106.0	70	7.0	65.0	40.0	0	0	4.259148836135864	4160	216.07989478111267	3725	10.456730769230774	
-1362696.3729339004	99.875	8.189873417721518	109.25316455696202	66.16455696202532	-88.36605189332292	52	115	157	11.0	201.0	120.0	42	6.0	57.0	35.0	0	0	4.302782297134399	4240	220.38267707824707	3797	10.448113207547166	
-1062714.2889218524	100.0	8.075949367088608	102.0632911392405	61.924050632911396	-88.36605189332292	53	116	134	10.0	177.0	106.0	66	7.0	65.0	40.0	0	0	4.035063743591309	4320	224.41774082183838	3870	10.416666666666657	
-1737787.3398349448	100.7125	8.0875	108.9	65.9625	-88.36605189332292	54	116	145	10	177	106	55	7	65	40	0	0	4.369326114654541	4400	228.78706693649292	3944	10.36363636363636	
-1475230.8794352517	100.325	8.106666666666667	106.49333333333334	64.54666666666667	-88.36605189332292	55	121	144	11.0	201.0	120.0	56	7.0	65.0	40.0	0	0	3.7357749938964844	4480	232.5228419303894	4012	10.44642857142857	
-1512717.2396889424	101.35	8.194805194805195	106.55844155844156	64.55844155844156	-88.36605189332292	56	124	144	14.0	273.0	162.0	62	7.0	65.0	40.0	0	0	3.8367857933044434	4560	236.35962772369385	4080	10.526315789473685	
-1012749.9670823577	100.975	8.31081081081081	108.13513513513513	65.48648648648648	-88.34810333034436	57	130	135	16.0	289.0	171.0	79	6.0	57.0	35.0	0	0	3.7016103267669678	4640	240.06123805046082	4145	10.668103448275872	
-1800386.338475249	101.0125	8.282051282051283	110.64102564102564	66.94871794871794	-88.34810333034436	58	132	142	14.0	265.0	157.0	58	7.0	65.0	40.0	0	0	4.19059681892395	4720	244.25183486938477	4217	10.656779661016941	
-1125257.03002594	101.35	8.177215189873417	105.70886075949367	64.0632911392405	-88.29568581613569	59	133	160	12.0	193.0	115.0	72	7.0	65.0	40.0	0	0	4.105107069015503	4800	248.35694193840027	4288	10.666666666666671	
-1787880.6043780404	99.4125	8.139240506329115	106.0126582278481	64.25316455696202	-88.29072376257722	60	134	151	13.0	249.0	148.0	49	7.0	65.0	40.0	0	0	4.026988983154297	4880	252.38393092155457	4362	10.614754098360663	
-837752.11437181	102.6875	8.064102564102564	104.48717948717949	63.38461538461539	-88.29072376257722	61	136	131	11.0	201.0	120.0	80	7.0	65.0	40.0	0	0	3.866875171661377	4960	256.25080609321594	4434	10.604838709677423	
-1162709.5901992384	100.0	8.026315789473685	103.21052631578948	62.61842105263158	-88.29072376257722	62	140	138	10.0	177.0	106.0	62	7.0	65.0	40.0	0	0	4.0625388622283936	5040	260.31334495544434	4505	10.615079365079367	
-712742.1631630559	100.5125	8.164556962025317	111.37974683544304	67.40506329113924	-88.24445106344506	63	141	149	10.0	225.0	134.0	51	7.0	65.0	40.0	0	0	4.360202074050903	5120	264.67354702949524	4579	10.56640625	
