ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-6612700.239818448	100.0	11.443037974683545	195.81012658227849	123.79746835443038	-260.81897420211567	0	1	100	18.0	498.0	303.0	100	7.0	87.0	56.0	0	0	28.40842032432556	80	28.40842032432556	79	1.25	
-5587720.368533844	100.0	11.605263157894736	221.43421052631578	138.78947368421052	-195.49637574127524	1	5	142	19.0	498.0	303.0	58	9.0	106.0	68.0	0	0	28.63764452934265	160	57.04606485366821	151	5.625	
-3737811.7156104697	98.85	10.974025974025974	202.5194805194805	126.97402597402598	-189.90818135484574	2	8	174	18.0	512.0	319.0	26	8.0	95.0	61.0	0	0	28.885127067565918	240	85.93119192123413	224	6.666666666666671	
-3837757.375211439	101.425	11.213333333333333	198.66666666666666	124.61333333333333	-172.47769725272497	3	13	172	22.0	474.0	287.0	36	8.0	88.0	57.0	0	0	29.68259882926941	320	115.61379075050354	295	7.8125	
-3512784.3494937033	98.85	11.197368421052632	188.68421052631578	118.35526315789474	-161.96519860410797	4	17	170	23.0	439.0	283.0	30	8.0	79.0	51.0	0	0	29.348873138427734	400	144.96266388893127	367	8.25	
-3475315.3960389867	101.5125	10.708860759493671	174.81012658227849	109.67088607594937	-148.91849868482583	5	18	183	17.0	334.0	215.0	17	8.0	87.0	56.0	0	0	29.49203896522522	480	174.4547028541565	442	7.916666666666671	
-2387748.7985057295	100.925	10.576923076923077	173.8846153846154	108.51282051282051	-141.3450287334781	6	20	190	20.0	370.0	229.0	17	8.0	84.0	54.0	0	0	26.974590063095093	560	201.4292929172516	516	7.857142857142861	
-2975257.3911764636	102.8125	10.45	163.8	102.725	-135.70723872367776	7	20	190	15	246	155	46	7	82	53	0	0	29.24760890007019	640	230.67690181732178	591	7.65625	
-2750236.2892108634	99.55	11.14102564102564	178.30769230769232	111.38461538461539	-135.70723872367776	8	22	180	19.0	278.0	174.0	20	8.0	92.0	59.0	0	0	30.45693039894104	720	261.1338322162628	665	7.638888888888886	
-3162737.266442135	101.225	10.538461538461538	171.48717948717947	106.87179487179488	-133.57193686829464	9	24	166	15.0	312.0	201.0	34	8.0	87.0	56.0	0	0	31.26931929588318	800	292.403151512146	738	7.75	
-2550227.5048623635	99.125	10.45	167.4	104.6625	-124.3608715395298	10	24	149	16	363	227	51	8	92	59	0	0	28.482686758041382	880	320.8858382701874	812	7.727272727272734	
-3037672.68201285	101.0875	10.551282051282051	169.2051282051282	105.61538461538461	-124.3608715395298	11	26	171	15.0	322.0	200.0	29	8.0	87.0	56.0	0	0	28.914252758026123	960	349.8000910282135	885	7.8125	
-2250212.287102806	103.025	10.743589743589743	172.83333333333334	107.25641025641026	-124.3608715395298	12	28	172	16.0	268.0	162.0	28	7.0	74.0	48.0	0	0	29.02221989631653	1040	378.82231092453003	958	7.884615384615387	
-3162751.969896859	100.5375	10.025316455696203	156.62025316455697	97.9620253164557	-118.76007818628642	13	29	159	14.0	376.0	231.0	41	8.0	84.0	54.0	0	0	27.736971855163574	1120	406.5592827796936	1033	7.767857142857139	
-3662801.262636488	99.175	10.215189873417721	160.9493670886076	100.9493670886076	-118.76007818628642	14	30	153	17.0	401.0	258.0	47	8.0	83.0	54.0	0	0	27.660345554351807	1200	434.2196283340454	1107	7.75	
-3075225.7563573224	99.0625	10.4875	166.9	104.7125	-118.76007818628642	15	30	147	19	415	269	47	8	84	54	0	0	28.974632263183594	1280	463.194260597229	1181	7.734375	
-2750330.6844273717	99.6625	9.192307692307692	134.62820512820514	84.61538461538461	-118.2285945894271	16	32	160	13.0	306.0	187.0	40	8.0	79.0	51.0	0	0	26.326524019241333	1360	489.52078461647034	1253	7.867647058823536	
-3562772.111007972	100.0	9.481012658227849	137.32911392405063	86.89873417721519	-118.2285945894271	17	33	135	15.0	255.0	155.0	65	8.0	84.0	54.0	0	0	25.48220467567444	1440	515.0029892921448	1326	7.916666666666671	
-2500336.144524331	99.125	8.8625	127.675	80.675	-118.2285945894271	18	33	147	15	224	139	26	8	84	54	0	0	22.87280249595642	1520	537.8757917881012	1400	7.89473684210526	
-3212747.3507858273	99.575	9.240506329113924	129.08860759493672	81.64556962025317	-118.2285945894271	19	34	183	13.0	226.0	141.0	17	8.0	79.0	51.0	0	0	23.71134090423584	1600	561.587132692337	1471	8.0625	
