ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-800015.7799811469	100.0	11.076923076923077	176.02564102564102	111.64102564102564	-26.222456625179895	0	2	100	16.0	450.0	274.0	100	7.0	79.0	51.0	0	0	6.721384286880493	80	6.721384286880493	78	2.5	
-612522.8188800194	100.0	11.076923076923077	187.60256410256412	118.46153846153847	-23.750994106735767	1	4	180	15.0	592.0	368.0	20	8.0	84.0	54.0	0	0	6.141519069671631	160	12.862903356552124	152	5.0	
-550031.525690512	100.0	11.475	203.1375	127.7625	-23.750994106735767	2	4	109	16	426	260	91	8	90	58	0	0	7.174237489700317	240	20.03714084625244	228	5.0	
-437525.64830996783	100.0	11.69620253164557	199.63291139240508	125.86075949367088	-19.04422658605238	3	5	166	15.0	392.0	247.0	34	8.0	84.0	54.0	0	0	6.6668901443481445	320	26.704030990600586	302	5.625	
-575018.8023198321	101.3375	11.519480519480519	187.41558441558442	118.53246753246754	-17.490981192062037	4	8	178	17.0	390.0	236.0	22	8.0	84.0	54.0	0	0	6.700889825820923	400	33.40492081642151	375	6.25	
-462531.87088778615	100.575	11.192307692307692	184.26923076923077	117.28205128205128	-16.764900910941503	5	10	188	20.0	478.0	309.0	12	9.0	85.0	55.0	0	0	6.48256254196167	480	39.88748335838318	448	6.666666666666671	
-462520.8795631187	104.025	10.316455696202532	164.77215189873417	104.84810126582279	-16.764900910941503	6	11	188	14.0	316.0	194.0	64	8.0	82.0	53.0	0	0	7.90992283821106	560	47.79740619659424	522	6.785714285714278	
-375021.0500232358	103.325	10.063291139240507	165.16455696202533	105.0126582278481	-15.476828892701798	7	12	191	16.0	356.0	221.0	23	8.0	88.0	57.0	0	0	7.252416133880615	640	55.04982233047485	597	6.71875	
-387524.0761623167	100.75	9.860759493670885	150.43037974683546	95.77215189873418	-15.476828892701798	8	13	154	14.0	316.0	194.0	46	8.0	88.0	57.0	0	0	7.357297897338867	720	62.40712022781372	672	6.666666666666671	
-362525.612585788	100.275	9.417721518987342	141.84810126582278	90.48101265822785	-15.476828892701798	9	14	154	13.0	288.0	175.0	46	7.0	74.0	48.0	0	0	6.741162300109863	800	69.14828252792358	747	6.625	
-487518.8586783859	102.0	9.675	146.275	93.05	-14.89585262466733	10	14	158	17	302	185	48	7	74	48	0	0	7.027470350265503	880	76.17575287818909	823	6.477272727272734	
-487519.9102937148	101.3375	9.65	144.3	92.0625	-14.729658104378434	11	14	164	15	359	220	36	7	74	48	0	0	6.999121427536011	960	83.1748743057251	898	6.458333333333329	
-462525.59702273645	100.6875	9.974358974358974	152.26923076923077	97.05128205128206	-13.833740260839072	12	16	156	16.0	368.0	229.0	44	7.0	74.0	48.0	0	0	6.811418771743774	1040	89.98629307746887	972	6.538461538461533	
-400025.6500092944	101.9125	9.8375	153.8625	97.9375	-13.833740260839072	13	16	202	16	313	201	40	7	74	48	0	0	7.067820072174072	1120	97.05411314964294	1047	6.517857142857139	
-387527.22842226556	100.875	9.461538461538462	144.07692307692307	91.7948717948718	-13.833740260839072	14	18	217	15.0	298.0	182.0	16	7.0	74.0	48.0	0	0	7.121642589569092	1200	104.17575573921204	1120	6.666666666666671	
-500018.48979130166	100.35	9.5625	136.9375	87.5125	-13.833740260839072	15	18	130	14	292	180	69	7	74	48	0	0	7.141474485397339	1280	111.31723022460938	1193	6.796875	
-500015.7736800887	101.1	9.65	136.9125	87.4375	-13.833740260839072	16	18	149	15	300	187	51	7	74	48	0	0	6.828760147094727	1360	118.1459903717041	1266	6.911764705882348	
-412529.8287852602	102.7	9.6375	138.325	88.3	-13.833740260839072	17	18	149	14	265	165	66	8	88	57	0	0	6.979640483856201	1440	125.1256308555603	1340	6.944444444444443	
-375021.8831077646	105.225	9.556962025316455	136.0126582278481	87.0	-13.833740260839072	18	19	154	14.0	297.0	188.0	64	8.0	87.0	56.0	0	0	6.834094524383545	1520	131.95972537994385	1414	6.973684210526315	
-450026.68203751405	102.4125	9.575	132.15	84.8125	-13.833740260839072	19	19	150	14	297	188	59	7	74	48	0	0	6.952011585235596	1600	138.91173696517944	1487	7.0625	
-475017.7445709462	101.9625	9.625	135.5875	86.7375	-13.833740260839072	20	19	135	14	303	192	42	7	74	48	0	0	6.899752378463745	1680	145.8114893436432	1562	7.023809523809518	
-325026.9165084668	103.375	9.475	136.325	87.075	-13.282146919347447	21	19	172	13	284	173	46	8	92	59	0	0	7.671396732330322	1760	153.4828860759735	1638	6.931818181818187	
-475021.8448454682	105.225	9.860759493670885	148.68354430379748	94.67088607594937	-13.282146919347447	22	20	154	15.0	292.0	185.0	64	7.0	74.0	48.0	0	0	8.337430715560913	1840	161.82031679153442	1713	6.90217391304347	
-450015.2208145938	108.0375	9.775	146.45	93.15	-13.278619581954215	23	20	133	15	303	185	73	7	74	48	0	0	8.541823387145996	1920	170.36214017868042	1787	6.927083333333329	
-462528.73514871486	107.725	9.9875	140.8125	90.1625	-13.278619581954215	24	20	153	17	273	176	73	7	74	48	0	0	7.0571324825286865	2000	177.4192726612091	1861	6.950000000000003	
-587514.0263278048	105.05	9.9125	143.4375	91.5	-13.271921408961525	25	20	155	16	262	165	52	7	74	48	0	0	7.5086469650268555	2080	184.92791962623596	1936	6.92307692307692	
-450017.38128874	105.1625	10.14102564102564	143.6153846153846	91.75641025641026	-13.135328308537218	26	22	173	15.0	268.0	170.0	45	7.0	74.0	48.0	0	0	7.013574838638306	2160	191.94149446487427	2010	6.944444444444443	
-500018.4099197343	107.2375	9.525	130.7125	83.75	-13.135328308537218	27	22	151	17	333	210	71	8	83	54	0	0	7.037468910217285	2240	198.97896337509155	2081	7.098214285714292	
-475016.6773909543	107.825	9.7125	129.25	83.075	-13.135328308537218	28	22	146	17	269	172	72	7	74	48	0	0	7.01405930519104	2320	205.9930226802826	2156	7.068965517241381	
-500026.6241648331	108.2125	9.8	133.8125	85.675	-13.135328308537218	29	22	152	13	274	169	66	7	74	48	0	0	7.301572561264038	2400	213.29459524154663	2230	7.083333333333329	
-462527.0110440405	110.4125	9.8625	145.8125	92.8875	-13.135328308537218	30	22	167	19	351	213	51	8	94	61	0	0	8.045918226242065	2480	221.3405134677887	2306	7.016129032258064	
-450015.33372577204	109.925	9.8	136.5	87.4375	-13.134930550559394	31	22	167	20	275	178	81	8	95	62	0	0	7.119992256164551	2560	228.46050572395325	2381	6.9921875	
-500023.080473032	109.0	9.79746835443038	141.68354430379748	90.43037974683544	-13.134930550559394	32	23	173	15.0	249.0	157.0	45	7.0	74.0	48.0	0	0	7.635651588439941	2640	236.0961573123932	2456	6.969696969696969	
-512520.2177124529	108.625	9.73076923076923	141.71794871794873	90.23076923076923	-13.134930550559394	33	25	177	16.0	295.0	183.0	41	8.0	103.0	67.0	0	0	7.420089483261108	2720	243.5162467956543	2528	7.058823529411768	
-462514.1646032176	114.3	9.551282051282051	135.35897435897436	86.48717948717949	-12.969359302159972	34	27	217	15.0	252.0	155.0	32	7.0	74.0	48.0	0	0	8.2948637008667	2800	251.811110496521	2602	7.071428571428569	
-412524.08393509575	115.6875	9.625	136.7	87.3125	-12.969359302159972	35	27	186	14	287	183	66	7	74	48	0	0	8.003207683563232	2880	259.81431818008423	2678	7.013888888888886	
