ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-762522.3911356761	100.0	11.0875	182.4875	115.4375	-19.170641022592207	0	0	100	16	472	295	100	8	91	59	0	0	1.339473009109497	80	1.339473009109497	80	0.0	
-500030.96777845966	100.0	11.106666666666667	205.30666666666667	128.57333333333332	-17.367498697143652	1	5	163	18.0	410.0	252.0	37	8.0	104.0	67.0	0	0	1.184342861175537	160	2.523815870285034	151	5.625	
-387522.01663825585	100.0	10.974025974025974	199.74025974025975	125.44155844155844	-13.222298742545387	2	8	174	18.0	327.0	208.0	26	8.0	82.0	53.0	0	0	1.2062909603118896	240	3.730106830596924	223	7.083333333333329	
-325019.8452494237	100.25	10.6	193.5	120.95	-13.222298742545387	3	8	159	18	335	212	41	8	96	62	0	0	1.2794220447540283	320	5.009528875350952	299	6.5625	
-262521.8278315867	97.5375	10.220779220779221	185.1818181818182	115.53246753246754	-13.222298742545387	4	11	190	14.0	294.0	182.0	10	9.0	91.0	59.0	0	0	1.2278759479522705	400	6.237404823303223	372	7.0	
-275019.7547634335	101.8125	10.215189873417721	183.48101265822785	114.54430379746836	-13.122916876824958	5	12	190	15.0	315.0	200.0	39	8.0	92.0	59.0	0	0	1.2529780864715576	480	7.49038290977478	447	6.875	
-387517.35771543405	98.9625	10.075949367088608	185.1772151898734	115.31645569620254	-13.056758031588613	6	13	190	14.0	323.0	199.0	35	8.0	94.0	61.0	0	0	1.2307000160217285	560	8.721082925796509	522	6.785714285714278	
-312519.7636707246	94.95	10.063291139240507	183.50632911392404	114.58227848101266	-11.6430456279284	7	14	150	14.0	396.0	248.0	40	8.0	84.0	54.0	0	0	1.252197027206421	640	9.97327995300293	596	6.875	
-350017.0860187366	105.1125	10.051282051282051	178.17948717948718	111.15384615384616	-11.217627724598756	8	16	213	14.0	314.0	194.0	37	8.0	87.0	56.0	0	0	1.1990621089935303	720	11.17234206199646	670	6.944444444444443	
-387517.7997355476	98.3	9.776315789473685	161.1578947368421	100.89473684210526	-10.963679569964562	9	20	224	13.0	276.0	167.0	17	8.0	94.0	61.0	0	0	1.1232738494873047	800	12.295615911483765	742	7.25	
-350020.82921080815	94.4375	9.6875	157.6625	99.075	-10.963679569964562	10	20	150	14	335	206	24	8	93	60	0	0	1.0882370471954346	880	13.3838529586792	817	7.1590909090909065	
-312521.1737578337	99.625	9.725	152.0	95.7875	-10.275220083743013	11	20	202	15	357	217	23	8	90	58	0	0	1.0786778926849365	960	14.462530851364136	892	7.083333333333329	
-312520.51126807474	100.3125	9.807692307692308	164.30769230769232	103.06410256410257	-10.275220083743013	12	22	198	18.0	348.0	224.0	36	8.0	86.0	56.0	0	0	1.106222152709961	1040	15.568753004074097	966	7.115384615384613	
-312515.3501786207	95.2125	9.7625	158.15	99.55	-10.07582900255677	13	22	150	13	307	186	33	8	82	53	0	0	1.0838298797607422	1120	16.65258288383484	1041	7.053571428571431	
-400018.11261716567	98.65	9.784810126582279	154.9367088607595	97.45569620253164	-10.07582900255677	14	23	196	14.0	338.0	204.0	68	8.0	82.0	53.0	0	0	1.091191053390503	1200	17.743773937225342	1115	7.083333333333329	
