ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-3138079.765878434	100.0	7.9625	99.8	60.4	-90.97047477164031	0	0	100	14	233	138	100	6	57	35	0	0	3.78503680229187	80	3.78503680229187	80	0.0	
-612937.8109353941	100.0	8.265822784810126	106.92405063291139	64.58227848101266	-80.56643419271833	1	1	178	13.0	321.0	190.0	22	6.0	57.0	35.0	0	0	3.50362229347229	160	7.28865909576416	151	5.625	
-1200304.4553938147	90.8875	7.5625	91.0	55.1625	-76.00065498543263	2	1	158	14	297	176	22	6	57	35	0	0	3.1222639083862305	240	10.41092300415039	216	10.0	
-925299.6148132777	61.1125	6.797297297297297	71.91891891891892	43.83783783783784	-75.46114797610588	3	7	138	12.0	193.0	115.0	20	6.0	57.0	35.0	0	0	2.6132609844207764	320	13.024183988571167	271	15.3125	
-1137824.474502742	38.775	6.144736842105263	58.89473684210526	36.14473684210526	-75.0879707480757	4	11	100	8.0	89.0	54.0	15	6.0	57.0	35.0	0	0	2.257925033569336	400	15.282109022140503	323	19.25	
-975293.2920834003	31.95	6.178082191780822	59.63013698630137	36.58904109589041	-73.30602341681201	5	18	101	9.0	113.0	68.0	12	6.0	57.0	35.0	0	0	2.3537957668304443	480	17.635904788970947	376	21.66666666666667	
-587738.5836243706	24.1	6.2272727272727275	60.75757575757576	37.24242424242424	-71.77635701407274	6	32	99	10.0	145.0	87.0	2	6.0	57.0	35.0	0	0	2.2175121307373047	560	19.853416919708252	426	23.92857142857143	
-1025346.5246821394	22.075	6.054054054054054	57.86486486486486	35.527027027027025	-71.61619910404856	7	38	33	8.0	89.0	54.0	11	6.0	57.0	35.0	0	0	2.0870120525360107	640	21.940428972244263	474	25.9375	
-850241.2018996965	22.0	6.071428571428571	57.68571428571428	35.42857142857143	-66.98875818828608	8	48	41	7.0	73.0	45.0	3	6.0	57.0	35.0	0	0	1.8830609321594238	720	23.823489904403687	516	28.33333333333333	
-350090.1817832821	22.0	6.128571428571429	58.94285714285714	36.17142857142857	-66.98875818828608	9	58	41	8.0	97.0	59.0	3	6.0	57.0	35.0	0	0	1.7343721389770508	800	25.557862043380737	552	31.0	
-412713.8094348846	22.0	6.22972972972973	60.78378378378378	37.270270270270274	-62.65682042077634	10	64	41	9.0	113.0	68.0	3	6.0	57.0	35.0	0	0	2.664644956588745	880	28.222506999969482	604	31.36363636363636	
-825143.442975581	22.0	6.138888888888889	59.22222222222222	36.333333333333336	-62.65682042077634	11	72	35	10.0	137.0	82.0	9	6.0	57.0	35.0	0	0	2.3037149906158447	960	30.526221990585327	648	32.5	
-1100170.1826644666	22.0	6.138888888888889	59.111111111111114	36.27777777777778	-62.429554669931306	12	80	41	9.0	113.0	68.0	3	6.0	57.0	35.0	0	0	2.285719871520996	1040	32.81194186210632	698	32.88461538461539	
-1812704.8694291026	22.0	6.216216216216216	60.24324324324324	36.932432432432435	-61.616610189363236	13	86	35	9.0	113.0	68.0	9	6.0	57.0	35.0	0	0	2.522479295730591	1120	35.334421157836914	756	32.5	
-775151.9149843613	22.0	6.136986301369863	59.52054794520548	36.50684931506849	-60.3850009145083	14	93	41	10.0	137.0	82.0	3	6.0	57.0	35.0	0	0	1.7250778675079346	1200	37.05949902534485	796	33.66666666666667	
-650118.6062476219	22.0	6.181818181818182	59.5974025974026	36.55844155844156	-59.222760614076165	15	96	32	8.0	89.0	54.0	12	6.0	57.0	35.0	0	0	2.198699712753296	1280	39.258198738098145	847	33.828125	
