ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-5612901.04794171	100.0	10.948051948051948	182.54545454545453	115.35064935064935	-153.234837192716	0	3	100	21.0	386.0	239.0	100	7.0	74.0	48.0	0	0	10.36966323852539	80	10.36966323852539	77	3.75	
-3075592.589638599	100.0	10.975	188.625	118.8875	-125.74343673851313	1	3	146	18	409	258	54	8	87	56	0	0	8.54515552520752	160	18.91481876373291	152	5.0	
-2450523.4682340883	99.9125	9.75	156.46052631578948	98.39473684210526	-100.13627534673748	2	7	166	14.0	306.0	190.0	27	7.0	82.0	53.0	0	0	8.101876020431519	240	27.01669478416443	221	7.916666666666671	
-2787694.9881708636	100.45	9.987179487179487	166.6153846153846	104.52564102564102	-95.54295356340634	3	9	135	14.0	401.0	249.0	55	7.0	74.0	48.0	0	0	9.46911072731018	320	36.48580551147461	295	7.8125	
-2825279.3431639364	101.4375	10.038461538461538	174.51282051282053	108.94871794871794	-95.54295356340634	4	11	168	13.0	311.0	190.0	30	8.0	85.0	55.0	0	0	10.880218982696533	400	47.36602449417114	369	7.75	
-2325434.6945311227	104.05	9.725	153.6875	96.65	-90.281373214831	5	11	157	14	296	183	43	7	74	48	0	0	8.696135997772217	480	56.06216049194336	444	7.5	
-2575210.9064406925	104.8	9.569620253164556	153.73417721518987	96.34177215189874	-90.281373214831	6	12	163	15.0	375.0	229.0	58	7.0	74.0	48.0	0	0	8.131050825119019	560	64.19321131706238	516	7.857142857142861	
-2450281.0712082535	110.95	9.240506329113924	134.32911392405063	84.78481012658227	-84.36088797087439	7	13	164	16.0	227.0	139.0	45	8.0	79.0	51.0	0	0	9.04993486404419	640	73.24314618110657	588	8.125	
-2000266.598446076	113.075	9.316455696202532	136.91139240506328	86.55696202531645	-84.36088797087439	8	14	155	17.0	375.0	227.0	66	7.0	82.0	53.0	0	0	7.961467742919922	720	81.20461392402649	661	8.194444444444443	
-2837797.7236341974	113.6875	9.113924050632912	124.20253164556962	79.0886075949367	-84.36088797087439	9	15	155	13.0	248.0	153.0	81	7.0	82.0	53.0	0	0	7.66473126411438	800	88.86934518814087	733	8.375	
-2912782.9357269565	118.025	8.9875	120.475	76.95	-77.67489888069375	10	15	156	14	323	207	66	7	82	53	0	0	7.3701465129852295	880	96.2394917011261	804	8.636363636363626	
-3062769.1915947758	119.5	8.9875	123.0125	78.225	-77.67489888069375	11	15	167	12	275	170	75	8	87	56	0	0	9.116667747497559	960	105.35615944862366	876	8.75	
-1537726.3494658773	121.675	8.475	112.425	71.425	-77.67489888069375	12	15	153	12	210	128	89	7	82	53	0	0	7.598493576049805	1040	112.95465302467346	950	8.65384615384616	
-2750367.2727588722	121.0	8.6375	110.85	70.825	-76.33452895562205	13	15	161	14	298	182	81	7	74	48	0	0	7.810902833938599	1120	120.76555585861206	1023	8.660714285714292	
-2812774.282843391	121.0	8.725	114.225	72.875	-71.98312269805952	14	15	162	13	213	134	80	8	85	55	0	0	7.650978088378906	1200	128.41653394699097	1096	8.666666666666671	
-2262766.451029501	122.1875	8.7	116.125	73.975	-69.61283764003753	15	15	183	12	298	182	78	7	88	57	0	0	9.088042259216309	1280	137.50457620620728	1170	8.59375	
-2500337.1521569425	122.2875	8.7625	109.175	69.9	-69.61283764003753	16	15	183	13	227	140	89	7	80	52	0	0	6.51890754699707	1360	144.02348375320435	1242	8.67647058823529	
-2612777.2801211546	121.0	8.6625	114.8625	73.225	-69.61283764003753	17	15	169	14	298	182	73	7	74	48	0	0	6.773830890655518	1440	150.79731464385986	1313	8.819444444444443	
-2775391.569031021	121.225	8.75	115.6625	73.65	-63.482528899604716	18	15	157	12	244	150	85	7	87	56	0	0	7.412400245666504	1520	158.20971488952637	1389	8.618421052631575	
-3037842.2434399943	122.525	8.8625	112.3375	71.8	-63.482528899604716	19	15	174	14	244	153	68	7	87	56	0	0	9.119254112243652	1600	167.32896900177002	1461	8.6875	
-2787823.2783264606	121.55	8.75	113.35	72.3	-63.36896597673518	20	15	156	14	227	139	86	8	86	56	0	0	8.440071821212769	1680	175.7690408229828	1535	8.63095238095238	
-2562808.4259143486	121.0	8.675	111.15	70.8375	-63.36896597673518	21	15	160	12	298	182	82	7	87	56	0	0	7.407843828201294	1760	183.17688465118408	1609	8.579545454545453	
-2525409.520177952	120.9375	8.775	115.775	73.775	-63.36896597673518	22	15	187	13	298	182	55	7	87	56	0	0	7.587058782577515	1840	190.7639434337616	1681	8.641304347826079	
-2562840.8411150537	121.0	8.924050632911392	122.34177215189874	77.86075949367088	-63.36896597673518	23	16	218	14.0	298.0	182.0	22	7.0	80.0	52.0	0	0	7.674383163452148	1920	198.43832659721375	1753	8.697916666666671	
-2300311.9617100656	124.6375	8.9	121.9125	77.25	-62.571122835383065	24	16	218	14	298	182	90	7	80	52	0	0	8.665554523468018	2000	207.10388112068176	1827	8.650000000000006	
-2550297.6002168865	120.925	8.6875	110.3125	70.425	-62.571122835383065	25	16	139	13	298	182	103	7	87	56	0	0	6.972215414047241	2080	214.076096534729	1900	8.65384615384616	
-2312778.6222114856	120.975	8.8375	117.5875	74.7875	-62.571122835383065	26	16	157	14	323	200	85	7	83	54	0	0	7.1612327098846436	2160	221.23732924461365	1968	8.888888888888886	
-2675304.4445826164	120.925	9.05	118.8875	75.7	-62.571122835383065	27	16	135	14	298	182	107	7	87	56	0	0	8.777989149093628	2240	230.01531839370728	2040	8.92857142857143	
-2637827.396019439	120.95	8.55	109.5125	69.7	-62.571122835383065	28	16	150	12	298	182	92	7	82	53	0	0	7.776108503341675	2320	237.79142689704895	2108	9.137931034482762	
-2562994.767804101	121.0	8.6375	103.8125	66.4625	-62.571122835383065	29	16	160	13	164	101	82	7	82	53	0	0	7.258769989013672	2400	245.05019688606262	2180	9.166666666666671	
-2062998.7742337422	121.0	8.775	114.325	72.675	-62.571122835383065	30	16	144	12	298	182	98	7	79	51	0	0	7.567638397216797	2480	252.61783528327942	2252	9.193548387096769	
-1912763.4182118704	121.4875	8.8625	117.05	74.3625	-62.30004565055687	31	16	192	17	366	221	69	7	74	48	0	0	7.176560878753662	2560	259.7943961620331	2318	9.453125	
-2275403.83627385	124.0375	9.0375	117.3625	74.775	-61.1250484701069	32	16	177	14	263	162	100	7	82	53	0	0	9.310243844985962	2640	269.10464000701904	2388	9.545454545454547	
-2362786.685911535	124.6	9.0	118.2625	75.0875	-61.1250484701069	33	16	177	13	287	173	89	7	82	53	0	0	7.832400560379028	2720	276.93704056739807	2462	9.485294117647058	
-2387892.7059040945	123.1	9.0125	122.1375	77.45	-61.1250484701069	34	16	177	14	298	182	90	8	85	55	0	0	8.87246036529541	2800	285.8095009326935	2535	9.464285714285708	
-2512752.911754931	122.55	8.7375	106.325	68.175	-61.1250484701069	35	16	177	14	222	136	77	7	74	48	0	0	9.367570161819458	2880	295.17707109451294	2608	9.444444444444443	
-2412754.214121488	121.225	8.8125	112.425	71.675	-60.87268862733102	36	16	142	12	248	152	100	7	79	51	0	0	7.518149137496948	2960	302.6952202320099	2680	9.459459459459467	
-2550339.4332160484	120.925	9.025	118.925	75.55	-60.87268862733102	37	16	160	14	279	176	82	7	87	56	0	0	7.738312721252441	3040	310.43353295326233	2751	9.50657894736841	
-3212719.7299262355	120.1	9.0875	118.8875	75.725	-60.11719115686791	38	16	171	15	245	155	59	7	79	51	0	0	7.284131288528442	3120	317.71766424179077	2824	9.487179487179489	
-3037921.229043682	121.1375	9.1625	118.05	75.3	-60.04877043521534	39	16	134	15	246	157	108	7	79	51	0	0	8.625765085220337	3200	326.3434293270111	2895	9.53125	
-3125364.274215811	121.1625	8.625	114.425	72.8125	-60.04877043521534	40	16	152	13	290	175	90	7	79	51	0	0	7.423687696456909	3280	333.767117023468	2966	9.573170731707307	
-2925369.161309727	121.0	8.8625	113.9875	72.575	-60.04877043521534	41	16	136	14	235	145	106	7	79	51	0	0	7.5563788414001465	3360	341.32349586486816	3038	9.583333333333329	
-2225473.6869160235	121.575	8.8625	115.475	73.4375	-60.04877043521534	42	16	148	14	254	157	94	7	79	51	0	0	8.163740634918213	3440	349.4872364997864	3112	9.534883720930225	
-3350221.560046487	122.65	8.9875	120.4375	76.3875	-60.04877043521534	43	16	148	14	246	151	94	7	79	51	0	0	8.91830849647522	3520	358.4055449962616	3187	9.460227272727266	
-2087825.3773766912	122.3625	8.5875	108.4125	69.175	-60.04877043521534	44	16	174	12	296	182	68	8	79	51	0	0	7.724635601043701	3600	366.1301805973053	3258	9.5	
-2575382.2528815954	121.675	8.825	112.5875	71.7375	-60.04877043521534	45	16	150	14	263	161	92	7	79	51	0	0	7.607343673706055	3680	373.73752427101135	3330	9.51086956521739	
-3400390.170653105	121.125	8.975	120.6625	76.6125	-59.69317738181871	46	16	148	13	298	182	94	8	79	51	0	0	7.718220949172974	3760	381.4557452201843	3403	9.494680851063833	
-3387767.3754367577	121.175	8.7625	109.2125	69.6875	-59.69317738181871	47	16	159	13	248	153	83	7	79	51	0	0	7.392221450805664	3840	388.84796667099	3473	9.557291666666671	
-2437746.192289493	121.325	8.8	113.775	72.35	-59.69317738181871	48	16	147	13	234	145	101	7	79	51	0	0	9.054529428482056	3920	397.90249609947205	3547	9.515306122448976	
-3587763.9170483677	121.1625	9.0875	119.825	76.225	-59.54968601050737	49	16	155	14	287	173	87	7	79	51	0	0	7.831571340560913	4000	405.73406744003296	3618	9.549999999999997	
-3300435.6411638	121.45	8.949367088607595	115.67088607594937	73.54430379746836	-59.54968601050737	50	17	172	14.0	245.0	153.0	70	7.0	79.0	51.0	0	0	8.627795457839966	4080	414.3618628978729	3692	9.509803921568633	
