ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-612524.7395528599	100.0	11.164556962025317	184.21518987341773	116.60759493670886	-14.249473489560964	0	1	100	17.0	471.0	289.0	100	8.0	92.0	59.0	0	0	6.683483839035034	80	6.683483839035034	79	1.25	
-487524.0257071519	100.0	10.947368421052632	174.73684210526315	110.57894736842105	-13.007696288331072	1	5	183	17.0	351.0	222.0	17	8.0	93.0	60.0	0	0	7.950203895568848	160	14.633687734603882	151	5.625	
-287534.6651399223	101.425	10.759493670886076	183.29113924050634	115.43037974683544	-13.007696288331072	2	6	153	16.0	396.0	247.0	57	8.0	87.0	56.0	0	0	9.56410813331604	240	24.197795867919922	225	6.25	
-362527.68673977524	100.975	9.973333333333333	159.96	100.81333333333333	-12.57690039615597	3	11	227	15.0	349.0	217.0	26	8.0	79.0	51.0	0	0	8.670419216156006	320	32.86821508407593	296	7.5	
-250028.1895299986	104.6375	9.670886075949367	146.55696202531647	92.58227848101266	-11.452557773992263	4	12	164	15.0	313.0	199.0	40	8.0	79.0	51.0	0	0	7.930291414260864	400	40.79850649833679	369	7.75	
-375013.1801721955	94.6125	9.675324675324676	151.05194805194805	95.01298701298701	-10.202211527556853	5	15	153	15.0	405.0	252.0	5	8.0	85.0	55.0	0	0	7.266916990280151	480	48.06542348861694	440	8.333333333333343	
-325032.16962355527	98.6625	9.39240506329114	141.16455696202533	88.9620253164557	-10.202211527556853	6	16	153	16.0	279.0	171.0	32	8.0	82.0	53.0	0	0	6.87065052986145	560	54.936074018478394	512	8.57142857142857	
-312527.4902661306	94.9625	9.620253164556962	150.8227848101266	94.73417721518987	-9.849955132843807	7	17	153	16.0	390.0	246.0	20	8.0	95.0	61.0	0	0	8.037379741668701	640	62.973453760147095	585	8.59375	
-300020.09666538145	91.525	9.884615384615385	158.5	99.1923076923077	-9.206715134839582	8	19	215	16.0	368.0	222.0	38	7.0	74.0	48.0	0	0	8.395089149475098	720	71.36854290962219	659	8.472222222222229	
-212532.0077679606	91.8375	10.15	160.8375	100.8	-9.206715134839582	9	19	132	16	299	187	34	8	93	60	0	0	8.411319017410278	800	79.77986192703247	733	8.375	
-312531.01660789654	81.725	9.556962025316455	144.86075949367088	91.45569620253164	-9.206715134839582	10	20	148	17.0	300.0	192.0	18	8.0	87.0	56.0	0	0	8.175656080245972	880	87.95551800727844	808	8.181818181818173	
-437520.7533968664	80.45	9.831168831168831	155.5194805194805	97.9090909090909	-9.206715134839582	11	23	148	17.0	396.0	247.0	25	7.0	83.0	54.0	0	0	7.8876307010650635	960	95.8431487083435	881	8.229166666666671	
-350038.0017939166	74.8125	9.285714285714286	144.44155844155844	91.11688311688312	-9.206715134839582	12	26	148	14.0	349.0	211.0	55	8.0	87.0	56.0	0	0	7.994540691375732	1040	103.83768939971924	953	8.365384615384613	
-400029.5357765155	75.75	10.026666666666667	162.32	102.22666666666667	-9.206715134839582	13	31	135	15.0	349.0	211.0	16	7.0	83.0	54.0	0	0	7.759023904800415	1120	111.59671330451965	1024	8.57142857142857	
-387515.22642991395	66.7875	9.728571428571428	156.9	99.0	-9.206715134839582	14	41	119	15.0	366.0	223.0	13	7.0	90.0	58.0	0	0	7.004201889038086	1200	118.60091519355774	1089	9.25	
-212531.54739207774	70.1375	9.217948717948717	141.82051282051282	89.58974358974359	-9.196635119975198	15	43	119	15.0	412.0	261.0	13	7.0	79.0	51.0	0	0	7.327249526977539	1280	125.92816472053528	1160	9.375	
-325025.53803141444	71.1	8.805194805194805	130.03896103896105	82.33766233766234	-8.653919725246341	16	46	123	14.0	266.0	165.0	43	7.0	74.0	48.0	0	0	6.745091915130615	1360	132.6732566356659	1232	9.411764705882348	
