ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-562521.2481562545	100.0	10.987341772151899	174.37974683544303	110.62025316455696	-11.036176304415482	0	1	100	16.0	303.0	190.0	100	8.0	87.0	56.0	0	0	1.2406699657440186	80	1.2406699657440186	79	1.25	
-375028.06208690756	100.0	10.394736842105264	170.3684210526316	107.0657894736842	-11.036176304415482	1	5	154	16.0	352.0	215.0	46	8.0	87.0	56.0	0	0	1.1882319450378418	160	2.4289019107818604	150	6.25	
-300023.837105377	98.8	10.486842105263158	171.0921052631579	107.55263157894737	-11.036176304415482	2	9	153	16.0	352.0	216.0	47	8.0	87.0	56.0	0	0	1.1021840572357178	240	3.531085968017578	221	7.916666666666671	
-275024.15281301766	98.8125	10.552631578947368	179.8815789473684	112.80263157894737	-10.665648234252712	3	13	153	20.0	488.0	303.0	47	8.0	92.0	59.0	0	0	1.182440996170044	320	4.713526964187622	293	8.4375	
-287530.76099037344	98.2375	9.960526315789474	151.44736842105263	95.73684210526316	-10.469464689472092	4	17	155	15.0	345.0	211.0	45	8.0	88.0	57.0	0	0	1.075192928314209	400	5.788719892501831	365	8.75	
-300018.89631907525	100.8375	9.569620253164556	150.36708860759492	94.72151898734177	-8.79894314531707	5	18	183	14.0	306.0	188.0	17	8.0	84.0	54.0	0	0	1.102879285812378	480	6.891599178314209	440	8.333333333333343	
-200018.70043557108	101.3125	9.6125	154.0125	96.7625	-8.626315551287803	6	18	187	15	361	221	51	8	92	59	0	0	1.09674072265625	560	7.988339900970459	515	8.035714285714292	
-225041.06004926004	101.425	9.935064935064934	162.98701298701297	102.64935064935065	-8.606095040246279	7	21	205	15.0	363.0	222.0	27	8.0	87.0	56.0	0	0	1.064574956893921	640	9.05291485786438	588	8.125	
-187529.86147289397	104.6375	9.425	142.5125	89.9875	-8.33101208193739	8	21	205	15	353	217	65	8	82	53	0	0	1.0020229816436768	720	10.054937839508057	663	7.916666666666671	
-200023.36647908678	106.15	9.1875	133.075	84.2125	-8.33101208193739	9	21	205	16	215	132	76	8	82	53	0	0	0.9824252128601074	800	11.037363052368164	739	7.625	
-312534.0276939739	101.5875	9.50632911392405	143.18987341772151	90.86075949367088	-8.33101208193739	10	22	147	18.0	339.0	216.0	70	8.0	87.0	56.0	0	0	0.9697608947753906	880	12.007123947143555	813	7.613636363636374	
-200023.83903046272	102.025	9.4125	145.2625	91.8375	-8.281435615558943	11	22	130	17	412	261	75	8	87	56	0	0	1.030832052230835	960	13.03795599937439	889	7.395833333333329	
-275033.0461245122	101.8875	9.417721518987342	135.0759493670886	85.75949367088607	-7.803604459584774	12	23	132	16.0	249.0	158.0	60	8.0	82.0	53.0	0	0	0.9562771320343018	1040	13.994233131408691	962	7.5	
