ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-5488024.330212916	100.0	10.717948717948717	170.56410256410257	108.16666666666667	-185.08263463827723	0	2	100	19.0	435.0	281.0	100	7.0	74.0	48.0	0	0	5.093041896820068	80	5.093041896820068	78	2.5	
-3550478.7282310305	100.0	10.31081081081081	169.83783783783784	106.97297297297297	-182.83404687960657	1	8	172	19.0	481.0	300.0	28	7.0	79.0	51.0	0	0	4.981055974960327	160	10.074097871780396	148	7.5	
-2937963.074837841	96.7	10.056338028169014	162.46478873239437	102.09859154929578	-114.37555030455265	2	17	169	16.0	402.0	243.0	29	8.0	79.0	51.0	0	0	4.700315952301025	240	14.774413824081421	215	10.416666666666657	
-2287999.311333545	100.5625	9.759493670886076	152.62025316455697	96.29113924050633	-91.954655045787	3	18	154	14.0	402.0	243.0	46	8.0	80.0	52.0	0	0	5.731710195541382	320	20.506124019622803	288	10.0	
-2450433.2100049714	105.7375	9.615384615384615	140.34615384615384	89.02564102564102	-89.79954732019822	4	20	185	14.0	346.0	212.0	15	8.0	87.0	56.0	0	0	5.396635055541992	400	25.902759075164795	361	9.75	
-2550505.2733340682	116.675	9.525	139.7875	88.8375	-89.79954732019822	5	20	187	14	244	150	55	8	85	55	0	0	5.762328863143921	480	31.665087938308716	437	8.958333333333329	
-3462715.060390587	114.025	9.91139240506329	147.91139240506328	93.9113924050633	-87.16935287341582	6	21	146	14.0	331.0	207.0	58	8.0	85.0	55.0	0	0	6.174058437347412	560	37.83914637565613	512	8.57142857142857	
-2862736.6827754914	110.2	9.625	143.325	90.9875	-87.16935287341582	7	21	174	14	350	212	41	8	93	60	0	0	5.912375211715698	640	43.751521587371826	588	8.125	
-2725237.228266751	114.1875	9.7375	142.7875	90.55	-85.2584398919309	8	21	167	17	304	189	66	8	85	55	0	0	5.556608200073242	720	49.30812978744507	662	8.055555555555557	
-3025260.916391415	120.225	9.8625	149.9625	94.9875	-85.15213675947162	9	21	203	16	318	201	81	8	85	55	0	0	5.7825517654418945	800	55.09068155288696	737	7.875	
-2537857.879920135	120.7	9.658227848101266	144.59493670886076	91.53164556962025	-85.15213675947162	10	22	189	20.0	341.0	221.0	36	7.0	90.0	58.0	0	0	5.6620402336120605	880	60.75272178649902	811	7.8409090909090935	
-2425278.3586368933	122.3	9.632911392405063	143.0253164556962	90.69620253164557	-85.10903563923253	11	23	196	14.0	297.0	181.0	50	7.0	79.0	51.0	0	0	5.717615365982056	960	66.47033715248108	885	7.8125	
-3075322.5395144513	130.1	9.65	137.025	87.225	-83.78431543303766	12	23	228	17	332	208	61	7	79	51	0	0	6.520543813705444	1040	72.99088096618652	960	7.692307692307693	
-3075334.7037023017	128.75	9.725	136.8	87.1125	-83.78431543303766	13	23	197	13	327	199	49	7	82	53	0	0	7.113492727279663	1120	80.10437369346619	1034	7.678571428571416	
-2787869.5775052994	133.7875	10.1125	146.05	92.725	-83.78431543303766	14	23	183	13	277	170	74	8	79	51	0	0	7.7278900146484375	1200	87.83226370811462	1109	7.583333333333329	
-3187896.0249150065	140.825	9.6625	134.6375	85.775	-81.59440001234066	15	23	180	14	255	156	66	7	74	48	0	0	7.494353532791138	1280	95.32661724090576	1181	7.734375	
-2937858.656929309	144.0	9.759493670886076	140.86075949367088	89.70886075949367	-71.90146445551363	16	24	232	15.0	308.0	187.0	14	8.0	90.0	58.0	0	0	7.5892956256866455	1360	102.91591286659241	1256	7.647058823529406	
-3362854.329711938	144.275	9.55	132.5	84.525	-71.90146445551363	17	24	181	13	299	190	100	8	84	54	0	0	7.016173839569092	1440	109.9320867061615	1331	7.569444444444443	
