ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-3151589.9032702227	100.0	12.517857142857142	283.07142857142856	175.44642857142858	-203.14287555427927	0	44	100	22.0	620.0	392.0	100	7.0	96.0	60.0	0	0	47.52609896659851	100	47.52609896659851	56	43.99999999999999	
-2800069.145187082	100.0	11.892857142857142	259.5357142857143	160.73214285714286	-203.14287555427927	1	88	179	17.0	619.0	390.0	21	9.0	105.0	66.0	0	0	35.03786063194275	200	82.56395959854126	108	46.0	
-2070126.0119124118	108.57	12.6	297.02	183.98	-162.9512560857537	2	138	229	25.0	667.0	420.0	17	8.0	129.0	80.0	0	0	35.68333458900452	300	118.24729418754578	154	48.66666666666667	
-2560084.105040702	100.02	11.925925925925926	272.55555555555554	168.75925925925927	-162.9512560857537	3	184	200	18.0	874.0	550.0	17	8.0	93.0	58.0	0	0	38.673084020614624	400	156.9203782081604	204	49.0	
-2360061.7884916514	97.55	12.02	281.4	174.8	-144.94917022654533	4	234	208	19.0	910.0	578.0	13	7.0	86.0	54.0	0	0	32.72343850135803	500	189.64381670951843	250	50.0	
-1750030.0283986216	93.43	13.694444444444445	396.0833333333333	245.77777777777777	-144.94917022654533	5	298	301	23.0	1574.0	991.0	9	9.0	145.0	90.0	0	0	25.640934228897095	600	215.28475093841553	282	53.0	
-1720032.4693419551	82.65	12.972972972972974	324.56756756756755	201.1891891891892	-144.94917022654533	6	361	352	19.0	703.0	438.0	2	8.0	105.0	66.0	0	0	20.026808738708496	700	235.31155967712402	315	55.0	
-1900029.9082325741	89.53	11.864864864864865	286.0810810810811	176.7027027027027	-144.94917022654533	7	424	308	20.0	933.0	586.0	13	9.0	133.0	84.0	0	0	24.133646249771118	800	259.44520592689514	348	56.5	
-1880073.8890179605	102.06	12.830188679245284	323.39622641509436	200.52830188679246	-108.20908631983824	8	471	345	23.0	1244.0	788.0	3	9.0	121.0	76.0	0	0	34.764349699020386	900	294.2095556259155	397	55.888888888888886	
-2210058.502807275	94.61	11.551020408163266	263.3061224489796	162.48979591836735	-108.20908631983824	9	522	237	19.0	635.0	398.0	14	7.0	86.0	54.0	0	0	35.23617911338806	1000	329.4457347393036	442	55.8	
-2370071.686318141	103.33	12.304347826086957	299.2608695652174	185.45652173913044	-108.20908631983824	10	576	278	21.0	1039.0	656.0	5	9.0	118.0	74.0	0	0	43.987959146499634	1100	373.4336938858032	484	56.0	
