ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-3887928.1689472585	100.0	7.949367088607595	98.51898734177215	59.68354430379747	-94.75280896687867	0	1	100	13.0	249.0	148.0	100	6.0	57.0	35.0	0	0	4.36883282661438	80	4.36883282661438	79	1.25	
-1050508.6678833072	100.0	8.423076923076923	111.66666666666667	67.44871794871794	-91.80851982900887	1	3	144	13.0	249.0	148.0	56	6.0	57.0	35.0	0	0	4.013105392456055	160	8.381938219070435	151	5.625	
-437987.92260921106	101.2	8.15	102.6	62.1875	-89.33795643220135	2	3	131	13	249	148	69	6	57	35	0	0	4.037535905838013	240	12.419474124908447	226	5.833333333333329	
-662776.9075516767	101.2625	8.025	96.7	58.7625	-82.238146360409	3	3	143	14	233	138	57	6	57	35	0	0	4.354510307312012	320	16.77398443222046	297	7.1875	
-325270.8594922516	101.8875	7.89873417721519	96.0886075949367	58.45569620253165	-82.238146360409	4	4	136	11.0	201.0	120.0	64	6.0	57.0	35.0	0	0	4.07606840133667	400	20.85005283355713	367	8.25	
-950183.9260535303	107.4	8.037974683544304	100.0379746835443	60.81012658227848	-76.33254070295891	5	5	162	13.0	249.0	148.0	55	6.0	57.0	35.0	0	0	4.217753887176514	480	25.067806720733643	441	8.125	
-475178.1348902449	99.3875	8.1875	106.1	64.35	-73.63764406408221	6	5	134	13	249	148	40	7	65	40	0	0	4.272727966308594	560	29.340534687042236	513	8.392857142857153	
-562755.2988827062	101.45	8.325	109.1	66.0375	-73.63764406408221	7	5	155	13	273	162	34	6	57	35	0	0	4.723498582839966	640	34.0640332698822	587	8.28125	
-525272.7854106363	102.2	7.6455696202531644	87.88607594936708	53.54430379746835	-73.35675135563578	8	6	139	13.0	273.0	162.0	56	6.0	57.0	35.0	0	0	4.322164297103882	720	38.386197566986084	658	8.611111111111114	
-1775248.4142874524	99.8375	7.5625	82.8	50.475	-71.42026600843522	9	6	148	10	145	87	59	6	57	35	0	0	4.294115304946899	800	42.68031287193298	727	9.125	
-1212689.662618645	93.3625	7.4625	79.0	48.2125	-71.42026600843522	10	6	123	11	177	106	77	6	57	35	0	0	4.676212549209595	880	47.35652542114258	800	9.090909090909093	
-737822.4463084188	90.6625	7.2875	73.6	45.0375	-69.67553015058184	11	6	120	10	169	101	63	6	57	35	0	0	4.315688133239746	960	51.672213554382324	869	9.479166666666671	
-775234.4475091109	90.0	7.225	71.5	43.8	-69.58884433198718	12	6	116	11	161	96	64	6	57	35	0	0	4.290217161178589	1040	55.96243071556091	939	9.711538461538467	
-1912743.685407219	90.0	7.531645569620253	79.58227848101266	48.56962025316456	-69.58884433198718	13	7	125	11.0	177.0	106.0	55	6.0	57.0	35.0	0	0	4.301422119140625	1120	60.26385283470154	1006	10.17857142857143	
-737784.4390662555	91.7625	7.5375	80.4	49.0375	-68.73358461349447	14	7	131	11	169	101	69	6	57	35	0	0	4.641582727432251	1200	64.90543556213379	1080	10.0	
-587735.2477145578	90.4625	7.525	80.0	48.8	-65.41382200086804	15	7	103	11	177	106	77	6	57	35	0	0	4.339993715286255	1280	69.24542927742004	1149	10.234375	
-1050275.345773346	90.0	7.4625	80.1	48.9	-65.41382200086804	16	7	112	11	177	106	68	6	57	35	0	0	4.310351371765137	1360	73.55578064918518	1220	10.294117647058826	
-887838.6868162721	90.3	7.3875	76.9	47.0	-65.00542811202912	17	7	115	11	177	106	65	6	57	35	0	0	5.4935221672058105	1440	79.04930281639099	1288	10.555555555555557	
-987698.1641968444	90.525	7.4375	78.7	48.075	-65.00542811202912	18	7	99	11	177	106	81	6	57	35	0	0	5.552775621414185	1520	84.60207843780518	1357	10.723684210526315	
-1050389.8108163304	90.5125	7.3375	76.5	46.7625	-65.00542811202912	19	7	126	10	153	92	56	6	57	35	0	0	5.294869661331177	1600	89.89694809913635	1423	11.0625	
-1237725.7280857281	90.225	7.725	84.7	51.5375	-65.00542811202912	20	7	117	11	177	106	63	6	57	35	0	0	6.0394439697265625	1680	95.93639206886292	1492	11.19047619047619	
-1337714.2788418222	90.2625	7.4375	77.5	47.3375	-65.0017483935235	21	7	115	11	169	101	65	6	57	35	0	0	5.345225811004639	1760	101.28161787986755	1558	11.47727272727272	
-2512732.7459944435	90.0375	7.4875	81.3	49.5875	-65.0017483935235	22	7	127	12	241	143	53	6	57	35	0	0	5.9027698040008545	1840	107.18438768386841	1630	11.41304347826086	
-1175280.3387109463	90.7625	7.5	80.2	48.95	-65.0017483935235	23	7	120	12	241	143	52	6	57	35	0	0	5.598469495773315	1920	112.78285717964172	1699	11.510416666666671	
-1137723.515051836	91.3125	7.25	73.2	44.825	-63.03180823003001	24	7	125	10	145	87	62	6	57	35	0	0	5.5859503746032715	2000	118.368807554245	1771	11.450000000000003	
-1287760.136017215	90.375	7.4875	79.5	48.5125	-63.03180823003001	25	7	120	11	225	134	66	6	57	35	0	0	5.834948778152466	2080	124.20375633239746	1843	11.394230769230774	
