ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-637524.8846842361	100.0	11.2125	184.6625	116.675	-12.974215720033456	0	0	100	17	419	260	100	7	79	51	0	0	22.929179191589355	80	22.929179191589355	80	0.0	
-437535.2249400338	100.0	10.763157894736842	179.22368421052633	112.78947368421052	-12.974215720033456	1	4	178	17.0	329.0	206.0	22	7.0	82.0	53.0	0	0	20.384856939315796	160	43.31403613090515	150	6.25	
-262543.9832005942	96.7625	10.631578947368421	178.82894736842104	112.38157894736842	-12.852204448150836	2	8	162	15.0	329.0	200.0	38	8.0	94.0	61.0	0	0	21.81426692008972	240	65.12830305099487	222	7.5	
-225029.10934072398	99.4875	10.5875	186.55	116.4875	-11.193004074715207	3	8	159	15	331	209	47	8	87	56	0	0	24.167115449905396	320	89.29541850090027	297	7.1875	
-375020.3747808783	99.3625	10.23076923076923	168.23076923076923	105.32051282051282	-11.193004074715207	4	10	159	15.0	342.0	207.0	47	8.0	82.0	53.0	0	0	22.918673515319824	400	112.21409201622009	369	7.75	
-400023.4628578255	98.375	9.935897435897436	157.15384615384616	98.78205128205128	-10.344321899297627	5	12	173	15.0	380.0	236.0	22	8.0	82.0	53.0	0	0	18.00252628326416	480	130.21661829948425	443	7.708333333333329	
-262532.30635246367	95.6375	9.430379746835444	133.44303797468353	84.72151898734177	-10.344321899297627	6	13	137	13.0	344.0	207.0	51	7.0	74.0	48.0	0	0	14.785486459732056	560	145.0021047592163	518	7.5	
-212527.99260249813	90.5	9.0	121.9746835443038	77.53164556962025	-10.219360676696565	7	14	127	13.0	331.0	200.0	49	8.0	82.0	53.0	0	0	13.837208271026611	640	158.83931303024292	592	7.5	
-337521.6146811098	90.6125	8.883116883116884	116.31168831168831	74.28571428571429	-9.777640898840609	8	17	177	13.0	284.0	175.0	23	8.0	82.0	53.0	0	0	9.185970306396484	720	168.0252833366394	659	8.472222222222229	
-275019.0253609453	93.2375	9.037974683544304	121.51898734177215	77.60759493670886	-9.777640898840609	9	18	146	14.0	308.0	188.0	33	8.0	82.0	53.0	0	0	11.149210929870605	800	179.17449426651	733	8.375	
-350030.4779343526	93.475	9.076923076923077	116.44871794871794	74.34615384615384	-9.568261374535187	10	20	175	13.0	266.0	166.0	32	8.0	82.0	53.0	0	0	12.424771547317505	880	191.59926581382751	805	8.522727272727266	
-375016.5105581805	94.175	9.115384615384615	121.17948717948718	77.43589743589743	-9.568261374535187	11	22	130	13.0	275.0	174.0	58	8.0	82.0	53.0	0	0	12.565150260925293	960	204.1644160747528	874	8.958333333333329	
-250026.18947100593	95.75	9.425	128.3875	82.0875	-9.568261374535187	12	22	141	13	275	174	62	7	82	53	0	0	12.848556995391846	1040	217.01297307014465	948	8.846153846153854	
-250055.5413546788	94.6	9.215189873417721	114.46835443037975	73.37974683544304	-9.47304739506781	13	23	160	13.0	322.0	197.0	31	8.0	82.0	53.0	0	0	12.6112699508667	1120	229.62424302101135	1022	8.75	
