ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-2710105.219808118	100.0	12.11320754716981	270.9622641509434	168.1509433962264	-188.35423484381693	0	47	100	18.0	787.0	489.0	100	8.0	109.0	68.0	0	0	4.920811891555786	100	4.920811891555786	53	47.0	
-1670112.305359736	100.0	12.195121951219512	281.609756097561	174.82926829268294	-144.60370922816966	1	106	186	20.0	787.0	489.0	14	8.0	145.0	90.0	0	0	3.4800972938537598	200	8.400909185409546	90	55.0	
-1800130.1361619532	100.03	11.678571428571429	251.21428571428572	154.58928571428572	-144.60370922816966	2	150	190	17.0	523.0	306.0	10	8.0	128.0	80.0	0	0	5.165457487106323	300	13.56636667251587	142	52.666666666666664	
-2080161.6021529057	101.42	11.285714285714286	221.26785714285714	136.23214285714286	-140.75644920678099	3	194	161	18.0	644.0	409.0	56	8.0	139.0	86.0	0	0	5.243820667266846	400	18.810187339782715	194	51.5	
-1950127.6620922638	105.25	11.59016393442623	241.327868852459	148.1639344262295	-129.06234384670998	4	233	199	17.0	673.0	422.0	28	8.0	142.0	88.0	0	0	5.048957109451294	500	23.85914444923401	251	49.8	
-1880161.3416431183	104.99	10.95945945945946	231.59459459459458	141.6216216216216	-111.72570778132439	5	259	199	18.0	623.0	392.0	25	8.0	122.0	76.0	0	0	7.31695818901062	600	31.17610263824463	321	46.5	
-2370134.8011916876	98.63	10.987654320987655	239.2716049382716	145.93827160493828	-111.72570778132439	6	278	177	17.0	670.0	418.0	45	8.0	122.0	76.0	0	0	8.022672414779663	700	39.19877505302429	398	43.14285714285714	
-2100126.0784617933	98.62	11.148148148148149	251.44444444444446	153.76543209876544	-107.42753456417861	7	297	156	18.0	712.0	448.0	44	8.0	112.0	70.0	0	0	7.8119730949401855	800	47.01074814796448	474	40.75	
-2840162.297867945	99.33	10.824324324324325	232.7027027027027	141.45945945945945	-107.42753456417861	8	323	174	18.0	594.0	361.0	26	8.0	113.0	70.0	0	0	7.913177251815796	900	54.92392539978027	543	39.666666666666664	
-2500147.8949297946	97.72	10.6	234.62666666666667	141.89333333333335	-107.42753456417861	9	348	194	15.0	571.0	355.0	6	8.0	115.0	72.0	0	0	8.82430362701416	1000	63.748229026794434	613	38.7	
-2270108.595566706	101.73	10.761194029850746	221.13432835820896	134.044776119403	-100.23804371460353	10	381	200	17.0	435.0	266.0	18	8.0	112.0	70.0	0	0	7.0186944007873535	1100	70.76692342758179	676	38.54545454545455	
-3020155.4453779473	107.42	10.841463414634147	228.5731707317073	138.84146341463415	-100.23804371460353	11	399	200	20.0	555.0	346.0	39	8.0	112.0	70.0	0	0	9.513246059417725	1200	80.28016948699951	754	37.16666666666667	
-2310174.6316190455	104.85	11.273972602739725	250.76712328767124	153.3013698630137	-93.59434108750017	12	426	200	17.0	751.0	474.0	68	8.0	122.0	76.0	0	0	8.274291515350342	1300	88.55446100234985	823	36.69230769230769	
-1790159.275944201	116.84	10.972602739726028	242.45205479452054	147.27397260273972	-93.59434108750017	13	453	242	22.0	874.0	548.0	9	8.0	92.0	58.0	0	0	7.631834506988525	1400	96.18629550933838	891	36.357142857142854	
-2000120.3878969157	128.67	11.19277108433735	251.89156626506025	153.57831325301206	-91.93817464890738	14	470	219	23.0	917.0	573.0	55	8.0	112.0	70.0	0	0	9.050820350646973	1500	105.23711585998535	970	35.33333333333334	
-1750178.310807776	122.85	11.118421052631579	233.52631578947367	142.3815789473684	-91.93817464890738	15	494	200	18.0	570.0	354.0	32	8.0	98.0	62.0	0	0	8.026698112487793	1600	113.26381397247314	1042	34.875	
-2090141.684751004	126.08	11.073170731707316	246.1341463414634	150.1219512195122	-91.93817464890738	16	512	205	20.0	691.0	431.0	39	8.0	103.0	64.0	0	0	8.345157623291016	1700	121.60897159576416	1120	34.117647058823536	
-2210133.0493384344	117.28	11.095890410958905	243.986301369863	148.57534246575344	-85.47853543204654	17	539	256	19.0	611.0	386.0	39	8.0	118.0	74.0	0	0	8.33111310005188	1800	129.94008469581604	1189	33.94444444444444	
-1610103.6799222222	102.47	10.878787878787879	237.27272727272728	143.4848484848485	-69.544630893881	18	573	200	18.0	716.0	446.0	23	8.0	108.0	68.0	0	0	7.403794765472412	1900	137.34387946128845	1250	34.210526315789465	
-1820118.5156812025	104.99	10.733333333333333	228.46666666666667	138.44	-69.544630893881	19	598	200	22.0	752.0	475.0	23	9.0	118.0	74.0	0	0	8.216021060943604	2000	145.55990052223206	1321	33.95	
-2180149.872042198	99.1	10.682926829268293	218.03658536585365	131.609756097561	-69.544630893881	20	616	163	20.0	451.0	280.0	37	10.0	118.0	74.0	0	0	9.021525859832764	2100	154.58142638206482	1399	33.38095238095238	
-1490079.3685078055	100.0	10.633333333333333	239.61666666666667	144.7	-69.544630893881	21	656	149	21.0	817.0	513.0	51	10.0	118.0	74.0	0	0	6.642426490783691	2200	161.2238528728485	1455	33.86363636363636	
-2280088.925145038	101.36	11.185714285714285	245.12857142857143	148.94285714285715	-69.544630893881	22	686	167	23.0	851.0	531.0	33	10.0	118.0	74.0	0	0	8.051920175552368	2300	169.27577304840088	1521	33.86956521739131	
-2520176.983794991	101.23	11.146666666666667	240.64	146.25333333333333	-69.544630893881	23	711	151	21.0	758.0	465.0	49	10.0	158.0	97.0	0	0	8.897319555282593	2400	178.17309260368347	1592	33.66666666666667	
-2060136.5914623514	101.53	11.356164383561644	254.05479452054794	154.4931506849315	-69.544630893881	24	738	190	23.0	802.0	504.0	10	9.0	149.0	91.0	0	0	7.957786321640015	2500	186.1308789253235	1661	33.56	
-1810091.4422541424	101.16	11.425	249.6625	151.675	-69.03885296866704	25	758	144	23.0	665.0	412.0	56	9.0	158.0	97.0	0	0	8.499984979629517	2600	194.630863904953	1737	33.19230769230769	
-1960157.7035520282	99.46	11.175675675675675	260.5405405405405	158.52702702702703	-69.03885296866704	26	784	179	22.0	924.0	583.0	21	10.0	163.0	98.0	0	0	8.490791082382202	2700	203.1216549873352	1807	33.074074074074076	
-1860095.829548613	98.56	10.575342465753424	220.3972602739726	133.3972602739726	-69.03885296866704	27	811	167	16.0	455.0	274.0	9	8.0	106.0	66.0	0	0	7.494974374771118	2800	210.61662936210632	1876	33.0	
-2890128.381468622	100.45	11.63013698630137	252.05479452054794	153.04109589041096	-69.03885296866704	28	838	178	21.0	737.0	452.0	24	8.0	93.0	58.0	0	0	8.072262048721313	2900	218.68889141082764	1945	32.93103448275862	
-1520148.0973085696	103.46	11.403225806451612	251.24193548387098	152.8548387096774	-69.03885296866704	29	876	217	19.0	664.0	416.0	18	8.0	93.0	58.0	0	0	6.075607776641846	3000	224.76449918746948	2002	33.266666666666666	
-1940106.7248597664	100.99	10.833333333333334	209.61666666666667	126.73333333333333	-69.03885296866704	30	916	167	21.0	696.0	421.0	33	9.0	139.0	85.0	0	0	6.528371095657349	3100	231.29287028312683	2058	33.61290322580646	
-2040100.7207853794	100.23	11.257142857142858	251.74285714285713	152.65714285714284	-69.03885296866704	31	946	162	18.0	909.0	558.0	41	9.0	116.0	72.0	0	0	7.640047073364258	3200	238.9329173564911	2124	33.625	
-2260110.5223699156	100.36	11.2	234.30666666666667	142.12	-67.73308807949437	32	971	160	20.0	531.0	333.0	40	10.0	158.0	97.0	0	0	8.578160285949707	3300	247.5110776424408	2195	33.484848484848484	
-1860095.1854902839	101.05	11.157142857142857	243.4142857142857	147.45714285714286	-67.73308807949437	33	1001	169	20.0	933.0	572.0	31	10.0	139.0	88.0	0	0	7.468755006790161	3400	254.97983264923096	2261	33.5	
-1920083.1726922998	101.32	11.028169014084508	247.53521126760563	150.26760563380282	-67.73308807949437	34	1030	162	19.0	837.0	528.0	50	8.0	93.0	58.0	0	0	7.302335739135742	3500	262.2821683883667	2328	33.48571428571428	
-1650095.2899396836	98.95	11.194029850746269	240.6417910447761	145.97014925373134	-67.73308807949437	35	1063	171	17.0	476.0	292.0	29	10.0	163.0	98.0	0	0	6.295892238616943	3600	268.57806062698364	2390	33.611111111111114	
-1970074.1515262094	101.86	11.238805970149254	258.910447761194	156.73134328358208	-67.73308807949437	36	1096	176	17.0	795.0	494.0	36	10.0	158.0	97.0	0	0	6.498377084732056	3700	275.0764377117157	2453	33.70270270270271	
-1670101.7762221908	100.56	11.692307692307692	261.55384615384617	159.24615384615385	-67.73308807949437	37	1131	196	20.0	764.0	473.0	16	10.0	157.0	97.0	0	0	7.054051399230957	3800	282.13048911094666	2514	33.84210526315789	
-2310187.7022403954	97.13	10.916666666666666	235.81944444444446	143.09722222222223	-67.15782285807832	38	1159	185	17.0	646.0	399.0	26	8.0	102.0	64.0	0	0	7.7678961753845215	3900	289.8983852863312	2582	33.794871794871796	
-1520093.4876682884	101.8	11.417910447761194	239.80597014925374	145.50746268656715	-67.15782285807832	39	1192	179	23.0	670.0	411.0	21	8.0	128.0	80.0	0	0	6.533277273178101	4000	296.4316625595093	2645	33.875	
-2130199.228574134	105.37	11.114285714285714	242.15714285714284	147.1	-67.15782285807832	40	1222	179	19.0	732.0	458.0	36	9.0	128.0	80.0	0	0	7.601004362106323	4100	304.0326669216156	2711	33.8780487804878	
