ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-6250067.17174125	100.0	11.75	349.51785714285717	215.82142857142858	tensor(-1000000.)	0	24	100	17.0	585.0	357.0	100	8.0	218.0	135.0	0	0	11.652830600738525	80	11.652830600738525	56	30.0	
-4075020.2269160496	100.0	12.454545454545455	378.4318181818182	234.6590909090909	tensor(-1000000.)	1	58	163	17.0	694.0	435.0	37	9.0	235.0	148.0	0	0	7.9626781940460205	160	19.615508794784546	98	38.74999999999999	
-4400015.581184147	97.425	12.9	403.25	249.475	tensor(-1000000.)	2	96	162	18.0	572.0	353.0	37	9.0	213.0	134.0	0	0	10.15888261795044	240	29.774391412734985	136	43.333333333333336	
-3087543.444305075	92.925	12.0	375.6470588235294	231.0	-279.2708283524028	3	140	152	15.0	600.0	362.0	23	9.0	246.0	154.0	0	0	8.038151979446411	320	37.8125433921814	168	47.5	
-3737513.522186375	87.6	12.25	386.85	238.1	-279.2708283524028	4	179	180	17.0	529.0	327.0	23	8.0	196.0	122.0	0	0	7.653683185577393	400	45.46622657775879	205	48.75000000000001	
-3550026.07877949	84.8	12.513513513513514	376.6756756756757	232.64864864864865	-279.27008618962947	5	221	170	19.0	617.0	387.0	13	8.0	163.0	102.0	0	0	6.870410680770874	480	52.33663725852966	239	50.208333333333336	
-4225040.232010737	81.3125	12.292682926829269	373.5365853658537	230.58536585365854	-278.89579745291763	6	259	194	19.0	704.0	441.0	7	9.0	258.0	158.0	0	0	9.822643756866455	560	62.15928101539612	277	50.535714285714285	
-2337555.908259264	64.8	11.823529411764707	340.3529411764706	212.52941176470588	-276.71636595018344	7	305	194	23.0	777.0	490.0	30	9.0	234.0	145.0	0	0	4.75027322769165	640	66.90955424308777	306	52.1875	
-1525105.5545421012	46.875	10.96774193548387	290.03225806451616	182.32258064516128	-276.71390386029583	8	354	115	12.0	358.0	220.0	7	10.0	234.0	148.0	0	0	4.422215938568115	720	71.33177018165588	332	53.888888888888886	
-1300129.3767161616	38.425	10.884615384615385	284.6923076923077	179.46153846153845	-276.41303094688425	9	408	115	11.0	347.0	217.0	1	9.0	237.0	148.0	0	0	2.741244077682495	800	74.07301425933838	350	56.25	
-1662621.6521746605	37.15	10.696969696969697	279.2121212121212	176.1818181818182	-276.41303094688425	10	455	57	11.0	285.0	180.0	19	8.0	221.0	138.0	0	0	3.8832106590270996	880	77.95622491836548	375	57.38636363636363	
-1250113.843350292	37.225	10.689655172413794	287.3103448275862	180.93103448275863	-276.41303094688425	11	506	62	11.0	371.0	227.0	12	9.0	270.0	170.0	0	0	3.6282026767730713	960	81.58442759513855	399	58.4375	
-1837657.6449677995	37.1875	10.81578947368421	281.2631578947368	177.21052631578948	-275.33645275300864	12	548	52	13.0	302.0	189.0	29	9.0	210.0	132.0	0	0	4.624401330947876	1040	86.20882892608643	428	58.84615384615385	
-1612611.1789214986	37.3125	10.848484848484848	282.6666666666667	178.27272727272728	-263.2085461835994	13	595	52	11.0	287.0	180.0	32	9.0	262.0	164.0	0	0	4.3638598918914795	1120	90.5726888179779	452	59.64285714285714	
-1462621.976578833	37.0	10.909090909090908	277.45454545454544	174.9090909090909	-263.2085461835994	14	642	52	12.0	285.0	180.0	22	9.0	219.0	136.0	0	0	4.532114744186401	1200	95.1048035621643	478	60.16666666666667	
-1387591.9428509423	37.125	10.925925925925926	282.5925925925926	178.03703703703704	-263.2085461835994	15	695	65	11.0	343.0	212.0	9	10.0	242.0	150.0	0	0	3.1905314922332764	1280	98.29533505439758	498	61.09375	
-1875121.312300767	37.025	10.91891891891892	281.56756756756755	177.54054054054055	-263.2079232597364	16	738	61	12.0	314.0	198.0	13	9.0	224.0	140.0	0	0	4.468437433242798	1360	102.76377248764038	528	61.17647058823529	
-1012613.9594149732	36.9125	10.931034482758621	283.7586206896552	179.17241379310346	-263.2062580378343	17	789	72	11.0	285.0	180.0	2	10.0	262.0	164.0	0	0	3.5011234283447266	1440	106.26489591598511	550	61.80555555555556	
-1612656.8428147093	35.6	10.89655172413793	283.48275862068965	178.86206896551724	-257.753583025749	18	840	64	11.0	287.0	180.0	2	9.0	262.0	164.0	0	0	3.6357853412628174	1520	109.90068125724792	573	62.30263157894737	
-1412646.4268348129	36.3375	10.5625	272.5625	171.75	-257.753583025749	19	888	67	11.0	293.0	182.0	2	9.0	188.0	118.0	0	0	3.6349213123321533	1600	113.53560256958008	597	62.6875	
