ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-6962590.4379237	100.0	11.707692307692307	355.67692307692306	219.2153846153846	-473.2523961591532	0	15	100	20.0	649.0	389.0	100	8.0	177.0	110.0	0	0	10.629466772079468	80	10.629466772079468	65	18.75	
-4925135.426570357	100.0	11.43859649122807	351.2631578947368	216.78947368421052	-473.2523961591532	1	38	193	17.0	581.0	354.0	7	9.0	212.0	132.0	0	0	7.417039155960083	160	18.04650592803955	117	26.875	
-5000150.176680248	92.9375	11.307692307692308	363.61538461538464	223.19230769230768	-466.01008853580566	2	66	179	16.0	736.0	446.0	7	9.0	209.0	130.0	0	0	8.67534589767456	240	26.72185182571411	165	31.25	
-4400127.087846068	95.2375	10.92	361.8	222.06	-466.01008853580566	3	96	155	14.0	577.0	349.0	7	9.0	199.0	124.0	0	0	8.586429119110107	320	35.30828094482422	211	34.0625	
-4162604.2514666542	90.675	11.04	357.18	219.38	-308.64158853529835	4	126	145	19.0	572.0	352.0	7	9.0	224.0	140.0	0	0	8.395900964736938	400	43.70418190956116	257	35.75	
-5387571.719158511	97.5625	11.267857142857142	354.48214285714283	218.26785714285714	-308.64158853529835	5	150	163	16.0	671.0	404.0	2	9.0	196.0	122.0	0	0	8.98005986213684	480	52.684241771698	309	35.625	
-4100115.332887669	92.9625	11.764705882352942	375.7450980392157	231.0	-302.954176639788	6	179	202	16.0	598.0	370.0	2	9.0	211.0	132.0	0	0	8.161048173904419	560	60.84528994560242	356	36.42857142857143	
-3487587.2144748764	88.375	11.511627906976743	369.9767441860465	227.65116279069767	-302.954176639788	7	216	155	19.0	588.0	359.0	2	10.0	254.0	157.0	0	0	7.189949035644531	640	68.03523898124695	395	38.28125	
-4687625.235334398	98.025	11.183333333333334	352.78333333333336	217.56666666666666	-302.954176639788	8	236	185	19.0	508.0	312.0	2	9.0	227.0	139.0	0	0	9.754158973693848	720	77.7893979549408	451	37.361111111111114	
-3862643.6965586483	97.1	11.142857142857142	341.4761904761905	210.22222222222223	-301.4868650307868	9	253	164	20.0	484.0	300.0	2	9.0	186.0	116.0	0	0	9.117717027664185	800	86.90711498260498	510	36.25000000000001	
-4025122.3071299954	99.7875	11.0	340.8	209.26666666666668	-272.51069198039056	10	273	187	16.0	738.0	438.0	13	9.0	211.0	132.0	0	0	10.540145874023438	880	97.44726085662842	566	35.68181818181819	
-4412578.8125352245	103.2	11.120689655172415	340.7931034482759	210.0344827586207	-272.51069198039056	11	295	214	18.0	557.0	338.0	1	9.0	204.0	128.0	0	0	8.444035053253174	960	105.89129590988159	620	35.41666666666666	
-3550185.2838338045	94.45	11.366666666666667	349.85	215.53333333333333	-272.51069198039056	12	315	187	16.0	629.0	377.0	1	9.0	224.0	139.0	0	0	10.526696920394897	1040	116.41799283027649	676	35.0	
-3512635.0282095945	97.725	10.693548387096774	339.0483870967742	208.16129032258064	-272.51069198039056	13	333	187	14.0	465.0	285.0	13	9.0	222.0	140.0	0	0	11.295636177062988	1120	127.71362900733948	734	34.46428571428571	
-4225151.469343938	100.0	11.015151515151516	337.57575757575756	207.65151515151516	-272.5096684366141	14	347	172	18.0	516.0	311.0	28	9.0	195.0	122.0	0	0	11.737376928329468	1200	139.45100593566895	796	33.66666666666667	
-3312592.671070707	97.0625	10.719298245614034	348.35087719298247	214.03508771929825	-271.08282507944875	15	370	177	15.0	722.0	432.0	23	9.0	219.0	138.0	0	0	9.781519174575806	1280	149.23252511024475	849	33.671875	
-3975199.414520553	98.3	10.984615384615385	350.67692307692306	215.30769230769232	-267.70053315725846	16	385	188	15.0	557.0	338.0	12	9.0	197.0	124.0	0	0	10.300094842910767	1360	159.53261995315552	910	33.08823529411765	
-3737618.4459510087	94.55	11.375	373.44642857142856	229.21428571428572	-267.70053315725846	17	409	156	16.0	707.0	446.0	23	10.0	242.0	152.0	0	0	10.926315069198608	1440	170.45893502235413	962	33.19444444444444	
-3812606.478755927	98.8125	11.047619047619047	362.3968253968254	222.73015873015873	-250.3385691671602	18	426	179	17.0	778.0	478.0	21	9.0	252.0	157.0	0	0	10.930882692337036	1520	181.38981771469116	1021	32.828947368421055	
-4400156.96431867	98.2375	10.952380952380953	359.6984126984127	220.77777777777777	-246.76593242561768	19	443	177	17.0	589.0	354.0	21	9.0	203.0	128.0	0	0	11.380190372467041	1600	192.7700080871582	1080	32.5	
-3537595.878454535	94.75	10.836065573770492	364.4590163934426	223.24590163934425	-244.34817144460575	20	462	183	16.0	757.0	447.0	15	10.0	221.0	140.0	0	0	11.410428762435913	1680	204.18043684959412	1137	32.32142857142857	
-3487596.453671743	96.875	11.032786885245901	358.4754098360656	220.24590163934425	-244.34817144460575	21	481	183	17.0	667.0	396.0	17	9.0	211.0	132.0	0	0	11.124299049377441	1760	215.30473589897156	1194	32.15909090909091	
-4600150.142083009	95.475	11.372881355932204	382.6271186440678	234.864406779661	-244.34817144460575	22	502	168	15.0	667.0	396.0	15	9.0	197.0	124.0	0	0	14.274332046508789	1840	229.57906794548035	1249	32.1195652173913	
-4037672.284932892	97.6875	10.93939393939394	370.57575757575756	226.6969696969697	-244.34817144460575	23	516	176	15.0	667.0	396.0	23	8.0	197.0	124.0	0	0	15.22352409362793	1920	244.80259203910828	1311	31.71875	
-4712627.3867321815	97.2	11.263157894736842	374.0701754385965	229.40350877192984	-244.34817144460575	24	539	198	15.0	667.0	396.0	4	8.0	181.0	114.0	0	0	13.868465900421143	2000	258.6710579395294	1364	31.799999999999997	
-3975141.904657458	98.325	11.2	382.66153846153844	234.3846153846154	-244.34817144460575	25	554	160	17.0	705.0	420.0	3	9.0	205.0	128.0	0	0	14.989309787750244	2080	273.66036772727966	1425	31.490384615384613	
-3300243.2180347657	95.65	11.140625	384.59375	235.25	-244.34817144460575	26	570	175	16.0	710.0	439.0	25	9.0	290.0	178.0	0	0	14.000455379486084	2160	287.66082310676575	1485	31.25	
-3625126.4559938265	95.775	11.309090909090909	372.8727272727273	228.5818181818182	-244.19500766744997	27	595	171	16.0	667.0	396.0	29	8.0	212.0	131.0	0	0	12.399487972259521	2240	300.06031107902527	1536	31.42857142857143	
-3725114.2030111775	97.1375	11.21311475409836	384.327868852459	235.49180327868854	-244.19500766744997	28	614	197	16.0	667.0	396.0	29	10.0	187.0	118.0	0	0	14.910818815231323	2320	314.9711298942566	1593	31.336206896551715	
-4225129.11639875	97.975	10.883333333333333	378.05	230.88333333333333	-243.8606900715836	29	634	194	15.0	667.0	396.0	6	9.0	225.0	142.0	0	0	14.538782119750977	2400	329.50991201400757	1649	31.291666666666657	
-4712690.473766781	100.2625	10.735294117647058	384.1764705882353	233.9264705882353	-243.20015369603362	30	646	198	20.0	667.0	396.0	2	8.0	191.0	120.0	0	0	19.32199192047119	2480	348.83190393447876	1713	30.92741935483872	
-3925111.4510696856	92.25	10.919354838709678	368.69354838709677	225.38709677419354	-243.20015369603362	31	664	152	20.0	667.0	396.0	2	8.0	180.0	112.0	0	0	14.131621837615967	2560	362.9635257720947	1771	30.8203125	
-5012628.041651014	95.45	10.421875	331.5	203.234375	-243.20015369603362	32	680	190	14.0	497.0	304.0	10	8.0	186.0	118.0	0	0	11.817345142364502	2640	374.78087091445923	1831	30.64393939393939	
-3512663.9144862904	97.2125	10.566666666666666	353.8833333333333	216.7	-241.66230870796204	33	700	179	14.0	527.0	320.0	21	8.0	190.0	118.0	0	0	11.05661416053772	2720	385.83748507499695	1887	30.625	
-3600190.2729056776	95.4625	11.045454545454545	365.40909090909093	224.15151515151516	-235.7676714851393	34	714	161	20.0	727.0	461.0	8	9.0	230.0	140.0	0	0	13.10754680633545	2800	398.9450318813324	1949	30.39285714285714	
-4037684.483945036	92.575	10.701492537313433	340.25373134328356	208.76119402985074	-235.7676714851393	35	727	182	14.0	667.0	396.0	18	8.0	180.0	112.0	0	0	12.692627906799316	2880	411.6376597881317	2012	30.138888888888886	
-4112648.5746611147	95.1625	11.0	355.7049180327869	218.327868852459	-235.7676714851393	36	746	182	18.0	667.0	396.0	18	8.0	194.0	122.0	0	0	12.481822967529297	2960	424.119482755661	2069	30.10135135135134	
-4762630.504954887	96.9375	10.75	365.0147058823529	223.05882352941177	-230.50091381105602	37	758	197	15.0	667.0	396.0	3	8.0	182.0	116.0	0	0	13.465525150299072	3040	437.5850079059601	2133	29.83552631578948	
-3700173.4744984442	93.7625	10.75	380.203125	232.078125	-230.50091381105602	38	774	163	16.0	670.0	397.0	9	8.0	225.0	142.0	0	0	14.173169136047363	3120	451.75817704200745	2192	29.74358974358975	
-4425171.771229183	97.5125	10.805970149253731	371.089552238806	226.56716417910448	-230.50091381105602	39	787	165	16.0	667.0	396.0	35	9.0	250.0	155.0	0	0	13.935098886489868	3200	465.6932759284973	2254	29.5625	
