ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-7237857.911472079	100.0	8.397435897435898	163.05128205128204	98.65384615384616	-281.33954684172477	0	2	100	13.0	677.0	399.0	100	6.0	93.0	57.0	0	0	21.1069974899292	80	21.1069974899292	78	2.5	
-4450483.680516893	100.0	8.8	174.38666666666666	105.41333333333333	-254.81996777042093	1	7	173	13.0	325.0	193.0	27	7.0	101.0	62.0	0	0	10.25655460357666	160	31.36355209350586	149	6.875	
-2875567.0397488275	102.775	8.91139240506329	181.1012658227848	109.39240506329114	-236.29939870547014	2	8	173	13.0	333.0	198.0	49	7.0	101.0	62.0	0	0	10.890328168869019	240	42.25388026237488	224	6.666666666666671	
-2962976.5195086724	123.45	9.025316455696203	191.73417721518987	115.58227848101266	-236.29939870547014	3	9	266	14.0	381.0	226.0	7	7.0	101.0	62.0	0	0	13.630199670791626	320	55.884079933166504	299	6.5625	
-4200400.186776662	130.4875	8.961538461538462	189.82051282051282	114.47435897435898	-206.44249431752365	4	11	215	14.0	381.0	226.0	58	7.0	101.0	62.0	0	0	12.442955493927002	400	68.3270354270935	373	6.75	
-2475503.625966196	137.65	8.784810126582279	187.1772151898734	113.0126582278481	-206.44249431752365	5	12	211	14.0	333.0	198.0	65	7.0	109.0	67.0	0	0	11.973674535751343	480	80.30070996284485	448	6.666666666666671	
-1962872.9856807615	136.95	8.8375	183.2	110.7375	-201.4311611620399	6	12	201	13	301	180	70	7	109	67	0	0	9.554667472839355	560	89.8553774356842	524	6.428571428571431	
-2937868.2292942004	152.1125	8.924050632911392	184.13924050632912	111.21518987341773	-201.4311611620399	7	13	262	15.0	437.0	259.0	14	7.0	101.0	62.0	0	0	10.382256984710693	640	100.2376344203949	599	6.40625	
-2187990.845387334	169.9625	8.9125	181.8	109.8	-201.4311611620399	8	13	248	13	317	189	55	7	101	62	0	0	10.448951721191406	720	110.6865861415863	675	6.25	
-3737961.2599374866	180.15	8.9	183.2	110.5375	-201.4311611620399	9	13	263	14	309	184	55	7	109	67	0	0	12.243655920028687	800	122.93024206161499	751	6.125	
-3425453.0892744036	191.175	8.9	187.3	112.975	-195.7770575644015	10	13	382	14	357	212	61	7	101	62	0	0	12.186268091201782	880	135.11651015281677	827	6.022727272727266	
-1975453.3144230496	186.275	9.2625	207.3	124.7125	-195.7770575644015	11	13	281	14	421	250	115	7	101	62	0	0	15.008551836013794	960	150.12506198883057	903	5.9375	
-2975415.4772877125	185.225	8.85	185.4	111.85	-190.5228110234691	12	13	281	14	365	217	95	7	101	62	0	0	12.210327625274658	1040	162.33538961410522	979	5.865384615384613	
-2912958.3086684607	189.8	8.8625	183.2	110.5375	-190.5228110234691	13	13	286	12	285	170	88	7	101	62	0	0	12.29865288734436	1120	174.63404250144958	1055	5.803571428571431	
