ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-7450359.640829983	100.0	8.75	174.3684210526316	105.3157894736842	-259.69168826211416	0	4	100	13.0	485.0	287.0	100	6.0	93.0	57.0	0	0	13.863938570022583	80	13.863938570022583	76	5.0	
-4350521.730423013	100.0	9.293333333333333	198.92	119.76	-255.7623387168852	1	9	178	13.0	485.0	287.0	22	7.0	101.0	62.0	0	0	16.73100733757019	160	30.594945907592773	147	8.125	
-3537938.053062403	99.075	9.265822784810126	211.37974683544303	126.9746835443038	-236.55344500355213	2	10	144	13.0	485.0	287.0	46	6.0	93.0	57.0	0	0	22.08110785484314	240	52.67605376243591	222	7.5	
-3912781.3102260157	95.725	9.662337662337663	215.7012987012987	129.5194805194805	-235.31569939557983	3	13	196	13.0	485.0	287.0	4	7.0	101.0	62.0	0	0	17.832023859024048	320	70.50807762145996	295	7.8125	
-3437822.1165081547	94.1875	10.025974025974026	236.16883116883116	141.54545454545453	-235.31569939557983	4	16	151	13.0	365.0	217.0	41	7.0	101.0	62.0	0	0	21.187321662902832	400	91.6953992843628	368	8.0	
-3662916.5495675006	93.8875	10.207792207792208	242.6103896103896	145.2987012987013	-235.31569939557983	5	19	195	13.0	485.0	287.0	15	7.0	101.0	62.0	0	0	22.686918020248413	480	114.3823173046112	441	8.125	
-2737886.7315695314	85.0875	10.10958904109589	249.4931506849315	149.32876712328766	-228.69929877453183	6	26	154	13.0	485.0	287.0	31	7.0	101.0	62.0	0	0	24.097273588180542	560	138.47959089279175	510	8.92857142857143	
-3687785.206942788	88.225	10.789473684210526	271.5263157894737	162.21052631578948	-228.69929877453183	7	30	156	14.0	389.0	231.0	29	7.0	101.0	62.0	0	0	29.063901901245117	640	167.54349279403687	582	9.0625	
-2912773.30859715	86.325	10.930555555555555	280.22222222222223	167.31944444444446	-220.05248348862767	8	38	154	15.0	373.0	222.0	16	7.0	101.0	62.0	0	0	29.596954822540283	720	197.14044761657715	649	9.861111111111114	
-2900388.166363613	86.125	11.095890410958905	285.986301369863	170.65753424657535	-220.05248348862767	9	45	128	13.0	469.0	278.0	50	7.0	101.0	62.0	0	0	30.397841215133667	800	227.53828883171082	718	10.25	
-3687807.9924109904	85.375	11.157142857142857	275.74285714285713	164.64285714285714	-216.13046339196816	10	55	165	15.0	373.0	222.0	5	7.0	101.0	62.0	0	0	26.4409077167511	880	253.9791965484619	784	10.909090909090907	
-3175432.127430607	85.8	10.971830985915492	286.46478873239437	170.98591549295776	-216.13046339196816	11	64	165	12.0	389.0	231.0	15	7.0	101.0	62.0	0	0	30.693304538726807	960	284.6725010871887	851	11.354166666666671	
-3450322.6086866274	85.2125	11.186666666666667	293.2133333333333	174.92	-214.8745657293526	12	69	151	14.0	389.0	231.0	19	6.0	93.0	57.0	0	0	33.40682935714722	1040	318.07933044433594	922	11.346153846153854	
