ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-7400409.442844743	100.0	8.717948717948717	175.87179487179486	106.23076923076923	-281.36283105849384	0	2	100	13.0	461.0	273.0	100	6.0	93.0	57.0	0	0	12.196988105773926	80	12.196988105773926	78	2.5	
-5025595.273730712	100.0	9.142857142857142	197.1038961038961	118.77922077922078	-281.36283105849384	1	5	146	13.0	461.0	273.0	54	7.0	101.0	62.0	0	0	12.350970268249512	160	24.547958374023438	151	5.625	
-4312881.05159664	100.075	9.18918918918919	194.0810810810811	117.06756756756756	-262.504454423539	2	11	182	14.0	461.0	273.0	18	7.0	101.0	62.0	0	0	11.154441356658936	240	35.70239973068237	221	7.916666666666671	
-2537815.390253458	100.225	9.075	193.1	116.6875	-232.558154014802	3	11	161	13	301	180	39	7	109	67	0	0	8.043988227844238	320	43.74638795852661	297	7.1875	
-3350432.0212947903	100.575	8.805194805194805	195.44155844155844	118.03896103896103	-222.7191996288908	4	14	191	13.0	317.0	189.0	9	7.0	101.0	62.0	0	0	8.682817220687866	400	52.42920517921448	370	7.5	
-3400423.2756120474	100.2875	9.233766233766234	217.88311688311688	131.11688311688312	-221.79356113444314	5	17	179	14.0	317.0	189.0	21	7.0	117.0	72.0	0	0	11.777722597122192	480	64.20692777633667	443	7.708333333333329	
-3650334.5436100424	100.0	8.831168831168831	201.36363636363637	121.33766233766234	-221.79356113444314	6	20	139	11.0	317.0	189.0	61	7.0	101.0	62.0	0	0	11.94021463394165	560	76.14714241027832	516	7.857142857142861	
-2925456.3021132774	100.0	9.157894736842104	220.57894736842104	132.60526315789474	-221.79356113444314	7	24	158	13.0	349.0	208.0	42	7.0	101.0	62.0	0	0	14.572744607925415	640	90.71988701820374	588	8.125	
-3600442.4416273446	100.725	9.153846153846153	219.56410256410257	131.96153846153845	-221.69687931761794	8	26	188	12.0	317.0	189.0	12	7.0	101.0	62.0	0	0	15.025553703308105	720	105.74544072151184	662	8.055555555555557	
-3625550.762989769	99.675	9.324675324675324	220.58441558441558	132.54545454545453	-220.01821274784123	9	29	175	13.0	397.0	236.0	12	7.0	101.0	62.0	0	0	14.876822471618652	800	120.6222631931305	735	8.125	
-3350364.7284259708	98.925	9.223684210526315	215.94736842105263	129.80263157894737	-216.96356074296529	10	33	175	12.0	341.0	203.0	36	7.0	101.0	62.0	0	0	14.673183679580688	880	135.29544687271118	807	8.295454545454547	
-3150398.553042274	104.0375	9.103896103896103	213.3116883116883	128.23376623376623	-216.96356074296529	11	36	189	14.0	381.0	226.0	28	7.0	101.0	62.0	0	0	15.564425468444824	960	150.859872341156	880	8.333333333333343	
-4112825.9616313353	100.0	9.177215189873417	219.48101265822785	131.84810126582278	-216.96356074296529	12	37	143	13.0	397.0	236.0	57	7.0	101.0	62.0	0	0	17.323070526123047	1040	168.18294286727905	955	8.173076923076934	
-3775324.0122583313	100.0	9.157894736842104	214.57894736842104	129.0	-207.71812164577267	13	41	149	12.0	357.0	212.0	51	7.0	101.0	62.0	0	0	14.710368871688843	1120	182.8933117389679	1027	8.30357142857143	
-3612833.6534138694	100.0	9.189873417721518	215.32911392405063	129.41772151898735	-205.74726940341048	14	42	180	14.0	389.0	231.0	20	7.0	101.0	62.0	0	0	23.074028968811035	1200	205.96734070777893	1102	8.166666666666671	
-3600317.760484735	100.0	9.093333333333334	216.52	130.12	-205.74726940341048	15	47	198	13.0	381.0	226.0	2	7.0	101.0	62.0	0	0	24.7766592502594	1280	230.74399995803833	1173	8.359375	
-2412923.096305486	99.7	9.24	224.52	134.86666666666667	-198.58764037233004	16	52	166	11.0	325.0	194.0	34	7.0	109.0	67.0	0	0	22.472025156021118	1360	253.21602511405945	1244	8.529411764705884	
-4038092.1219931217	100.125	9.092105263157896	214.05263157894737	128.71052631578948	-198.58764037233004	17	56	191	13.0	365.0	217.0	9	7.0	101.0	62.0	0	0	22.605114936828613	1440	275.82114005088806	1316	8.611111111111114	
-4112856.5043016225	98.8625	9.151898734177216	211.37974683544303	127.07594936708861	-198.58764037233004	18	57	151	12.0	389.0	231.0	9	7.0	109.0	67.0	0	0	26.255160093307495	1520	302.07630014419556	1391	8.486842105263165	
-4312809.7490717005	100.0	9.15	214.1	128.7375	-198.58764037233004	19	57	142	12	373	222	58	7	109	67	0	0	24.687095165252686	1600	326.76339530944824	1467	8.3125	
-3587898.5856808266	98.675	9.16	224.62666666666667	134.94666666666666	-194.9289550479748	20	62	188	11.0	373.0	222.0	12	7.0	109.0	67.0	0	0	24.8253493309021	1680	351.58874464035034	1538	8.452380952380949	
-3612956.2187430835	100.8375	9.039473684210526	211.10526315789474	126.9342105263158	-194.9289550479748	21	66	216	12.0	325.0	194.0	11	7.0	109.0	67.0	0	0	24.290345907211304	1760	375.87909054756165	1610	8.522727272727266	
-4162902.8714054497	100.4875	9.164556962025317	218.36708860759492	131.21518987341773	-194.9289550479748	22	67	142	12.0	357.0	212.0	58	7.0	109.0	67.0	0	0	26.235647201538086	1840	402.11473774909973	1685	8.423913043478265	
-4325353.792004572	100.0	9.233766233766234	211.44155844155844	127.12987012987013	-194.9289550479748	23	70	164	12.0	357.0	212.0	36	7.0	109.0	67.0	0	0	23.099812030792236	1920	425.21454977989197	1757	8.489583333333329	
-3450336.7027475475	98.125	9.305555555555555	223.0	133.875	-194.9289550479748	24	78	178	13.0	357.0	212.0	6	7.0	101.0	62.0	0	0	26.766714096069336	2000	451.9812638759613	1825	8.75	
-4275321.106050104	104.3875	9.177215189873417	216.9493670886076	130.43037974683546	-194.9289550479748	25	79	178	13.0	365.0	217.0	44	7.0	109.0	67.0	0	0	23.513733625411987	2080	475.4949975013733	1900	8.65384615384616	
-3212910.7640173463	99.8125	9.302631578947368	221.0	132.75	-194.9289550479748	26	83	164	13.0	349.0	208.0	36	7.0	101.0	62.0	0	0	25.144103288650513	2160	500.6391007900238	1972	8.703703703703695	
-3987848.47330645	100.0	9.448717948717949	215.56410256410257	129.53846153846155	-194.9289550479748	27	85	164	13.0	381.0	226.0	36	7.0	101.0	62.0	0	0	23.157559871673584	2240	523.7966606616974	2046	8.660714285714292	
-3475346.824673392	100.0	9.423076923076923	213.71794871794873	128.46153846153845	-194.89980883734373	28	87	167	11.0	317.0	189.0	33	7.0	101.0	62.0	0	0	22.23220658302307	2320	546.0288672447205	2120	8.620689655172413	
-4400235.4867831515	100.0	9.454545454545455	218.71428571428572	131.3896103896104	-194.89980883734373	29	90	173	12.0	349.0	208.0	27	7.0	101.0	62.0	0	0	23.771552801132202	2400	569.8004200458527	2193	8.625	
-4262825.335594952	99.5	9.263157894736842	215.31578947368422	129.39473684210526	-194.89980883734373	30	94	167	12.0	325.0	194.0	33	7.0	101.0	62.0	0	0	22.773736715316772	2480	592.5741567611694	2265	8.66935483870968	
-4162727.6559526594	100.075	9.266666666666667	214.06666666666666	128.64	-194.89980883734373	31	99	165	12.0	317.0	189.0	35	7.0	101.0	62.0	0	0	23.794307708740234	2560	616.3684644699097	2336	8.75	
-4050264.9735128107	99.9	9.128205128205128	211.35897435897436	127.07692307692308	-194.89980883734373	32	101	127	12.0	333.0	198.0	74	7.0	101.0	62.0	0	0	23.28869366645813	2640	639.6571581363678	2410	8.712121212121218	
-3575288.802310966	99.35	9.319444444444445	224.88888888888889	135.01388888888889	-191.52521883109483	33	109	171	13.0	469.0	278.0	29	7.0	101.0	62.0	0	0	22.45233964920044	2720	662.1094977855682	2477	8.933823529411768	
-2987823.8463593395	100.9125	9.246753246753247	219.33766233766235	131.7792207792208	-191.2953509298705	34	112	184	13.0	469.0	278.0	16	7.0	101.0	62.0	0	0	23.58041524887085	2800	685.6899130344391	2550	8.92857142857143	
-3900306.8782370538	99.375	9.166666666666666	217.92307692307693	130.92307692307693	-191.2953509298705	35	114	135	11.0	373.0	222.0	50	7.0	101.0	62.0	0	0	24.081201791763306	2880	709.7711148262024	2624	8.888888888888886	
-3075370.2673427444	99.375	9.217948717948717	215.35897435897436	129.39743589743588	-191.2953509298705	36	116	158	13.0	317.0	189.0	42	7.0	101.0	62.0	0	0	23.603656768798828	2960	733.3747715950012	2698	8.851351351351354	
-3287794.5697311396	100.0	9.064102564102564	213.0	128.06410256410257	-191.2953509298705	37	118	164	11.0	357.0	212.0	36	7.0	101.0	62.0	0	0	23.225317001342773	3040	756.600088596344	2771	8.848684210526315	
-2700230.4846390635	100.0	9.063291139240507	210.67088607594937	126.64556962025317	-191.04652937333685	38	119	159	14.0	293.0	175.0	41	7.0	101.0	62.0	0	0	23.53116250038147	3120	780.1312510967255	2846	8.782051282051285	
-3375227.7533586426	100.0	9.051948051948052	213.62337662337663	128.42857142857142	-191.04652937333685	39	122	173	10.0	325.0	194.0	27	7.0	101.0	62.0	0	0	22.17808175086975	3200	802.3093328475952	2919	8.78125	
-3775305.1991535546	100.0	9.246753246753247	219.44155844155844	131.84415584415584	-191.04652937333685	40	125	164	12.0	317.0	189.0	36	8.0	125.0	76.0	0	0	22.370158672332764	3280	824.679491519928	2992	8.78048780487805	
-3400383.0527330516	100.0	9.24	213.96	128.65333333333334	-191.04652937333685	41	130	176	11.0	293.0	175.0	24	7.0	101.0	62.0	0	0	19.92528486251831	3360	844.6047763824463	3063	8.839285714285722	
-2562907.83780173	100.0	9.113924050632912	212.69620253164558	127.88607594936708	-191.04652937333685	42	131	191	11.0	317.0	189.0	9	7.0	117.0	72.0	0	0	22.433061361312866	3440	867.0378377437592	3138	8.779069767441854	
-4050242.248031427	100.0	9.25	215.6	129.6	-191.04652937333685	43	131	108	12	293	175	92	8	125	76	0	0	22.933220863342285	3520	889.9710586071014	3214	8.693181818181813	
-3250427.1779392725	100.0	9.2375	218.2	131.125	-191.04652937333685	44	131	150	12	293	175	50	8	133	81	0	0	23.175065755844116	3600	913.1461243629456	3289	8.638888888888886	
-3850382.4570937715	100.0	9.227848101265822	217.7594936708861	130.84810126582278	-191.04652937333685	45	132	140	14.0	373.0	222.0	60	7.0	109.0	67.0	0	0	23.650084972381592	3680	936.7962093353271	3364	8.586956521739125	
-4137886.0189387063	100.35	9.342105263157896	219.6315789473684	131.97368421052633	-191.04652937333685	46	136	166	11.0	301.0	180.0	34	7.0	109.0	67.0	0	0	21.91513681411743	3760	958.7113461494446	3436	8.61702127659575	
-3875411.8522089324	103.6375	9.289473684210526	213.6315789473684	128.42105263157896	-189.459165927472	47	140	167	12.0	309.0	184.0	33	7.0	101.0	62.0	0	0	22.153485536575317	3840	980.8648316860199	3508	8.645833333333329	
-4087835.2352473093	105.0	9.155844155844155	216.42857142857142	130.05194805194805	-189.459165927472	48	143	177	10.0	341.0	203.0	23	7.0	117.0	72.0	0	0	23.759130239486694	3920	1004.6239619255066	3581	8.647959183673464	
-4862816.697178305	103.2	9.116883116883116	211.02597402597402	126.8961038961039	-188.64184381479893	49	146	177	11.0	341.0	203.0	63	7.0	101.0	62.0	0	0	22.242241859436035	4000	1026.8662037849426	3654	8.650000000000006	
-3838045.0317874914	104.45	9.233766233766234	215.4935064935065	129.54545454545453	-188.64184381479893	50	149	198	16.0	365.0	217.0	2	7.0	109.0	67.0	0	0	22.64293122291565	4080	1049.5091350078583	3726	8.67647058823529	
-4550340.126197185	100.6125	9.546666666666667	227.29333333333332	136.44	-188.64184381479893	51	154	186	11.0	365.0	217.0	2	8.0	133.0	81.0	0	0	25.039249420166016	4160	1074.5483844280243	3797	8.725961538461533	
-3275365.340238396	93.625	9.602739726027398	229.986301369863	138.013698630137	-188.64184381479893	52	161	177	14.0	677.0	399.0	2	8.0	141.0	86.0	0	0	35.39673948287964	4240	1109.945123910904	3866	8.820754716981128	
-4175315.6307935417	99.1	9.454545454545455	222.87012987012986	133.8181818181818	-188.64184381479893	53	164	184	12.0	325.0	194.0	16	8.0	133.0	81.0	0	0	25.403221607208252	4320	1135.3483455181122	3938	8.842592592592595	
-3700276.6262476384	100.2	9.628205128205128	227.15384615384616	136.34615384615384	-188.36979995186053	54	166	150	12.0	349.0	208.0	50	7.0	109.0	67.0	0	0	24.795390129089355	4400	1160.1437356472015	4011	8.840909090909093	
-4462836.536251819	100.625	9.605263157894736	220.78947368421052	132.6578947368421	-188.0269684616981	55	170	185	11.0	349.0	208.0	15	7.0	109.0	67.0	0	0	21.050100564956665	4480	1181.1938362121582	4083	8.861607142857139	
-3387953.0806380818	96.6	9.608108108108109	212.8918918918919	128.01351351351352	-188.0269684616981	56	176	154	11.0	349.0	208.0	15	7.0	109.0	67.0	0	0	20.956820964813232	4560	1202.1506571769714	4153	8.925438596491233	
