ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-937505.7723437191	100.0	11.549295774647888	343.85915492957747	211.6338028169014	-38.9279201935882	0	9	100	17.0	636.0	390.0	100	9.0	212.0	132.0	0	0	3.6242003440856934	80	3.6242003440856934	71	11.25	
-900008.3219723295	100.0	11.757575757575758	374.92424242424244	230.72727272727272	-38.9279201935882	1	23	188	17.0	659.0	408.0	12	9.0	204.0	128.0	0	0	3.232787847518921	160	6.856988191604614	133	16.875	
-800015.7062774105	99.2875	10.317460317460318	313.46031746031747	192.22222222222223	-27.89687182126908	2	40	163	16.0	685.0	410.0	37	8.0	192.0	120.0	0	0	2.9885761737823486	240	9.845564365386963	192	20.0	
-750028.701471796	101.4	10.615384615384615	311.3692307692308	191.55384615384617	-27.89687182126908	3	55	198	18.0	577.0	348.0	2	8.0	173.0	108.0	0	0	2.9308159351348877	320	12.77638030052185	253	20.9375	
-675022.2497171744	103.55	10.892307692307693	327.61538461538464	201.2	-27.89687182126908	4	70	236	16.0	800.0	481.0	2	8.0	176.0	110.0	0	0	3.4544408321380615	400	16.230821132659912	314	21.5	
-612522.8864989845	106.675	10.533333333333333	321.2266666666667	197.05333333333334	-27.89687182126908	5	75	236	15.0	644.0	391.0	9	8.0	210.0	132.0	0	0	3.4787609577178955	480	19.709582090377808	385	19.791666666666657	
-587527.7218698825	104.2875	10.13888888888889	299.80555555555554	184.11111111111111	-27.89687182126908	6	83	146	13.0	459.0	278.0	67	8.0	204.0	127.0	0	0	2.8750860691070557	560	22.584668159484863	453	19.10714285714286	
-612528.4679944435	107.3	10.162162162162161	290.5945945945946	178.7972972972973	-27.542855039634752	7	89	193	13.0	499.0	301.0	51	8.0	207.0	130.0	0	0	2.9789891242980957	640	25.56365728378296	523	18.28125	
-587530.0956195531	107.75	10.32394366197183	291.943661971831	179.74647887323943	-26.734521409136725	8	98	198	15.0	533.0	314.0	23	8.0	199.0	124.0	0	0	3.047531843185425	720	28.611189126968384	590	18.055555555555557	
-675024.1322184613	106.65	10.591549295774648	308.3098591549296	189.2112676056338	-26.463841442697436	9	107	199	16.0	577.0	345.0	3	8.0	203.0	128.0	0	0	3.2786149978637695	800	31.889804124832153	657	17.875	
-637523.4423938466	107.975	10.352112676056338	295.0281690140845	181.56338028169014	-26.28494960295043	10	116	208	16.0	501.0	297.0	10	8.0	173.0	108.0	0	0	3.3546130657196045	880	35.24441719055176	724	17.72727272727272	
-662514.1685775366	106.85	10.25	302.05882352941177	185.52941176470588	-26.28494960295043	11	128	254	14.0	556.0	333.0	10	8.0	173.0	108.0	0	0	3.805988073348999	960	39.05040526390076	788	17.91666666666667	
-612520.7139814316	119.7625	10.424242424242424	301.3787878787879	184.57575757575756	-25.648005150639015	12	142	270	14.0	507.0	309.0	22	8.0	175.0	110.0	0	0	4.157956838607788	1040	43.208362102508545	850	18.269230769230774	
-825012.8463702342	120.9375	10.67605633802817	297.4225352112676	182.5211267605634	-25.631301653982558	13	151	270	18.0	475.0	285.0	7	8.0	172.0	108.0	0	0	4.095851898193359	1120	47.304214000701904	917	18.125	
-737515.1231537107	110.325	10.5	293.1470588235294	180.77941176470588	-23.36101020287007	14	163	254	18.0	532.0	332.0	22	8.0	185.0	116.0	0	0	3.3695921897888184	1200	50.67380619049072	981	18.25	
