ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-7925172.4090979	100.0	11.407894736842104	246.03947368421052	156.01315789473685	-251.70732234267282	0	4	100	23.0	443.0	272.0	100	9.0	139.0	90.0	0	0	9.899205923080444	80	9.899205923080444	76	5.0	
-5662778.847133095	100.0	12.470588235294118	274.75	173.51470588235293	-251.70732234267282	1	15	169	23.0	522.0	326.0	31	9.0	140.0	91.0	0	0	8.938711166381836	160	18.83791708946228	141	11.875	
-5087723.500914326	93.425	14.032786885245901	287.4590163934426	182.70491803278688	-225.43068284630866	2	34	177	24.0	615.0	387.0	17	8.0	116.0	75.0	0	0	8.266262769699097	240	27.104179859161377	198	17.5	
-3550207.879790558	87.25	14.5	307.6730769230769	194.82692307692307	-225.43068284630866	3	62	130	23.0	572.0	344.0	19	8.0	134.0	86.0	0	0	7.666650056838989	320	34.770829916000366	246	23.125	
-3500166.454786363	83.625	13.224489795918368	267.7551020408163	169.46938775510205	-219.7520012203164	4	93	178	25.0	759.0	491.0	19	8.0	134.0	86.0	0	0	6.344975233078003	400	41.11580514907837	291	27.25	
-4362656.772047745	84.125	11.912280701754385	249.33333333333334	157.78947368421052	-219.7520012203164	5	116	180	25.0	423.0	273.0	22	8.0	105.0	68.0	0	0	6.978696823120117	480	48.094501972198486	342	28.75	
-3950197.8539969446	93.3625	11.725806451612904	248.29032258064515	156.17741935483872	-199.17901034962657	6	134	180	17.0	449.0	277.0	21	8.0	116.0	75.0	0	0	8.251553058624268	560	56.346055030822754	400	28.57142857142857	
-4075274.9144322188	96.2	12.184615384615384	247.43076923076924	155.7076923076923	-199.17901034962657	7	149	179	21.0	394.0	241.0	21	8.0	129.0	83.0	0	0	8.28369688987732	640	64.62975192070007	461	27.96875	
-3612820.5315999137	101.7875	12.173913043478262	272.42028985507244	170.7391304347826	-189.2145271346705	8	160	179	20.0	449.0	275.0	53	10.0	198.0	127.0	0	0	8.790821075439453	720	73.42057299613953	526	26.944444444444443	
-5300262.727800349	100.95	11.742857142857142	273.0857142857143	170.87142857142857	-189.2145271346705	9	170	185	17.0	428.0	268.0	15	8.0	167.0	106.0	0	0	10.031392812728882	800	83.45196580886841	592	26.0	
-4562737.60926289	99.3875	11.304347826086957	272.15942028985506	169.84057971014494	-165.93759512552015	10	181	182	17.0	419.0	261.0	15	9.0	141.0	91.0	0	0	9.463869333267212	880	92.91583514213562	657	25.340909090909093	
-4700271.767267453	101.225	11.253521126760564	267.0281690140845	166.77464788732394	-156.65661011824588	11	190	182	15.0	418.0	265.0	18	9.0	159.0	102.0	0	0	9.18328595161438	960	102.09912109375	724	24.58333333333333	
-5000214.391890539	99.7875	11.119402985074627	277.35820895522386	172.61194029850745	-156.65661011824588	12	203	160	15.0	539.0	338.0	40	10.0	174.0	110.0	0	0	10.2220618724823	1040	112.3211829662323	785	24.519230769230774	
-4012822.298749988	106.45	10.91044776119403	267.43283582089555	166.50746268656715	-156.65661011824588	13	216	208	19.0	479.0	290.0	42	8.0	165.0	106.0	0	0	9.150643110275269	1120	121.47182607650757	848	24.285714285714292	
-4125295.482991396	104.6125	10.791666666666666	267.40277777777777	166.38888888888889	-156.65661011824588	14	224	206	19.0	516.0	309.0	46	8.0	151.0	96.0	0	0	10.817807912826538	1200	132.2896339893341	916	23.66666666666667	
-4637802.685357529	103.8	11.18840579710145	270.95652173913044	169.1014492753623	-156.65661011824588	15	235	199	17.0	416.0	260.0	1	9.0	170.0	109.0	0	0	10.02891492843628	1280	142.31854891777039	981	23.359375	
-4512711.640149573	99.5125	11.352941176470589	270.61764705882354	169.41176470588235	-150.31763980243028	16	247	169	16.0	463.0	289.0	40	9.0	159.0	101.0	0	0	9.07019591331482	1360	151.3887448310852	1044	23.235294117647058	
-4737742.544433728	100.7875	11.015151515151516	252.46969696969697	158.53030303030303	-150.31763980243028	17	261	178	16.0	398.0	251.0	35	8.0	141.0	91.0	0	0	8.431133270263672	1440	159.81987810134888	1106	23.194444444444443	
-4712785.790175954	99.1625	11.432835820895523	268.92537313432837	168.17910447761193	-150.31763980243028	18	274	183	18.0	497.0	314.0	30	8.0	137.0	89.0	0	0	9.43408489227295	1520	169.25396299362183	1169	23.09210526315789	
-4025214.813492385	98.85	11.212121212121213	261.7121212121212	163.86363636363637	-150.31763980243028	19	288	123	16.0	409.0	252.0	30	9.0	135.0	87.0	0	0	8.170666933059692	1600	177.42462992668152	1230	23.125	
-3525398.5006354367	100.9125	10.82857142857143	263.24285714285713	164.25714285714287	-149.5916716620585	20	298	162	16.0	549.0	338.0	51	8.0	134.0	86.0	0	0	9.078169107437134	1680	186.50279903411865	1296	22.857142857142847	
-4237878.243788404	100.175	10.486486486486486	241.43243243243242	151.36486486486487	-149.5916716620585	21	304	145	13.0	349.0	217.0	55	8.0	142.0	92.0	0	0	8.776112794876099	1760	195.27891182899475	1366	22.38636363636364	
-4500383.721600835	102.275	10.773333333333333	246.36	154.22666666666666	-149.5916716620585	22	309	169	16.0	420.0	261.0	31	8.0	135.0	87.0	0	0	9.307910203933716	1840	204.58682203292847	1437	21.90217391304347	
-4225386.085869268	103.55	10.756756756756756	264.2837837837838	165.04054054054055	-149.5916716620585	23	315	172	20.0	666.0	417.0	41	8.0	167.0	106.0	0	0	10.22225284576416	1920	214.80907487869263	1507	21.51041666666667	
-4387836.331403379	104.4375	10.546666666666667	253.17333333333335	158.10666666666665	-145.4462220113122	24	320	180	15.0	456.0	281.0	60	8.0	140.0	90.0	0	0	9.961305141448975	2000	224.7703800201416	1578	21.099999999999994	
-3212790.0808917987	95.275	10.523076923076923	254.58461538461538	158.69230769230768	-145.4462220113122	25	335	169	14.0	396.0	247.0	42	8.0	184.0	117.0	0	0	8.513551950454712	2080	233.2839319705963	1638	21.25	
-5250220.445988441	99.2375	10.58108108108108	254.95945945945945	159.55405405405406	-145.4462220113122	26	341	183	14.0	380.0	237.0	17	8.0	121.0	78.0	0	0	9.71439504623413	2160	242.99832701683044	1708	20.925925925925924	
-4562788.079758817	98.5	10.619718309859154	260.4788732394366	162.53521126760563	-145.4462220113122	27	350	185	16.0	400.0	249.0	15	9.0	166.0	107.0	0	0	9.248708009719849	2240	252.2470350265503	1775	20.75892857142857	
-3800410.7838477073	100.525	10.519480519480519	254.45454545454547	158.75324675324674	-145.4462220113122	28	353	139	14.0	395.0	243.0	61	8.0	163.0	104.0	0	0	9.93699312210083	2320	262.1840281486511	1848	20.34482758620689	
-4425336.902208725	99.9875	10.732394366197184	259.5633802816901	161.9718309859155	-145.4462220113122	29	362	186	14.0	407.0	249.0	14	8.0	133.0	86.0	0	0	9.295130729675293	2400	271.4791588783264	1915	20.20833333333333	
-4912774.04973496	96.6875	10.971014492753623	250.66666666666666	156.59420289855072	-145.4462220113122	30	373	183	15.0	401.0	248.0	14	9.0	159.0	101.0	0	0	8.848884105682373	2480	280.3280429840088	1980	20.161290322580655	
-3700277.164358721	98.0625	10.942857142857143	258.5	161.67142857142858	-145.4462220113122	31	383	135	17.0	450.0	286.0	40	8.0	150.0	95.0	0	0	9.160879135131836	2560	289.4889221191406	2046	20.078125	
-3950301.423617311	100.2625	10.942857142857143	265.9	166.17142857142858	-145.4462220113122	32	393	180	19.0	513.0	329.0	20	8.0	167.0	106.0	0	0	9.30831265449524	2640	298.79723477363586	2112	20.0	
-4175297.9857542054	97.375	11.057142857142857	256.74285714285713	160.35714285714286	-145.4462220113122	33	403	142	16.0	463.0	286.0	23	8.0	149.0	96.0	0	0	8.841231107711792	2720	307.63846588134766	2178	19.92647058823529	
-4275290.209454318	100.5125	11.0	248.5211267605634	155.28169014084506	-145.4462220113122	34	412	182	15.0	408.0	249.0	18	8.0	167.0	106.0	0	0	9.124615907669067	2800	316.7630817890167	2245	19.82142857142857	
-4587950.332850814	105.7875	11.039473684210526	253.02631578947367	158.3421052631579	-144.2006174563976	35	416	192	20.0	507.0	310.0	8	7.0	108.0	70.0	0	0	10.508500099182129	2880	327.27158188819885	2317	19.548611111111114	
-4200384.808642501	104.9875	10.916666666666666	258.0416666666667	161.31944444444446	-144.2006174563976	36	424	193	15.0	447.0	272.0	19	9.0	160.0	102.0	0	0	10.203393936157227	2960	337.4749758243561	2385	19.425675675675677	
-4175352.370158174	101.35	10.73611111111111	261.8333333333333	163.52777777777777	-143.46561093158155	37	432	194	16.0	463.0	282.0	16	8.0	143.0	92.0	0	0	9.714685201644897	3040	347.189661026001	2453	19.309210526315795	
-4325307.429432168	108.4	10.685714285714285	255.05714285714285	159.18571428571428	-143.46561093158155	38	442	201	16.0	510.0	313.0	26	8.0	167.0	106.0	0	0	9.662445783615112	3120	356.8521068096161	2519	19.26282051282051	
-3900359.633233183	100.85	10.5	256.54411764705884	159.9264705882353	-143.46561093158155	39	454	161	15.0	395.0	247.0	26	8.0	135.0	87.0	0	0	8.507119178771973	3200	365.35922598838806	2583	19.28125	
-4350328.469725368	99.825	10.788732394366198	256.3098591549296	159.8732394366197	-143.46561093158155	40	463	181	16.0	449.0	278.0	19	9.0	189.0	119.0	0	0	10.006095886230469	3280	375.36532187461853	2650	19.207317073170728	
-4212746.0448499825	102.3375	10.892307692307693	262.87692307692305	164.46153846153845	-143.46561093158155	41	478	184	15.0	420.0	258.0	16	10.0	171.0	109.0	0	0	8.590840101242065	3360	383.9561619758606	2711	19.31547619047619	
-4300304.457118626	100.2125	10.771428571428572	250.47142857142856	156.47142857142856	-143.46561093158155	42	488	185	15.0	399.0	249.0	43	8.0	154.0	100.0	0	0	8.603935956954956	3440	392.56009793281555	2776	19.30232558139535	
-3650325.248380712	99.3875	10.81159420289855	258.0869565217391	161.2463768115942	-143.46561093158155	43	499	148	17.0	665.0	419.0	50	8.0	167.0	106.0	0	0	9.428436040878296	3520	401.98853397369385	2841	19.28977272727272	
-4162797.3097136198	100.3	11.085714285714285	269.22857142857146	168.0857142857143	-143.46561093158155	44	509	194	16.0	459.0	286.0	6	9.0	175.0	110.0	0	0	9.764153003692627	3600	411.7526869773865	2907	19.25	
-4250398.718484983	95.9875	11.095890410958905	263.8767123287671	165.04109589041096	-143.46561093158155	45	516	137	15.0	406.0	248.0	23	8.0	156.0	98.0	0	0	10.718072891235352	3680	422.4707598686218	2976	19.130434782608702	
-4550258.736073238	98.3	10.696969696969697	256.6212121212121	160.15151515151516	-143.46561093158155	46	530	167	14.0	394.0	247.0	23	9.0	160.0	102.0	0	0	9.25643014907837	3760	431.7271900177002	3038	19.202127659574458	
-4137744.3503195047	96.925	11.149253731343284	261.2686567164179	163.50746268656715	-143.46561093158155	47	543	174	17.0	494.0	316.0	26	8.0	155.0	98.0	0	0	9.426748037338257	3840	441.15393805503845	3101	19.24479166666667	
-4325280.955280116	98.7375	11.0	261.55882352941177	163.52941176470588	-143.46561093158155	48	555	174	17.0	457.0	295.0	25	8.0	167.0	106.0	0	0	9.303115844726562	3920	450.457053899765	3165	19.26020408163265	
-3450397.8899649284	94.15	10.893939393939394	262.3787878787879	163.6060606060606	-143.46561093158155	49	569	125	15.0	409.0	252.0	25	10.0	179.0	115.0	0	0	9.193593978881836	4000	459.65064787864685	3226	19.349999999999994	
-4287950.349531631	99.375	10.56338028169014	256.056338028169	159.94366197183098	-143.46561093158155	50	578	164	15.0	399.0	247.0	36	8.0	159.0	104.0	0	0	9.076813220977783	4080	468.72746109962463	3291	19.338235294117652	
-4225368.978874729	98.975	10.986301369863014	264.5342465753425	164.56164383561645	-143.46561093158155	51	585	164	16.0	443.0	278.0	36	10.0	164.0	106.0	0	0	10.27291488647461	4160	479.00037598609924	3360	19.230769230769226	
-4950294.256672469	99.1375	10.902777777777779	264.18055555555554	164.91666666666666	-143.46561093158155	52	593	164	18.0	499.0	313.0	31	8.0	154.0	99.0	0	0	10.128299951553345	4240	489.1286759376526	3427	19.174528301886795	
-4437820.737158384	102.25	11.492753623188406	282.536231884058	176.34782608695653	-143.46561093158155	53	604	172	17.0	547.0	351.0	28	10.0	164.0	105.0	0	0	10.052052021026611	4320	499.1807279586792	3492	19.16666666666667	
-3725302.316841641	98.575	11.380281690140846	285.83098591549293	177.67605633802816	-143.1404940493277	54	613	168	21.0	458.0	280.0	32	10.0	184.0	116.0	0	0	10.637859106063843	4400	509.81858706474304	3559	19.11363636363636	
-5187763.896246838	99.0375	11.324324324324325	265.63513513513516	166.1216216216216	-143.1404940493277	55	619	179	21.0	547.0	343.0	21	8.0	134.0	86.0	0	0	10.046445846557617	4480	519.8650329113007	3629	18.995535714285722	
-3962865.9594748616	97.6	10.957142857142857	259.98571428571427	162.27142857142857	-142.1971597670892	56	629	191	15.0	437.0	267.0	2	8.0	160.0	103.0	0	0	9.980019807815552	4560	529.8450527191162	3695	18.969298245614027	
-4300403.486552268	99.7875	10.768115942028986	246.68115942028984	153.97101449275362	-142.1971597670892	57	640	192	15.0	361.0	221.0	8	9.0	164.0	106.0	0	0	9.089339256286621	4640	538.9343919754028	3759	18.98706896551724	
-4487818.310415192	99.4125	10.878378378378379	254.01351351351352	159.2027027027027	-142.1971597670892	58	646	192	15.0	457.0	291.0	7	8.0	137.0	88.0	0	0	9.521370887756348	4720	548.4557628631592	3829	18.877118644067792	
-3987909.8487479673	101.45	11.271428571428572	264.5571428571429	165.87142857142857	-138.81285391333938	59	656	192	17.0	467.0	291.0	8	9.0	151.0	96.0	0	0	9.524476051330566	4800	557.9802389144897	3895	18.85416666666667	
-4412785.669276114	94.6	11.232876712328768	258.7945205479452	162.2054794520548	-138.81285391333938	60	663	192	18.0	438.0	277.0	8	8.0	166.0	106.0	0	0	9.70564317703247	4880	567.6858820915222	3963	18.790983606557376	
-4612769.305265621	94.575	11.097222222222221	251.90277777777777	157.55555555555554	-138.81285391333938	61	671	171	15.0	406.0	248.0	29	9.0	156.0	101.0	0	0	9.972429752349854	4960	577.6583118438721	4031	18.72983870967741	
-4425238.641078744	96.2625	11.057142857142857	247.54285714285714	155.1	-138.81285391333938	62	681	175	15.0	383.0	235.0	28	9.0	139.0	90.0	0	0	9.511620998382568	5040	587.1699328422546	4097	18.710317460317455	
-5537736.587592068	96.0125	11.211267605633802	248.49295774647888	156.19718309859155	-138.81285391333938	63	690	194	17.0	439.0	281.0	6	8.0	142.0	92.0	0	0	8.990442037582397	5120	596.160374879837	4164	18.671875	
-4387772.3730361145	87.675	11.327868852459016	266.655737704918	167.37704918032787	-138.81285391333938	64	709	194	15.0	481.0	301.0	21	8.0	149.0	96.0	0	0	8.301462173461914	5200	604.461837053299	4221	18.82692307692308	
-4112728.840852914	89.6125	11.233333333333333	251.58333333333334	158.23333333333332	-138.81285391333938	65	729	194	15.0	402.0	256.0	21	8.0	149.0	96.0	0	0	7.801033973693848	5280	612.2628710269928	4277	18.996212121212125	
-3912745.0386315724	92.6875	11.138461538461538	249.8923076923077	156.76923076923077	-138.81285391333938	66	744	180	21.0	457.0	288.0	20	8.0	145.0	94.0	0	0	8.931289911270142	5360	621.1941609382629	4338	19.06716417910448	
-4212746.803631676	96.0875	10.91044776119403	239.43283582089552	150.34328358208955	-138.81285391333938	67	757	180	16.0	381.0	238.0	20	8.0	157.0	100.0	0	0	8.211781978607178	5440	629.4059429168701	4401	19.099264705882362	
