ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-7316856.543946532	100.0	8.391891891891891	135.43243243243242	81.91891891891892	-299.7173659168091	0	6	100	14.0	307.0	182.0	100	6.0	75.0	46.0	0	0	5.427546977996826	80	5.427546977996826	74	7.5	
-5163092.059698508	100.0	8.726027397260275	150.3972602739726	90.78082191780823	-299.7173659168091	1	13	165	11.0	243.0	145.0	35	6.0	75.0	46.0	0	0	5.182410955429077	160	10.609957933425903	143	10.625	
-3012960.942312654	98.3	8.943661971830986	161.08450704225353	97.08450704225352	-226.49618572969217	2	22	165	11.0	251.0	150.0	35	7.0	83.0	51.0	0	0	5.2271411418914795	240	15.837099075317383	210	12.5	
-3362869.8512105467	103.15	8.85	166.2	100.275	-226.49618572969217	3	22	253	12	275	164	31	6	75	46	0	0	5.023221969604492	320	20.860321044921875	286	10.625	
-2487927.483491496	101.175	8.846153846153847	169.15384615384616	102.02564102564102	-226.49618572969217	4	24	175	12.0	315.0	187.0	25	7.0	83.0	51.0	0	0	4.9234938621521	400	25.783814907073975	360	10.0	
-2925413.2468685945	95.8125	8.810126582278482	164.72151898734177	99.36708860759494	-222.97302870348395	5	25	175	13.0	251.0	150.0	19	7.0	83.0	51.0	0	0	4.961895227432251	480	30.745710134506226	435	9.375	
-2862859.753812009	81.825	8.949367088607595	172.41772151898735	103.86075949367088	-222.97302870348395	6	26	146	13.0	251.0	150.0	20	6.0	75.0	46.0	0	0	5.256623983383179	560	36.002334117889404	510	8.92857142857143	
-2287805.0203124275	74.5	8.894736842105264	177.10526315789474	106.5657894736842	-214.86719265648279	7	30	125	14.0	275.0	164.0	7	7.0	83.0	51.0	0	0	5.282253980636597	640	41.284588098526	582	9.0625	
-3575304.299116996	69.825	8.886075949367088	174.74683544303798	105.16455696202532	-205.11007631598903	8	31	136	12.0	275.0	164.0	30	7.0	91.0	56.0	0	0	5.39179801940918	720	46.67638611793518	656	8.888888888888886	
-1925336.2703145496	65.25	9.069444444444445	180.55555555555554	108.52777777777777	-201.07780423117137	9	39	122	12.0	275.0	164.0	37	7.0	83.0	51.0	0	0	5.188040018081665	800	51.864426136016846	724	9.5	
-2425386.614927733	65.75	9.03896103896104	178.27272727272728	107.18181818181819	-193.44552026247632	10	42	119	12.0	251.0	150.0	13	7.0	83.0	51.0	0	0	5.5346150398254395	880	57.399041175842285	797	9.431818181818187	
-2400450.3042193865	66.0	8.96103896103896	175.46753246753246	105.55844155844156	-193.44552026247632	11	45	128	11.0	251.0	150.0	4	7.0	83.0	51.0	0	0	5.310425758361816	960	62.7094669342041	869	9.479166666666671	
