ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-875010.0076039743	100.0	11.675324675324676	241.72727272727272	153.44155844155844	-37.49034134849716	0	3	100	18.0	444.0	277.0	100	8.0	129.0	83.0	0	0	2.092336893081665	80	2.092336893081665	77	3.75	
-675025.6278203089	100.0	11.87012987012987	259.4935064935065	164.80519480519482	-26.893589203198196	1	6	168	21.0	681.0	438.0	32	8.0	135.0	87.0	0	0	2.098098039627075	160	4.19043493270874	150	6.25	
-650030.4474025437	92.975	11.573333333333334	250.09333333333333	158.62666666666667	-26.074803182912692	2	11	153	18.0	527.0	326.0	32	9.0	131.0	85.0	0	0	2.371392011642456	240	6.561826944351196	220	8.333333333333343	
-587521.522246514	81.4625	11.63768115942029	250.17391304347825	159.43478260869566	-26.074803182912692	3	22	121	19.0	498.0	323.0	24	9.0	150.0	95.0	0	0	1.6514458656311035	320	8.2132728099823	282	11.875	
-575016.8344607616	66.3375	11.3125	220.578125	141.90625	-23.607044446076454	4	38	127	19.0	500.0	323.0	9	8.0	149.0	96.0	0	0	1.1197819709777832	400	9.333054780960083	337	15.75	
-512521.41170715226	58.4125	10.648148148148149	206.9814814814815	133.0	-23.607044446076454	5	64	137	15.0	378.0	235.0	32	8.0	138.0	89.0	0	0	0.9481642246246338	480	10.281219005584717	382	20.41666666666667	
-600020.7256337745	53.25	10.777777777777779	204.12962962962962	131.16666666666666	-23.607044446076454	6	90	100	15.0	322.0	205.0	10	9.0	148.0	96.0	0	0	0.9861178398132324	560	11.26733684539795	427	23.75	
-487527.03789163707	54.1	10.383333333333333	204.65	130.95	-23.607044446076454	7	110	197	14.0	439.0	272.0	3	8.0	151.0	96.0	0	0	1.1337759494781494	640	12.401112794876099	478	25.3125	
-500020.87707154284	43.9	10.172413793103448	197.06896551724137	127.08620689655173	-23.607044446076454	8	132	115	16.0	366.0	235.0	4	9.0	145.0	94.0	0	0	0.8274290561676025	720	13.228541851043701	522	27.5	
-487520.5189434014	43.625	10.272727272727273	197.03636363636363	126.8	-23.486175284600932	9	157	100	13.0	341.0	216.0	9	8.0	149.0	95.0	0	0	0.8274822235107422	800	14.056024074554443	566	29.25	
