ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-2181866.824411532	100.0	13.064516129032258	368.7096774193548	228.48387096774192	-1430.1856954433078	0	69	100	20.0	660.0	406.0	100	9.0	142.0	89.0	0	0	4.326026678085327	100	4.326026678085327	31	69.0	
-1600042.7689088807	100.0	13.066666666666666	388.3	240.4	-1420.9062925228695	1	137	155	17.0	636.0	397.0	45	10.0	227.0	143.0	0	0	3.441535234451294	200	7.767561912536621	59	70.5	
-1620097.8493061708	94.9	13.466666666666667	368.03333333333336	228.53333333333333	-917.5333827966813	2	205	181	20.0	691.0	437.0	39	9.0	176.0	109.0	0	0	5.376997232437134	300	13.144559144973755	87	71.0	
-1770124.7578919453	92.29	13.0	358.3414634146341	222.9512195121951	-700.3767635661782	3	264	155	20.0	604.0	374.0	39	9.0	151.0	95.0	0	0	4.689801931381226	400	17.83436107635498	124	69.0	
-2420086.2874395233	96.67	12.704545454545455	351.02272727272725	217.5	-486.7268837785336	4	320	186	16.0	634.0	391.0	14	9.0	174.0	109.0	0	0	7.728830337524414	500	25.563191413879395	164	67.19999999999999	
-1870101.2759625707	95.21	12.61111111111111	377.6388888888889	233.86111111111111	-486.7268837785336	5	384	248	17.0	791.0	493.0	27	9.0	174.0	109.0	0	0	7.711133241653442	600	33.27432465553284	196	67.33333333333334	
-1950061.9670190853	98.74	12.78125	353.21875	218.75	-486.7268837785336	6	452	248	21.0	613.0	380.0	27	9.0	184.0	115.0	0	0	4.744685411453247	700	38.019010066986084	224	68.0	
-2080049.0777879078	93.11	12.657142857142857	367.8857142857143	228.22857142857143	-257.80408837866054	7	517	166	17.0	756.0	468.0	32	10.0	217.0	134.0	0	0	5.58797287940979	800	43.606982946395874	255	68.125	
-1850088.728593143	91.76	12.433333333333334	350.43333333333334	217.46666666666667	-257.80408837866054	8	587	199	17.0	905.0	571.0	4	9.0	174.0	109.0	0	0	6.945215225219727	900	50.5521981716156	281	68.77777777777777	
-1790069.5337663167	97.43	12.833333333333334	383.5833333333333	238.02777777777777	-227.42642000842096	9	651	199	18.0	905.0	571.0	40	9.0	176.0	109.0	0	0	5.556493759155273	1000	56.108691930770874	313	68.7	
-1890065.599670409	98.92	12.88888888888889	382.8	237.55555555555554	-227.42642000842096	10	706	192	19.0	696.0	433.0	33	9.0	200.0	125.0	0	0	7.368546485900879	1100	63.47723841667175	354	67.81818181818181	
-2530069.049830919	100.2	12.30188679245283	383.3018867924528	237.35849056603774	-227.42642000842096	11	753	165	16.0	733.0	454.0	31	9.0	167.0	105.0	0	0	8.466675043106079	1200	71.94391345977783	403	66.41666666666667	
-2180033.051005132	103.15	12.770833333333334	403.6041666666667	250.60416666666666	-219.06453903879614	12	805	182	23.0	1233.0	768.0	11	9.0	146.0	91.0	0	0	10.10645604133606	1300	82.05036950111389	447	65.61538461538461	
-1880040.4946719822	100.64	12.545454545454545	358.3636363636364	223.02272727272728	-219.06453903879614	13	861	219	18.0	722.0	455.0	11	9.0	204.0	126.0	0	0	7.331517696380615	1400	89.3818871974945	487	65.21428571428572	
-1860049.9556276002	95.04	12.659090909090908	349.75	217.79545454545453	-208.07375168467783	14	917	181	18.0	726.0	457.0	11	9.0	167.0	105.0	0	0	6.243428468704224	1500	95.62531566619873	527	64.86666666666667	
-1600065.9437805063	93.92	12.673913043478262	354.89130434782606	221.2608695652174	-208.07375168467783	15	971	155	20.0	769.0	472.0	16	9.0	174.0	109.0	0	0	8.335133075714111	1600	103.96044874191284	569	64.4375	
-1860108.6223989548	96.84	12.407407407407407	323.0	201.27777777777777	-208.07375168467783	16	1017	161	23.0	569.0	352.0	12	9.0	197.0	122.0	0	0	10.073382377624512	1700	114.03383111953735	619	63.588235294117645	
-1650072.437890791	92.09	12.408163265306122	332.85714285714283	207.51020408163265	-171.30448896915016	17	1068	191	17.0	767.0	487.0	9	9.0	183.0	115.0	0	0	8.822355508804321	1800	122.85618662834167	664	63.111111111111114	
-1900068.7183204843	92.25	11.76	312.1	194.18	-171.30448896915016	18	1118	190	19.0	782.0	491.0	10	9.0	172.0	107.0	0	0	7.8141467571258545	1900	130.67033338546753	710	62.631578947368425	
-1840088.5127616876	94.91	11.933333333333334	322.6166666666667	200.75	-171.30448896915016	19	1158	175	16.0	684.0	426.0	19	9.0	180.0	113.0	0	0	12.14334487915039	2000	142.81367826461792	766	61.7	
-2130078.45865169	103.34	12.253521126760564	333.61971830985914	208.0	-171.30448896915016	20	1187	205	20.0	627.0	379.0	15	9.0	167.0	105.0	0	0	13.697986364364624	2100	156.51166462898254	833	60.333333333333336	
-1880076.704825475	102.6	12.142857142857142	344.4920634920635	214.4126984126984	-171.30448896915016	21	1224	261	18.0	754.0	477.0	15	8.0	174.0	109.0	0	0	15.961963415145874	2200	172.47362804412842	892	59.45454545454545	
-2280073.6819371604	102.22	11.87719298245614	318.03508771929825	198.3684210526316	-171.30448896915016	22	1267	261	23.0	678.0	418.0	24	9.0	161.0	101.0	0	0	13.338221788406372	2300	185.8118498325348	945	58.91304347826087	
-2360133.099960437	99.92	12.298507462686567	343.02985074626866	214.38805970149255	-171.30448896915016	23	1300	228	21.0	909.0	572.0	19	9.0	193.0	121.0	0	0	16.205499410629272	2400	202.01734924316406	1008	58.0	
-2440128.337358736	96.0	11.746031746031745	311.6984126984127	193.3968253968254	-163.8153449194946	24	1337	178	18.0	719.0	448.0	15	9.0	174.0	109.0	0	0	15.64312219619751	2500	217.66047143936157	1067	57.32	
-2060107.087660511	96.81	12.140625	298.25	186.828125	-163.8153449194946	25	1373	144	19.0	487.0	303.0	31	9.0	175.0	109.0	0	0	15.720113754272461	2600	233.38058519363403	1127	56.65384615384615	
-2730129.2588655376	97.33	12.17910447761194	298.35820895522386	186.88059701492537	-158.54975121761865	26	1406	176	20.0	766.0	481.0	24	9.0	149.0	93.0	0	0	16.01287317276001	2700	249.39345836639404	1190	55.925925925925924	
-3100103.02352356	98.87	11.64864864864865	285.5	178.52702702702703	-157.45284915121061	27	1432	192	17.0	451.0	284.0	8	9.0	164.0	103.0	0	0	16.547621726989746	2800	265.9410800933838	1260	55.0	
-2680091.808023563	95.27	11.725806451612904	293.7741935483871	183.93548387096774	-157.45284915121061	28	1470	191	21.0	606.0	383.0	1	8.0	141.0	89.0	0	0	14.628072738647461	2900	280.56915283203125	1318	54.55172413793103	
-1820079.706006344	92.49	12.76271186440678	337.6949152542373	210.3050847457627	-157.45284915121061	29	1511	162	23.0	685.0	429.0	1	9.0	192.0	121.0	0	0	10.82914924621582	3000	291.39830207824707	1373	54.233333333333334	
-3040110.136889655	99.34	11.753424657534246	288.3835616438356	179.72602739726028	-157.45284915121061	30	1538	193	17.0	586.0	370.0	1	9.0	146.0	91.0	0	0	17.862014532089233	3100	309.2603166103363	1442	53.483870967741936	
-2260187.7319127237	101.56	11.873015873015873	298.04761904761904	185.96825396825398	-157.45284915121061	31	1575	193	22.0	614.0	391.0	43	8.0	141.0	89.0	0	0	14.209863662719727	3200	323.47018027305603	1501	53.09375	
-1800109.3500686774	99.59	11.67741935483871	291.56451612903226	181.58064516129033	-157.45284915121061	32	1613	170	23.0	518.0	329.0	41	8.0	141.0	89.0	0	0	10.965930938720703	3300	334.43611121177673	1559	52.75757575757576	
-2380112.8313692184	100.81	11.96875	293.734375	183.5	-150.1505618696528	33	1649	205	20.0	467.0	292.0	23	9.0	183.0	115.0	0	0	16.496526956558228	3400	350.93263816833496	1619	52.38235294117647	
-2310099.1441679876	99.01	12.254545454545454	303.6181818181818	189.70909090909092	-146.59628057951173	34	1694	193	19.0	561.0	350.0	4	9.0	195.0	120.0	0	0	12.72116994857788	3500	363.65380811691284	1670	52.285714285714285	
-2720104.3989164005	100.26	11.883333333333333	297.55	185.4	-146.59628057951173	35	1734	193	19.0	570.0	343.0	4	8.0	141.0	89.0	0	0	12.939044713973999	3600	376.59285283088684	1724	52.111111111111114	
-2300067.269574246	99.68	12.5	324.515625	203.390625	-146.59628057951173	36	1770	193	22.0	1131.0	717.0	44	8.0	141.0	89.0	0	0	12.573547601699829	3700	389.16640043258667	1784	51.78378378378378	
-1970107.282342413	98.78	11.785714285714286	299.05357142857144	186.07142857142858	-146.59628057951173	37	1814	189	17.0	512.0	323.0	11	8.0	141.0	89.0	0	0	9.937855958938599	3800	399.10425639152527	1836	51.68421052631579	
-2620108.466515162	97.21	12.677966101694915	323.2542372881356	201.77966101694915	-146.59628057951173	38	1855	187	20.0	715.0	449.0	23	8.0	141.0	89.0	0	0	10.397713661193848	3900	409.5019700527191	1891	51.51282051282051	
-1870076.5345361172	90.89	12.369565217391305	325.3695652173913	202.7391304347826	-146.20146720069474	39	1909	168	18.0	589.0	368.0	23	8.0	157.0	99.0	0	0	9.019123792648315	4000	418.52109384536743	1933	51.675	
-2390080.741670115	92.79	12.229508196721312	312.9672131147541	195.27868852459017	-146.20146720069474	40	1948	197	19.0	562.0	355.0	3	9.0	177.0	111.0	0	0	11.327461242675781	4100	429.8485550880432	1990	51.463414634146346	
-1380107.8050649613	99.37	12.387755102040817	326.3265306122449	204.3673469387755	-146.20146720069474	41	1999	197	19.0	748.0	479.0	19	8.0	166.0	105.0	0	0	8.15034031867981	4200	437.998895406723	2034	51.57142857142858	
-1530105.1274576026	105.75	12.418181818181818	325.6	203.54545454545453	-145.9435828225019	42	2044	241	21.0	1116.0	710.0	29	8.0	141.0	89.0	0	0	7.290771484375	4300	445.289666891098	2085	51.51162790697674	
-2290118.0148677113	100.84	12.323076923076924	345.2153846153846	215.83076923076922	-145.9435828225019	43	2079	228	18.0	837.0	518.0	29	8.0	142.0	89.0	0	0	10.453180074691772	4400	455.7428469657898	2146	51.22727272727273	
-1730123.6309297895	90.67	12.192307692307692	307.40384615384613	192.15384615384616	-145.8120398501888	44	2127	166	19.0	764.0	485.0	29	8.0	171.0	107.0	0	0	8.66515040397644	4500	464.40799736976624	2194	51.24444444444444	
-1970159.2766877671	90.98	11.946428571428571	301.23214285714283	188.60714285714286	-145.8120398501888	45	2171	178	23.0	850.0	541.0	22	8.0	150.0	95.0	0	0	10.88308048248291	4600	475.29107785224915	2244	51.21739130434783	
-1470142.2783798652	98.63	11.745454545454546	323.07272727272726	201.4	-145.8120398501888	46	2216	178	18.0	931.0	585.0	22	8.0	164.0	103.0	0	0	9.799062013626099	4700	485.09013986587524	2295	51.170212765957444	
-2580139.3041033964	102.77	11.955882352941176	309.27941176470586	192.94117647058823	-145.8120398501888	47	2248	161	22.0	678.0	414.0	29	8.0	141.0	89.0	0	0	12.522585391998291	4800	497.61272525787354	2359	50.854166666666664	
-2190105.6107721752	103.07	11.728813559322035	301.8474576271187	188.15254237288136	-142.05938836208176	48	2289	209	19.0	676.0	421.0	34	8.0	141.0	89.0	0	0	11.453680992126465	4900	509.06640625	2414	50.73469387755102	
-2350132.975113364	98.56	11.793103448275861	303.7241379310345	189.60344827586206	-140.27867796216162	49	2331	215	19.0	616.0	387.0	38	8.0	141.0	89.0	0	0	10.797836303710938	5000	519.8642425537109	2468	50.64	
-2230158.2171876333	104.25	11.848484848484848	320.1666666666667	200.12121212121212	-140.27867796216162	50	2365	187	19.0	999.0	643.0	31	8.0	141.0	89.0	0	0	12.756452322006226	5100	532.6206948757172	2530	50.3921568627451	
-2460267.879980704	104.77	11.619047619047619	286.44444444444446	179.31746031746033	-140.27867796216162	51	2402	214	23.0	852.0	539.0	19	8.0	141.0	89.0	0	0	14.131490230560303	5200	546.7521851062775	2588	50.230769230769226	
-2470124.7958310437	106.75	11.647058823529411	286.7647058823529	179.2058823529412	-140.27867796216162	52	2434	258	21.0	474.0	298.0	11	8.0	141.0	89.0	0	0	13.692711353302002	5300	560.4448964595795	2652	49.96226415094339	
-2120072.366901739	101.71	12.245901639344263	327.6885245901639	205.0655737704918	-140.27867796216162	53	2473	184	21.0	839.0	533.0	11	8.0	141.0	89.0	0	0	10.266560792922974	5400	570.7114572525024	2709	49.83333333333333	
-2550161.5362711195	100.67	12.096774193548388	317.9516129032258	197.82258064516128	-140.27867796216162	54	2511	181	23.0	684.0	433.0	14	8.0	141.0	89.0	0	0	12.111138820648193	5500	582.8225960731506	2767	49.69090909090909	
-1910149.6829307268	103.14	11.970149253731343	306.67164179104475	191.55223880597015	-140.27867796216162	55	2544	194	23.0	755.0	472.0	3	8.0	141.0	89.0	0	0	11.7673921585083	5600	594.5899882316589	2830	49.464285714285715	
-2090122.4069238799	100.49	12.123076923076923	343.2923076923077	213.13846153846154	-140.27867796216162	56	2579	181	21.0	618.0	384.0	40	8.0	141.0	89.0	0	0	11.250788450241089	5700	605.8407766819	2891	49.28070175438597	
-1660099.1452076337	102.3	12.627450980392156	361.11764705882354	224.15686274509804	-140.27867796216162	57	2628	181	24.0	1166.0	706.0	19	8.0	141.0	89.0	0	0	7.815039396286011	5800	613.655816078186	2938	49.3448275862069	
-2070057.4915989523	105.0	12.563636363636364	364.3272727272727	226.12727272727273	-139.19075646809293	58	2673	186	22.0	807.0	509.0	14	8.0	148.0	93.0	0	0	8.327950477600098	5900	621.9837665557861	2989	49.33898305084746	
-2300129.2207926777	107.58	13.352941176470589	380.6617647058824	236.44117647058823	-139.19075646809293	59	2705	185	23.0	1026.0	649.0	14	7.0	136.0	85.0	0	0	9.894338846206665	6000	631.8781054019928	3053	49.11666666666667	
-1300142.9171177149	107.15	12.545454545454545	357.8636363636364	222.03030303030303	-139.19075646809293	60	2739	199	23.0	975.0	621.0	12	8.0	148.0	93.0	0	0	12.755547761917114	6100	644.6336531639099	3115	48.9344262295082	
-2030111.2407529645	98.53	13.0	398.70588235294116	246.5686274509804	-139.19075646809293	61	2788	256	18.0	924.0	534.0	3	8.0	151.0	95.0	0	0	18.823731899261475	6200	663.4573850631714	3162	49.0	
-2390108.545926005	102.39	12.85	375.4	231.88333333333333	-139.19075646809293	62	2828	256	22.0	924.0	534.0	8	9.0	166.0	105.0	0	0	19.22465682029724	6300	682.6820418834686	3218	48.92063492063492	
-1910104.7866195634	109.15	12.771929824561404	368.49122807017545	228.42105263157896	-139.10538109306623	63	2871	256	23.0	924.0	534.0	12	8.0	138.0	87.0	0	0	18.679685592651367	6400	701.36172747612	3271	48.890625	
-2350159.7928180904	102.62	12.272727272727273	348.07575757575756	216.9090909090909	-136.2618370111011	64	2905	198	19.0	1149.0	727.0	22	8.0	148.0	93.0	0	0	13.50443148612976	6500	714.8661589622498	3333	48.723076923076924	
-2220189.4609536207	101.68	12.121212121212121	318.969696969697	199.4090909090909	-136.2618370111011	65	2939	198	21.0	939.0	593.0	19	8.0	141.0	89.0	0	0	13.66261100769043	6600	728.5287699699402	3395	48.56060606060606	
-2320188.870258564	97.4	11.863636363636363	321.54545454545456	199.6060606060606	-136.2618370111011	66	2973	170	19.0	682.0	427.0	21	8.0	141.0	89.0	0	0	13.150668144226074	6700	741.6794381141663	3457	48.40298507462687	
-2300272.6822534925	99.87	11.68918918918919	315.7027027027027	195.56756756756758	-136.2618370111011	67	2999	151	20.0	803.0	509.0	49	8.0	147.0	93.0	0	0	15.578510046005249	6800	757.2579481601715	3527	48.13235294117647	
-2550192.831837749	101.53	11.661971830985916	293.3380281690141	182.74647887323943	-136.2618370111011	68	3028	158	19.0	583.0	364.0	42	8.0	141.0	89.0	0	0	13.520071983337402	6900	770.7780201435089	3594	47.913043478260875	
-1870167.7564602154	101.51	12.090909090909092	315.93939393939394	197.13636363636363	-136.2618370111011	69	3062	172	20.0	807.0	510.0	28	8.0	148.0	93.0	0	0	12.577431678771973	7000	783.3554518222809	3656	47.77142857142857	
-1740089.584990908	95.26	11.872727272727273	305.0	190.23636363636365	-136.2618370111011	70	3107	166	19.0	784.0	494.0	28	8.0	148.0	93.0	0	0	10.492966413497925	7100	793.8484182357788	3707	47.78873239436619	
-2290117.5243282635	94.67	11.933333333333334	320.7	200.6	-136.2618370111011	71	3147	188	21.0	773.0	491.0	17	8.0	148.0	93.0	0	0	13.701295614242554	7200	807.5497138500214	3763	47.736111111111114	
-2130120.887399097	98.55	12.0	325.5076923076923	202.52307692307693	-136.2618370111011	72	3182	186	18.0	705.0	438.0	14	8.0	158.0	99.0	0	0	11.672831296920776	7300	819.2225451469421	3824	47.61643835616438	
-1970096.7134649479	98.02	11.379310344827585	293.4310344827586	182.81034482758622	-135.3837673791352	73	3224	189	19.0	853.0	529.0	11	8.0	158.0	99.0	0	0	11.17865538597107	7400	830.4012005329132	3878	47.5945945945946	
-2340140.548172985	111.43	11.608108108108109	305.9054054054054	190.54054054054055	-135.3837673791352	74	3250	189	20.0	685.0	432.0	11	8.0	158.0	99.0	0	0	11.320014715194702	7500	841.7212152481079	3948	47.36	
-2720101.3630217277	104.86	12.027397260273972	308.8904109589041	192.06849315068493	-135.3837673791352	75	3277	175	20.0	647.0	406.0	11	8.0	148.0	93.0	0	0	11.333517789840698	7600	853.0547330379486	4017	47.14473684210526	
-2500137.944443169	111.69	12.070422535211268	326.59154929577466	202.77464788732394	-135.3837673791352	76	3306	175	20.0	894.0	559.0	43	8.0	141.0	89.0	0	0	11.433751583099365	7700	864.488484621048	4084	46.96103896103896	
-2740071.0983133684	106.08	11.836065573770492	309.78688524590166	192.70491803278688	-135.3837673791352	77	3345	180	20.0	663.0	418.0	20	8.0	155.0	97.0	0	0	10.355607032775879	7800	874.8440916538239	4140	46.92307692307692	
-2430088.1614260995	107.56	12.220588235294118	333.3970588235294	207.38235294117646	-135.3837673791352	78	3377	209	17.0	617.0	384.0	10	8.0	148.0	93.0	0	0	10.131213188171387	7900	884.9753048419952	4204	46.78481012658228	
-2630166.7402429436	108.32	11.457142857142857	315.65714285714284	196.04285714285714	-135.3837673791352	79	3407	212	18.0	934.0	580.0	20	8.0	148.0	93.0	0	0	13.431122541427612	8000	898.4064273834229	4270	46.62500000000001	
-2570144.800056347	111.58	11.7	311.1	193.65714285714284	-135.3837673791352	80	3437	241	19.0	596.0	373.0	50	8.0	148.0	93.0	0	0	12.059187650680542	8100	910.4656150341034	4334	46.49382716049383	
-2740131.135254417	108.63	12.0	316.3731343283582	196.8955223880597	-135.3837673791352	81	3470	226	22.0	676.0	427.0	48	8.0	148.0	93.0	0	0	11.508581638336182	8200	921.9741966724396	4397	46.3780487804878	
-1850183.3406504449	105.29	11.950819672131148	320.42622950819674	199.19672131147541	-135.3837673791352	82	3509	184	19.0	690.0	439.0	16	8.0	148.0	93.0	0	0	10.422410488128662	8300	932.3966071605682	4454	46.337349397590366	
-2540172.576282589	104.56	11.695652173913043	300.9855072463768	187.7826086956522	-135.3837673791352	83	3540	174	17.0	903.0	573.0	43	8.0	142.0	89.0	0	0	9.441946029663086	8400	941.8385531902313	4519	46.20238095238095	
-2540113.698385322	102.43	11.859154929577464	301.4788732394366	187.73239436619718	-135.3837673791352	84	3569	174	22.0	601.0	366.0	26	8.0	155.0	97.0	0	0	12.083843231201172	8500	953.9223964214325	4586	46.047058823529404	
-2110086.1271704207	100.15	11.403508771929825	284.4035087719298	176.64912280701753	-135.3837673791352	85	3612	175	17.0	490.0	300.0	25	7.0	136.0	85.0	0	0	11.413501739501953	8600	965.3358981609344	4639	46.05813953488372	
-2540125.726259623	93.68	12.229508196721312	316.5409836065574	197.24590163934425	-135.3837673791352	86	3651	155	19.0	613.0	387.0	17	7.0	134.0	85.0	0	0	9.968950986862183	8700	975.3048491477966	4696	46.02298850574713	
-1960149.1645941818	97.04	12.20754716981132	322.58490566037733	200.88679245283018	-135.3837673791352	87	3698	199	19.0	1031.0	642.0	1	9.0	149.0	93.0	0	0	10.482439517974854	8800	985.7872886657715	4745	46.07954545454545	
-2020112.7795007923	98.85	12.777777777777779	345.04761904761904	215.26984126984127	-135.3837673791352	88	3735	177	21.0	871.0	550.0	13	9.0	196.0	123.0	0	0	11.388577461242676	8900	997.1758661270142	4804	46.02247191011236	
-2160059.719356625	97.6	12.18	346.34	215.0	-135.3837673791352	89	3785	232	21.0	863.0	544.0	13	9.0	211.0	129.0	0	0	7.203429937362671	9000	1004.3792960643768	4850	46.111111111111114	
-1650070.67759791	99.22	12.604651162790697	332.8139534883721	207.7906976744186	-135.3837673791352	90	3842	170	22.0	862.0	544.0	6	8.0	199.0	125.0	0	0	5.799947261810303	9100	1010.1792433261871	4889	46.27472527472527	
-2240100.31866293	101.4	12.918367346938776	350.51020408163265	218.53061224489795	-134.28438291418644	91	3893	205	30.0	1471.0	923.0	10	9.0	188.0	119.0	0	0	9.451366424560547	9200	1019.6306097507477	4934	46.369565217391305	
-2250142.6173037305	98.25	12.101694915254237	318.33898305084745	198.32203389830508	-134.28438291418644	92	3934	170	19.0	886.0	558.0	10	9.0	191.0	121.0	0	0	12.36672592163086	9300	1031.9973356723785	4989	46.354838709677416	
-2250114.1502241157	99.21	12.37037037037037	307.85185185185185	191.88888888888889	-134.28438291418644	93	3980	170	21.0	795.0	503.0	37	8.0	179.0	111.0	0	0	9.57089352607727	9400	1041.5682291984558	5039	46.3936170212766	
-2690124.6969944797	91.88	11.89655172413793	311.62068965517244	194.4655172413793	-134.28438291418644	94	4022	197	16.0	599.0	372.0	3	9.0	181.0	113.0	0	0	11.339610576629639	9500	1052.9078397750854	5093	46.38947368421052	
-2110105.4632221432	95.66	12.055555555555555	324.05555555555554	201.14814814814815	-134.28438291418644	95	4068	167	18.0	681.0	430.0	36	8.0	184.0	115.0	0	0	9.851679801940918	9600	1062.7595195770264	5143	46.42708333333333	
-2540084.809219231	90.88	12.24	325.06	201.98	-134.28438291418644	96	4118	142	16.0	638.0	399.0	36	8.0	148.0	93.0	0	0	8.805443286895752	9700	1071.5649628639221	5189	46.50515463917526	
-2400090.3188491194	87.68	12.09433962264151	317.8867924528302	198.0566037735849	-134.28438291418644	97	4165	131	18.0	753.0	477.0	22	8.0	148.0	93.0	0	0	9.863747596740723	9800	1081.4287104606628	5238	46.55102040816327	
-2300119.760407672	88.31	12.018867924528301	317.75471698113205	198.1320754716981	-134.28438291418644	98	4212	161	19.0	691.0	433.0	14	9.0	164.0	103.0	0	0	11.57862901687622	9900	1093.007339477539	5287	46.59595959595959	
-2110033.2944800574	91.05	12.204545454545455	319.95454545454544	199.95454545454547	-134.28438291418644	99	4268	169	20.0	613.0	386.0	7	9.0	217.0	136.0	0	0	6.0055437088012695	10000	1099.0128831863403	5327	46.730000000000004	
-1570085.04833147	91.88	12.208333333333334	341.9166666666667	213.70833333333334	-134.28438291418644	100	4320	165	19.0	699.0	443.0	7	8.0	166.0	105.0	0	0	5.860701322555542	10100	1104.8735845088959	5371	46.821782178217816	
-2260079.246641783	93.55	12.283018867924529	323.07547169811323	201.62264150943398	-134.28438291418644	101	4367	202	17.0	668.0	420.0	5	9.0	206.0	131.0	0	0	7.184762239456177	10200	1112.058346748352	5420	46.86274509803921	
-1880112.6004289314	95.21	12.37037037037037	326.9074074074074	203.24074074074073	-134.28438291418644	102	4413	161	17.0	588.0	372.0	5	9.0	218.0	136.0	0	0	7.384052038192749	10300	1119.4423987865448	5470	46.89320388349515	
-2140198.9397319024	100.47	12.184615384615384	330.84615384615387	206.13846153846154	-134.28438291418644	103	4448	206	19.0	949.0	592.0	5	8.0	165.0	105.0	0	0	10.871854543685913	10400	1130.3142533302307	5531	46.81730769230769	
-2410193.0237749014	103.58	12.3	327.7	203.43333333333334	-134.28438291418644	104	4488	161	22.0	699.0	440.0	28	8.0	133.0	83.0	0	0	11.709246158599854	10500	1142.0234994888306	5586	46.8	
-2180151.269336557	101.96	11.984126984126984	316.73015873015873	196.88888888888889	-134.28438291418644	105	4525	183	22.0	844.0	528.0	27	8.0	148.0	93.0	0	0	8.724670886993408	10600	1150.748170375824	5645	46.74528301886792	
-2450118.6273948015	103.65	11.53968253968254	300.5238095238095	186.15873015873015	-134.28438291418644	106	4562	173	18.0	678.0	426.0	28	8.0	148.0	93.0	0	0	8.522457599639893	10700	1159.2706279754639	5704	46.69158878504673	
-2610127.1745996177	104.35	12.027777777777779	304.3333333333333	189.66666666666666	-134.28438291418644	107	4590	172	20.0	746.0	471.0	28	9.0	166.0	103.0	0	0	10.990642547607422	10800	1170.2612705230713	5772	46.55555555555555	
-1730203.9242803368	104.89	11.836065573770492	299.8360655737705	187.0	-134.28438291418644	108	4629	172	17.0	602.0	381.0	28	8.0	145.0	91.0	0	0	7.213367223739624	10900	1177.474637746811	5829	46.52293577981651	
-2510144.464826247	107.27	11.927536231884059	315.7536231884058	196.8695652173913	-134.28438291418644	109	4660	156	20.0	758.0	480.0	28	8.0	148.0	93.0	0	0	13.075690031051636	11000	1190.5503277778625	5894	46.418181818181814	
-2230148.506734063	99.81	11.772727272727273	303.56060606060606	189.15151515151516	-134.28438291418644	110	4694	181	20.0	658.0	412.0	32	9.0	171.0	107.0	0	0	11.476760625839233	11100	1202.0270884037018	5956	46.34234234234235	
-2830161.259170619	102.42	11.447761194029852	282.7014925373134	176.53731343283582	-134.28438291418644	111	4727	183	17.0	566.0	352.0	17	8.0	135.0	85.0	0	0	10.730576992034912	11200	1212.7576653957367	6018	46.26785714285714	
-2420168.9914445346	103.37	11.91044776119403	309.6268656716418	193.02985074626866	-134.28438291418644	112	4760	187	19.0	688.0	432.0	26	8.0	166.0	103.0	0	0	14.741069793701172	11300	1227.4987351894379	6081	46.1858407079646	
-2180117.4355546236	103.87	12.013333333333334	316.0	197.04	-134.28438291418644	113	4785	232	20.0	690.0	431.0	17	8.0	161.0	101.0	0	0	11.225471019744873	11400	1238.7242062091827	6152	46.035087719298254	
-2360093.872390681	102.44	11.818181818181818	308.7121212121212	192.12121212121212	-134.28438291418644	114	4819	190	19.0	561.0	357.0	18	8.0	166.0	103.0	0	0	9.97925066947937	11500	1248.703456878662	6214	45.96521739130435	
-2200109.735188296	99.61	12.327868852459016	319.6885245901639	199.01639344262296	-134.28438291418644	115	4858	227	18.0	900.0	554.0	5	9.0	165.0	103.0	0	0	12.0251145362854	11600	1260.7285714149475	6271	45.939655172413794	
-2460130.96851922	102.13	12.533333333333333	345.06666666666666	214.96666666666667	-134.28438291418644	116	4898	235	18.0	842.0	535.0	14	9.0	154.0	97.0	0	0	10.795010328292847	11700	1271.5235817432404	6327	45.92307692307692	
-2630186.1713277646	97.1	12.257575757575758	307.8939393939394	191.33333333333334	-134.28438291418644	117	4932	172	22.0	675.0	426.0	28	8.0	166.0	103.0	0	0	14.57606840133667	11800	1286.099650144577	6389	45.85593220338983	
-2380167.895251393	94.11	12.714285714285714	332.44642857142856	207.57142857142858	-134.28438291418644	118	4976	186	20.0	837.0	524.0	24	8.0	143.0	89.0	0	0	10.181877136230469	11900	1296.2815272808075	6441	45.87394957983193	
-3080105.141259078	90.48	12.39655172413793	313.17241379310343	194.43103448275863	-134.28438291418644	119	5018	186	18.0	566.0	351.0	24	8.0	143.0	89.0	0	0	11.042804479598999	12000	1307.3243317604065	6495	45.875	
-2350081.3791322284	90.91	11.823529411764707	293.0980392156863	182.41176470588235	-134.28438291418644	120	5067	163	19.0	515.0	321.0	15	9.0	166.0	105.0	0	0	8.271538972854614	12100	1315.595870733261	6542	45.93388429752066	
