likelihoods	likelihoods_no_int	interventional_likelihoods	interventional_likelihoods_no_int
-5.382350942912035	-4.7867108232956825	-41.43491950445726	-34.62769444413189
-4.497492723538965	-6.164242298948886	-34.128852261309476	-56.39906724220033
-5.322115220267373	-4.565151349417624	-40.55105212712026	-67.77853483707
-5.315402565724867	-5.034893962077189	-41.17639716941739	-60.1786255226923
-5.337098963793169	-3.561220287372874	-43.378649522335145	-76.17127871396754
-5.312545801997658	-5.376195501542398	-41.19786150005275	-44.426077279174834
-4.713352466052347	-5.24377822078469	-37.53515981486817	-43.78208536117544
-5.304167876805995	-5.3753268782687	-40.56724251613964	-43.81442642151936
-5.174187816096956	-5.728707633892669	-39.86417465511746	-50.163653497800304
-5.304167876805995	-5.121227687185594	-40.56724251613964	-41.357808025018855
