generation median_fitness fitness_25perc fitness_75perc
0 -256.41 -1811.54 -247.47
1 -256.41 -1811.54 -247.38
2 -254.59 -288.18 -246.32
3 -201.29 -223.84 -201.29
4 -201.28 -201.29 -164.41
5 -147.27 -168.99 -128.45
6 -151.15 -166.96 -128.45
7 -142.76 -156.14 -128.44
8 -142.76 -156.14 -128.44
9 -134.69 -147.72 -128.00
10 -128.45 -148.75 -126.85
11 -127.03 -145.58 -122.65
12 -126.15 -150.22 -122.92
13 -126.15 -135.36 -123.28
14 -118.93 -122.20 -113.47
15 -118.93 -122.20 -113.47
16 -120.99 -123.26 -114.51
17 -118.11 -123.04 -113.29
18 -113.29 -116.42 -112.06
19 -114.42 -117.60 -111.77
20 -114.42 -117.60 -111.77
21 -112.03 -115.75 -111.21
22 -112.03 -115.75 -109.19
23 -112.85 -116.23 -108.61
24 -112.85 -116.23 -108.61
25 -112.85 -116.23 -108.61
26 -107.46 -115.38 -105.94
27 -107.46 -115.38 -105.94
28 -106.91 -112.07 -105.63
29 -107.25 -113.68 -106.57
30 -107.25 -112.34 -106.57
31 -107.25 -112.34 -106.57
32 -107.25 -112.34 -106.57
33 -106.57 -111.57 -104.81
34 -106.57 -111.57 -104.75
35 -106.57 -111.57 -104.75
36 -106.57 -111.57 -104.75
37 -105.66 -107.82 -104.46
38 -105.66 -107.82 -104.46
39 -105.48 -107.54 -104.46
40 -105.48 -107.54 -104.46
41 -105.48 -107.54 -104.46
42 -105.48 -107.54 -104.46
43 -104.75 -108.16 -104.17
44 -104.17 -106.46 -102.92
45 -104.75 -108.16 -104.17
46 -104.17 -106.46 -103.29
47 -104.75 -111.57 -103.59
48 -104.23 -111.57 -103.35
49 -104.17 -111.57 -103.35
50 -104.17 -111.57 -103.35
51 -102.87 -103.96 -102.39
52 -102.39 -103.56 -102.39
53 -102.39 -103.56 -102.39
54 -102.39 -103.76 -102.39
55 -103.35 -104.33 -101.21
56 -103.35 -104.33 -100.87
57 -103.35 -104.21 -100.20
58 -102.08 -104.08 -99.59
59 -100.81 -103.94 -99.59
60 -103.35 -104.21 -98.03
61 -102.08 -103.79 -96.63
62 -100.81 -103.64 -94.85
63 -100.81 -104.50 -95.04
64 -100.81 -104.50 -95.04
65 -99.85 -104.06 -95.01
66 -98.28 -102.38 -95.19
67 -99.85 -102.63 -94.75
68 -99.85 -102.63 -94.73
69 -99.85 -102.63 -94.72
70 -98.28 -101.26 -92.95
71 -95.90 -100.67 -92.37
72 -98.44 -100.72 -94.72
73 -98.44 -100.72 -94.72
74 -95.90 -99.31 -91.99
75 -92.76 -98.53 -91.99
76 -91.99 -98.28 -91.99
77 -91.99 -97.08 -91.99
78 -98.44 -100.72 -94.67
79 -98.11 -100.72 -94.25
80 -97.60 -100.01 -95.37
81 -97.60 -100.01 -95.27
82 -97.60 -100.01 -95.27
83 -97.60 -99.31 -92.93
84 -97.60 -98.61 -92.93
85 -97.60 -98.61 -92.93
86 -97.60 -98.61 -92.93
87 -97.58 -99.66 -92.93
88 -95.26 -99.12 -92.59
89 -92.93 -98.58 -92.93
90 -94.65 -98.37 -91.55
91 -92.83 -97.58 -91.55
92 -96.46 -99.16 -94.29
93 -96.46 -99.16 -94.29
94 -96.46 -99.15 -94.29
95 -96.46 -99.15 -94.29
96 -96.46 -98.37 -95.02
97 -96.46 -98.16 -95.02
98 -96.46 -97.58 -92.83
99 -96.10 -98.16 -92.11
100 -95.76 -97.58 -90.11
101 -94.27 -97.29 -90.11
102 -92.78 -96.89 -90.11
103 -90.11 -96.08 -90.11
104 -96.19 -98.17 -93.66
105 -96.19 -98.10 -93.66
106 -96.19 -97.42 -94.71
107 -96.19 -97.42 -94.59
108 -96.19 -97.42 -94.59
109 -96.19 -97.42 -94.09
110 -95.99 -98.10 -93.10
111 -95.99 -98.01 -93.05
112 -95.99 -98.01 -93.05
113 -95.99 -96.45 -92.51
114 -95.99 -96.19 -92.51
115 -95.99 -96.19 -92.51
116 -95.99 -96.19 -92.15
117 -94.01 -96.08 -90.62
118 -93.30 -95.99 -89.48
119 -92.15 -95.99 -89.48
120 -95.36 -96.08 -92.73
121 -95.36 -96.08 -92.22
122 -95.36 -95.99 -91.37
123 -94.72 -95.99 -90.95
124 -94.72 -95.99 -90.95
125 -94.72 -95.99 -90.95
126 -95.99 -95.99 -92.65
127 -93.69 -96.07 -88.91
128 -93.69 -96.07 -88.91
129 -94.72 -96.16 -91.34
130 -94.72 -96.16 -91.34
131 -93.69 -95.67 -90.68
