generation,class,fitness_mean,fitness_std,n
0,-3,-169.0928663534205,0.008438543146193404,2
0,-2,-174.7888939455147,16.035993177056866,3
0,-1,-871.1133576546077,1395.110860645602,5
0,0,-268.74128439855355,0.23920500333698666,2
1,-3,-169.0988333045025,0.0,1
1,-2,-184.1970037682631,27.975418968918213,4
1,-1,-1029.2469849141378,1558.3337653361393,4
1,0,-281.00188992387865,21.236665299893676,3
2,-3,-169.0988333045025,0.0,1
2,-2,-156.71877898252282,28.727594075896388,6
2,-1,-267.1109168540049,37.13543751125182,4
2,0,-406.8090463672274,396.78390375584974,6
3,-2,-152.47214224327726,25.61022390586591,6
3,-1,-233.3275255926851,58.87763678288749,4
3,0,-394.122743327307,405.29261928101255,6
4,-2,-143.1486879385862,23.051216030845314,5
4,-1,-181.05599181737352,25.474959950046006,4
4,0,-208.3361770174798,49.90832623360329,6
5,-3,-152.61369614875503,0.0,1
5,-2,-139.04676942696108,24.419388010912854,4
5,-1,-149.21396422798045,21.100551354726203,5
5,0,-185.6663588541272,45.34407232407643,6
6,-3,-132.7109620274933,0.0,1
6,-2,-136.3209522367428,25.325004708808773,4
6,-1,-148.74422595835446,23.713603106352302,4
6,0,-179.66223770347995,49.083293724149904,6
7,-3,-137.34671913975382,6.5559505800263524,2
7,-2,-136.3209522367428,25.325004708808773,4
7,-1,-149.09470243883135,21.045041753362657,5
7,0,-178.2061009219572,50.02173870560882,6
8,-3,-137.34671913975382,6.5559505800263524,2
8,-2,-134.90398796138103,23.627713009749492,4
8,-1,-148.64023925304315,20.640423415890826,5
8,0,-178.03600905545144,50.20721104718604,6
9,-3,-137.21910235504205,6.7364279677522045,2
9,-2,-137.72454547605406,21.35006494744132,5
9,-1,-144.3315577853585,17.736608496710595,5
9,0,-159.23545077520546,27.40443162586272,6
10,-3,-141.98247625201435,0.0,1
10,-2,-126.40713986303668,17.62557719823237,4
10,-1,-143.0378388205093,16.201208890605695,5
10,0,-158.13484788623907,27.948846153378206,6
11,-3,-141.98247625201435,0.0,1
11,-2,-126.31076343242657,15.265718809149545,5
11,-1,-139.77129643118664,17.391473920483286,5
11,0,-154.65733554098128,29.712037942232495,6
12,-3,-141.98247625201435,0.0,1
12,-2,-126.10670955415257,15.231919816160756,5
12,-1,-141.51270833995622,16.12965544323583,6
12,0,-154.30552292559415,29.77295520644482,6
13,-3,-141.98247625201435,0.0,1
13,-2,-125.29699707314396,15.878707468691417,5
13,-1,-138.60266604636837,17.795954957633157,4
13,0,-141.60884202478186,19.948625744332723,6
14,-3,-141.98247625201435,0.0,1
14,-2,-123.97506846802244,18.373084874415746,4
14,-1,-121.16829749804413,8.671373940414984,3
14,0,-139.0458549354501,16.660847334379067,6
15,-3,-141.98247625201435,0.0,1
15,-2,-122.547855573714,21.98823772356644,3
15,-1,-119.87031028062268,6.8341102420468856,3
15,0,-137.3514409021569,16.237379871264647,6
16,-2,-110.05381154040786,5.509843785352173,2
16,-1,-125.2134463310149,12.337319289494598,4
16,0,-136.32662248678272,16.5209371263948,6
17,-3,-109.42830809941974,0.0,1
17,-2,-108.98998523493634,4.005366196145083,2
17,-1,-125.03156025223777,12.43650024723019,4
17,0,-134.94148418099903,14.40524026275637,6
18,-3,-109.42830809941974,0.0,1
18,-2,-108.98998523493634,4.005366196145083,2
18,-1,-113.75807554138812,2.882875746390501,3
18,0,-132.24837853465226,11.816261222325712,6
19,-3,-109.37061791894159,0.0,1
19,-2,-108.98998523493634,4.005366196145083,2
19,-1,-113.3434116263345,3.289229748060495,3
19,0,-131.27035899326708,12.043029982442187,6
20,-3,-109.19819882103333,0.0,1
20,-2,-108.98998523493634,4.005366196145083,2
20,-1,-113.3434116263345,3.289229748060495,3
20,0,-129.21425158059608,9.969042526373764,7
21,-3,-109.19819882103333,0.0,1
21,-2,-108.98998523493634,4.005366196145083,2
21,-1,-111.65043972861157,4.32172461056953,4
21,0,-122.9341921780195,6.450071709458683,6
