generation median_fitness fitness_25perc fitness_75perc
0 -187.67973199935264 -187.72549949204728 -187.66208691661873
1 -183.08621727887243 -183.0957012344492 -183.08114268446263
2 -131.7189234702783 -183.07941932985773 -131.71566145171573
3 -131.7189234702783 -160.5236247301938 -131.71566145171573
4 -127.69865984447941 -160.5236247301938 -127.69179533948471
5 -157.08980729786688 -157.08980729786688 -157.08980729786688
6 -125.2185437134769 -125.22844138339204 -125.21299835685522
7 -107.95109258697096 -107.95256579629645 -107.95053112641301
8 -107.95109258697096 -107.95256579629645 -107.95053112641301
10 -104.10241475733268 -104.10412081901097 -104.10113760748337
11 -103.52979097760173 -103.53228061395544 -103.52640703156801
12 -103.30649299688255 -109.52621826992076 -102.48110018332747
13 -103.08380551745428 -103.5030298097926 -103.06881141985112
14 -99.93747285280912 -103.08380551745428 -95.94663921938701
15 -97.88442906157226 -100.64712671041903 -95.48514571554652
16 -96.66659944769985 -101.52051243076107 -96.0761096924825
17 -96.48234496370958 -96.66659944769985 -96.03336494842935
18 -96.13277221512146 -96.65648906719551 -95.03633374935578
19 -96.03336494842935 -96.56941701545254 -94.07696424698366
20 -96.1140138549666 -96.43527622983117 -94.58752178316504
21 -95.38184167470902 -96.3452481432165 -94.31146377965092
22 -94.13870981697431 -96.4231454868556 -93.01947752194815
23 -92.69210914424823 -93.85890174321777 -90.3760046816526
24 -92.69210914424823 -93.85890174321777 -88.37022126849149
25 -93.01947752194815 -94.13870981697431 -87.02342442866029
26 -94.13870981697431 -100.190789074247 -93.57909366946123
27 -94.13870981697431 -100.190789074247 -93.57909366946123
28 -92.78500448693228 -93.4618571519533 -92.10815182191128
29 -91.07657232725853 -92.60764107211642 -89.54550358240063
30 -91.07657232725853 -92.60764107211642 -89.54550358240063
31 -90.49062217377673 -91.72871584189372 -89.25252850565974
32 -90.49062217377673 -91.72871584189372 -89.25252850565974
33 -90.49062217377673 -91.72871584189372 -89.25252850565974
34 -90.49062217377673 -91.72871584189372 -89.25252850565974
35 -88.30942030406402 -90.63811490703736 -85.98072570109068
36 -88.30942030406402 -90.63811490703736 -85.98072570109068
37 -88.30942030406402 -90.63811490703736 -85.98072570109068
38 -88.30942030406402 -90.63811490703736 -85.98072570109068
39 -86.7792121620904 -89.87301083605057 -83.68541348813025
40 -86.7792121620904 -89.87301083605057 -83.68541348813025
41 -86.7792121620904 -89.87301083605057 -83.68541348813025
42 -81.00528401542408 -86.9860467627174 -80.79844941479709
43 -81.00528401542408 -86.9860467627174 -80.79844941479709
44 -81.00528401542408 -86.9860467627174 -80.11779342844692
45 -80.3197717216748 -86.64329061584276 -79.37510074156623
46 -79.91081615644573 -86.43881283322823 -79.1706229589517
47 -79.91081615644573 -86.43881283322823 -78.29656092165277
48 -79.91081615644573 -85.25924947866264 -78.29656092165277
49 -78.29382232280732 -84.45075256184343 -77.48806400483355
50 -78.29382232280732 -84.45075256184343 -77.48806400483355
51 -78.29382232280732 -83.71755391844934 -77.48806400483355
52 -78.29382232280732 -83.71755391844934 -77.48806400483355
53 -76.87632283264162 -83.0088041733665 -76.7793142597507
54 -76.87632283264162 -80.89709480560035 -76.59479386255914
55 -76.87632283264162 -80.89709480560035 -76.59479386255914
56 -76.87632283264162 -80.89709480560035 -76.59479386255914
57 -76.87632283264162 -80.8566894248562 -76.59479386255914
58 -76.87632283264162 -80.8566894248562 -76.59479386255914
59 -76.87632283264162 -80.8566894248562 -76.26161412007741
60 -76.87632283264162 -80.8566894248562 -76.26161412007741
61 -76.87632283264162 -80.8566894248562 -76.26161412007741
62 -75.6469054075132 -76.26161412007741 -75.11880847515394
63 -75.11880847515394 -75.9542597637953 -72.07184697578604
64 -75.11880847515394 -75.9542597637953 -72.07184697578604
65 -75.11880847515394 -75.91446141885058 -72.07184697578604
66 -75.6469054075132 -76.18201743018795 -75.11880847515394
67 -74.4802144708411 -75.06355993917715 -70.79447151954771
68 -74.4802144708411 -75.06355993917715 -70.79447151954771
69 -69.89687424968317 -72.77188982859818 -68.50280140896874
70 -69.89687424968317 -72.77188982859818 -68.50280140896874
71 -69.89687424968317 -72.77188982859818 -68.50280140896874
72 -69.89687424968317 -72.77188982859818 -68.50280140896874
73 -69.89687424968317 -72.77188982859818 -68.50280140896874
74 -69.77419113689444 -72.61925025656036 -68.44145985257438
75 -69.77419113689444 -72.61925025656036 -68.44145985257438
76 -69.77419113689444 -71.97615990302369 -67.43378714866083
77 -68.83428165147618 -71.50620516031455 -66.96383240595169
78 -68.83428165147618 -71.50620516031455 -66.96383240595169
79 -66.96383240595169 -70.17024340589536 -64.00204214796155
80 -66.81721796052231 -69.9503217377513 -64.00204214796155
81 -66.81721796052231 -69.9503217377513 -64.00204214796155
82 -63.80883960363652 -67.36456953760865 -62.07522681277552
83 -63.80883960363652 -67.36456953760865 -62.07522681277552
84 -63.70272263617558 -66.80695304836816 -62.07522681277552
85 -63.70272263617558 -66.78891169955111 -62.07522681277552
86 -63.70272263617558 -66.78891169955111 -62.07522681277552
87 -63.70272263617558 -66.78197629500947 -62.07522681277552
88 -63.70272263617558 -66.78197629500947 -62.07522681277552
89 -63.70272263617558 -66.78197629500947 -62.07522681277552
90 -63.08746864453554 -66.42477803440877 -61.509544085916154
91 -63.08746864453554 -66.42477803440877 -61.41354000046937
92 -63.08746864453554 -66.42334401453896 -61.41354000046937
93 -63.08746864453554 -66.41140558826163 -61.41354000046937
94 -63.08746864453554 -66.41140558826163 -61.41354000046937
95 -64.40488487803773 -68.41792629848553 -63.08746864453554
96 -64.40488487803773 -68.41792629848553 -63.08746864453554
97 -64.40488487803773 -68.41792629848553 -63.08746864453554
98 -64.3751378499085 -68.40305278442091 -63.07259513047092
99 -64.32211438145464 -68.37654105019398 -63.04608339624399
100 -64.31466408743455 -66.05932518057833 -63.04235824923395
101 -64.31466408743455 -66.05932518057833 -63.04235824923395
102 -65.87541025179479 -67.5281138805468 -63.67851116833425
103 -65.87541025179479 -67.5281138805468 -63.67851116833425
104 -65.87541025179479 -67.5281138805468 -63.67851116833425
105 -65.87541025179479 -67.5281138805468 -63.67851116833425
106 -65.87541025179479 -67.5281138805468 -63.67851116833425
107 -65.87541025179479 -67.5281138805468 -63.67851116833425
108 -65.87541025179479 -67.5281138805468 -63.67851116833425
109 -65.82677294973415 -67.36320046306406 -63.67851116833425
110 -64.31466408743455 -65.82677294973415 -63.04235824923395
111 -64.31466408743455 -65.82677294973415 -63.04235824923395
112 -64.30263595331834 -65.82075888267605 -63.036344182175846
113 -64.2617186633506 -65.80030023769217 -61.80690378041733
114 -64.2617186633506 -65.80030023769217 -61.80690378041733
115 -64.2617186633506 -65.80030023769217 -61.80690378041733
116 -64.2617186633506 -65.80030023769217 -61.80690378041733
117 -64.2617186633506 -65.80030023769217 -61.80690378041733
118 -64.2617186633506 -65.80030023769217 -61.80690378041733
119 -64.2617186633506 -65.80030023769217 -61.80690378041733
120 -64.2617186633506 -65.80030023769217 -61.80690378041733
121 -64.2617186633506 -65.80030023769217 -61.80690378041733
122 -64.2617186633506 -65.80030023769217 -61.80690378041733
123 -63.05346000620651 -65.0310094505214 -61.22192323616782
124 -63.05346000620651 -64.78242113856957 -61.22192323616782
125 -62.97912250968727 -64.67091489379072 -61.22192323616782
126 -62.97912250968727 -64.67091489379072 -61.22192323616782
127 -62.97912250968727 -64.67091489379072 -61.22192323616782
128 -62.97912250968727 -64.67091489379072 -61.22192323616782
129 -62.97912250968727 -64.45720470987516 -61.22192323616782
130 -62.97912250968727 -64.45720470987516 -61.22192323616782
131 -62.34025254945183 -63.49889976952201 -61.20859890109603
132 -62.34025254945183 -63.49267165783315 -61.187366085720136
133 -62.34025254945183 -63.49267165783315 -61.187366085720136
134 -62.33570520803043 -63.49267165783315 -61.180545073588036
135 -62.33570520803043 -63.49267165783315 -61.180545073588036
136 -62.33570520803043 -63.49267165783315 -61.180545073588036
137 -62.33570520803043 -63.49267165783315 -61.180545073588036
138 -62.33570520803043 -63.49267165783315 -61.180545073588036
139 -62.33570520803043 -63.319540167578296 -61.180545073588036
140 -62.32069767599586 -63.29702886952643 -61.17914462428911
141 -62.32069767599586 -63.29702886952643 -61.17914462428911
142 -61.782520977700806 -62.57014235486206 -61.09876609151091
143 -61.782520977700806 -62.57014235486206 -61.09876609151091
144 -61.782520977700806 -62.57014235486206 -61.09876609151091
145 -61.782520977700806 -62.57014235486206 -61.09876609151091
146 -61.766884218607366 -62.57014235486206 -61.07531095287075
147 -61.766884218607366 -62.57014235486206 -61.03851565280398
148 -61.766884218607366 -62.496535093963985 -61.03851565280398
