generation median_fitness fitness_25perc fitness_75perc
0 -183.36865528662582 -183.37222646249387 -183.36508411075778
1 -150.09893679024862 -150.10479044707998 -150.09308313341725
2 -150.09893679024862 -150.10479044707998 -150.09308313341725
3 -150.09893679024862 -150.10479044707998 -150.09308313341725
4 -130.39909213569177 -134.5825214671898 -126.21302706804985
5 -120.03623301462933 -124.83103730173069 -118.48909659771405
6 -118.28307692486717 -124.19543701341917 -113.8089765410958
7 -114.98521730298498 -118.28307692486717 -112.63273577920663
8 -102.33326132259604 -107.59651099447939 -100.66844949401123
9 -102.33326132259604 -106.49880649241256 -100.66844949401123
10 -101.34537026750071 -103.42230387969738 -97.59123244760482
11 -98.62065018903282 -99.98301022826676 -96.22887240837088
12 -98.62065018903282 -99.98301022826676 -96.22887240837088
13 -95.67437422354897 -98.50987224552483 -94.75573442562894
14 -95.67437422354897 -98.50987224552483 -94.75573442562894
15 -95.67437422354897 -98.50987224552483 -94.75573442562894
16 -87.18173195894033 -90.50941329332463 -86.0617653962183
17 -84.94179883349628 -89.3894467306026 -84.00526744833995
18 -84.94179883349628 -89.3894467306026 -84.00526744833995
19 -84.94179883349628 -89.3894467306026 -84.00526744833995
20 -84.94179883349628 -89.3894467306026 -84.00526744833995
21 -84.80645996345729 -88.91177525726218 -83.93759801332045
22 -87.7017560245717 -91.20206170203133 -84.37202898838888
23 -87.7017560245717 -91.05943127159543 -84.37202898838888
24 -84.717213613936 -88.01109542245987 -83.41307501541445
25 -86.04723205303749 -88.23295062724631 -84.06514431467522
26 -86.04723205303749 -88.23295062724631 -83.66188446452992
27 -85.95682250066191 -87.89017526123155 -83.52627013596656
28 -85.20222073098128 -87.89017526123155 -82.39436748144558
29 -85.20222073098128 -87.54465701592726 -82.38260895750818
30 -84.29549655887341 -87.54465701592726 -81.02252269934638
31 -81.21374262560784 -84.63030960644994 -80.1383830538311
32 -79.29013612987936 -79.40369245379186 -79.17657980596687
33 -76.4431717894085 -77.98021028355643 -74.90613329526056
34 -76.4431717894085 -77.98021028355643 -74.90613329526056
35 -75.48333559452868 -77.50029218611651 -73.46637900294084
36 -75.48333559452868 -77.50029218611651 -73.46637900294084
37 -75.48333559452868 -77.50029218611651 -73.46637900294084
38 -75.48333559452868 -77.50029218611651 -73.46637900294084
39 -75.48333559452868 -77.50029218611651 -73.46637900294084
40 -75.48009685198 -77.49867281484218 -73.46152088911782
