generation,class,fitness_mean,fitness_std,n,fitness_median,fitness_q1,fitness_q3
0,-2,-189.98030917542005,0.03519624874249636,3,-189.96455096089332,-189.9925910191676,-189.96014822440912
0,-1,-180.34075631145214,6.70343593009053,5,-183.33199059637712,-183.36151293488973,-183.285033976483
0,0,-779.1906930920742,423.4341229756228,4,-989.8908413161622,-991.5232584473547,-777.5582759608817
1,-2,-170.69744952592907,0.0074550216161655605,3,-170.6956110534507,-170.7006314171637,-170.69334839845527
1,-1,-150.1114624818033,0.02199111678628866,4,-150.10903111094586,-150.1181226351174,-150.10237095763176
1,0,-218.98189057305285,49.95809235107332,4,-243.9596175144221,-243.96087594054515,-218.9806321469298
2,-3,-126.5954525312087,0.015470229813795462,4,-126.5953613127604,-126.60431262319756,-126.58650122077154
2,-2,-131.39141017272098,0.011610241349176414,3,-131.38670000743352,-131.39566766730997,-131.38479759548824
2,-1,-150.1114624818033,0.02199111678628866,4,-150.10903111094586,-150.1181226351174,-150.10237095763176
2,0,-201.50911050834955,45.633776950860025,8,-204.04732041110714,-243.73955730693717,-164.3555705884525
3,-3,-109.92319638861186,19.26525357871251,4,-109.9223520319845,-126.60431262319756,-93.24123579739879
3,-2,-136.12956793193925,5.022482586242454,7,-136.78491219564341,-139.68485744118297,-131.39566766730997
3,-1,-150.1114624818033,0.02199111678628866,4,-150.10903111094586,-150.1181226351174,-150.10237095763176
3,0,-173.47265154920194,43.247573431624474,8,-152.08468029488466,-177.37027354992816,-148.8041451121357
4,-3,-109.92319638861186,19.26525357871251,4,-109.9223520319845,-126.60431262319756,-93.24123579739879
4,-2,-128.74364207714285,4.293401501016808,5,-125.61481980980565,-133.44664899457024,-125.60674831102058
4,-1,-128.0307982730545,4.5713219273651,7,-126.21684470470889,-130.43806428368046,-125.18944906823381
4,0,-168.90364713787815,46.5053019634672,8,-149.70372103495987,-177.34984170236214,-136.6783209772833
5,-3,-107.82255493590333,11.315773162148648,6,-114.68289641062952,-115.5385264921295,-98.39056620161296
5,-2,-124.68081494054361,0.0,1,-124.68081494054361,-124.68081494054361,-124.68081494054361
5,-1,-122.43902598350087,5.704434477719707,7,-121.58093654674937,-122.72800358990047,-118.4866637129188
5,0,-138.62326153614057,11.070955115377297,8,-136.67268017439773,-141.34966592236782,-132.1807332178173
6,-3,-103.53765905689758,14.558177045474379,2,-103.53765905689758,-108.68475191218222,-98.39056620161296
6,-2,-116.70010037379429,5.89516966049546,4,-115.66423632622129,-118.91126331947768,-113.45307338053789
6,-1,-116.78403791095108,8.61520768688993,6,-113.26943990528954,-119.93200673580827,-110.59860631846973
6,0,-135.50359635681377,16.082945427358023,6,-129.1940179972613,-148.82279838929446,-127.68720864745802
7,-3,-102.6922031885062,13.36252189000735,2,-102.6922031885062,-107.41656810959513,-97.96783826741725
7,-2,-111.27491899182473,3.805680514782337,4,-111.69186003764841,-113.29268693321471,-109.67409209625843
7,-1,-113.73305781045558,4.792041063906139,5,-111.5536625075941,-114.98521730298498,-110.28025425542829
7,0,-129.93961093794334,13.38727151285326,6,-128.1864432140224,-129.19857082231638,-123.28107661275808
8,-3,-93.24347334632832,0.0,1,-93.24347334632832,-93.24347334632832,-93.24347334632832
8,-2,-108.54296699126049,3.179359851645053,2,-108.54296699126049,-109.66704044672572,-107.41889353579525
8,-1,-107.20310812030007,6.149152069273751,5,-110.26521843952112,-111.5536625075941,-102.33326132259604
8,0,-125.32501998629556,11.500639325915897,6,-128.1864432140224,-129.19857082231638,-119.30852779481133
9,-3,-88.19594640975848,0.0,1,-88.19594640975848,-88.19594640975848,-88.19594640975848
9,-2,-108.54296699126049,3.179359851645053,2,-108.54296699126049,-109.66704044672572,-107.41889353579525
9,-1,-106.07676046689744,5.32458653079959,5,-107.07992202674698,-110.66435166222907,-102.33326132259604
9,0,-124.62656975031545,12.44804028863281,6,-127.73643143205678,-128.95990645616834,-119.30852779481133
10,-3,-88.19594640975848,0.0,1,-88.19594640975848,-88.19594640975848,-88.19594640975848
10,-2,-103.64800629664806,7.044818468164358,3,-103.44713158734069,-107.11912274476583,-100.0764524938766
10,-1,-103.55624461707377,6.483672585953676,5,-105.49923749189404,-105.79689104077647,-101.34537026750071
10,0,-120.65343918030015,12.494154374932444,6,-126.45240882545492,-127.9551640492186,-118.99624122551171
11,-3,-88.19594640975848,0.0,1,-88.19594640975848,-88.19594640975848,-88.19594640975848
11,-2,-103.74844365130173,9.959839784129073,2,-103.74844365130173,-107.26977877674635,-100.22710852585712
11,-1,-102.09669335946185,6.55299695580909,5,-101.34537026750071,-105.79689104077647,-98.62065018903282
11,0,-120.16950118570954,12.192026625640159,6,-125.66004430968569,-126.70919933633479,-118.85684947850696
12,-3,-88.17217239463966,0.0,1,-88.17217239463966,-88.17217239463966,-88.17217239463966
12,-2,-97.47616316259237,1.0894956499881567,2,-97.47616316259237,-97.86135804368232,-97.09096828150244
12,-1,-101.35282354231467,5.4192207134775945,5,-101.34537026750071,-105.79689104077647,-98.62065018903282
12,0,-119.85861243289385,11.937283120670287,6,-125.66004430968569,-126.70919933633479,-118.85684947850696
13,-3,-88.17217239463966,0.0,1,-88.17217239463966,-88.17217239463966,-88.17217239463966
13,-2,-101.22954719065592,6.397582247270172,2,-101.22954719065592,-103.49143408577763,-98.96766029553422
13,-1,-100.7635683492179,5.926966331648682,5,-101.34537026750071,-105.79689104077647,-95.67437422354897
13,0,-119.5731159038359,11.752355598503643,6,-125.31713574427148,-125.79943605669044,-118.82478694280462
14,-3,-88.17217239463966,0.0,1,-88.17217239463966,-88.17217239463966,-88.17217239463966
14,-2,-101.22954719065592,6.397582247270172,2,-101.22954719065592,-103.49143408577763,-98.96766029553422
14,-1,-100.74196867984611,5.897935111610342,5,-101.34537026750071,-105.79689104077647,-95.67437422354897
14,0,-116.61731661710566,10.956731562238529,6,-118.27822298688548,-123.90835807323019,-114.49542201114436
15,-3,-86.2639907317633,0.0,1,-86.2639907317633,-86.2639907317633,-86.2639907317633
15,-2,-95.74603566975665,1.3572741150146936,2,-95.74603566975665,-96.22590453508458,-95.26616680442872
15,-1,-99.39618100883412,5.1801766745785995,5,-99.06795268571649,-101.34537026750071,-95.67437422354897
15,0,-115.4014434408969,9.75250330537841,6,-118.27822298688548,-121.48014105940709,-114.49542201114436
16,-3,-86.2639907317633,0.0,1,-86.2639907317633,-86.2639907317633,-86.2639907317633
16,-2,-99.0391741784587,3.2999270267648444,2,-99.0391741784587,-100.20587456748179,-97.8724737894356
16,-1,-94.41601670845023,8.997229162780311,5,-93.83709462770892,-99.06334488241009,-87.18173195894033
16,0,-113.35894268213143,9.910385172933466,6,-115.22429657391308,-120.68205241568963,-109.15618365338955
17,-3,-86.2639907317633,0.0,1,-86.2639907317633,-86.2639907317633,-86.2639907317633
17,-2,-98.27336095008727,4.382950480572437,2,-98.27336095008727,-99.82296795329607,-96.72375394687847
17,-1,-93.59341752929888,9.960460400856054,5,-93.83709462770892,-99.06334488241009,-84.94179883349628
17,0,-111.69639459368726,9.3038789578468,6,-114.30790527233526,-116.22385004866163,-109.15618365338955
18,-3,-85.3954753311504,0.0,1,-85.3954753311504,-85.3954753311504,-85.3954753311504
18,-2,-101.37257495650488,0.0,1,-101.37257495650488,-101.37257495650488,-101.37257495650488
18,-1,-90.22774360169973,7.534097288321321,4,-89.3894467306026,-95.14365719138422,-84.47353314091811
18,0,-109.367383275986,10.206647376134683,6,-110.68481088339274,-115.95258546739512,-103.3398611002905
19,-3,-85.3954753311504,0.0,1,-85.3954753311504,-85.3954753311504,-85.3954753311504
19,-2,-101.37257495650488,0.0,1,-101.37257495650488,-101.37257495650488,-101.37257495650488
