ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-2710051.959420121	100.0	11.979591836734693	303.0408163265306	183.55102040816325	-1749.2895778649186	0	51	100	18.0	953.0	589.0	100	9.0	128.0	79.0	0	0	3.2982802391052246	100	3.2982802391052246	49	51.0	
-2130047.913712599	100.0	12.837209302325581	346.6511627906977	210.90697674418604	-593.5636108857675	1	105	172	19.0	848.0	520.0	28	9.0	140.0	86.0	0	0	2.3831229209899902	200	5.681403160095215	91	54.5	
-1620075.9666708845	103.06	11.96875	318.21875	192.40625	-356.6917442594161	2	171	236	16.0	545.0	330.0	1	9.0	155.0	94.0	0	0	2.8971478939056396	300	8.578551054000854	121	59.66666666666667	
-2160059.1598617528	107.76	12.866666666666667	366.6666666666667	223.46666666666667	-356.6917442594161	3	226	236	23.0	1340.0	820.0	8	7.0	98.0	60.0	0	0	3.2901358604431152	400	11.86868691444397	162	59.5	
-1840059.2155300854	110.37	12.485714285714286	343.48571428571427	207.4	-356.6917442594161	4	291	234	21.0	1037.0	640.0	8	9.0	149.0	91.0	0	0	3.0336012840270996	500	14.90228819847107	193	61.4	
-2030046.6841593904	94.79	12.516129032258064	304.1290322580645	184.4516129032258	-196.48262550530683	5	360	283	20.0	833.0	514.0	6	8.0	131.0	79.0	0	0	2.317202568054199	600	17.21949076652527	220	63.333333333333336	
-2500039.1036519986	81.68	11.75	299.825	182.125	-196.48262550530683	6	420	221	21.0	932.0	580.0	5	8.0	116.0	71.0	0	0	3.4046034812927246	700	20.624094247817993	256	63.42857142857143	
-2630056.230303596	83.67	12.466666666666667	333.46666666666664	203.04444444444445	-152.25316810168104	7	475	292	22.0	1013.0	623.0	8	7.0	98.0	60.0	0	0	3.725367784500122	800	24.349462032318115	297	62.875	
-1900015.7608930296	87.03	11.870967741935484	315.4516129032258	191.4516129032258	-152.25316810168104	8	544	295	22.0	962.0	592.0	7	8.0	119.0	72.0	0	0	1.6742289066314697	900	26.023690938949585	324	64.0	
-2010033.6434817752	83.67	11.805555555555555	282.75	171.61111111111111	-152.25316810168104	9	608	276	17.0	584.0	362.0	5	8.0	119.0	72.0	0	0	2.7175018787384033	1000	28.74119281768799	356	64.4	
-1690027.9048793805	80.01	12.216216216216216	293.0	178.54054054054055	-152.25316810168104	10	671	268	21.0	659.0	409.0	1	8.0	119.0	72.0	0	0	2.1153759956359863	1100	30.856568813323975	389	64.63636363636363	
-1910050.7709417867	80.58	11.142857142857142	267.2	161.9142857142857	-152.25316810168104	11	736	354	17.0	662.0	408.0	3	8.0	119.0	72.0	0	0	2.6264448165893555	1200	33.48301362991333	420	65.0	
-1980051.985218355	89.42	10.777777777777779	249.66666666666666	151.38888888888889	-146.93618068498753	12	800	305	17.0	743.0	460.0	6	8.0	107.0	65.0	0	0	2.981929302215576	1300	36.464942932128906	452	65.23076923076923	
-1780047.1717294175	89.61	10.885714285714286	252.54285714285714	152.28571428571428	-146.77495798470898	13	865	457	18.0	635.0	392.0	7	8.0	116.0	71.0	0	0	2.8925061225891113	1400	39.35744905471802	483	65.5	
-3110059.4391327216	139.16	11.454545454545455	274.23636363636365	166.4909090909091	-146.77495798470898	14	910	457	27.0	1430.0	889.0	3	7.0	107.0	65.0	0	0	4.268401861190796	1500	43.62585091590881	534	64.4	
-2750055.2601579987	164.78	12.370967741935484	320.7741935483871	195.09677419354838	-146.77495798470898	15	948	479	23.0	1112.0	693.0	12	8.0	107.0	65.0	0	0	5.914110898971558	1600	49.53996181488037	592	63.0	
-2740048.6656965693	159.01	11.5	285.6666666666667	173.4814814814815	-146.77495798470898	16	994	518	22.0	1199.0	743.0	8	7.0	98.0	60.0	0	0	5.508979082107544	1700	55.048940896987915	642	62.23529411764706	
-2260099.4888405185	172.26	11.704545454545455	289.52272727272725	176.4318181818182	-146.77495798470898	17	1050	547	21.0	803.0	494.0	12	7.0	98.0	60.0	0	0	3.4963650703430176	1800	58.54530596733093	682	62.111111111111114	
-2500028.9326890516	208.4	13.183333333333334	358.75	218.68333333333334	-146.77495798470898	18	1090	712	26.0	1349.0	834.0	17	8.0	119.0	72.0	0	0	3.8366308212280273	1900	62.38193678855896	738	61.1578947368421	
-2260059.8729812624	216.38	12.847457627118644	342.6271186440678	208.35593220338984	-146.77495798470898	19	1131	638	22.0	1355.0	837.0	6	8.0	119.0	72.0	0	0	3.920077323913574	2000	66.30201411247253	792	60.4	
-2030092.9828601212	238.64	12.566666666666666	360.5	220.23333333333332	-146.77495798470898	20	1171	782	21.0	1469.0	914.0	17	7.0	98.0	60.0	0	0	4.574081182479858	2100	70.87609529495239	848	59.61904761904762	
-2530079.041028798	272.63	12.695652173913043	369.6521739130435	225.84057971014494	-146.64773444467045	21	1202	672	24.0	1565.0	974.0	20	7.0	98.0	60.0	0	0	4.835679054260254	2200	75.71177434921265	913	58.5	
-2430082.8509265063	270.37	12.46031746031746	389.14285714285717	237.1904761904762	-144.75687970128604	22	1239	800	23.0	1580.0	981.0	13	8.0	113.0	69.0	0	0	5.109673261642456	2300	80.8214476108551	972	57.73913043478261	
-2530103.710526152	222.66	12.271186440677965	390.77966101694915	239.5593220338983	-140.90179221389542	23	1280	552	30.0	2672.0	1674.0	20	7.0	98.0	60.0	0	0	5.484625816345215	2400	86.30607342720032	1027	57.208333333333336	
-2390044.294902382	220.35	12.838709677419354	390.5	239.25806451612902	-140.90179221389542	24	1318	507	23.0	1514.0	937.0	10	8.0	107.0	65.0	0	0	5.541829586029053	2500	91.84790301322937	1085	56.6	
-2100024.1457620384	217.68	12.918367346938776	369.9591836734694	225.55102040816325	-124.98490168951854	25	1369	676	24.0	1805.0	1125.0	3	8.0	107.0	65.0	0	0	3.9258832931518555	2600	95.77378630638123	1130	56.53846153846154	
-2510065.9783541006	222.73	12.533333333333333	361.8	219.76666666666668	-112.59298042391181	26	1409	659	27.0	2096.0	1296.0	3	7.0	98.0	60.0	0	0	4.447370529174805	2700	100.22115683555603	1186	56.074074074074076	
-2870050.5056055356	222.85	12.43939393939394	372.0	226.57575757575756	-112.59298042391181	27	1443	579	32.0	4343.0	2702.0	13	8.0	119.0	72.0	0	0	5.3904266357421875	2800	105.61158347129822	1248	55.42857142857143	
-2670041.7875701673	222.67	13.144927536231885	399.9130434782609	243.97101449275362	-112.59298042391181	28	1474	640	25.0	2285.0	1417.0	49	8.0	110.0	68.0	0	0	4.578266620635986	2900	110.1898500919342	1313	54.724137931034484	
-2950041.9545033295	212.44	11.971428571428572	330.6714285714286	201.0	-112.18260593383575	29	1504	472	20.0	1295.0	798.0	31	8.0	116.0	71.0	0	0	5.269965648651123	3000	115.45981574058533	1379	54.03333333333333	
-2310033.906470988	220.17	13.210526315789474	358.3157894736842	218.7719298245614	-112.18260593383575	30	1547	689	23.0	1667.0	1040.0	2	7.0	110.0	67.0	0	0	5.152300834655762	3100	120.61211657524109	1432	53.80645161290323	
-2920049.5809285007	217.87	12.984848484848484	385.8636363636364	236.43939393939394	-112.18260593383575	31	1581	514	28.0	2315.0	1438.0	16	8.0	107.0	65.0	0	0	5.016463994979858	3200	125.62858057022095	1494	53.3125	
-2900042.582153567	212.01	12.806451612903226	333.35483870967744	203.43548387096774	-112.18260593383575	32	1619	635	21.0	941.0	584.0	12	9.0	140.0	86.0	0	0	5.040522336959839	3300	130.6691029071808	1552	52.96969696969697	
-2120075.682363699	205.92	12.947368421052632	400.3157894736842	244.4561403508772	-112.18260593383575	33	1662	504	35.0	2069.0	1285.0	12	8.0	107.0	65.0	0	0	4.697825908660889	3400	135.36692881584167	1605	52.794117647058826	
-2650044.2340933634	219.7	13.015625	424.625	258.53125	-112.18260593383575	34	1698	524	29.0	2519.0	1565.0	19	8.0	131.0	79.0	0	0	5.211973428726196	3500	140.57890224456787	1665	52.42857142857143	
-2050058.8566812128	210.94	13.866666666666667	459.65	281.4	-112.18260593383575	35	1738	632	32.0	2441.0	1521.0	17	8.0	134.0	82.0	0	0	4.45646595954895	3600	145.03536820411682	1721	52.19444444444444	
-3050063.3846905436	245.84	12.485294117647058	352.55882352941177	214.63235294117646	-112.18260593383575	36	1770	562	22.0	1244.0	775.0	21	8.0	116.0	71.0	0	0	6.253616094589233	3700	151.28898429870605	1785	51.75675675675676	
-2850049.9430181207	297.92	13.3	421.1857142857143	258.0285714285714	-112.18260593383575	37	1800	562	27.0	2375.0	1479.0	30	8.0	119.0	72.0	0	0	6.801651954650879	3800	158.09063625335693	1851	51.28947368421052	
-2580046.4575518942	287.05	14.098360655737705	484.75409836065575	296.24590163934425	-112.18260593383575	38	1839	909	23.0	1679.0	1036.0	29	9.0	125.0	77.0	0	0	4.744216442108154	3900	162.8348526954651	1908	51.07692307692307	
-2300054.743358969	269.97	13.796610169491526	481.89830508474574	294.9491525423729	-112.18260593383575	39	1880	582	27.0	3113.0	1933.0	29	9.0	131.0	80.0	0	0	4.159642219543457	4000	166.99449491500854	1963	50.925	
-1880033.5432139707	300.79	13.681818181818182	454.90909090909093	277.1363636363636	-112.18260593383575	40	1914	634	23.0	1415.0	880.0	18	8.0	119.0	72.0	0	0	4.324071645736694	4100	171.31856656074524	2025	50.609756097560975	
-2640069.038407093	330.52	13.63013698630137	461.86301369863014	282.36986301369865	-112.18260593383575	41	1941	809	28.0	2564.0	1590.0	46	7.0	110.0	67.0	0	0	5.272723913192749	4200	176.591290473938	2094	50.142857142857146	
-2270067.244122784	354.86	13.68	446.68	272.5466666666667	-112.18260593383575	42	1966	853	27.0	1517.0	942.0	47	8.0	131.0	81.0	0	0	5.197078227996826	4300	181.78836870193481	2165	49.651162790697676	
-2430020.766139452	356.26	13.704225352112676	485.1267605633803	296.84507042253523	-112.18260593383575	43	1995	801	26.0	2132.0	1319.0	41	8.0	116.0	71.0	0	0	6.3295087814331055	4400	188.11787748336792	2232	49.272727272727266	
-2240057.285125307	351.62	13.662162162162161	456.7837837837838	278.63513513513516	-110.58944848163509	44	2021	982	25.0	2144.0	1331.0	55	9.0	128.0	78.0	0	0	5.278849840164185	4500	193.3967273235321	2302	48.84444444444445	
-2320052.268388642	308.84	13.352112676056338	429.5211267605634	261.9718309859155	-110.58944848163509	45	2050	708	24.0	1817.0	1127.0	53	8.0	134.0	81.0	0	0	4.807417869567871	4600	198.20414519309998	2369	48.5	
-2580095.744840662	331.56	14.0	446.73972602739724	272.3972602739726	-110.58944848163509	46	2077	746	36.0	2495.0	1549.0	34	8.0	119.0	72.0	0	0	5.353562593460083	4700	203.55770778656006	2438	48.12765957446808	
-2390058.3139713258	296.7	13.26027397260274	447.1506849315069	272.6849315068493	-110.58944848163509	47	2104	743	24.0	2336.0	1437.0	64	8.0	119.0	72.0	0	0	5.666733741760254	4800	209.2244415283203	2507	47.77083333333333	
-2360143.420360765	292.7	12.441176470588236	373.6470588235294	227.13235294117646	-110.58944848163509	48	2136	719	27.0	1775.0	1104.0	39	8.0	119.0	72.0	0	0	5.860001802444458	4900	215.08444333076477	2571	47.530612244897966	
-3380152.6228268384	265.39	11.986666666666666	319.4	194.21333333333334	-110.58944848163509	49	2161	909	21.0	1550.0	954.0	30	8.0	119.0	72.0	0	0	7.360326528549194	5000	222.44476985931396	2642	47.160000000000004	
-1820043.0096811152	252.69	13.385714285714286	401.85714285714283	245.11428571428573	-110.58944848163509	50	2191	741	24.0	1271.0	783.0	29	9.0	125.0	76.0	0	0	5.174851417541504	5100	227.61962127685547	2708	46.90196078431372	
-2650025.7851152597	224.34	13.64179104477612	451.6865671641791	274.86567164179104	-110.58944848163509	51	2224	781	24.0	1376.0	843.0	39	9.0	149.0	91.0	0	0	4.969833850860596	5200	232.58945512771606	2771	46.71153846153846	
-2450045.5899055637	233.36	13.11111111111111	405.85714285714283	247.33333333333334	-110.58944848163509	52	2261	802	27.0	1487.0	921.0	34	9.0	137.0	83.0	0	0	4.577138185501099	5300	237.16659331321716	2830	46.60377358490566	
-2490071.4542714697	241.54	13.227272727272727	448.90909090909093	272.6363636363636	-110.58944848163509	53	2295	875	23.0	1370.0	834.0	15	8.0	113.0	69.0	0	0	5.298397779464722	5400	242.46499109268188	2892	46.44444444444444	
