ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-6787773.558649808	100.0	10.710526315789474	175.6184210526316	111.14473684210526	-253.10325392187647	0	4	100	16.0	323.0	207.0	100	8.0	88.0	57.0	0	0	36.05578851699829	80	36.05578851699829	76	5.0	
-5075373.580621001	100.0	11.813333333333333	205.66666666666666	129.98666666666668	-177.891558551339	1	9	188	21.0	409.0	253.0	12	9.0	107.0	69.0	0	0	32.597641944885254	160	68.65343046188354	147	8.125	
-4175467.2476195367	98.7625	10.623376623376624	171.58441558441558	108.12987012987013	-144.6370774640186	2	12	185	15.0	378.0	238.0	12	8.0	90.0	58.0	0	0	30.119120359420776	240	98.77255082130432	219	8.75	
-3312828.633789446	100.4	10.328947368421053	178.80263157894737	112.28947368421052	-140.68891298929316	3	16	132	15.0	358.0	222.0	70	8.0	98.0	63.0	0	0	29.05447745323181	320	127.82702827453613	291	9.0625	
-3600281.594937137	100.0	10.461538461538462	186.69230769230768	117.2051282051282	-134.56406078093568	4	18	154	14.0	292.0	182.0	46	9.0	86.0	56.0	0	0	36.567302227020264	400	164.3943305015564	365	8.75	
-4387702.1717767	100.075	10.435897435897436	192.7051282051282	120.8076923076923	-127.13176463557608	5	20	182	14.0	340.0	207.0	18	8.0	91.0	59.0	0	0	35.65626502037048	480	200.05059552192688	439	8.541666666666671	
-4125334.2740810574	98.725	10.460526315789474	194.47368421052633	121.61842105263158	-115.57063265928421	6	24	172	14.0	330.0	203.0	6	8.0	87.0	56.0	0	0	33.42633676528931	560	233.4769322872162	511	8.75	
-4025232.2242754325	98.55	10.714285714285714	197.80519480519482	123.62337662337663	-110.49382591865732	7	27	128	15.0	340.0	207.0	28	8.0	92.0	59.0	0	0	35.45393967628479	640	268.930871963501	584	8.75	
-4112704.0400851965	97.95	10.820512820512821	203.48717948717947	127.48717948717949	-110.49382591865732	8	29	151	17.0	342.0	208.0	15	8.0	100.0	64.0	0	0	36.42404532432556	720	305.35491728782654	658	8.611111111111114	
-3712760.2621412026	101.1625	10.5375	200.3	125.1125	-110.49382591865732	9	29	151	17	424	259	49	9	96	62	0	0	37.04466509819031	800	342.39958238601685	734	8.25	
-3575283.0946320137	100.775	10.645569620253164	200.39240506329114	125.40506329113924	-108.74667898430802	10	30	139	15.0	378.0	232.0	61	8.0	96.0	62.0	0	0	35.09185433387756	880	377.4914367198944	808	8.181818181818173	
-4112729.523212378	99.5	10.666666666666666	192.93589743589743	120.97435897435898	-108.74667898430802	11	32	178	16.0	299.0	185.0	22	8.0	101.0	65.0	0	0	33.966062784194946	960	411.45749950408936	881	8.229166666666671	
-3337725.3802602873	99.675	10.50632911392405	189.49367088607596	118.65822784810126	-106.31335706444284	12	33	157	15.0	401.0	248.0	43	8.0	87.0	56.0	0	0	33.16085171699524	1040	444.6183512210846	955	8.173076923076934	
-3562736.9811679446	100.0	10.475	184.525	115.75	-106.31335706444284	13	33	156	14	340	212	44	8	101	65	0	0	35.204813718795776	1120	479.82316493988037	1030	8.035714285714292	
-4562711.8606053395	100.425	10.8375	187.6	118.1375	-95.78952172235091	14	33	141	17	423	259	59	8	101	65	0	0	35.51361012458801	1200	515.3367750644684	1106	7.833333333333343	
-3850269.422364542	102.2	10.6625	188.6375	118.575	-95.78952172235091	15	33	164	15	301	185	44	8	92	59	0	0	35.746562004089355	1280	551.0833370685577	1182	7.65625	
-3837872.681600877	100.6625	10.860759493670885	186.77215189873417	117.44303797468355	-95.78952172235091	16	34	179	16.0	301.0	187.0	21	8.0	101.0	65.0	0	0	34.37278199195862	1360	585.4561190605164	1257	7.573529411764696	
-3700273.738670635	100.9	10.949367088607595	187.27848101265823	118.0126582278481	-95.78952172235091	17	35	179	17.0	359.0	228.0	57	7.0	82.0	53.0	0	0	34.224847078323364	1440	619.6809661388397	1332	7.5	
-3500223.7804931374	105.6	10.666666666666666	179.57692307692307	113.17948717948718	-95.78952172235091	18	37	179	18.0	359.0	222.0	48	7.0	82.0	53.0	0	0	33.10265374183655	1520	652.7836198806763	1406	7.5	
-3225260.087287736	106.575	10.792207792207792	188.32467532467533	118.3896103896104	-95.78952172235091	19	40	175	17.0	364.0	227.0	39	7.0	82.0	53.0	0	0	34.141475439071655	1600	686.9250953197479	1479	7.5625	
-3662690.4358768314	96.1625	10.67605633802817	180.88732394366198	113.46478873239437	-95.78952172235091	20	49	163	16.0	344.0	208.0	37	8.0	92.0	59.0	0	0	30.175817489624023	1680	717.100912809372	1545	8.035714285714292	
-3712686.3703990816	95.15	10.81081081081081	186.74324324324326	117.4054054054054	-95.78952172235091	21	55	185	16.0	344.0	212.0	15	7.0	82.0	53.0	0	0	31.291757345199585	1760	748.3926701545715	1614	8.295454545454547	
-3462736.873545149	96.8125	10.28	170.08	107.13333333333334	-95.78952172235091	22	60	187	16.0	344.0	208.0	15	8.0	85.0	55.0	0	0	29.706918716430664	1840	778.0995888710022	1683	8.532608695652172	
-4025297.219339715	99.6125	10.6875	178.3375	112.4	-95.78952172235091	23	60	114	14	360	222	69	8	79	51	0	0	33.603517293930054	1920	811.7031061649323	1759	8.385416666666671	
-3425249.125914566	99.9125	10.544303797468354	179.40506329113924	112.70886075949367	-95.78952172235091	24	61	129	14.0	329.0	200.0	68	8.0	107.0	69.0	0	0	37.268290281295776	2000	848.971396446228	1834	8.299999999999997	
-3137730.6958209164	100.0	10.468354430379748	171.43037974683546	108.0886075949367	-95.78952172235091	25	62	182	15.0	280.0	176.0	18	8.0	90.0	58.0	0	0	32.61216902732849	2080	881.5835654735565	1909	8.221153846153854	
-3325243.851399158	99.9	10.486842105263158	182.72368421052633	114.97368421052632	-95.78952172235091	26	66	178	15.0	363.0	230.0	21	8.0	92.0	59.0	0	0	33.413543939590454	2160	914.997109413147	1980	8.333333333333343	
-3950280.727646136	99.2875	10.625	185.275	116.45	-95.78952172235091	27	66	163	15	338	212	37	8	107	69	0	0	35.22222566604614	2240	950.2193350791931	2056	8.214285714285722	
-3787785.9317776402	99.3625	10.922077922077921	184.62337662337663	116.37662337662337	-95.78952172235091	28	69	185	16.0	303.0	185.0	15	8.0	82.0	53.0	0	0	34.003602504730225	2320	984.2229375839233	2129	8.232758620689651	
-3925262.306311673	100.8625	10.6375	186.0875	116.7875	-95.78952172235091	29	69	173	15	383	243	49	8	91	59	0	0	36.728092432022095	2400	1020.9510300159454	2205	8.125	
-4450326.628707729	100.0625	10.949367088607595	177.77215189873417	112.44303797468355	-95.78952172235091	30	70	143	16.0	307.0	199.0	57	8.0	98.0	63.0	0	0	33.556968212127686	2480	1054.5079982280731	2280	8.064516129032256	
-4012856.095461078	102.375	10.461538461538462	169.98717948717947	107.25641025641026	-95.78952172235091	31	72	170	14.0	368.0	224.0	30	7.0	74.0	48.0	0	0	33.21573615074158	2560	1087.7237343788147	2354	8.046875	
-4400265.856737074	99.3375	10.5	171.0625	107.925	-95.78952172235091	32	72	188	15	336	206	24	7	82	53	0	0	34.21253776550293	2640	1121.9362721443176	2430	7.954545454545453	
-4325194.726542049	101.4375	10.7012987012987	182.85714285714286	115.22077922077922	-95.78952172235091	33	75	158	15.0	368.0	229.0	42	7.0	74.0	48.0	0	0	35.6295804977417	2720	1157.5658526420593	2503	7.977941176470594	
-3437771.033069662	95.4125	10.973684210526315	192.3684210526316	120.92105263157895	-95.78952172235091	34	79	144	15.0	454.0	280.0	42	8.0	91.0	59.0	0	0	35.1307008266449	2800	1192.6965534687042	2574	8.07142857142857	
-3650282.1105576875	97.575	10.688311688311689	182.66233766233765	114.55844155844156	-95.78952172235091	35	82	164	15.0	321.0	195.0	36	8.0	91.0	59.0	0	0	35.8796763420105	2880	1228.5762298107147	2647	8.090277777777771	
