ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-775021.8004145423	100.0	11.402597402597403	183.92207792207793	116.96103896103897	-15.85825711559099	0	3	100	20.0	502.0	318.0	100	8.0	82.0	53.0	0	0	9.463143348693848	80	9.463143348693848	77	3.75	
-562522.7871959182	100.0	12.18918918918919	211.56756756756758	133.64864864864865	-15.452253365124674	1	9	165	18.0	407.0	250.0	35	8.0	90.0	58.0	0	0	7.536976099014282	160	17.00011944770813	146	8.75	
-387529.4673931905	107.7	11.9625	202.975	128.2375	-15.452253365124674	2	9	167	18	524	317	71	9	102	66	0	0	9.16101861000061	240	26.16113805770874	222	7.5	
-462524.05058582884	109.45	11.775	190.475	120.7875	-15.427859130514879	3	9	181	18	469	289	48	8	101	65	0	0	15.802516222000122	320	41.96365427970886	298	6.875	
-412525.63716240705	110.0875	11.30379746835443	172.81012658227849	109.9620253164557	-14.951133944039178	4	10	241	19.0	397.0	253.0	31	8.0	87.0	56.0	0	0	14.238134384155273	400	56.201788663864136	372	7.0	
-425023.36261769745	115.225	10.848101265822784	154.78481012658227	98.77215189873418	-14.444667167876018	5	11	241	19.0	429.0	271.0	14	7.0	82.0	53.0	0	0	16.506386041641235	480	72.70817470550537	445	7.291666666666657	
-337526.2564187418	117.275	10.15	143.5	91.675	-14.444667167876018	6	11	200	14	313	192	61	8	87	56	0	0	16.393500328063965	560	89.10167503356934	519	7.321428571428569	
-375027.86649453815	101.725	10.012658227848101	148.58227848101265	94.9493670886076	-13.674159255615729	7	12	157	13.0	311.0	190.0	43	8.0	83.0	54.0	0	0	10.942684650421143	640	100.04435968399048	594	7.1875	
-325029.0609525975	101.1	10.443037974683545	156.64556962025316	99.83544303797468	-13.674159255615729	8	13	166	16.0	363.0	226.0	34	8.0	102.0	66.0	0	0	9.765249967575073	720	109.80960965156555	669	7.083333333333329	
-412521.8328361829	100.5375	9.9625	141.3375	90.475	-13.674159255615729	9	13	150	13	268	169	60	8	88	57	0	0	8.760017395019531	800	118.56962704658508	743	7.125	
-400021.44977140584	103.275	10.051282051282051	143.84615384615384	92.01282051282051	-13.607801117551237	10	15	164	14.0	276.0	169.0	36	8.0	95.0	61.0	0	0	11.749339580535889	880	130.31896662712097	817	7.1590909090909065	
-400016.3031652267	105.6375	10.525	154.4125	98.8	-13.598034564683042	11	15	164	15	375	233	93	8	102	66	0	0	11.284976720809937	960	141.6039433479309	891	7.1875	
