ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-6200408.530424057	100.0	10.949367088607595	180.9493670886076	114.25316455696202	-97.50482533776929	0	1	100	20.0	339.0	208.0	100	8.0	87.0	56.0	0	0	5.278120040893555	80	5.278120040893555	79	1.25	
-3400457.305656911	100.0	10.481012658227849	176.1772151898734	110.9113924050633	-97.50482533776929	1	2	160	17.0	365.0	233.0	40	8.0	87.0	56.0	0	0	4.838505983352661	160	10.116626024246216	153	4.375	
-2850350.886110861	98.5125	10.736842105263158	182.67105263157896	114.51315789473684	-86.06541893913587	2	6	175	19.0	315.0	192.0	25	8.0	96.0	62.0	0	0	4.731801986694336	240	14.848428010940552	225	6.25	
-2975302.2242453313	98.4	10.986301369863014	201.67123287671234	125.68493150684931	-86.06541893913587	3	13	167	16.0	487.0	299.0	33	8.0	117.0	74.0	0	0	4.898516893386841	320	19.746944904327393	294	8.125	
-2387739.022200617	100.2625	10.857142857142858	192.8961038961039	119.84415584415585	-86.06541893913587	4	16	167	16.0	376.0	235.0	40	9.0	110.0	71.0	0	0	5.05683708190918	400	24.803781986236572	367	8.25	
-2412769.5953955892	100.975	10.9	180.5625	112.4	-86.06541893913587	5	16	145	17	312	191	65	8	96	62	0	0	5.295788049697876	480	30.09957003593445	443	7.708333333333329	
-2387863.4866164783	99.925	10.860759493670885	191.83544303797467	119.35443037974683	-86.06541893913587	6	17	178	17.0	424.0	260.0	22	8.0	88.0	57.0	0	0	5.070653915405273	560	35.17022395133972	518	7.5	
-2187756.628354306	100.0	10.74025974025974	186.1818181818182	115.88311688311688	-86.06541893913587	7	20	170	16.0	367.0	226.0	30	8.0	88.0	57.0	0	0	5.064236164093018	640	40.23446011543274	591	7.65625	
-2625306.995927437	103.4	10.531645569620252	176.40506329113924	109.9620253164557	-75.8869778423035	8	21	185	18.0	369.0	235.0	36	8.0	88.0	57.0	0	0	5.066908836364746	720	45.301368951797485	665	7.638888888888886	
-2925236.6518374234	105.1625	10.512820512820513	183.83333333333334	114.85897435897436	-75.8869778423035	9	23	185	17.0	301.0	194.0	83	8.0	88.0	57.0	0	0	5.016329050064087	800	50.31769800186157	739	7.625	
-2537741.164372512	112.3125	10.325	169.0	106.125	-74.18716863288061	10	23	185	15	256	164	52	8	111	70	0	0	4.769117832183838	880	55.08681583404541	815	7.38636363636364	
-2050221.289289061	115.4375	10.025	170.925	107.025	-72.19186004235087	11	23	185	16	278	172	34	9	115	73	0	0	4.804885149002075	960	59.891700983047485	890	7.291666666666657	
-1275240.724154062	109.075	10.192307692307692	168.93589743589743	105.75641025641026	-70.26959991125229	12	25	224	18.0	291.0	185.0	42	8.0	93.0	60.0	0	0	4.789535045623779	1040	64.68123602867126	964	7.307692307692307	
-2000228.2087531232	106.8375	10.064102564102564	162.64102564102564	102.25641025641026	-70.26959991125229	13	27	194	17.0	427.0	271.0	25	9.0	113.0	72.0	0	0	4.382246971130371	1120	69.06348299980164	1035	7.589285714285708	
-1500255.3721891902	105.4125	9.746835443037975	154.37974683544303	97.26582278481013	-64.29641668119162	14	28	162	17.0	322.0	203.0	59	9.0	101.0	65.0	0	0	4.316298007965088	1200	73.37978100776672	1109	7.583333333333329	
-1825143.0893110826	104.825	9.363636363636363	141.4805194805195	89.05194805194805	-62.436954936432635	15	31	171	13.0	238.0	149.0	29	8.0	87.0	56.0	0	0	3.809591054916382	1280	77.1893720626831	1182	7.65625	
-1737661.4673551836	103.6	9.481012658227849	143.59493670886076	90.18987341772151	-59.81077313346052	16	32	175	13.0	295.0	186.0	25	8.0	88.0	57.0	0	0	3.961034059524536	1360	81.15040612220764	1257	7.573529411764696	
-1087696.5466662012	110.575	9.625	152.9625	95.725	-59.800984798617165	17	32	192	15	244	153	33	9	106	67	0	0	4.091290712356567	1440	85.24169683456421	1333	7.430555555555557	
-2162724.9971063538	104.8	9.746835443037975	156.79746835443038	98.34177215189874	-59.800984798617165	18	33	175	14.0	248.0	155.0	29	8.0	88.0	57.0	0	0	4.075591325759888	1520	89.3172881603241	1408	7.368421052631575	
