ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-600036.0256975845	100.0	11.076923076923077	176.02564102564102	111.64102564102564	-16.06569695625163	0	2	100	16.0	450.0	274.0	100	7.0	79.0	51.0	0	0	6.478769063949585	80	6.478769063949585	78	2.5	
-437531.64670731686	100.0	10.831168831168831	190.96103896103895	120.0	-11.982790167859918	1	5	129	16.0	600.0	368.0	71	8.0	79.0	51.0	0	0	8.88525128364563	160	15.364020347595215	151	5.625	
-337525.93985549465	100.8	10.75	185.025	116.1	-10.365962414995511	2	5	147	16	357	217	53	8	87	56	0	0	9.963420391082764	240	25.32744073867798	227	5.416666666666671	
-287534.7162625841	100.35	10.14102564102564	168.94871794871796	106.08974358974359	-10.365962414995511	3	7	170	15.0	448.0	276.0	30	8.0	112.0	72.0	0	0	10.178562879562378	320	35.506003618240356	301	5.9375	
-300025.3713905715	100.0	9.85897435897436	163.16666666666666	102.37179487179488	-10.263645587471576	4	9	169	14.0	301.0	185.0	31	8.0	100.0	64.0	0	0	7.853034496307373	400	43.35903811454773	374	6.5	
-262531.1334233602	105.325	10.1	169.8	106.625	-10.263645587471576	5	9	169	16	353	223	61	8	88	57	0	0	7.264754056930542	480	50.62379217147827	450	6.25	
-287519.5330535433	98.05	10.240506329113924	170.873417721519	107.39240506329114	-9.321660361937095	6	10	154	20.0	368.0	236.0	46	8.0	106.0	68.0	0	0	7.868547201156616	560	58.49233937263489	524	6.428571428571431	
-225035.00612305786	99.9	10.0875	170.5875	106.825	-8.174596606658136	7	10	139	17	305	195	61	8	104	67	0	0	8.398511409759521	640	66.89085078239441	598	6.5625	
-362523.4940683243	100.975	9.810126582278482	162.37974683544303	101.86075949367088	-8.174596606658136	8	11	154	17.0	405.0	243.0	46	8.0	96.0	62.0	0	0	8.717435121536255	720	75.60828590393066	672	6.666666666666671	
-375027.7752794219	100.4	9.936708860759493	162.50632911392404	102.31645569620254	-8.174596606658136	9	12	153	14.0	310.0	195.0	47	9.0	111.0	70.0	0	0	9.032920598983765	800	84.64120650291443	746	6.75	
-412528.50937775447	100.2125	10.0625	166.95	104.85	-8.174596606658136	10	12	133	16	422	269	67	8	88	57	0	0	9.061057090759277	880	93.7022635936737	821	6.704545454545453	
-400036.32985897904	101.8125	9.9375	164.75	103.0875	-8.094269047787984	11	12	156	13	363	221	72	8	87	56	0	0	9.245145559310913	960	102.94740915298462	896	6.666666666666671	
-312552.1037473812	101.125	10.3375	161.6875	101.6625	-8.094269047787984	12	12	156	17	468	292	63	9	93	60	0	0	8.061068296432495	1040	111.00847744941711	971	6.634615384615387	
-325023.69370594074	102.2375	9.69620253164557	151.18987341772151	94.9493670886076	-8.094269047787984	13	13	156	14.0	277.0	174.0	53	8.0	88.0	57.0	0	0	7.256145000457764	1120	118.26462244987488	1043	6.875	
-287524.3293479494	100.925	9.743589743589743	149.65384615384616	94.2051282051282	-7.888773368744663	14	15	139	15.0	318.0	194.0	52	8.0	88.0	57.0	0	0	7.5823280811309814	1200	125.84695053100586	1115	7.083333333333329	
-225025.9943830512	99.9	9.670886075949367	137.9367088607595	86.9113924050633	-7.794622548860431	15	16	143	17.0	312.0	189.0	52	9.0	111.0	70.0	0	0	7.472348928451538	1280	133.3192994594574	1188	7.1875	
-362531.89162789215	99.7875	9.962025316455696	154.7594936708861	97.21518987341773	-7.794622548860431	16	17	174	14.0	320.0	196.0	26	9.0	110.0	70.0	0	0	7.916464567184448	1360	141.23576402664185	1263	7.132352941176464	
-262526.5523485833	101.925	9.820512820512821	153.48717948717947	96.3974358974359	-7.782713741440253	17	19	157	13.0	346.0	216.0	43	9.0	111.0	70.0	0	0	9.253545999526978	1440	150.48931002616882	1336	7.222222222222214	
-312518.6968906013	99.25	9.544303797468354	143.49367088607596	90.0632911392405	-7.605022350243198	18	20	157	13.0	247.0	154.0	58	8.0	93.0	60.0	0	0	11.178201913833618	1520	161.66751194000244	1409	7.30263157894737	
-375031.54869504867	97.5125	10.051282051282051	152.42307692307693	95.7948717948718	-7.605022350243198	19	22	161	17.0	398.0	246.0	14	8.0	87.0	56.0	0	0	9.854309797286987	1600	171.52182173728943	1482	7.375	
-362527.7075315686	99.925	9.8125	149.5875	93.8625	-7.605022350243198	20	22	142	16	456	281	58	8	95	61	0	0	9.945256471633911	1680	181.46707820892334	1558	7.261904761904759	
-300026.04546951235	99.2125	9.8125	149.25	93.7125	-7.605022350243198	21	22	118	14	283	178	58	7	82	53	0	0	9.460484981536865	1760	190.9275631904602	1632	7.2727272727272805	
-375018.78250231256	100.15	10.10126582278481	154.68354430379748	97.27848101265823	-7.510104552088028	22	23	147	19.0	315.0	204.0	53	8.0	87.0	56.0	0	0	9.471988439559937	1840	200.39955163002014	1706	7.282608695652172	
-225027.137226832	100.8875	9.49367088607595	136.48101265822785	85.9620253164557	-7.5097990854572565	23	24	154	13.0	372.0	230.0	46	8.0	82.0	53.0	0	0	11.346821784973145	1920	211.7463734149933	1779	7.34375	
-237534.48670263326	101.375	9.4	132.2125	83.15	-7.482682940407531	24	24	154	13	307	189	59	8	87	56	0	0	9.55721116065979	2000	221.30358457565308	1854	7.299999999999997	
-387529.72621880926	100.0	9.49367088607595	135.9240506329114	85.59493670886076	-7.3020764132274225	25	25	164	14.0	277.0	177.0	36	7.0	82.0	53.0	0	0	10.729013681411743	2080	232.03259825706482	1926	7.403846153846146	
-312519.0995935054	100.0	9.4625	142.8375	89.8375	-7.3020764132274225	26	25	129	13	362	227	71	7	80	52	0	0	14.01325273513794	2160	246.04585099220276	2001	7.361111111111114	
-300031.27465248964	100.2	9.8125	149.4	94.075	-7.3020764132274225	27	25	143	16	353	225	57	8	98	63	0	0	8.959498643875122	2240	255.00534963607788	2075	7.366071428571431	
-262535.4109313128	99.725	9.75	145.825	91.8375	-7.28241888976089	28	25	152	15	284	174	48	8	98	63	0	0	8.815947532653809	2320	263.8212971687317	2150	7.327586206896555	
-350031.32430339314	99.825	9.6875	143.7875	90.4	-7.28241888976089	29	25	147	15	328	202	53	8	82	53	0	0	9.130403280258179	2400	272.95170044898987	2225	7.291666666666657	
