ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-625033.9889813235	100.0	11.0	172.275	109.2	-13.503342236154172	0	0	100	16	372	228	100	7	74	48	0	0	1.9990484714508057	80	1.9990484714508057	80	0.0	
-412532.3022577535	100.0	11.256410256410257	190.48717948717947	119.98717948717949	-11.994100637266529	1	2	153	20.0	392.0	240.0	47	8.0	92.0	59.0	0	0	2.131565809249878	160	4.130614280700684	153	4.375	
-287535.77366880246	102.9875	10.8125	183.5875	115.425	-11.609830194434927	2	2	169	17	369	228	31	8	93	60	0	0	2.2496936321258545	240	6.380307912826538	229	4.583333333333329	
-312538.75609132426	108.225	10.227848101265822	171.79746835443038	108.50632911392405	-10.749976297708256	3	3	186	18.0	587.0	369.0	63	8.0	85.0	55.0	0	0	2.5135583877563477	320	8.893866300582886	304	5.0	
-300023.69586689986	97.3875	9.721518987341772	147.70886075949366	93.59493670886076	-10.749976297708256	4	4	153	15.0	454.0	275.0	24	7.0	82.0	53.0	0	0	2.439028024673462	400	11.332894325256348	379	5.25	
-212532.578177266	96.0	9.25	131.9	83.7	-10.679354029297503	5	4	153	18	337	217	50	8	84	54	0	0	1.830700397491455	480	13.163594722747803	455	5.208333333333343	
-200046.4657846933	90.025	9.1375	129.2	81.5875	-10.084291461560815	6	4	153	14	213	131	63	7	82	53	0	0	1.696288824081421	560	14.859883546829224	527	5.892857142857139	
-250036.74501452307	84.625	8.794871794871796	125.42307692307692	79.25641025641026	-10.009383831469496	7	6	141	14.0	234.0	149.0	22	7.0	79.0	51.0	0	0	1.6417205333709717	640	16.501604080200195	600	6.25	
-200041.98802018818	84.3875	8.923076923076923	130.26923076923077	82.01282051282051	-8.915168101342834	8	8	141	13.0	216.0	132.0	24	7.0	79.0	51.0	0	0	1.552734613418579	720	18.054338693618774	673	6.5277777777777715	
-162539.70374395826	87.4	8.6875	123.2875	78.0	-8.915168101342834	9	8	139	14	234	143	39	7	82	53	0	0	1.400460958480835	800	19.45479965209961	746	6.75	
-212526.15937502534	85.9125	8.820512820512821	128.23076923076923	81.11538461538461	-8.379922668921894	10	10	145	12.0	235.0	149.0	12	7.0	79.0	51.0	0	0	1.4814741611480713	880	20.93627381324768	819	6.931818181818187	
-212540.24209644637	90.2875	8.8375	126.7125	80.2875	-8.379922668921894	11	10	161	12	239	147	21	8	79	51	0	0	1.4507529735565186	960	22.3870267868042	894	6.875	
-250030.65412628403	89.125	9.1	130.875	82.95	-8.379922668921894	12	10	159	14	223	143	21	7	79	51	0	0	1.5482778549194336	1040	23.935304641723633	970	6.730769230769226	
-200029.31484976583	96.325	8.822784810126583	130.86075949367088	82.9113924050633	-8.15063881411391	13	11	146	13.0	351.0	218.0	54	8.0	83.0	54.0	0	0	1.3356726169586182	1120	25.27097725868225	1042	6.964285714285708	
-100034.56541387121	96.2875	8.75	131.5875	82.925	-8.15063881411391	14	11	137	13	238	151	58	8	95	61	0	0	1.347325325012207	1200	26.618302583694458	1116	7.0	
-200038.0938867006	97.225	9.075949367088608	139.63291139240508	87.9367088607595	-8.13683776730675	15	12	129	15.0	299.0	187.0	63	7.0	79.0	51.0	0	0	1.3377792835235596	1280	27.956081867218018	1188	7.1875	
-125028.10104734478	98.0875	9.1375	138.4625	87.4	-8.13683776730675	16	12	158	12	263	166	42	8	87	56	0	0	1.3908021450042725	1360	29.34688401222229	1262	7.205882352941174	
-225029.99543544184	99.5375	9.128205128205128	133.0	84.32051282051282	-8.098337299200637	17	14	156	13.0	267.0	163.0	44	8.0	95.0	61.0	0	0	1.3172531127929688	1440	30.66413712501526	1336	7.222222222222214	
-250026.00430545834	99.7	9.275	151.0	94.8	-8.053920941942764	18	14	162	13	305	186	38	8	88	57	0	0	1.505321741104126	1520	32.169458866119385	1412	7.10526315789474	
-162531.37537414898	99.9375	9.329113924050633	143.1139240506329	90.41772151898734	-8.053920941942764	19	15	154	14.0	385.0	238.0	46	8.0	90.0	58.0	0	0	1.4294257164001465	1600	33.59888458251953	1487	7.0625	
-200040.33091833885	100.25	9.675	153.5625	96.8625	-8.053920941942764	20	15	149	16	354	215	51	8	95	61	0	0	1.4553487300872803	1680	35.05423331260681	1562	7.023809523809518	
-125024.70572063242	96.2875	8.974683544303797	139.35443037974684	87.88607594936708	-7.886550876940663	21	16	120	12.0	251.0	156.0	51	8.0	90.0	58.0	0	0	1.3333406448364258	1760	36.38757395744324	1637	6.988636363636374	
-62538.77097491522	99.7875	8.8375	135.1375	85.3375	-7.886550876940663	22	16	137	13	264	164	63	8	90	58	0	0	1.351097583770752	1840	37.73867154121399	1712	6.956521739130437	
-125036.23574542234	100.125	8.925	133.1	84.2625	-7.886550876940663	23	16	149	12	269	165	51	8	95	61	0	0	1.3902945518493652	1920	39.128966093063354	1788	6.875	
-225039.25778499205	99.4875	9.1375	136.1375	86.2	-7.886550876940663	24	16	154	13	317	194	46	8	94	61	0	0	1.7549912929534912	2000	40.883957386016846	1864	6.799999999999997	
-162532.4860062065	100.0	8.85897435897436	128.67948717948718	81.5	-7.886550876940663	25	18	169	14.0	268.0	167.0	31	8.0	95.0	61.0	0	0	1.7492270469665527	2080	42.6331844329834	1937	6.875	
-237521.85430383225	101.775	8.825	131.425	83.1625	-7.76813407841679	26	18	162	12	267	163	48	8	95	61	0	0	1.5734918117523193	2160	44.20667624473572	2011	6.898148148148152	
-162538.26873104315	101.7625	8.9375	136.1375	86.15	-7.031946437734288	27	18	162	14	267	164	76	8	93	60	0	0	1.4593329429626465	2240	45.666009187698364	2086	6.875	
-275029.0416024503	99.9625	9.15	132.6875	84.05	-7.031946437734288	28	18	145	15	245	151	47	8	87	56	0	0	1.3729536533355713	2320	47.038962841033936	2162	6.810344827586206	
-150024.36000622265	101.85	8.575	123.8875	78.575	-7.031946437734288	29	18	139	15	301	184	61	8	93	60	0	0	1.3298943042755127	2400	48.36885714530945	2237	6.791666666666657	
-187542.08448675455	102.025	8.725	122.975	78.275	-7.031946437734288	30	18	166	13	323	196	55	8	95	61	0	0	1.2446045875549316	2480	49.61346173286438	2311	6.814516129032256	
-225050.20129766333	100.2125	8.846153846153847	129.6153846153846	82.16666666666667	-7.031946437734288	31	20	205	13.0	278.0	172.0	12	8.0	95.0	61.0	0	0	1.2439067363739014	2560	50.85736846923828	2382	6.953125	
-225048.9168686193	99.95	9.075	131.25	83.3625	-7.031946437734288	32	20	147	13	279	172	53	8	90	58	0	0	1.3351547718048096	2640	52.19252324104309	2456	6.969696969696969	
-162543.46258224666	100.925	8.975	131.075	83.0625	-7.022201711809459	33	20	134	15	341	210	66	8	92	59	0	0	1.4399511814117432	2720	53.632474422454834	2530	6.985294117647058	
-137528.53302949225	102.025	8.525	121.05	77.0	-6.945399840942833	34	20	173	11	261	166	59	8	95	61	0	0	1.2401971817016602	2800	54.872671604156494	2606	6.928571428571431	
-250040.80819726578	100.45	8.9125	127.9375	81.3	-6.945399840942833	35	20	158	17	301	184	50	8	87	56	0	0	1.300954818725586	2880	56.17362642288208	2679	6.979166666666671	
-150034.86762636836	100.7625	9.2125	145.0375	91.35	-6.945399840942833	36	20	138	18	357	221	62	8	95	61	0	0	1.505502462387085	2960	57.679128885269165	2752	7.027027027027017	
-175043.12057654018	100.85	8.925	129.0875	81.9625	-6.945399840942833	37	20	135	18	357	221	68	8	94	61	0	0	1.4246439933776855	3040	59.10377287864685	2826	7.0394736842105345	
-337543.31234131294	100.875	8.79746835443038	123.92405063291139	78.87341772151899	-6.945399840942833	38	21	141	15.0	357.0	217.0	59	7.0	82.0	53.0	0	0	1.3355283737182617	3120	60.43930125236511	2900	7.051282051282044	
-262534.8060288935	102.4	8.897435897435898	125.42307692307692	79.76923076923077	-6.939503630360632	39	23	155	18.0	272.0	172.0	45	8.0	95.0	61.0	0	0	1.290041446685791	3200	61.7293426990509	2972	7.125	
-187527.50450798852	100.275	9.3875	140.325	88.85	-6.765913537204908	40	23	146	19	320	194	54	8	90	58	0	0	1.3958690166473389	3280	63.12521171569824	3046	7.134146341463406	
-237539.5089875829	100.375	8.670886075949367	119.0379746835443	75.73417721518987	-6.765913537204908	41	24	116	18.0	261.0	159.0	87	8.0	90.0	58.0	0	0	1.3040196895599365	3360	64.42923140525818	3120	7.142857142857139	
-212538.20732585294	100.675	8.9625	129.0375	81.9625	-6.757757851033728	42	24	127	19	277	168	73	8	95	61	0	0	1.31378173828125	3440	65.74301314353943	3195	7.122093023255815	
