ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-2780030.733934002	100.0	12.436363636363636	281.72727272727275	175.12727272727273	-126.09677720608113	0	45	100	18.0	641.0	404.0	100	9.0	106.0	66.0	0	0	30.777645111083984	100	30.777645111083984	55	44.99999999999999	
-1980058.9352558043	100.0	12.977272727272727	287.65909090909093	178.1590909090909	-126.09677720608113	1	101	182	19.0	549.0	339.0	18	9.0	124.0	78.0	0	0	26.875164270401	200	57.652809381484985	95	52.5	
-1430058.4619619923	103.33	12.55813953488372	318.4186046511628	197.25581395348837	-126.09677720608113	2	158	209	22.0	999.0	626.0	21	9.0	143.0	87.0	0	0	13.739012718200684	300	71.39182209968567	134	55.333333333333336	
-1750046.1027641215	121.36	13.210526315789474	329.2894736842105	204.97368421052633	-126.09677720608113	3	220	271	23.0	1134.0	718.0	7	8.0	109.0	68.0	0	0	16.210997819900513	400	87.60281991958618	168	58.0	
-2050085.543311896	133.62	12.69811320754717	325.07547169811323	202.37735849056602	-126.09677720608113	4	267	334	21.0	1309.0	832.0	10	7.0	106.0	66.0	0	0	36.7158522605896	500	124.31867218017578	217	56.6	
-2160062.6178475055	134.3	12.192307692307692	295.78846153846155	183.32692307692307	-126.09677720608113	5	315	293	25.0	1394.0	880.0	13	7.0	105.0	66.0	0	0	32.86502242088318	600	157.18369460105896	265	55.833333333333336	
-1880036.9575729526	118.2	12.319148936170214	314.93617021276594	195.08510638297872	-90.05753310319581	6	368	350	23.0	1314.0	832.0	4	7.0	106.0	66.0	0	0	25.832874298095703	700	183.01656889915466	308	56.0	
-2860073.4221031372	131.96	11.89655172413793	249.4655172413793	154.13793103448276	-90.05753310319581	7	410	321	23.0	1049.0	652.0	9	7.0	106.0	66.0	0	0	40.893146276474	800	223.90971517562866	361	54.875	
-2290062.9921028204	155.39	12.833333333333334	312.95454545454544	194.43939393939394	-90.05753310319581	8	444	327	21.0	905.0	570.0	6	8.0	108.0	68.0	0	0	34.11861300468445	900	258.0283281803131	423	53.0	
-2450110.691410009	165.98	12.682539682539682	324.7936507936508	201.88888888888889	-90.05753310319581	9	481	427	21.0	1397.0	878.0	9	8.0	108.0	68.0	0	0	37.21532678604126	1000	295.24365496635437	482	51.800000000000004	
