ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-3151589.9032702227	100.0	12.517857142857142	283.07142857142856	175.44642857142858	-203.14287555427927	0	44	100	22.0	620.0	392.0	100	7.0	96.0	60.0	0	0	5.906997442245483	100	5.906997442245483	56	43.99999999999999	
-2470104.4890217013	100.0	12.89090909090909	302.8	186.8909090909091	-185.23860501529853	1	89	161	20.0	624.0	396.0	39	8.0	147.0	92.0	0	0	5.093720197677612	200	11.000717639923096	107	46.5	
-2300151.516134019	99.64	12.140350877192983	278.5263157894737	170.91228070175438	-167.15884782327606	2	132	158	19.0	511.0	318.0	42	8.0	99.0	62.0	0	0	6.022391080856323	300	17.02310872077942	160	46.666666666666664	
-2030137.2265956954	99.66	11.880597014925373	286.2089552238806	175.52238805970148	-112.4508671089298	3	165	179	20.0	530.0	332.0	44	10.0	131.0	82.0	0	0	7.46853494644165	400	24.49164366722107	223	44.25	
-2050111.8210784076	96.75	11.607142857142858	279.17857142857144	171.375	-112.4508671089298	4	209	189	20.0	530.0	332.0	11	9.0	144.0	90.0	0	0	6.319947242736816	500	30.811590909957886	275	44.99999999999999	
-1600181.4880928863	97.26	11.5625	280.5625	172.46875	-112.4508671089298	5	245	189	22.0	618.0	389.0	11	9.0	129.0	80.0	0	0	7.134701728820801	600	37.94629263877869	335	44.166666666666664	
-2590163.8848879887	104.6	12.121951219512194	300.3414634146341	184.890243902439	-112.44921777778553	6	263	189	22.0	653.0	411.0	21	9.0	112.0	70.0	0	0	8.887137651443481	700	46.83343029022217	413	41.0	
-1910167.7493641612	101.6	12.405405405405405	305.2162162162162	188.51351351351352	-112.44921777778553	7	289	189	20.0	581.0	364.0	30	9.0	112.0	70.0	0	0	8.345406532287598	800	55.178836822509766	483	39.625	
-2270110.18306746	101.88	12.23943661971831	293.2112676056338	180.54929577464787	-110.4200200224326	8	318	189	20.0	583.0	361.0	24	9.0	112.0	70.0	0	0	8.50492548942566	900	63.683762311935425	550	38.888888888888886	
-2320230.6411924274	96.74	11.972972972972974	271.8243243243243	167.98648648648648	-104.6198285525152	9	344	189	20.0	804.0	497.0	44	8.0	112.0	70.0	0	0	8.651496171951294	1000	72.33525848388672	619	38.1	
-1960154.6821816	97.1	11.662337662337663	264.5194805194805	162.7922077922078	-91.12474090227718	10	367	189	20.0	733.0	458.0	12	8.0	112.0	70.0	0	0	7.764969110488892	1100	80.10022759437561	692	37.090909090909086	
-2410129.598234381	93.39	11.0	224.96153846153845	138.52564102564102	-90.54369506671162	11	389	159	20.0	530.0	332.0	14	7.0	96.0	60.0	0	0	7.913605690002441	1200	88.01383328437805	766	36.16666666666667	
-2590178.434214004	89.75	10.487179487179487	222.65384615384616	136.4102564102564	-90.53167524775431	12	411	159	20.0	530.0	332.0	9	8.0	112.0	70.0	0	0	8.765799283981323	1300	96.77963256835938	840	35.38461538461539	
-1640250.6579621204	94.71	10.233766233766234	203.71428571428572	124.72727272727273	-90.50460912207886	13	434	172	20.0	530.0	332.0	22	8.0	103.0	64.0	0	0	8.062060594558716	1400	104.84169316291809	913	34.78571428571429	
-2160236.6159013417	96.86	11.0625	230.5125	141.5	-90.37845971160442	14	454	167	21.0	576.0	364.0	22	8.0	98.0	62.0	0	0	9.474877834320068	1500	114.31657099723816	989	34.06666666666666	
