ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-1525259.0790305664	100.0	13.545454545454545	464.09090909090907	289.45454545454544	tensor(-1000000.)	0	78	100	17.0	750.0	476.0	100	10.0	240.0	152.0	0	0	2.5134644508361816	100	2.5134644508361816	22	78.0	
-1500000.0	100.0	13.55	488.25	304.15	tensor(-1000000.)	1	155	172	19.0	925.0	578.0	28	9.0	231.0	143.0	0	0	1.9370911121368408	200	4.4505555629730225	41	79.5	
-1360003.6022361934	99.4	13.6	553.35	343.75	tensor(-1000000.)	2	232	239	19.0	927.0	577.0	6	9.0	265.0	162.0	0	0	2.13543701171875	300	6.5859925746917725	60	80.0	
-1300000.0	99.48	14.647058823529411	562.8823529411765	351.7647058823529	tensor(-1000000.)	3	312	266	24.0	1068.0	670.0	5	11.0	303.0	189.0	0	0	3.569772243499756	400	10.155764818191528	76	81.0	
-1650038.6080057544	100.44	13.346153846153847	488.7692307692308	304.5	tensor(-1000000.)	4	383	258	22.0	1049.0	656.0	5	10.0	302.0	186.0	0	0	3.273916006088257	500	13.429680824279785	101	79.8	
-1500000.0	93.99	13.35	536.35	333.65	tensor(-1000000.)	5	460	217	16.0	917.0	574.0	10	10.0	304.0	189.0	0	0	2.2041261196136475	600	15.633806943893433	120	80.0	
-1270006.0822365382	100.94	13.529411764705882	622.4117647058823	386.7647058823529	tensor(-1000000.)	6	540	225	20.0	1466.0	918.0	14	9.0	248.0	153.0	0	0	2.7222652435302734	700	18.356072187423706	136	80.57142857142857	
-1140017.79102018	102.37	14.76923076923077	602.6153846153846	376.9230769230769	tensor(-1000000.)	7	624	228	20.0	1200.0	758.0	20	10.0	360.0	222.0	0	0	0.9703342914581299	800	19.326406478881836	148	81.5	
-1550007.5757712228	108.05	13.935483870967742	519.0322580645161	322.0967741935484	tensor(-1000000.)	8	690	263	18.0	1014.0	628.0	9	9.0	243.0	152.0	0	0	3.3273160457611084	900	22.653722524642944	178	80.22222222222223	
-1100000.0	110.69	15.761904761904763	652.4285714285714	407.1904761904762	tensor(-1000000.)	9	766	344	21.0	1299.0	820.0	3	12.0	364.0	228.0	0	0	0.9937055110931396	1000	23.647428035736084	198	80.2	
