ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-7712561.819317443	100.0	11.36923076923077	337.5076923076923	207.96923076923076	-296.42495346648155	0	15	100	17.0	523.0	320.0	100	9.0	192.0	120.0	0	0	16.314794778823853	80	16.314794778823853	65	18.75	
-4875086.3563576285	100.0	11.403846153846153	364.0192307692308	222.8846153846154	-296.42495346648155	1	41	187	17.0	672.0	398.0	13	7.0	176.0	110.0	0	0	13.58576250076294	160	29.900557279586792	115	28.125	
-5162637.324522866	97.0	11.614035087719298	344.859649122807	212.10526315789474	-282.4195400514125	2	64	186	17.0	489.0	292.0	13	10.0	216.0	136.0	0	0	11.672362804412842	240	41.572920083999634	168	30.0	
-4912610.347494547	96.875	11.736842105263158	362.0	222.5438596491228	-274.5806827911649	3	87	197	18.0	630.0	374.0	13	9.0	223.0	140.0	0	0	12.529899835586548	320	54.10281991958618	221	30.9375	
-4850127.4111040365	91.75	11.142857142857142	342.80357142857144	210.69642857142858	-255.51550124552062	4	111	234	14.0	667.0	396.0	14	8.0	204.0	128.0	0	0	11.669906854629517	400	65.7727267742157	273	31.75	
-5312617.81954265	102.25	11.64406779661017	342.3050847457627	211.6949152542373	-255.51550124552062	5	132	234	19.0	621.0	369.0	32	9.0	219.0	135.0	0	0	12.048789024353027	480	77.82151579856873	328	31.66666666666667	
-5037639.522888124	101.4375	11.688524590163935	340.1803278688525	210.29508196721312	-253.824082363339	6	151	234	15.0	605.0	373.0	15	8.0	190.0	118.0	0	0	11.120092868804932	560	88.94160866737366	385	31.25	
-4412653.035233634	98.7375	11.583333333333334	329.4166666666667	203.21666666666667	-253.824082363339	7	171	182	17.0	555.0	342.0	13	8.0	201.0	126.0	0	0	10.376772403717041	640	99.3183810710907	441	31.09375	
-4787617.918814476	94.7125	11.145454545454545	343.90909090909093	210.8	-253.824082363339	8	196	241	16.0	568.0	350.0	6	9.0	185.0	116.0	0	0	11.46876049041748	720	110.78714156150818	492	31.66666666666667	
-4587731.387012308	103.0625	11.476190476190476	385.1587301587302	235.26984126984127	-253.824082363339	9	213	311	16.0	784.0	478.0	13	10.0	226.0	142.0	0	0	13.388327598571777	800	124.17546916007996	551	31.125	
-3437682.104390277	90.7	10.722222222222221	393.1666666666667	237.90740740740742	-246.50933062167547	10	239	167	14.0	507.0	306.0	22	9.0	200.0	124.0	0	0	13.387183666229248	880	137.5626528263092	601	31.704545454545453	
-4100214.3989731334	94.25	11.061538461538461	386.4923076923077	234.95384615384614	-246.50933062167547	11	254	155	16.0	528.0	317.0	18	10.0	234.0	146.0	0	0	13.402251720428467	960	150.96490454673767	662	31.04166666666667	
-4000214.0823046854	95.0625	11.015873015873016	399.12698412698415	242.68253968253967	-245.36751250728045	12	271	155	16.0	710.0	439.0	33	8.0	202.0	126.0	0	0	14.67220664024353	1040	165.6371111869812	721	30.67307692307692	
-4675198.435059126	95.9375	10.846153846153847	389.53846153846155	236.43076923076924	-245.36751250728045	13	286	184	15.0	584.0	348.0	16	9.0	217.0	136.0	0	0	14.24894118309021	1120	179.8860523700714	782	30.17857142857143	
-4125151.032476543	96.1375	10.935483870967742	391.1774193548387	238.11290322580646	-245.36751250728045	14	304	191	17.0	710.0	439.0	9	9.0	197.0	124.0	0	0	12.524804592132568	1200	192.41085696220398	839	30.08333333333333	
