ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-1890012.5249358108	100.0	12.81578947368421	376.7894736842105	234.0	-1252.4935810830982	0	62	100	17.0	619.0	390.0	100	10.0	183.0	115.0	0	0	60.53416562080383	100	60.53416562080383	38	62.0	
-1380031.840328371	100.0	13.793103448275861	426.9655172413793	266.7586206896552	-278.1740503277181	1	131	191	21.0	827.0	513.0	9	10.0	196.0	123.0	0	0	38.2880642414093	200	98.82222986221313	65	67.5	
-2070029.9845064837	101.15	13.257142857142858	432.1714285714286	268.2	-278.1740503277181	2	194	199	20.0	1007.0	630.0	25	9.0	206.0	129.0	0	0	60.3071813583374	300	159.12941122055054	98	67.33333333333334	
-1870063.6687935698	100.1	12.666666666666666	382.3076923076923	237.3846153846154	-278.1740503277181	3	253	206	19.0	734.0	462.0	12	9.0	183.0	115.0	0	0	106.74025416374207	400	265.8696653842926	135	66.25	
-1650052.0867626285	100.25	13.11111111111111	410.14814814814815	255.88888888888889	-278.1740503277181	4	324	265	19.0	778.0	493.0	5	10.0	173.0	109.0	0	0	58.45962309837341	500	324.329288482666	160	68.0	
-2120051.1452482366	106.25	12.517241379310345	396.62068965517244	246.06896551724137	-278.1740503277181	5	394	312	22.0	893.0	562.0	3	9.0	171.0	107.0	0	0	48.94765090942383	600	373.27693939208984	186	69.0	
-1520064.0881455254	118.01	13.515151515151516	465.5151515151515	289.90909090909093	-254.7957319264592	6	461	396	19.0	1055.0	667.0	13	9.0	189.0	116.0	0	0	47.65653419494629	700	420.93347358703613	215	69.28571428571428	
-1300035.0498094533	106.32	14.0	460.0625	287.15625	-254.7957319264592	7	529	312	21.0	818.0	517.0	13	9.0	178.0	111.0	0	0	23.78571391105652	800	444.71918749809265	243	69.625	
-2630037.77062763	109.16	12.128205128205128	354.8974358974359	219.4102564102564	-233.48438335571362	8	590	316	20.0	637.0	390.0	6	8.0	133.0	83.0	0	0	92.32017469406128	900	537.0393621921539	278	69.11111111111111	
-1890025.5367404742	114.6	12.292682926829269	381.6585365853659	236.02439024390245	-233.48438335571362	9	649	315	19.0	880.0	555.0	20	9.0	162.0	101.0	0	0	88.09195494651794	1000	625.1313171386719	315	68.5	
-1900042.1214308757	103.0	12.685714285714285	384.51428571428573	238.71428571428572	-233.48438335571362	10	714	473	22.0	1018.0	644.0	6	9.0	155.0	97.0	0	0	42.24010372161865	1100	667.3714208602905	346	68.54545454545455	
-1340011.4137563005	93.74	13.851851851851851	441.55555555555554	275.85185185185185	-233.48438335571362	11	787	381	27.0	1097.0	689.0	5	9.0	228.0	139.0	0	0	10.938461065292358	1200	678.3098819255829	369	69.25	
-2090022.7594888064	95.66	12.764705882352942	375.7647058823529	233.26470588235293	-233.48438335571362	12	853	260	21.0	999.0	623.0	3	9.0	166.0	105.0	0	0	59.21418261528015	1300	737.524064540863	399	69.3076923076923	
-1380016.3069443011	75.37	13.227272727272727	383.3181818181818	239.0	-233.48438335571362	13	931	219	22.0	665.0	421.0	1	9.0	225.0	139.0	0	0	21.24618363380432	1400	758.7702481746674	417	70.21428571428571	
-2090021.3751437587	83.51	12.185185185185185	349.81481481481484	216.96296296296296	-233.48438335571362	14	1004	240	19.0	808.0	502.0	4	9.0	152.0	95.0	0	0	68.43034982681274	1500	827.2005980014801	440	70.66666666666667	
-1890012.7545164214	85.99	13.037037037037036	374.18518518518516	231.96296296296296	-233.48438335571362	15	1077	249	17.0	711.0	446.0	4	9.0	164.0	103.0	0	0	47.31983256340027	1600	874.5204305648804	463	71.0625	
-1650043.2269695404	89.1	13.32	390.96	242.88	-233.48438335571362	16	1152	243	19.0	771.0	483.0	4	8.0	171.0	107.0	0	0	49.57190489768982	1700	924.0923354625702	484	71.52941176470588	
-1980027.7287705778	104.14	12.875	395.53125	244.65625	-228.68216031229483	17	1220	249	20.0	1106.0	695.0	4	9.0	202.0	124.0	0	0	67.56516790390015	1800	991.6575033664703	512	71.55555555555556	
-1510043.5871104049	87.76	12.5	348.3333333333333	216.8	-228.68216031229483	18	1290	322	17.0	780.0	492.0	9	9.0	196.0	123.0	0	0	43.47638130187988	1900	1035.1338846683502	538	71.68421052631578	
-2000053.0467791092	78.64	11.806451612903226	308.2258064516129	190.6451612903226	-228.68216031229483	19	1359	202	17.0	469.0	290.0	9	9.0	178.0	111.0	0	0	44.125165700912476	2000	1079.2590503692627	565	71.75	
-1540022.7640374652	87.85	12.333333333333334	368.3666666666667	229.3	-228.68216031229483	20	1429	207	19.0	783.0	497.0	7	9.0	205.0	126.0	0	0	33.96869087219238	2100	1113.227741241455	591	71.85714285714286	
-2090027.047758784	92.24	12.272727272727273	328.72727272727275	204.4848484848485	-228.68216031229483	21	1496	296	20.0	676.0	426.0	9	9.0	168.0	105.0	0	0	40.06875205039978	2200	1153.2964932918549	620	71.81818181818181	
-1860025.2906707525	91.27	12.558823529411764	365.4117647058824	227.11764705882354	-228.68216031229483	22	1562	261	20.0	765.0	483.0	11	8.0	148.0	93.0	0	0	61.13840842247009	2300	1214.434901714325	650	71.73913043478261	
-2190020.2894553277	95.35	12.268292682926829	353.8780487804878	220.14634146341464	-228.68216031229483	23	1621	228	18.0	688.0	434.0	11	8.0	128.0	81.0	0	0	65.34539723396301	2400	1279.780298948288	687	71.375	
-2750032.2507096874	97.09	12.127659574468085	345.8085106382979	215.10638297872342	-228.68216031229483	24	1674	229	22.0	878.0	547.0	5	8.0	143.0	89.0	0	0	69.76135277748108	2500	1349.541651725769	730	70.8	
-1900014.4807778024	105.9	12.58974358974359	398.64102564102564	247.5897435897436	-228.68216031229483	25	1735	285	19.0	900.0	567.0	6	8.0	161.0	100.0	0	0	54.18037676811218	2600	1403.7220284938812	765	70.57692307692308	
-1950031.4530601902	110.45	13.431818181818182	450.8181818181818	281.6363636363636	-221.15414907654406	26	1791	267	22.0	1716.0	1084.0	10	8.0	130.0	81.0	0	0	113.18775773048401	2700	1516.9097862243652	805	70.18518518518519	
-1790039.668109665	117.87	13.229166666666666	422.3958333333333	263.375	-197.0260294568854	27	1843	299	20.0	1193.0	755.0	8	8.0	130.0	81.0	0	0	129.43541526794434	2800	1646.3452014923096	847	69.75	
-1770041.540318321	105.49	12.790697674418604	366.74418604651163	227.95348837209303	-197.0260294568854	28	1900	345	19.0	1071.0	674.0	3	8.0	130.0	81.0	0	0	51.66888475418091	2900	1698.0140862464905	886	69.44827586206897	
-1940039.948870973	85.92	12.511111111111111	342.4222222222222	213.44444444444446	-197.0260294568854	29	1955	345	18.0	871.0	541.0	4	8.0	130.0	81.0	0	0	69.28945207595825	3000	1767.3035383224487	926	69.13333333333334	
-1810029.553610996	72.23	11.692307692307692	336.7692307692308	208.69230769230768	-197.0260294568854	30	2029	345	22.0	1127.0	702.0	9	8.0	130.0	81.0	0	0	38.197500467300415	3100	1805.5010387897491	947	69.45161290322581	
-1100032.3134831986	64.05	12.142857142857142	361.57142857142856	224.57142857142858	-197.0260294568854	31	2108	266	22.0	1220.0	769.0	6	8.0	130.0	81.0	0	0	44.73841691017151	3200	1850.2394556999207	963	69.90625	
-1390014.7993768211	57.57	11.333333333333334	295.8333333333333	183.72222222222223	-197.0260294568854	32	2190	248	17.0	561.0	349.0	3	8.0	130.0	81.0	0	0	23.084429502487183	3300	1873.3238852024078	977	70.39393939393939	
-1290037.5323929226	57.81	11.869565217391305	324.5217391304348	201.95652173913044	-197.0260294568854	33	2267	230	17.0	802.0	503.0	2	8.0	130.0	81.0	0	0	23.91434407234192	3400	1897.2382292747498	995	70.73529411764706	
-1320086.2821388822	58.13	11.105263157894736	243.57894736842104	152.6315789473684	-197.0260294568854	34	2348	229	18.0	440.0	279.0	5	8.0	130.0	81.0	0	0	32.70974850654602	3500	1929.9479777812958	1009	71.17142857142856	
-1660081.4258976239	62.56	11.545454545454545	309.72727272727275	194.36363636363637	-197.0260294568854	35	2426	223	17.0	960.0	606.0	5	8.0	130.0	81.0	0	0	47.85168385505676	3600	1977.7996616363525	1027	71.47222222222223	
-1490046.1048878194	63.69	11.91304347826087	338.2608695652174	211.0	-197.0260294568854	36	2503	274	18.0	795.0	498.0	6	8.0	130.0	81.0	0	0	31.04286479949951	3700	2008.842526435852	1045	71.75675675675676	
-1690027.974949479	67.33	11.476190476190476	297.2857142857143	184.23809523809524	-197.0260294568854	37	2582	288	19.0	953.0	603.0	8	8.0	130.0	81.0	0	0	33.88454079627991	3800	2042.727067232132	1062	72.05263157894737	
-1560037.7926284135	62.91	11.571428571428571	332.2857142857143	206.57142857142858	-197.0260294568854	38	2661	310	19.0	742.0	467.0	6	8.0	130.0	81.0	0	0	35.19142007827759	3900	2077.9184873104095	1079	72.33333333333333	
-1100023.2545947123	44.37	10.9375	257.5	159.875	-197.0260294568854	39	2745	149	21.0	683.0	428.0	2	8.0	130.0	81.0	0	0	16.14168691635132	4000	2094.060174226761	1090	72.75	
-1610016.108302078	45.45	11.31578947368421	277.94736842105266	173.6315789473684	-197.0260294568854	40	2826	131	18.0	560.0	351.0	5	8.0	130.0	81.0	0	0	24.409639358520508	4100	2118.4698135852814	1105	73.04878048780488	
-1030030.7682747603	38.85	9.5625	203.0	125.875	-197.0260294568854	41	2910	131	13.0	387.0	235.0	5	8.0	130.0	81.0	0	0	18.583168029785156	4200	2137.0529816150665	1116	73.42857142857143	
-1270040.2334614515	35.19	10.277777777777779	223.11111111111111	139.88888888888889	-197.0260294568854	42	2992	198	15.0	559.0	353.0	6	8.0	130.0	81.0	0	0	23.442323207855225	4300	2160.4953048229218	1128	73.76744186046511	
-1600014.5256079389	37.89	10.4375	279.0625	174.6875	-197.0260294568854	43	3076	180	16.0	810.0	510.0	3	8.0	129.0	81.0	0	0	35.77663040161133	4400	2196.271935224533	1140	74.0909090909091	
-1410011.6278490843	33.91	11.0	320.0833333333333	200.91666666666666	-197.0260294568854	44	3164	180	17.0	1351.0	852.0	3	8.0	130.0	81.0	0	0	13.764944076538086	4500	2210.036879301071	1148	74.48888888888888	
-1230016.0158864763	31.94	9.9	218.5	135.8	-197.0260294568854	45	3254	180	18.0	469.0	297.0	2	7.0	116.0	73.0	0	0	9.83256196975708	4600	2219.8694412708282	1154	74.91304347826087	
-1250012.6383932293	36.03	11.444444444444445	293.0	182.72222222222223	-197.0260294568854	46	3336	158	17.0	545.0	341.0	2	8.0	130.0	81.0	0	0	10.892710208892822	4700	2230.762151479721	1168	75.14893617021276	
-1420048.3581062076	45.89	11.5	295.45	184.25	-197.0260294568854	47	3416	215	17.0	537.0	335.0	3	7.0	116.0	73.0	0	0	32.32482194900513	4800	2263.086973428726	1184	75.33333333333333	
-1210049.7268514354	43.0	11.333333333333334	289.8333333333333	181.33333333333334	-197.0260294568854	48	3498	158	19.0	650.0	413.0	3	8.0	130.0	81.0	0	0	15.038097143173218	4900	2278.1250705718994	1197	75.57142857142857	
-1220011.2905531386	35.68	10.083333333333334	230.33333333333334	143.83333333333334	-197.0260294568854	49	3586	131	14.0	435.0	273.0	2	8.0	130.0	81.0	0	0	7.26817774772644	5000	2285.393248319626	1205	75.9	
