ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-8037621.572663367	100.0	11.64864864864865	252.6081081081081	160.22972972972974	tensor(-1000000.)	0	6	100	16.0	535.0	337.0	100	9.0	139.0	90.0	0	0	13.000137090682983	80	13.000137090682983	74	7.5	
-5512699.7940407675	100.0	12.537313432835822	282.910447761194	179.5820895522388	tensor(-1000000.)	1	18	151	22.0	452.0	281.0	49	8.0	124.0	80.0	0	0	12.200618743896484	160	25.200755834579468	138	13.75	
-5637682.539039338	99.3125	12.422535211267606	273.4366197183099	174.3943661971831	-889.5601265375204	2	26	145	18.0	502.0	309.0	37	9.0	131.0	85.0	0	0	11.828940153121948	240	37.029695987701416	206	14.166666666666671	
-5050116.198270379	105.7625	12.047619047619047	273.53968253968253	173.55555555555554	-205.78759840690543	3	42	157	17.0	498.0	309.0	34	9.0	151.0	98.0	0	0	9.728864669799805	320	46.75856065750122	266	16.875	
-5900180.313319842	106.6875	11.493150684931507	262.05479452054794	165.91780821917808	-205.78759840690543	4	49	182	18.0	573.0	364.0	18	8.0	118.0	76.0	0	0	11.952514171600342	400	58.71107482910156	335	16.25	
-4050241.844828774	103.25	11.092307692307692	256.0769230769231	161.2923076923077	-205.78759840690543	5	64	160	17.0	558.0	340.0	18	8.0	145.0	94.0	0	0	12.383172750473022	480	71.09424757957458	396	17.5	
-5262808.432528506	101.0125	11.272727272727273	248.45454545454547	157.07575757575756	-205.78759840690543	6	78	179	17.0	418.0	262.0	34	8.0	149.0	96.0	0	0	12.608542680740356	560	83.70279026031494	458	18.214285714285722	
-5112724.166573955	108.15	11.484848484848484	245.28787878787878	155.07575757575756	-205.78759840690543	7	92	247	17.0	412.0	260.0	29	8.0	149.0	96.0	0	0	11.831111192703247	640	95.53390145301819	520	18.75	
-3875345.472241019	108.075	11.367647058823529	233.60294117647058	148.05882352941177	-205.78759840690543	8	104	200	17.0	450.0	278.0	28	8.0	120.0	78.0	0	0	11.88771653175354	720	107.42161798477173	584	18.888888888888886	
-5450347.34428138	108.775	11.028169014084508	225.38028169014083	142.83098591549296	-205.78759840690543	9	113	179	17.0	337.0	214.0	22	8.0	136.0	88.0	0	0	13.184051990509033	800	120.60566997528076	651	18.625	
-5112908.5732823685	113.275	11.216216216216216	236.63513513513513	149.7027027027027	-205.78759840690543	10	119	243	17.0	470.0	291.0	22	7.0	116.0	75.0	0	0	14.435742378234863	880	135.04141235351562	721	18.068181818181813	
-4075338.1155403643	125.4375	11.47887323943662	237.5211267605634	150.42253521126761	-205.27178565170334	11	128	245	17.0	403.0	257.0	22	8.0	129.0	84.0	0	0	13.15515661239624	960	148.19656896591187	788	17.91666666666667	
-3975343.5179940574	137.475	11.783783783783784	247.64864864864865	156.8108108108108	-205.05092834162053	12	134	272	19.0	381.0	241.0	20	8.0	130.0	84.0	0	0	14.194198608398438	1040	162.3907675743103	858	17.5	
-4712829.539652739	125.6125	11.657894736842104	239.60526315789474	151.8684210526316	-205.05092834162053	13	138	256	16.0	383.0	238.0	22	8.0	127.0	82.0	0	0	14.37537693977356	1120	176.76614451408386	930	16.964285714285708	
-5050313.502691371	114.2	11.716216216216216	238.1216216216216	151.0810810810811	-205.05092834162053	14	144	179	15.0	481.0	300.0	22	7.0	124.0	80.0	0	0	12.81390380859375	1200	189.5800483226776	1000	16.666666666666657	
-4812767.479738884	111.55	11.732394366197184	249.70422535211267	158.0	-204.90903222458553	15	153	292	16.0	544.0	340.0	22	7.0	124.0	80.0	0	0	12.862694263458252	1280	202.44274258613586	1066	16.71875	
-5212719.251808078	108.6	11.813333333333333	234.57333333333332	149.36	-202.5583715958823	16	158	259	17.0	420.0	257.0	22	8.0	119.0	77.0	0	0	11.607680082321167	1360	214.05042266845703	1137	16.397058823529406	
-4350221.3803624045	102.6375	12.054054054054054	255.05405405405406	161.74324324324326	-200.2677713621892	17	164	188	18.0	547.0	343.0	29	8.0	128.0	83.0	0	0	13.780200958251953	1440	227.83062362670898	1207	16.180555555555557	
-4887718.377718227	103.625	11.84	238.44	151.58666666666667	-198.68403620493262	18	169	188	19.0	490.0	305.0	29	8.0	127.0	82.0	0	0	13.324080228805542	1520	241.15470385551453	1278	15.921052631578945	
-4337866.452983694	100.825	12.266666666666667	252.92	160.49333333333334	-198.68403620493262	19	174	170	19.0	479.0	303.0	21	8.0	113.0	73.0	0	0	13.658610820770264	1600	254.8133146762848	1348	15.75	
-5000194.096850108	97.6125	11.971428571428572	232.57142857142858	147.82857142857142	-198.68403620493262	20	184	202	19.0	418.0	259.0	4	8.0	127.0	82.0	0	0	12.384875059127808	1680	267.1981897354126	1414	15.833333333333329	
-4537772.345143679	93.5875	11.940298507462687	243.7462686567164	155.0	-198.14164428698786	21	197	185	18.0	444.0	281.0	21	7.0	116.0	75.0	0	0	11.447735071182251	1760	278.64592480659485	1477	16.079545454545453	
-3712729.642769082	90.0375	11.934426229508198	235.1639344262295	149.52459016393442	-198.14164428698786	22	216	200	16.0	373.0	232.0	5	9.0	126.0	82.0	0	0	10.047269582748413	1840	288.69319438934326	1534	16.63043478260869	
-5137734.793145562	96.6875	12.043478260869565	235.5072463768116	149.768115942029	-198.14164428698786	23	227	177	16.0	405.0	253.0	4	9.0	119.0	77.0	0	0	11.606481790542603	1920	300.29967617988586	1597	16.82291666666667	
-4675257.564241491	89.5875	12.17741935483871	250.6290322580645	158.98387096774192	-195.4205673487734	24	245	140	19.0	404.0	257.0	4	9.0	122.0	79.0	0	0	11.083747386932373	2000	311.38342356681824	1655	17.25	
-3812633.850289134	80.3125	12.173076923076923	234.6346153846154	149.5	-178.12808965151464	25	273	168	17.0	358.0	225.0	4	9.0	132.0	86.0	0	0	8.063117265701294	2080	319.44654083251953	1703	18.125	
-5200228.946657027	88.9375	11.892307692307693	231.15384615384616	147.30769230769232	-178.12808965151464	26	288	172	16.0	493.0	317.0	4	8.0	122.0	79.0	0	0	10.46402621269226	2160	329.9105670452118	1764	18.33333333333333	
-3750321.669074747	87.4125	12.43859649122807	248.5438596491228	158.0701754385965	-177.9819000958244	27	311	174	16.0	453.0	280.0	4	9.0	145.0	93.0	0	0	9.108946323394775	2240	339.01951336860657	1816	18.92857142857143	
-3462654.3588080793	80.55	12.5	233.69642857142858	149.30357142857142	-177.83901564799078	28	335	163	17.0	333.0	214.0	4	8.0	141.0	91.0	0	0	9.180398941040039	2320	348.1999123096466	1868	19.48275862068965	
-5525278.04347142	80.6375	12.03076923076923	225.98461538461538	144.41538461538462	-177.83901564799078	29	350	189	15.0	404.0	256.0	13	9.0	134.0	87.0	0	0	10.862031698226929	2400	359.06194400787354	1929	19.625	
-4275283.755071148	71.775	11.946428571428571	232.44642857142858	148.25	-177.83901564799078	30	374	152	15.0	376.0	240.0	13	8.0	113.0	73.0	0	0	10.003244876861572	2480	369.0651888847351	1981	20.120967741935488	
-4200214.595373434	71.5625	12.339285714285714	245.55357142857142	156.5	-177.83901564799078	31	398	175	17.0	385.0	240.0	7	9.0	130.0	84.0	0	0	10.40443730354309	2560	379.4696261882782	2033	20.5859375	
-3287733.1392622963	64.8	12.156862745098039	241.07843137254903	153.47058823529412	-177.83901564799078	32	427	125	15.0	399.0	258.0	7	9.0	119.0	77.0	0	0	9.269678831100464	2640	388.73930501937866	2080	21.212121212121218	
-4675223.986219923	74.8875	12.015384615384615	227.90769230769232	145.33846153846153	-170.89514256277965	33	442	147	16.0	510.0	312.0	7	8.0	118.0	76.0	0	0	11.335638523101807	2720	400.07494354248047	2141	21.286764705882348	
-4300229.386582601	70.95	12.2	236.0	150.43333333333334	-170.89514256277965	34	462	149	17.0	477.0	302.0	9	8.0	130.0	84.0	0	0	9.353601932525635	2800	409.4285454750061	2197	21.535714285714278	
-4200266.034129483	74.3375	12.253731343283581	240.59701492537314	153.46268656716418	-170.89514256277965	35	475	133	18.0	570.0	366.0	8	9.0	126.0	82.0	0	0	10.557953596115112	2880	419.9864990711212	2260	21.527777777777786	
-4587757.396672507	71.25	11.571428571428571	228.77777777777777	146.11111111111111	-170.89514256277965	36	492	142	16.0	388.0	250.0	4	9.0	126.0	82.0	0	0	9.67361855506897	2960	429.6601176261902	2319	21.655405405405403	
-4000297.9894787953	65.4625	11.704918032786885	222.8360655737705	142.1639344262295	-170.89514256277965	37	511	136	16.0	376.0	243.0	4	8.0	125.0	81.0	0	0	9.146693706512451	3040	438.80681133270264	2376	21.84210526315789	
-5050259.110492629	70.475	11.388059701492537	211.91044776119404	135.0597014925373	-170.89514256277965	38	524	124	15.0	306.0	192.0	16	8.0	115.0	74.0	0	0	9.603630304336548	3120	448.4104416370392	2439	21.82692307692308	
-4050278.7408590824	67.2875	11.610169491525424	228.15254237288136	144.84745762711864	-170.89514256277965	39	545	124	17.0	433.0	269.0	7	8.0	140.0	91.0	0	0	8.903995513916016	3200	457.3144371509552	2494	22.0625	
-4362734.462646839	63.7	11.245283018867925	209.8679245283019	133.79245283018867	-170.89514256277965	40	572	102	16.0	329.0	210.0	7	8.0	126.0	82.0	0	0	7.859720706939697	3280	465.1741578578949	2543	22.46951219512195	
-4187668.908091358	61.2	10.959183673469388	205.87755102040816	131.53061224489795	-170.89514256277965	41	603	109	14.0	357.0	232.0	7	8.0	141.0	91.0	0	0	7.055010080337524	3360	472.2291679382324	2588	22.976190476190467	
-3600251.687887394	60.3875	11.09433962264151	209.52830188679246	133.66037735849056	-170.89514256277965	42	630	94	21.0	429.0	275.0	7	8.0	156.0	100.0	0	0	7.838066816329956	3440	480.0672347545624	2636	23.372093023255815	
-4350243.700552208	68.1875	11.01639344262295	199.0983606557377	127.24590163934427	-170.89514256277965	43	649	107	18.0	343.0	221.0	7	7.0	100.0	65.0	0	0	9.628077507019043	3520	489.6953122615814	2692	23.522727272727266	
