ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-875018.0937401829	100.0	11.743589743589743	250.55128205128204	158.97435897435898	-32.503436121159744	0	2	100	20.0	465.0	293.0	100	8.0	132.0	84.0	0	0	16.92923879623413	80	16.92923879623413	78	2.5	
-750030.5574520526	100.0	11.776315789473685	250.98684210526315	158.60526315789474	-32.503436121159744	1	6	168	16.0	527.0	321.0	32	9.0	138.0	89.0	0	0	13.987489938735962	160	30.916728734970093	150	6.25	
-712526.8010239438	101.825	11.82857142857143	257.4714285714286	162.9857142857143	-27.392811546608446	2	16	235	18.0	488.0	303.0	26	8.0	127.0	82.0	0	0	10.313274145126343	240	41.230002880096436	216	10.0	
-637529.2670516357	102.0125	11.789473684210526	263.60526315789474	166.3684210526316	-27.392505196328905	3	20	152	18.0	489.0	319.0	26	8.0	119.0	77.0	0	0	12.437998294830322	320	53.66800117492676	288	10.0	
-562524.1505282493	99.6125	11.25	264.55555555555554	166.93055555555554	-21.61747998596431	4	28	192	15.0	523.0	326.0	8	9.0	133.0	86.0	0	0	10.969503164291382	400	64.63750433921814	356	11.0	
-600021.1474551959	102.475	11.144927536231885	253.2608695652174	160.33333333333334	-20.986944759199805	5	39	192	15.0	504.0	318.0	13	8.0	119.0	77.0	0	0	10.045725107192993	480	74.68322944641113	420	12.5	
-575023.7012135962	103.3125	10.93421052631579	245.64473684210526	155.51315789473685	-20.986944759199805	6	43	184	15.0	398.0	251.0	16	9.0	117.0	76.0	0	0	11.262293100357056	560	85.94552254676819	492	12.142857142857139	
-537520.366302851	100.125	10.694444444444445	251.04166666666666	157.52777777777777	-18.319266504294205	7	51	173	14.0	352.0	218.0	27	8.0	118.0	76.0	0	0	11.867775917053223	640	97.81329846382141	560	12.5	
-550014.0217922203	97.275	10.789473684210526	271.80263157894734	169.53947368421052	-18.319266504294205	8	55	172	16.0	469.0	286.0	27	9.0	140.0	91.0	0	0	14.260655879974365	720	112.07395434379578	632	12.222222222222229	
-650017.0463185965	102.225	10.35135135135135	259.77027027027026	161.67567567567568	-18.28259335995147	9	61	181	14.0	469.0	286.0	24	8.0	117.0	76.0	0	0	14.175259590148926	800	126.2492139339447	702	12.25	
-487522.34608665656	109.175	10.276315789473685	260.35526315789474	161.89473684210526	-18.28259335995147	10	65	211	13.0	361.0	221.0	27	8.0	117.0	76.0	0	0	17.622464656829834	880	143.87167859077454	774	12.045454545454547	
-500014.52393847227	103.0375	10.22972972972973	270.68918918918916	168.21621621621622	-17.571812953270406	11	71	228	14.0	404.0	245.0	14	9.0	148.0	94.0	0	0	16.93270707130432	960	160.80438566207886	843	12.1875	
-462520.1940521255	100.225	10.243589743589743	264.94871794871796	165.03846153846155	-17.571812953270406	12	73	195	13.0	469.0	286.0	5	8.0	132.0	85.0	0	0	16.072267055511475	1040	176.87665271759033	917	11.82692307692308	
-450019.735169529	100.0	10.226666666666667	268.17333333333335	166.72	-17.571812953270406	13	78	194	13.0	353.0	217.0	6	9.0	137.0	88.0	0	0	15.531347513198853	1120	192.40800023078918	987	11.875	
-387526.30391315126	99.6875	10.171052631578947	268.2368421052632	166.53947368421052	-17.571812953270406	14	82	178	14.0	344.0	213.0	22	8.0	118.0	76.0	0	0	17.617812633514404	1200	210.0258128643036	1059	11.75	
-425023.3200837712	100.1875	10.620253164556962	269.36708860759495	167.73417721518987	-17.571812953270406	15	83	180	16.0	437.0	271.0	20	8.0	126.0	81.0	0	0	16.49652671813965	1280	226.52233958244324	1134	11.40625	
-512521.32277031953	101.0	10.578947368421053	274.32894736842104	170.67105263157896	-17.571812953270406	16	87	180	16.0	469.0	286.0	22	8.0	145.0	94.0	0	0	16.830878973007202	1360	243.35321855545044	1205	11.39705882352942	
-462522.9599572675	100.0	10.426666666666666	270.74666666666667	168.42666666666668	-17.571812953270406	17	92	149	16.0	469.0	286.0	51	9.0	132.0	85.0	0	0	16.439737558364868	1440	259.7929561138153	1275	11.458333333333343	
-500023.1405536469	100.35	10.357142857142858	267.64285714285717	166.71428571428572	-17.09785968150659	18	102	193	15.0	356.0	221.0	7	8.0	126.0	81.0	0	0	14.427114963531494	1520	274.2200710773468	1341	11.776315789473685	
-462521.69404725806	100.45	10.220779220779221	273.85714285714283	170.33766233766235	-17.045768789421647	19	105	151	14.0	428.0	264.0	28	9.0	174.0	111.0	0	0	16.515373468399048	1600	290.73544454574585	1414	11.625	
-512519.20397580107	100.1875	10.146666666666667	260.53333333333336	162.49333333333334	-16.645590154370584	20	110	156	15.0	459.0	286.0	44	8.0	124.0	80.0	0	0	14.110258340835571	1680	304.8457028865814	1484	11.666666666666671	
-512516.87776241807	102.5375	10.06578947368421	265.07894736842104	164.78947368421052	-16.298380549237358	21	114	156	12.0	356.0	217.0	62	9.0	165.0	105.0	0	0	15.622980117797852	1760	320.4686830043793	1556	11.590909090909093	
-512523.9610683271	98.7	10.191780821917808	264.09589041095893	164.5205479452055	-16.298380549237358	22	121	169	14.0	405.0	258.0	37	9.0	156.0	101.0	0	0	14.101760149002075	1840	334.57044315338135	1625	11.684782608695656	
-537525.0653719608	99.2625	10.41891891891892	270.85135135135135	168.75675675675674	-16.298380549237358	23	127	187	16.0	468.0	300.0	13	8.0	124.0	80.0	0	0	14.73130750656128	1920	349.3017506599426	1694	11.770833333333329	
-475024.74314462923	102.8625	10.319444444444445	260.875	162.56944444444446	-16.298380549237358	24	135	187	15.0	356.0	220.0	26	9.0	156.0	100.0	0	0	14.212256908416748	2000	363.5140075683594	1762	11.900000000000006	
-487521.24948575627	103.6	10.538461538461538	272.4102564102564	169.2051282051282	-16.298380549237358	25	137	181	15.0	408.0	248.0	50	9.0	123.0	80.0	0	0	15.54423475265503	2080	379.0582423210144	1836	11.730769230769226	
-412524.425811695	100.475	10.256756756756756	274.9054054054054	170.48648648648648	-16.26536532275853	26	143	193	13.0	415.0	264.0	7	9.0	157.0	100.0	0	0	16.165220975875854	2160	395.22346329689026	1906	11.759259259259252	
-437526.39436047786	101.325	10.618421052631579	284.0131578947368	176.44736842105263	-16.26536532275853	27	147	183	15.0	521.0	329.0	22	9.0	144.0	93.0	0	0	17.56966209411621	2240	412.79312539100647	1978	11.69642857142857	
-512530.4723406622	101.7	10.384615384615385	273.8333333333333	169.84615384615384	-16.26536532275853	28	149	188	14.0	387.0	244.0	12	8.0	119.0	77.0	0	0	18.288707971572876	2320	431.08183336257935	2052	11.551724137931032	
-450021.0626341142	102.2	10.644736842105264	271.89473684210526	169.46052631578948	-16.26536532275853	29	153	188	14.0	491.0	299.0	27	9.0	155.0	100.0	0	0	17.341439723968506	2400	448.42327308654785	2124	11.5	
-500023.05940685683	100.0	10.328947368421053	265.35526315789474	165.32894736842104	-16.26536532275853	30	157	163	15.0	523.0	317.0	37	9.0	139.0	90.0	0	0	15.707446813583374	2480	464.1307199001312	2196	11.451612903225808	
-412538.7057144022	101.35	10.394736842105264	267.69736842105266	166.71052631578948	-16.26536532275853	31	161	198	14.0	429.0	264.0	2	9.0	128.0	83.0	0	0	16.07279086112976	2560	480.203510761261	2267	11.4453125	
-500028.5282568098	99.6125	10.097222222222221	259.5	161.23611111111111	-16.26536532275853	32	169	172	14.0	459.0	286.0	28	9.0	128.0	83.0	0	0	15.650916814804077	2640	495.85442757606506	2335	11.553030303030297	
-512524.6133832604	102.025	10.41095890410959	261.6164383561644	163.36986301369862	-16.234757303013115	33	176	183	15.0	369.0	234.0	10	9.0	158.0	101.0	0	0	13.158105611801147	2720	509.0125331878662	2403	11.654411764705884	
-487540.0496260289	102.1	10.61038961038961	271.64935064935065	169.24675324675326	-16.16134127379924	34	179	174	14.0	388.0	245.0	26	9.0	133.0	86.0	0	0	15.497207164764404	2800	524.5097403526306	2475	11.607142857142861	
-525015.6701127216	102.025	10.479452054794521	278.6027397260274	172.6986301369863	-16.16134127379924	35	186	216	14.0	412.0	249.0	21	9.0	155.0	100.0	0	0	17.04966163635254	2880	541.5594019889832	2544	11.666666666666671	
-512525.9233238857	100.9875	10.378378378378379	266.44594594594594	165.85135135135135	-16.16134127379924	36	192	180	15.0	380.0	231.0	20	8.0	132.0	85.0	0	0	15.3817617893219	2960	556.941163778305	2614	11.689189189189193	
-550015.8163903949	105.2875	10.528571428571428	272.42857142857144	169.65714285714284	-16.16134127379924	37	202	217	15.0	469.0	286.0	11	8.0	125.0	81.0	0	0	14.10782265663147	3040	571.0489864349365	2680	11.842105263157904	
-462520.95689183765	102.7875	10.631578947368421	270.67105263157896	168.44736842105263	-16.066228908336036	38	206	179	16.0	469.0	286.0	11	9.0	155.0	100.0	0	0	16.00932788848877	3120	587.0583143234253	2751	11.82692307692308	
-550014.9758489046	100.4125	10.710144927536232	280.04347826086956	174.15942028985506	-16.066228908336036	39	217	168	16.0	469.0	286.0	32	8.0	134.0	87.0	0	0	15.98928451538086	3200	603.0475988388062	2816	12.0	
